COREF,start_token,end_token,prop,cat,text
91,1,3,PROP,PER,STEINBECK Of Mice
139,5,9,NOM,PER,Men PENGUIN BOOKS PENGUIN BOOKS
140,12,16,NOM,FAC,the Penguin Group Penguin Group
1,18,18,PROP,GPE,USA
2,23,24,PROP,FAC,Hudson Street
3,26,27,PROP,GPE,New York
3,29,30,PROP,GPE,New York
4,33,35,PROP,FAC,U.S.A. Penguin Group
5,37,37,PROP,GPE,Canada
6,41,43,PROP,FAC,Eglinton Avenue East
7,45,46,PROP,FAC,Suite 700
8,48,48,PROP,GPE,Toronto
9,50,50,PROP,GPE,Ontario
5,54,54,PROP,GPE,Canada
141,56,62,NOM,GPE,a division of Pearson Penguin Canada Inc.
10,59,61,PROP,FAC,Pearson Penguin Canada
11,64,66,PROP,FAC,Penguin Books Ltd
12,68,69,PROP,FAC,80 Strand
13,71,71,PROP,GPE,London
14,75,75,PROP,GPE,England
15,77,77,PROP,GPE,Ireland
16,80,83,PROP,FAC,St Stephen ’s Green
17,85,85,PROP,GPE,Dublin
15,88,88,PROP,GPE,Ireland
142,90,95,NOM,ORG,a division of Penguin Books Ltd.
18,93,95,PROP,ORG,Penguin Books Ltd.
19,97,98,PROP,ORG,Penguin Group
20,100,100,PROP,GPE,Australia
21,104,105,PROP,FAC,Camberwell Road
22,107,107,PROP,GPE,Camberwell
23,109,109,PROP,GPE,Victoria
20,112,112,PROP,GPE,Australia
143,114,121,NOM,ORG,a division of Pearson Australia Group Pty Ltd
144,117,121,NOM,ORG,Pearson Australia Group Pty Ltd
24,123,127,PROP,FAC,Penguin Books India Pvt Ltd
145,129,131,NOM,FAC,11 Community Centre
25,133,134,PROP,FAC,Panchsheel Park
146,136,144,NOM,GPE,"New Delhi-110 017 , India Penguin Group ( NZ"
26,148,149,PROP,FAC,Apollo Drive
27,151,151,PROP,GPE,Rosedale
147,153,154,NOM,GPE,North Shore
28,157,158,PROP,GPE,New Zealand
29,163,166,PROP,FAC,Pearson New Zealand Ltd
30,171,172,PROP,GPE,South Africa
148,175,177,NOM,ORG,Pty ) Ltd
31,180,181,PROP,FAC,Sturdee Avenue
32,183,183,PROP,GPE,Rosebank
33,185,185,PROP,GPE,Johannesburg
149,188,189,NOM,GPE,South Africa
12,197,198,PROP,FAC,80 Strand
13,200,200,PROP,GPE,London
14,204,204,PROP,GPE,England
34,208,212,PROP,GPE,the United States of America
35,212,212,PROP,GPE,America
36,216,216,PROP,GPE,Friede
150,223,226,NOM,PER,The Viking Press Inc.
63,254,255,PROP,PER,John Steinbeck
63,261,262,PROP,PER,John Steinbeck
37,280,283,PROP,GPE,the United States of
35,284,284,PROP,GPE,America
38,287,287,PROP,GPE,Sabon
34,290,294,PROP,GPE,the United States of America
151,328,329,NOM,PER,the publisher
152,359,361,NOM,PER,the subsequent purchaser
151,385,386,NOM,PER,the publisher
154,414,414,PRON,PER,Your
155,417,418,NOM,PER,the author
156,431,436,NOM,LOC,A few miles south of Soledad
39,436,436,PROP,GPE,Soledad
157,438,440,NOM,LOC,the Salinas River
158,445,447,NOM,LOC,the hillside bank
159,454,455,NOM,LOC,The water
160,474,476,NOM,LOC,the narrow pool
161,482,483,NOM,LOC,the river
162,491,496,NOM,LOC,the strong and rocky Gabilan mountains
163,500,501,NOM,LOC,the valley
164,546,547,NOM,LOC,the pool
165,550,555,NOM,LOC,the sandy bank under the trees
166,571,571,PRON,PER,he
167,585,586,NOM,LOC,the sand
168,592,594,NOM,LOC,the damp flats
169,613,614,NOM,FAC,the ranches
170,650,650,NOM,PER,boys
63,654,655,PROP,PER,John Steinbeck
169,657,658,NOM,FAC,the ranches
172,662,664,NOM,LOC,the deep pool
173,670,686,NOM,PER,tramps who come wearily down from the highway in the evening to jungle - up near water
174,676,677,NOM,FAC,the highway
175,682,686,NOM,LOC,jungle - up near water
176,715,720,NOM,PER,men who have sat on it
177,741,742,NOM,LOC,the hills
178,744,745,NOM,LOC,the top
179,748,750,NOM,LOC,the sand banks
180,751,752,NOM,PER,the rabbits
181,769,771,NOM,FAC,the state highway
182,800,800,NOM,LOC,river
183,805,806,NOM,FAC,the place
184,812,813,NOM,PER,two men
185,816,817,NOM,FAC,the path
186,824,826,NOM,LOC,the green pool
184,828,828,PRON,PER,They
185,835,836,NOM,FAC,the path
188,849,849,NOM,PER,Both
188,863,863,NOM,PER,Both
188,870,870,NOM,PER,both
188,877,877,PRON,PER,their
191,880,882,NOM,PER,The first man
191,904,904,PRON,PER,him
191,923,923,PRON,PER,him
191,925,925,PRON,PER,his
192,925,926,NOM,PER,his opposite
193,928,930,NOM,PER,a huge man
191,949,949,PRON,PER,he
191,954,954,PRON,PER,his
191,964,964,PRON,PER,his
191,967,967,PRON,PER,His
191,973,973,PRON,PER,his
191,980,982,NOM,PER,The first man
195,986,987,NOM,LOC,the clearing
91,992,992,PROP,PER,Mice
196,994,996,NOM,PER,Men 3 follower
191,1000,1000,PRON,PER,him
191,1002,1002,PRON,PER,He
191,1005,1005,PRON,PER,his
191,1014,1014,PRON,PER,his
191,1022,1022,PRON,PER,His
197,1022,1024,NOM,PER,His huge companion
191,1026,1026,PRON,PER,his
197,1030,1030,PRON,PER,himself
186,1038,1040,NOM,LOC,the green pool
199,1055,1057,NOM,PER,The small man
191,1061,1061,PRON,PER,him
64,1064,1064,PROP,PER,Lennie
199,1067,1067,PRON,PER,he
64,1072,1072,PROP,PER,Lennie
65,1075,1075,PROP,PER,God
64,1085,1085,PROP,PER,Lennie
164,1090,1091,NOM,LOC,the pool
199,1093,1095,NOM,PER,The small man
64,1100,1100,PRON,PER,him
64,1106,1106,PROP,PER,Lennie
64,1108,1108,PRON,PER,You
64,1114,1114,PRON,PER,you
64,1120,1120,PROP,PER,Lennie
64,1122,1122,PRON,PER,his
64,1133,1133,PRON,PER,he
202,1137,1138,NOM,LOC,the bank
64,1140,1140,PRON,PER,his
64,1145,1145,PRON,PER,his
64,1151,1151,PRON,PER,his
64,1160,1160,PRON,PER,he
63,1164,1164,PRON,PER,You
63,1168,1168,PROP,PER,George
63,1170,1170,PRON,PER,You
64,1178,1178,PRON,PER,He
63,1182,1182,PROP,PER,George
63,1184,1184,PRON,PER,his
202,1191,1192,NOM,LOC,the bank
63,1195,1195,PRON,PER,I
63,1205,1205,PRON,PER,he
64,1214,1214,PROP,PER,Lennie
64,1216,1216,PRON,PER,his
64,1224,1224,PRON,PER,his
164,1237,1238,NOM,LOC,the pool
64,1248,1248,PROP,PER,Lennie
205,1250,1250,PRON,PER,them
63,1256,1256,PROP,PER,George
64,1260,1260,PRON,PER,I
63,1264,1264,PROP,PER,George
63,1272,1272,PRON,PER,his
63,1284,1284,PRON,PER,he
63,1298,1298,PRON,PER,You
64,1309,1309,PROP,PER,Lennie
63,1312,1312,PRON,PER,he
63,1317,1317,PRON,PER,You
63,1325,1325,PRON,PER,you
63,1330,1330,PRON,PER,He
63,1337,1337,PRON,PER,his
63,1344,1344,PRON,PER,his
63,1348,1348,PRON,PER,his
63,1355,1355,PRON,PER,his
63,1359,1359,PRON,PER,he
63,1361,1361,PRON,PER,his
63,1363,1364,PROP,PER,John Steinbeck
63,1368,1368,PRON,PER,himself
161,1371,1372,NOM,LOC,the river
63,1376,1376,PRON,PER,his
207,1380,1380,PRON,PER,them
64,1382,1382,PROP,PER,Lennie
63,1390,1390,PROP,PER,George
64,1393,1393,PRON,PER,He
64,1395,1395,PRON,PER,himself
64,1400,1400,PRON,PER,his
207,1404,1404,PRON,PER,them
63,1409,1409,PROP,PER,George
63,1413,1413,PRON,PER,he
64,1419,1419,PRON,PER,He
64,1421,1421,PRON,PER,his
64,1428,1428,PRON,PER,his
63,1433,1433,PROP,PER,George
63,1438,1438,PROP,PER,George
159,1442,1443,NOM,LOC,the water
63,1448,1448,PRON,PER,his
64,1456,1456,PRON,PER,He
1027,1461,1461,PRON,PER,We
1028,1470,1471,NOM,FAC,the ranch
1029,1473,1476,NOM,PER,that bastard bus driver
1029,1479,1479,PRON,PER,he
1030,1488,1493,NOM,LOC,a little stretch down the highway
174,1492,1493,NOM,FAC,the highway
64,1496,1496,PRON,PER,he
1032,1524,1526,NOM,FAC,the ranch gate
1029,1541,1541,PRON,PER,he
39,1550,1550,PROP,GPE,Soledad
1027,1555,1555,PRON,PER,us
1033,1567,1568,NOM,FAC,the road
64,1571,1571,PRON,PER,I
