start_token,end_token,supersense_category,text
6,9,noun.group,PENGUIN BOOKS PENGUIN BOOKS
10,10,verb.creation,Published
13,16,noun.group,Penguin Group Penguin Group
18,18,noun.location,USA
23,24,noun.location,Hudson Street
26,27,noun.location,New York
29,30,noun.location,New York
33,35,noun.group,U.S.A. Penguin Group
37,37,noun.location,Canada
41,43,noun.location,Eglinton Avenue East
45,45,noun.location,Suite
48,48,noun.location,Toronto
50,51,noun.location,Ontario M4P
54,54,noun.location,Canada
57,57,noun.cognition,division
59,61,noun.group,Pearson Penguin Canada
64,65,noun.group,Penguin Books
69,69,noun.location,Strand
71,72,noun.location,London WC2R
75,77,noun.location,England Penguin Ireland
80,83,noun.location,St Stephen ’s Green
85,85,noun.location,Dublin
88,88,noun.location,Ireland
91,91,noun.artifact,division
93,95,noun.group,Penguin Books Ltd.
97,98,noun.group,Penguin Group
100,100,noun.location,Australia
104,105,noun.location,Camberwell Road
107,107,noun.location,Camberwell
109,109,noun.location,Victoria
112,112,noun.location,Australia
115,115,noun.group,division
117,121,noun.group,Pearson Australia Group Pty Ltd
123,127,noun.group,Penguin Books India Pvt Ltd
130,131,noun.location,Community Centre
133,134,noun.location,Panchsheel Park
136,137,noun.location,New Delhi-110
140,141,noun.location,India Penguin
142,142,noun.group,Group
144,144,noun.location,NZ
148,149,noun.location,Apollo Drive
151,151,noun.location,Rosedale
153,154,noun.location,North Shore
157,158,noun.location,New Zealand
161,161,noun.group,division
171,172,noun.location,South Africa
180,181,noun.location,Sturdee Avenue
183,183,noun.location,Rosebank
185,186,noun.location,Johannesburg 2196
188,189,noun.location,South Africa
198,198,noun.location,Strand
200,201,noun.location,London WC2R
206,206,verb.creation,published
209,210,noun.location,United States
218,218,noun.location,Inc.
223,226,noun.group,The Viking Press Inc.
229,229,verb.social,Published
232,232,noun.communication,volume
234,235,noun.group,Cannery Row
237,238,noun.group,Penguin Books
241,241,noun.communication,edition
242,242,verb.change,published
254,255,noun.person,John Steinbeck
259,259,verb.change,renewed
261,262,noun.person,John Steinbeck
278,278,verb.creation,Printed
281,282,noun.location,United States
284,285,noun.group,America Set
291,294,noun.location,United States of America
297,297,noun.communication,book
299,299,verb.possession,sold
303,303,noun.communication,condition
310,310,noun.act,way
312,312,noun.act,trade
317,317,verb.possession,lent
319,319,verb.change,resold
321,322,verb.possession,hired out
326,326,verb.possession,circulated
329,329,noun.person,publisher
332,332,noun.communication,consent
335,335,noun.cognition,form
337,337,noun.communication,binding
339,339,noun.artifact,cover
347,347,verb.communication,published
352,352,noun.state,condition
355,355,noun.communication,condition
357,357,verb.communication,imposed
361,361,noun.person,purchaser
364,364,verb.possession,scanning
366,366,verb.possession,uploading
369,369,noun.act,distribution
372,372,noun.communication,book
380,380,noun.artifact,means
383,383,noun.communication,permission
386,386,noun.person,publisher
387,387,verb.stative,is
392,392,noun.group,law
395,395,verb.possession,purchase
399,399,noun.group,editions
404,404,verb.social,participate
407,407,verb.social,encourage
409,409,noun.act,piracy
412,412,noun.communication,materials
415,415,noun.act,support
418,418,noun.person,author
420,420,noun.attribute,rights
421,421,verb.stative,is
422,422,verb.possession,appreciated
426,426,noun.communication,BOOK
428,430,noun.group,MICE AND MEN
433,433,noun.quantity,miles
436,436,noun.location,Soledad
439,440,noun.location,Salinas River
441,442,verb.motion,drops in
446,446,noun.object,hillside
447,447,noun.object,bank
449,449,verb.stative,runs
455,455,noun.substance,water
456,456,verb.stative,is
463,463,verb.change,slipped
468,468,noun.object,sands
471,471,noun.phenomenon,sunlight
473,473,verb.motion,reaching
476,476,noun.object,pool
480,480,noun.location,side
483,483,noun.object,river
486,486,noun.object,foothill
487,487,noun.object,slopes
488,488,verb.motion,curve
495,495,noun.object,Gabilan
496,496,noun.object,mountains
501,501,noun.object,valley
502,502,noun.location,side
504,504,noun.substance,water
508,508,noun.plant,trees
510,510,noun.plant,willows
516,516,noun.time,spring
518,518,verb.stative,carrying
522,522,noun.plant,leaf
523,523,noun.substance,junctures
525,525,noun.substance,debris
528,528,noun.time,winter
530,530,noun.act,flooding
533,533,noun.plant,sycamores
540,540,noun.plant,limbs
542,542,noun.plant,branches
544,544,verb.motion,arch
547,547,noun.object,pool
552,552,noun.object,bank
