COREF,start_token,end_token,prop,cat,text
88,5,6,PROP,PER,Toni Morrison
1,11,22,PROP,FAC,A Division of Penguin Random House LLC New York FIRST VINTAGE INTERNATIONAL
2,19,19,PROP,GPE,York
88,35,36,PROP,PER,Toni Morrison
88,43,44,PROP,PER,Toni Morrison
3,51,53,PROP,LOC,the United States
261,58,64,NOM,ORG,a division of Penguin Random House LLC
4,61,64,PROP,FAC,Penguin Random House LLC
5,66,67,PROP,GPE,New York
6,72,72,PROP,GPE,Canada
7,74,78,PROP,FAC,Penguin Random House Canada Limited
8,80,80,PROP,GPE,Toronto
3,87,89,PROP,LOC,the United States
89,91,91,PROP,PER,Holt
9,93,93,PROP,GPE,Rinehart
261,116,122,NOM,ORG,a division of Penguin Random House LLC
4,119,122,PROP,ORG,Penguin Random House LLC
11,161,164,PROP,ORG,The Library of Congress
88,173,173,PROP,PER,Morrison
88,175,175,PROP,PER,Toni
88,182,183,PROP,PER,Toni Morrison
12,198,198,PROP,GPE,Ohio
12,206,206,PROP,GPE,Ohio
90,250,250,PROP,PER,Dorothy
13,256,260,PROP,GPE,the United States of America
0,273,273,PRON,PER,me
0,280,280,PRON,PER,me
263,287,287,NOM,PER,anyone
0,289,289,PRON,PER,I
264,340,340,PRON,PER,us
264,354,354,PRON,PER,we
265,383,383,PRON,PER,you
265,391,391,PRON,PER,you
266,399,399,NOM,PER,family
267,401,401,NOM,PER,friends
264,410,410,PRON,PER,We
268,428,429,NOM,PER,a human
0,432,432,PRON,PER,I
91,435,437,PROP,PER,The Bluest Eye
0,439,439,PRON,PER,I
269,452,452,NOM,PER,others
0,478,478,PRON,PER,I
270,481,487,NOM,PER,some victims of powerful self - loathing
271,497,504,NOM,PER,the enemy who has humil- Foreword iated them
92,501,502,PROP,PER,humil- Foreword
270,504,504,PRON,PER,them
269,509,509,NOM,PER,Others
269,511,511,PRON,PER,their
269,523,523,PRON,PER,they
273,526,527,NOM,PER,Most others
274,538,553,NOM,PER,"some who collapse , silently , anonymously , with no voice to express or acknowledge it"
274,555,555,PRON,PER,They
275,571,571,NOM,PER,children
275,574,574,PRON,PER,their
276,591,592,NOM,PER,indifferent parents
277,594,595,NOM,PER,dismissive adults
0,633,633,PRON,PER,my
278,643,659,NOM,PER,"the one least likely to withstand such damaging forces because of youth , gender , and race"
279,670,672,NOM,PER,the main character
279,678,678,PRON,PER,her
279,681,681,PRON,PER,her
0,687,687,PRON,PER,I
267,689,689,NOM,PER,friends
281,691,691,NOM,PER,classmates
279,700,700,PRON,PER,her
282,708,709,NOM,PER,supportive parents
282,714,714,PRON,PER,their
282,718,718,PRON,PER,they
282,724,724,PRON,PER,They
282,728,728,PRON,PER,their
283,728,729,NOM,PER,their friend
284,731,732,NOM,LOC,the world
279,734,734,PRON,PER,She
0,746,746,PRON,PER,I
285,749,751,NOM,PER,a childhood friend
286,753,753,PRON,PER,We
287,757,758,NOM,ORG,elementary school
285,760,760,PRON,PER,She
