start_token,end_token,supersense_category,text
4,4,noun.communication,NOVEL
14,21,noun.group,Penguin Random House LLC New York FIRST VINTAGE
25,25,noun.time,MAY
32,32,verb.communication,renewed
49,49,verb.creation,Published
52,53,noun.location,United States
55,56,noun.group,Vintage Books
59,59,noun.cognition,division
61,64,noun.group,Penguin Random House LLC
66,67,noun.location,New York
70,70,verb.possession,distributed
72,72,noun.location,Canada
74,78,noun.group,Penguin Random House Canada Limited
80,80,noun.location,Toronto
83,83,verb.creation,published
88,89,noun.location,United States
93,93,noun.person,Rinehart
95,97,noun.group,"Winston , Inc"
104,104,verb.creation,published
108,108,noun.communication,form
112,114,noun.group,Alfred A. Knopf
117,117,noun.group,division
119,122,noun.group,Penguin Random House LLC
128,128,verb.stative,is
131,131,noun.attribute,trademark
133,134,noun.group,Vintage International
136,136,noun.artifact,colophon
137,137,verb.stative,are
138,138,noun.artifact,trademarks
140,143,noun.group,Penguin Random House LLC
148,148,noun.communication,foreword
151,151,verb.creation,published
154,154,noun.communication,afterword
159,159,noun.communication,edition
162,164,noun.group,Library of Congress
166,166,verb.communication,cataloged
169,169,noun.communication,edition
173,173,noun.person,Morrison
175,175,noun.location,Toni
179,179,noun.body,eye
189,190,noun.group,p. cm
198,198,noun.location,Ohio
200,200,noun.communication,Fiction
204,204,noun.group,Girls
206,206,noun.location,Ohio
208,208,noun.communication,Fiction
247,247,noun.communication,Book
248,248,noun.act,design
250,253,noun.group,Dorothy S. Baker www.vintagebooks.com
254,254,verb.creation,Printed
257,258,noun.location,United States
260,260,noun.location,America
272,272,verb.possession,gave
274,274,noun.time,life
279,279,verb.change,made
286,286,verb.stative,be
290,290,verb.stative,am
296,296,verb.cognition,know
299,299,verb.cognition,feels
303,303,verb.emotion,disliked
306,306,verb.cognition,rejected
312,314,noun.time,periods of time
318,318,noun.state,feeling
319,319,verb.stative,is
321,321,noun.feeling,indifference
324,324,noun.feeling,annoyance
331,331,verb.perception,hurt
341,341,verb.cognition,know
344,344,verb.stative,is
347,347,verb.stative,be
349,349,verb.emotion,hated
351,351,verb.emotion,hated
353,353,noun.cognition,things
355,355,verb.possession,have
357,357,noun.relation,control
362,362,verb.change,change
366,366,verb.change,happens
369,369,verb.stative,is
371,371,noun.feeling,consolation
373,373,verb.cognition,know
376,376,noun.feeling,dislike
378,378,noun.feeling,hatred
379,379,verb.stative,is
386,386,verb.emotion,deserve
392,392,verb.stative,have
395,395,noun.attribute,strength
397,397,noun.act,support
399,399,noun.group,family
401,401,noun.person,friends
404,404,noun.event,damage
406,406,verb.change,reduced
408,408,verb.change,erased
411,412,verb.cognition,think of
416,416,noun.state,stress
423,423,verb.stative,is
424,424,noun.relation,part
426,426,noun.cognition,life
429,429,noun.animal,human
433,433,verb.change,began
434,434,verb.creation,writing
440,440,verb.stative,was
447,447,noun.act,resistance
450,450,noun.feeling,contempt
454,454,noun.act,ways
456,456,verb.social,deflect
466,466,noun.phenomenon,consequences
468,468,verb.cognition,accepting
469,469,noun.act,rejection
479,479,verb.cognition,knew
482,482,noun.person,victims
485,485,noun.cognition,self
487,487,verb.emotion,loathing
488,489,verb.stative,turn out
491,491,verb.stative,be
496,496,verb.social,reproducing
498,498,noun.group,enemy
503,503,verb.communication,iated
510,510,verb.possession,surrender
512,512,noun.attribute,identity
514,514,verb.change,melt
517,517,noun.artifact,structure
519,519,verb.contact,delivers
522,522,noun.cognition,persona
524,524,verb.stative,lack
531,531,verb.change,grow
537,537,verb.stative,are
540,540,verb.motion,collapse
548,548,noun.communication,voice
550,550,verb.communication,express
552,552,verb.communication,acknowledge
556,556,verb.stative,are
560,560,noun.event,death
562,562,noun.person,self
564,564,noun.state,esteem
566,566,verb.change,occur
571,571,noun.person,children
575,575,noun.feeling,ego
578,578,noun.attribute,legs
583,583,verb.communication,speak
585,585,verb.communication,Couple
587,587,noun.state,vulnerability
589,589,noun.group,youth
592,592,noun.person,parents
595,595,noun.person,adults
599,599,noun.group,world
605,605,noun.communication,language
607,607,noun.cognition,laws
610,610,noun.cognition,images
612,612,verb.cognition,re
614,614,verb.social,enforces
615,615,noun.state,despair
619,619,noun.act,journey
621,621,noun.event,destruction
623,623,verb.social,sealed
626,626,noun.act,project
635,635,noun.communication,book
639,639,verb.motion,enter
641,641,noun.state,life
648,648,verb.competition,withstand
651,651,noun.phenomenon,forces
654,654,noun.group,youth
656,656,noun.group,gender
659,659,noun.group,race
661,661,verb.change,Begun
665,665,noun.communication,narrative
668,668,noun.act,murder
672,672,noun.person,character
675,676,verb.social,stand alone
679,679,noun.attribute,passivity
680,680,verb.change,made
683,683,noun.communication,narrative
684,684,noun.state,void
688,688,verb.creation,invented
689,689,noun.person,friends
691,691,noun.person,classmates
694,694,verb.cognition,understood
697,697,verb.cognition,sympathized
701,701,noun.state,plight
704,704,verb.possession,had
706,706,noun.attribute,benefit
709,709,noun.group,parents
712,712,noun.feeling,feistiness
719,719,verb.stative,were
727,727,verb.social,save
729,729,noun.person,friend
732,732,noun.object,world
735,735,verb.communication,broke
738,738,noun.location,origin
741,741,noun.communication,novel
742,743,verb.stative,lay in
745,745,noun.communication,conversation
747,747,verb.communication,had
751,751,noun.person,friend
756,756,verb.social,started
757,758,noun.group,elementary school
761,761,verb.communication,said
763,763,verb.emotion,wanted
765,765,noun.body,eyes
768,769,verb.perception,looked around
771,771,verb.perception,picture
778,778,verb.emotion,repelled
782,782,verb.cognition,imagined
785,786,verb.stative,look like
789,789,verb.possession,had
791,791,noun.feeling,wish
794,794,noun.feeling,sorrow
797,797,noun.attribute,voice
798,798,verb.perception,seemed
800,801,verb.communication,call for
802,802,noun.feeling,sympathy
806,806,verb.communication,faked
813,813,verb.communication,astonished
816,816,noun.act,desecration
818,818,verb.communication,proposed
822,822,verb.change,got
831,831,noun.time,moment
834,834,verb.perception,seen
852,852,verb.consumption,used
854,854,noun.communication,word
862,862,verb.emotion,experienced
864,864,noun.event,shock
867,867,noun.attribute,force
871,871,verb.change,equaled
874,874,noun.Tops,knowledge
878,878,verb.perception,recognized
890,890,verb.possession,possessed
897,897,verb.stative,been
901,901,noun.attribute,face
904,904,verb.perception,examining
907,907,noun.attribute,silence
910,910,noun.artifact,street
914,914,noun.time,afternoon
917,917,noun.state,light
920,920,noun.state,atmosphere
922,922,noun.communication,confession
928,928,verb.stative,was
931,931,noun.event,time
933,933,verb.cognition,knew
937,937,verb.creation,imagined
942,942,noun.state,Beauty
943,943,verb.stative,was
948,948,verb.perception,behold
951,951,verb.stative,was
955,955,verb.social,do
960,960,verb.stative,was
962,962,noun.act,effort
964,964,verb.communication,say
970,970,verb.communication,say
985,985,noun.cognition,experience
989,989,verb.stative,possessed
994,994,verb.communication,prayed
999,999,noun.event,alteration
1004,1004,noun.feeling,desire
1005,1005,verb.stative,was
1007,1007,noun.cognition,self
1009,1009,noun.feeling,loathing
1013,1013,noun.time,years
1019,1019,verb.cognition,wondering
1023,1023,verb.cognition,learns
1027,1027,verb.communication,told
1031,1031,verb.communication,made
1033,1033,verb.cognition,feel
1036,1036,verb.stative,was
1039,1039,verb.stative,be
1041,1041,noun.person,freak
1045,1045,verb.stative,was
1049,1049,verb.perception,looked
1053,1053,verb.cognition,found
1056,1056,verb.emotion,wanting
1061,1061,noun.communication,weight
1064,1064,noun.attribute,beauty
1065,1065,noun.relation,scale
1068,1068,noun.communication,novel
1069,1069,verb.stative,pecks
1073,1073,noun.act,gaze
1075,1075,verb.communication,condemned
1079,1079,noun.communication,reclamation
1082,1082,noun.attribute,beauty
1085,1085,noun.time,sixties
1086,1086,verb.communication,stirred
1088,1088,noun.feeling,thoughts
1090,1090,verb.change,made
1092,1093,verb.cognition,think about
1095,1095,noun.state,necessity
1098,1098,noun.communication,claim
1103,1103,verb.social,reviled
1109,1109,noun.attribute,beauty
1112,1112,verb.cognition,taken
1117,1117,noun.group,community
1122,1122,verb.stative,need
1125,1125,noun.communication,articulation
1127,1127,verb.stative,exist
1130,1130,verb.stative,are
1133,1133,noun.communication,questions
1140,1140,verb.change,began
1142,1142,noun.communication,story
1149,1149,verb.change,began
1151,1151,verb.stative,be
1153,1153,noun.communication,book
1156,1156,noun.communication,answers
1157,1157,verb.stative,were
1166,1166,verb.stative,became
1172,1172,noun.communication,assertion
1175,1175,noun.attribute,beauty
1176,1176,verb.stative,was
1179,1179,noun.communication,reaction
1187,1187,noun.communication,critique
1192,1192,noun.state,foibles
1196,1196,noun.group,groups
1202,1202,noun.cognition,internalization
1204,1204,noun.cognition,assumptions
1207,1207,noun.state,inferiority
1208,1208,verb.stative,originating
1212,1212,noun.act,gaze
1215,1215,verb.cognition,focused
1226,1226,noun.communication,demonization
1230,1230,noun.group,race
1232,1233,verb.change,take root
1238,1238,noun.person,member
1240,1240,noun.group,society
1243,1243,noun.person,child
1248,1248,noun.person,member
1251,1251,noun.animal,female
1254,1254,verb.social,trying
1256,1256,verb.creation,dramatize
1258,1258,noun.state,devastation
1263,1263,noun.feeling,contempt
1265,1265,verb.creation,cause
1268,1268,verb.cognition,chose
1271,1271,noun.state,situation
1280,1280,noun.attribute,extremity
1282,1282,noun.person,Pecola
1284,1284,noun.act,case
1285,1285,verb.stative,stemmed
1292,1292,noun.group,family
1298,1298,noun.group,family
1302,1302,noun.person,narrator
1308,1308,noun.person,Pecola
1310,1310,noun.state,life
1311,1311,verb.stative,was
1314,1314,verb.cognition,believed
1316,1316,noun.cognition,aspects
1319,1319,noun.feeling,woundability
1325,1325,noun.person,girls
1328,1328,verb.cognition,exploring
1333,1333,noun.attribute,aggression
1336,1336,verb.communication,cause
1338,1338,noun.person,child
1341,1342,verb.change,fall apart
1345,1345,verb.cognition,mounted
1347,1347,noun.group,series
1349,1349,noun.act,rejections
1352,1352,noun.act,routine
1363,1363,verb.social,trying
1366,1366,verb.communication,avoid
1367,1367,noun.state,complicity
1370,1370,noun.communication,demonization
1371,1371,noun.act,process
1372,1372,noun.person,Pecola
1374,1374,verb.perception,subjected
1383,1383,verb.emotion,want
1385,1385,verb.communication,dehumanize
1387,1387,noun.person,characters
1389,1389,verb.social,trashed
1390,1390,noun.person,Pecola
1392,1392,verb.social,contributed
1395,1395,noun.state,collapse
1398,1398,noun.communication,problem
1400,1400,verb.stative,centering
1402,1402,noun.attribute,weight
1405,1405,noun.communication,novel
1407,1407,noun.cognition,inquiry
1414,1414,noun.person,character
1416,1416,verb.contact,smash
1419,1419,verb.communication,lead
1420,1420,noun.person,readers
1423,1423,noun.state,comfort
1425,1425,verb.emotion,pitying
1431,1431,noun.communication,interrogation
1436,1436,noun.act,smashing
1439,1439,noun.cognition,solution
1441,1441,verb.change,break
1443,1443,noun.communication,narrative
1445,1445,noun.relation,parts
1450,1450,verb.cognition,reassembled
1453,1453,noun.person,reader
1455,1455,verb.perception,seemed
1460,1460,noun.cognition,idea
1463,1463,noun.act,execution
1468,1468,verb.emotion,satisfy
1477,1477,verb.contact,work
1480,1480,noun.person,readers
1481,1481,verb.change,remain
1482,1482,verb.emotion,touched
1489,1489,noun.state,problem
1494,1494,verb.stative,was
1495,1495,noun.communication,language
1497,1497,verb.stative,Holding
1500,1500,noun.act,glance
1502,1502,verb.change,sabotaging
1504,1504,verb.stative,was
1508,1508,noun.communication,novel
1509,1509,verb.social,tried
1511,1511,verb.communication,hit
1514,1514,noun.attribute,nerve
1517,1518,noun.cognition,self -
1519,1519,noun.feeling,contempt
1521,1521,verb.change,expose
1525,1525,verb.emotion,soothe
1529,1529,noun.attribute,narcotics
1532,1532,noun.communication,language
1534,1534,verb.creation,replicated
1536,1536,noun.group,agency
1538,1538,verb.perception,discovered
1542,1542,noun.cognition,experience
1544,1544,noun.attribute,beauty
1548,1548,noun.time,moment
1549,1549,verb.stative,was
1552,1552,verb.change,infused
1555,1555,noun.feeling,revulsion
1559,1560,noun.person,school friend
1561,1561,verb.emotion,wanted
1565,1565,noun.body,eyes
1570,1570,noun.body,skin
1573,1573,noun.state,harm
1576,1576,verb.creation,doing
1579,1579,noun.cognition,concept
1586,1586,noun.act,struggle
1587,1587,verb.stative,was
1589,1589,noun.communication,writing
1591,1591,verb.stative,was
1599,1599,verb.cognition,know
1603,1603,verb.stative,is
1610,1610,noun.act,attempts
1612,1612,verb.change,disqualify
1614,1614,noun.act,effort
1616,1617,verb.communication,find out
1618,1618,verb.social,keeps
1621,1621,verb.social,trying
1623,1623,verb.social,pursue
1627,1627,noun.cognition,choices
1629,1629,noun.communication,language
1639,1639,noun.act,reliance
1642,1642,noun.cognition,comprehension
1644,1644,noun.communication,codes
1649,1649,noun.group,culture
1652,1652,noun.act,effort
1654,1654,verb.creation,effect
1656,1656,noun.act,coconspiracy
1658,1658,noun.attribute,intimacy
1662,1662,verb.communication,distancing
1665,1665,noun.artifact,fabric
1672,1672,noun.act,attempt
1674,1674,verb.cognition,shape
1676,1676,noun.communication,silence
1678,1678,verb.change,breaking
1681,1681,noun.act,attempts
1683,1683,verb.change,transfigure
1685,1685,noun.attribute,complexity
1687,1687,noun.attribute,wealth
1691,1691,noun.group,culture
1694,1694,noun.communication,language
1698,1698,noun.group,culture
1700,1700,verb.cognition,Thinking
1705,1705,noun.state,problems
1707,1707,noun.communication,language
1708,1708,verb.communication,presented
1714,1714,verb.emotion,amazed
1717,1717,noun.attribute,currency
1720,1720,noun.attribute,tenacity
1722,1722,verb.communication,Hearing
1726,1726,noun.communication,languages
1727,1727,verb.social,debase
1728,1728,noun.group,humans
1730,1730,verb.perception,watching
1732,1732,noun.act,exorcisms
1733,1733,verb.change,debase
1734,1734,noun.communication,literature
1736,1736,verb.perception,seeing
1738,1738,verb.change,preserved
1741,1741,noun.attribute,amber
1744,1744,noun.communication,metaphors
1748,1748,verb.communication,say
1751,1751,noun.communication,narrative
1752,1752,noun.act,project
1753,1753,verb.stative,is
1756,1756,noun.time,today
1759,1759,verb.stative,was
1767,1767,noun.communication,BOOK
1769,1769,verb.stative,is
1771,1771,noun.artifact,house
1774,1774,verb.stative,is
1780,1780,verb.stative,has
1783,1783,noun.artifact,door
1786,1786,verb.stative,is
1791,1791,verb.stative,is
1793,1793,noun.group,family
1795,1795,noun.person,Mother
1797,1797,noun.person,Father
1799,1799,noun.person,Dick
1802,1802,noun.person,Jane
1803,1803,verb.stative,live
1811,1811,noun.artifact,house
1814,1814,verb.stative,are
1819,1819,noun.person,Jane
1822,1822,verb.possession,has
1825,1825,noun.artifact,dress
1828,1828,verb.emotion,wants
1830,1830,verb.competition,play
1834,1834,verb.social,play
1836,1836,noun.person,Jane
1840,1840,noun.animal,cat
1843,1843,verb.motion,goes
1846,1846,verb.motion,Come
1848,1848,verb.competition,play
1853,1853,noun.person,Jane
1856,1856,noun.animal,kitten
1859,1859,verb.competition,play
1862,1862,noun.person,Mother
1864,1864,noun.person,Mother
1865,1865,verb.stative,is
1869,1869,noun.person,Mother
1873,1873,verb.competition,play
1875,1875,noun.person,Jane
1877,1877,noun.person,Mother
1878,1878,verb.body,laughs
1880,1880,noun.person,Laugh
1882,1882,noun.person,Mother
1884,1884,noun.communication,laugh
1887,1887,noun.person,Father
1890,1890,verb.stative,is
1895,1895,noun.person,Father
1899,1899,verb.competition,play
1901,1901,noun.person,Jane
1903,1903,noun.person,Father
1905,1905,verb.body,smiling
1907,1907,noun.person,Smile
1909,1909,noun.person,Father
1911,1911,verb.body,smile
1913,1913,verb.perception,See
1915,1915,noun.animal,dog
1917,1917,noun.person,Bowwow
1918,1918,verb.motion,goes
1920,1920,noun.animal,dog
1926,1926,verb.competition,play
1928,1928,noun.person,Jane
1930,1930,verb.perception,See
1932,1932,noun.animal,dog
1933,1933,noun.act,run
1935,1935,noun.person,Run
1937,1937,noun.animal,dog
1939,1939,verb.contact,run
1946,1946,verb.motion,comes
1948,1948,noun.person,friend
1951,1951,noun.person,friend
1953,1953,verb.competition,play
1955,1955,noun.person,Jane
1959,1959,verb.competition,play
1962,1962,noun.act,game
1964,1964,noun.communication,Play
1966,1966,noun.person,Jane
1968,1968,noun.act,play
1971,1972,noun.person,Bluest Eye
1974,1974,verb.stative,is
1976,1976,noun.artifact,house
1978,1978,verb.stative,is
1981,1981,noun.attribute,white
1983,1983,verb.stative,has
1986,1986,noun.artifact,door
1988,1988,verb.stative,is
1992,1992,verb.stative,is
1994,1994,noun.group,family
1995,1995,noun.person,mother
1996,1996,noun.person,father
1997,1997,noun.person,dick
1999,1999,noun.person,jane
2000,2000,verb.stative,live
2008,2008,noun.artifact,house
2010,2010,verb.stative,are
2014,2014,noun.person,jane
2016,2016,verb.possession,has
2019,2019,noun.artifact,dress
2021,2021,verb.emotion,wants
2023,2023,verb.social,play
2026,2026,verb.social,play
2029,2029,verb.perception,see
2031,2031,noun.animal,cat
2033,2033,verb.motion,goes
2034,2034,noun.person,meow
2037,2037,verb.motion,come
2041,2041,verb.social,play
2045,2045,noun.animal,kitten
2048,2048,verb.social,play
2050,2050,noun.person,mother
2051,2051,noun.person,mother
2052,2052,verb.stative,is
2055,2055,noun.person,mother
2058,2058,verb.competition,play
2061,2061,noun.person,mother
2062,2062,verb.body,laughs
2064,2064,noun.person,mother
2065,2065,verb.consumption,laugh
2066,2066,verb.perception,see
2067,2067,noun.person,father
2069,2069,verb.stative,is
2073,2073,noun.person,father
2076,2076,verb.social,play
2079,2079,noun.person,father
2080,2080,verb.stative,is
2082,2082,noun.communication,smile
2083,2083,noun.person,father
2084,2084,noun.communication,smile
2085,2085,verb.perception,see
2087,2087,noun.animal,dog
2088,2088,noun.substance,bowwow
2089,2089,verb.contact,goes
2091,2091,noun.animal,dog
2094,2094,verb.consumption,want
2096,2096,verb.competition,play
2101,2101,verb.social,play
2103,2103,noun.person,jane
2104,2104,verb.perception,see
2106,2106,noun.animal,dog
2107,2107,verb.contact,run
2108,2108,verb.motion,run
2109,2109,noun.animal,dog
2111,2111,noun.attribute,look
2112,2112,verb.perception,look
2114,2114,verb.motion,comes
2116,2116,noun.person,friend
2118,2118,noun.person,friend
2120,2120,verb.competition,play
2125,2125,verb.competition,play
2128,2128,noun.act,game
2129,2129,noun.act,play
2131,2131,verb.competition,play
2132,2132,noun.communication,Hereisthehouseitisgreenandwhiteithasareddooritisverypretty
2139,2140,noun.substance,nefatherissmilingsmilefathersmileseethedogbowwowgoesthe dogdoyouwanttoplaydoyouwanttoplaywithjaneseethedogrun
2142,2143,noun.location,netheywillplayagoodgameplayjaneplay Quiet
2147,2147,verb.stative,kept
2150,2150,verb.stative,were
2152,2152,noun.animal,marigolds
2155,2155,noun.time,fall
2160,2160,verb.cognition,thought
2164,2164,noun.time,time
2170,2170,noun.person,Pecola
2172,2172,verb.possession,having
2174,2174,noun.person,father
2176,2176,noun.person,baby
2179,2179,noun.animal,marigolds
2182,2182,verb.change,grow
2186,2186,noun.act,examination
2190,2190,noun.feeling,melancholy
2193,2193,verb.cognition,proved
2198,2198,noun.plant,seeds
2199,2199,verb.stative,were
2207,2207,verb.body,sprout
2216,2216,noun.artifact,gardens
2217,2217,verb.stative,fronting
2219,2219,noun.object,lake
2220,2220,verb.perception,showed
2221,2221,noun.plant,marigolds
2223,2223,noun.time,year
2233,2233,noun.state,health
2236,2236,noun.act,delivery
2238,2238,noun.person,Pecola
2240,2240,noun.person,baby
2243,2244,verb.cognition,think of
2245,2245,noun.quantity,nothing
2249,2249,noun.cognition,magic
2253,2253,verb.contact,planted
2255,2255,noun.plant,seeds
2258,2258,verb.communication,said
2261,2261,noun.communication,words
2267,2267,verb.change,blossom
2272,2272,verb.stative,be
2279,2280,noun.time,long time
2283,2283,noun.person,sister
2286,2286,verb.communication,admitted
2291,2291,noun.attribute,green
2295,2295,verb.motion,spring
2298,2298,noun.plant,seeds
2302,2302,verb.cognition,knew
2305,2305,noun.feeling,guilt
2307,2307,verb.cognition,relieved
2310,2310,noun.act,fights
2313,2313,noun.communication,accusations
2318,2318,verb.communication,blame
2321,2321,noun.time,years
2323,2323,verb.cognition,thought
2325,2325,noun.person,sister
2326,2326,verb.stative,was
2330,2330,verb.stative,was
2332,2332,noun.act,fault
2336,2336,verb.contact,planted
2343,2343,noun.substance,earth
2347,2347,verb.cognition,occurred
2354,2354,noun.object,earth
2358,2358,verb.stative,been
2363,2364,noun.group,Bluest Eye
2366,2366,verb.motion,dropped
2368,2368,noun.plant,seeds
2373,2373,noun.artifact,plot
2375,2376,noun.substance,black dirt
