COREF,start_token,end_token,prop,cat,text
81,2,6,PROP,PER,Judy Blume A Richard Jackson
1,8,18,PROP,FAC,atheneum NEW YORK LONDON TORONTO SYDNEY NEW DELHI START OF BOOK
2,9,10,PROP,GPE,NEW YORK
3,11,11,PROP,GPE,LONDON
4,12,12,PROP,GPE,TORONTO
5,13,13,PROP,GPE,SYDNEY
6,15,15,PROP,GPE,DELHI
82,21,22,PROP,PER,Sybil Davison
185,32,36,NOM,PER,at least six different guys
82,38,38,PRON,PER,She
0,40,40,PRON,PER,me
82,41,41,PRON,PER,herself
82,46,46,PRON,PER,she
82,49,49,PRON,PER,her
186,49,50,NOM,PER,her cousin
83,52,52,PROP,PER,Erica
0,56,56,PRON,PER,my
187,56,58,NOM,PER,my good friend
83,60,60,PROP,PER,Erica
82,66,66,PROP,PER,Sybil
82,71,71,PRON,PER,her
0,96,96,PRON,PER,I
83,109,109,PROP,PER,Erica
188,115,115,NOM,PER,people
0,117,117,PRON,PER,I
82,121,121,PROP,PER,Sybil
82,125,125,PRON,PER,she
7,128,128,PROP,GPE,Summit
189,130,130,PRON,PER,we
8,133,133,PROP,GPE,Westfield
83,135,135,PROP,PER,Erica
0,137,137,PRON,PER,I
82,142,142,PRON,PER,her
82,161,161,PRON,PER,she
189,163,163,PRON,PER,us
189,169,169,PRON,PER,we
190,187,205,NOM,PER,maybe twenty of us sitting on the floor around a low table in Sybil ’s family JUDY BLUME room
189,190,190,PRON,PER,us
82,200,200,PROP,PER,Sybil
191,200,205,NOM,FAC,Sybil ’s family JUDY BLUME room
189,229,229,PRON,PER,us
0,255,255,PRON,PER,I
192,262,263,NOM,PER,this guy
83,267,267,PRON,PER,You
83,272,272,PRON,PER,your
192,276,276,PRON,PER,He
83,279,279,PROP,PER,Erica
83,288,288,PRON,PER,her
83,291,291,PRON,PER,You
192,293,293,PRON,PER,me
192,300,300,PRON,PER,He
192,303,303,PRON,PER,his
0,306,306,PRON,PER,I
192,311,311,PRON,PER,he
0,314,314,PRON,PER,me
0,320,320,PRON,PER,I
192,322,322,PRON,PER,him
0,325,325,PRON,PER,I
0,328,328,PRON,PER,my
0,334,334,PRON,PER,I
0,344,344,PRON,PER,my
