start_token,end_token,supersense_category,text
2,6,noun.person,Judy Blume A Richard Jackson
7,7,noun.communication,Book
8,11,noun.location,atheneum NEW YORK LONDON
12,13,noun.location,TORONTO SYDNEY
14,15,noun.location,NEW DELHI
16,18,noun.group,START OF BOOK
19,19,noun.communication,CHAPTER
21,22,noun.person,Sybil Davison
23,23,verb.possession,has
30,30,verb.stative,laid
36,36,noun.person,guys
39,39,verb.communication,told
45,45,noun.event,time
48,48,verb.social,visiting
50,50,noun.person,cousin
52,52,noun.person,Erica
55,55,verb.stative,is
58,58,noun.person,friend
60,60,noun.person,Erica
61,61,verb.communication,says
63,63,verb.stative,is
66,66,noun.person,Sybil
69,69,noun.state,problem
72,72,noun.state,need
74,74,verb.emotion,feel
75,75,verb.emotion,loved
78,78,verb.communication,getting
80,80,noun.cognition,part
86,86,noun.person,genius
88,88,verb.stative,is
90,90,noun.state,luck
92,92,noun.attribute,genes
97,97,verb.stative,’m
102,102,noun.cognition,explanation
103,103,verb.stative,is
105,105,noun.relation,percent
109,109,noun.person,Erica
110,110,verb.stative,is
114,114,verb.perception,analyzing
115,115,noun.group,people
120,120,verb.cognition,know
121,121,noun.person,Sybil
126,126,verb.stative,lives
128,128,noun.location,Summit
131,131,verb.stative,live
133,133,noun.location,Westfield
135,135,noun.person,Erica
138,138,verb.cognition,decided
140,141,verb.stative,go to
143,144,noun.time,New Year
146,146,noun.group,party
150,150,noun.time,minute
153,153,noun.motive,reasons
162,162,verb.communication,invited
170,170,verb.possession,had
171,171,noun.quantity,nothing
174,174,verb.social,do
177,178,verb.stative,turned out
180,180,verb.stative,be
183,183,noun.group,party
186,186,verb.stative,were
188,188,noun.quantity,twenty
191,191,verb.contact,sitting
194,194,noun.artifact,floor
198,198,noun.artifact,table
200,200,noun.person,Sybil
202,203,noun.group,family JUDY
205,205,noun.artifact,room
209,209,noun.artifact,table
215,215,noun.artifact,pots
218,218,noun.substance,liquid
219,219,noun.substance,Swiss
220,220,noun.food,cheese
222,222,noun.food,baskets
224,224,noun.food,bread
225,225,noun.food,chunks
230,230,verb.stative,had
236,236,noun.artifact,fork
239,239,verb.contact,spear
241,241,noun.food,bread
244,244,verb.contact,dip
248,248,noun.food,cheese
251,251,verb.perception,tasted
257,257,verb.motion,gotten
260,260,noun.communication,bites
263,263,noun.person,guy
264,264,verb.communication,said
269,269,verb.possession,got
273,273,noun.body,chin
277,277,verb.stative,was
279,279,noun.person,Erica
282,282,noun.location,side
286,286,verb.stative,leaning
292,292,verb.emotion,want
295,295,verb.contact,wipe
301,302,verb.body,held out
304,304,noun.artifact,napkin
309,309,verb.cognition,tell
313,313,verb.contact,putting
321,321,verb.communication,told
327,327,verb.contact,wipe
330,330,noun.body,chin
335,335,verb.social,tried
337,337,verb.consumption,swallow
339,339,noun.food,bread
341,341,verb.stative,was
345,345,noun.body,mouth
350,351,noun.person,Michael Wagner
355,355,verb.communication,said
362,362,verb.communication,answered
365,365,noun.person,Erica
366,366,verb.social,shot
369,369,noun.act,look
372,372,verb.communication,introduced
375,375,noun.person,Michael
378,378,verb.communication,tapped
382,382,noun.body,head
384,384,verb.communication,said
388,388,noun.person,idiot
389,389,verb.stative,is
391,391,noun.person,friend
393,393,noun.person,Katherine
397,397,verb.communication,mind
409,409,verb.perception,noticed
412,412,noun.person,Michael
413,413,verb.communication,said
416,416,verb.body,wore
417,417,noun.artifact,glasses
419,419,verb.stative,had
426,426,noun.body,hair
430,430,noun.body,mole
434,434,noun.body,cheek
439,439,noun.motive,reason
441,441,verb.cognition,thought
443,443,verb.contact,touching
447,447,verb.perception,looked
450,451,verb.motion,went back
453,453,verb.contact,spearing
454,454,noun.food,chunks
456,456,noun.food,bread
459,459,noun.person,guy
463,463,noun.location,side
464,464,verb.communication,said
468,468,noun.communication,name
470,470,noun.person,Fred
473,473,verb.stative,live
477,477,noun.person,Sybil
480,480,verb.stative,’m
482,482,noun.person,freshman
484,484,noun.group,Dartmouth
489,489,verb.stative,was
492,492,noun.person,creep
498,498,verb.communication,tuned
505,505,verb.cognition,know
507,507,verb.stative,kept
508,509,verb.communication,blabbing away
512,512,verb.stative,was
517,517,noun.person,Michael
519,519,verb.communication,saying
521,521,noun.person,Erica
524,524,verb.communication,wondered
527,528,verb.stative,went to
529,529,noun.group,school
532,532,noun.time,FOREVER
534,534,verb.emotion,hoped
536,536,verb.stative,was
538,538,noun.location,place
542,542,noun.location,Rutgers
544,544,noun.person,Erica
545,545,verb.communication,told
551,551,noun.location,Westfield
556,556,noun.person,seniors
562,562,verb.stative,spending
564,564,noun.time,night
566,566,noun.person,Sybil
570,570,noun.person,Michael
571,571,verb.communication,introduced
575,575,verb.communication,named
576,576,noun.person,Elizabeth
579,580,verb.motion,turned around
584,584,verb.perception,see
586,586,verb.contact,put
588,588,noun.body,arm
595,595,noun.person,girl
596,596,verb.contact,sitting
602,602,verb.perception,pretended
607,609,noun.person,Fred the Creep
614,614,noun.time,midnight
615,615,noun.person,Sybil
616,616,verb.perception,flashed
618,618,noun.artifact,lights
623,623,noun.person,Fred
624,624,verb.emotion,wished
629,629,noun.time,Year
632,632,verb.social,tried
634,634,verb.contact,stuff
636,636,noun.body,tongue
639,639,noun.body,mouth
642,642,verb.stative,kept
644,644,noun.body,lips
651,651,verb.contact,kissing
655,655,verb.perception,watching
656,656,noun.person,Michael
657,657,verb.contact,kiss
658,658,noun.person,Elizabeth
661,661,verb.stative,was
667,667,verb.cognition,thought
677,677,noun.event,party
679,679,verb.social,helped
680,680,noun.person,Sybil
683,683,noun.person,parents
684,685,verb.change,clean up
690,690,noun.time,a.m.
692,692,verb.motion,trudged
695,695,noun.artifact,bed
697,697,noun.person,Sybil
698,699,verb.communication,conked out
704,704,noun.body,head
705,705,verb.contact,hit
707,707,noun.artifact,pillow
709,709,noun.person,Erica
712,712,verb.perception,had
713,713,noun.event,trouble
714,715,verb.social,getting to
716,716,verb.body,sleep
721,721,verb.stative,were
724,724,noun.artifact,floor
726,727,noun.artifact,sleeping bags
732,732,noun.person,Sybil
734,734,verb.body,snoring
738,738,noun.person,Erica
739,739,verb.communication,whispered
742,742,noun.person,Michael
743,743,verb.stative,’s
746,746,noun.person,guy
751,751,verb.cognition,think
766,766,verb.communication,told
773,774,verb.motion,come up
777,778,noun.body,belly button
784,784,verb.consumption,enjoy
791,791,noun.person,Erica
795,795,verb.contact,propped
800,800,noun.body,elbow
802,802,verb.communication,said
806,806,verb.emotion,like
815,816,noun.person,JUDY BLUME
829,830,verb.motion,rolled over
832,832,verb.stative,facing
834,834,noun.artifact,wall
842,842,verb.cognition,tell
847,848,verb.motion,Go to
849,849,verb.body,sleep
854,854,verb.communication,asked
859,859,noun.communication,name
862,863,noun.communication,phone number
867,868,verb.motion,turned around
883,883,verb.cognition,guess
887,887,verb.emotion,care
893,893,verb.contact,buried
897,898,noun.artifact,sleeping bag
901,901,verb.communication,gave
907,907,noun.act,kick
912,912,verb.body,laughed
914,915,verb.body,fell asleep
917,917,noun.person,Erica
921,921,verb.stative,been
924,925,noun.time,ninth grade
928,928,verb.stative,’re
931,931,noun.group,pair
934,934,verb.stative,is
940,940,verb.stative,’m
944,944,verb.communication,says
948,948,verb.stative,be
950,950,noun.act,way
952,952,verb.possession,compensate
955,955,noun.attribute,size
958,958,verb.stative,’s
962,962,noun.quantity,feet
964,964,noun.quantity,ten
969,969,verb.communication,said
973,974,verb.change,come up
976,976,noun.person,Michael
978,979,noun.body,belly button
983,983,verb.communication,kidding
988,988,noun.group,family
989,989,verb.stative,is
998,998,noun.person,grandfather
999,999,verb.change,got
1001,1002,noun.communication,last name
1005,1005,verb.motion,came
1008,1008,noun.location,country
1010,1010,noun.location,Russia
1013,1013,verb.communication,speaking
1015,1015,noun.communication,word
1017,1017,noun.communication,English
1022,1022,verb.motion,stepped
1025,1025,noun.artifact,boat
1028,1028,noun.person,man
1031,1031,verb.communication,asked
1034,1034,noun.communication,name
1039,1039,verb.cognition,understand
1044,1044,verb.communication,calling
1046,1046,noun.person,Cohen
1048,1048,noun.person,Goldberg
1051,1051,noun.attribute,way
1053,1054,noun.person,immigration officers
1060,1060,noun.person,refugees
1063,1063,noun.person,man
1064,1064,verb.communication,sized
1068,1069,verb.communication,wrote down
1070,1071,noun.person,Mr. Small
1073,1073,noun.person,Erica
1074,1074,verb.communication,swears
1078,1078,verb.social,marries
1081,1081,verb.cognition,choose
1088,1088,verb.cognition,decide
1090,1090,verb.body,have
1091,1091,noun.person,children
1093,1093,noun.person,kids
1097,1097,verb.stative,have
1099,1099,noun.state,chance
1101,1101,verb.change,grow
1104,1104,noun.attribute,size
1111,1111,verb.stative,being
1114,1114,verb.emotion,hurt
1118,1118,noun.group,family
1121,1121,noun.person,mother
1122,1122,verb.stative,is
1123,1124,noun.person,Juliette Small
1127,1127,noun.communication,film
1128,1128,noun.person,critic
1132,1132,verb.cognition,read
1134,1134,noun.communication,reviews
1138,1138,noun.communication,magazines
1144,1144,verb.stative,is
1150,1151,verb.motion,get into
1152,1152,noun.location,Radcliffe
1157,1157,noun.act,grades
1158,1158,verb.stative,are
1164,1164,verb.possession,have
1167,1167,noun.cognition,average
1171,1171,verb.change,died
1174,1174,verb.perception,saw
1176,1177,noun.group,college board
1178,1178,noun.act,scores
1181,1181,verb.stative,were
1185,1185,noun.person,Erica
1186,1186,verb.social,scored
1196,1196,verb.cognition,fall
1201,1201,noun.cognition,things
1213,1213,noun.attribute,difference
1218,1218,noun.artifact,phone
1219,1219,verb.perception,rang
1221,1221,noun.time,noon
1224,1224,noun.time,day
1226,1226,verb.body,woke
1229,1229,noun.person,Sybil
1230,1231,verb.motion,jumped up
