COREF,start_token,end_token,prop,cat,text
69,2,3,PROP,PER,Lois Duncan
69,5,6,PROP,PER,Lois Duncan
1722,8,14,NOM,PER,the patron saint of all things awesome
70,18,19,PROP,PER,Jenny Han
1,21,23,PROP,GPE,New York Times
0,32,32,PRON,PER,I
69,38,39,PROP,PER,Lois Duncan
71,45,45,PRON,PER,my
71,49,49,PRON,PER,I
69,52,52,PRON,PER,her
71,62,62,PRON,PER,myself
69,67,67,PRON,PER,She
1723,69,72,NOM,PER,a master of suspense
71,84,85,PROP,PER,Sara Shepard
2,87,87,PROP,GPE,New
3,88,88,PROP,GPE,York
201,89,96,NOM,PER,Times bestselling author of the Pretty Little Liars
72,99,99,PRON,PER,I
69,106,107,PROP,PER,Lois Duncan
1724,113,117,NOM,PER,a new generation of readers
72,121,122,PROP,PER,Judy Blume
4,124,125,PROP,GPE,New York
202,126,130,NOM,PER,Times bestselling author Forever ...
73,132,133,PROP,PER,Tiger Eyes
69,135,135,PRON,PER,She
1725,138,138,PRON,PER,you
69,143,143,PRON,PER,She
69,152,152,PRON,PER,her
1726,152,153,NOM,PER,her characters
69,159,159,PRON,PER,she
1727,173,173,NOM,PER,anyone
69,178,179,PROP,PER,Lois Duncan
202,181,181,PRON,PER,I
3,193,193,PROP,GPE,York
5,201,202,PROP,FAC,Fear Street
1728,210,211,NOM,PER,smart authors
1729,217,221,NOM,PER,authors who write reasonably well
69,223,224,PROP,PER,Lois Duncan
1730,237,242,NOM,PER,the most entertaining authors in America
6,242,242,PROP,GPE,America
74,246,248,PROP,PER,Walter Dean Myers
203,250,259,NOM,PER,Printz Award - winning author of Monster and Dope Sick
69,261,262,PROP,PER,Lois Duncan
75,266,266,PRON,PER,me
75,282,283,PROP,PER,Wendy Mass
7,287,288,PROP,FAC,Leap Day
8,290,290,PROP,GPE,Heaven
204,295,296,NOM,FAC,the Mall
69,302,302,PROP,PER,Duncan
76,313,314,PROP,PER,Suzanne Young
205,318,324,NOM,PER,Girls with Sharp Sticks KILLING MR .
69,325,327,PROP,PER,GRIFFIN Lois Duncan
69,330,331,PROP,PER,Lois Duncan
206,332,338,NOM,PER,A Gift of Magic Daughters of Eve
207,343,343,PRON,PER,You
208,345,347,NOM,FAC,a Dark Hall
0,348,348,PRON,PER,I
207,351,351,PRON,PER,You
0,360,360,PRON,PER,My
1731,369,369,PRON,PER,We
207,371,371,PRON,PER,your
1732,371,372,NOM,PER,your students
77,382,382,PROP,PER,Mark
77,384,384,PRON,PER,him
77,389,389,PRON,PER,his
1733,396,410,NOM,PER,representatives of every poor kid who has ever walked into your dungeon of a classroom
207,406,406,PRON,PER,your
1734,406,410,NOM,FAC,your dungeon of a classroom
1735,409,410,NOM,FAC,a classroom
1731,412,412,PRON,PER,We
207,416,416,PRON,PER,you
1731,427,427,PRON,PER,We
78,435,437,PROP,PER,Killing Mr. Griffin
209,458,459,NOM,PER,the author
210,476,476,NOM,PER,persons
69,489,490,PROP,PER,Lois Duncan
0,507,507,PRON,PER,I
207,510,510,PRON,PER,You
69,518,519,PROP,PER,Lois Duncan
211,520,521,NOM,FAC,Student school
79,524,525,PROP,PER,Richard Goerg
80,531,532,PROP,PER,Sasha Illingworth
81,534,535,PROP,PER,Jenny Kimura
9,541,543,PROP,FAC,Hachette Book Group
212,545,548,NOM,PER,Inc. Hachette Book Group
213,568,568,NOM,PER,writers
214,570,570,NOM,PER,artists
215,578,578,PRON,PER,our
209,597,598,NOM,PER,the author
207,604,604,PRON,PER,you
207,627,627,PRON,PER,you
207,629,629,PRON,PER,your
209,632,633,NOM,PER,the author
82,639,639,PROP,PER,Brown
218,641,649,NOM,FAC,Company Hachette Book Group 1290 Avenue of the Americas
4,651,652,PROP,GPE,New York
10,654,654,PROP,GPE,NY
215,657,657,PRON,PER,us
11,659,660,PROP,FAC,LBYR.com Little
219,662,664,NOM,ORG,Brown and Company
220,666,671,NOM,ORG,a division of Hachette Book Group
9,669,671,PROP,ORG,Hachette Book Group
82,677,677,PROP,PER,Brown
9,684,686,PROP,FAC,Hachette Book Group
221,694,698,NOM,PER,"Little , Brown and Company"
13,709,712,PROP,ORG,The Library of Congress
69,721,721,PROP,PER,Duncan
69,723,723,PROP,PER,Lois
78,728,729,PROP,PER,Mr. Griffin
222,733,734,NOM,PER,A teenager
223,742,744,NOM,PER,the English teacher
222,748,748,PRON,PER,he
224,785,785,PRON,PER,he
14,831,838,PROP,FAC,the United States of America LSC - C
6,835,835,PROP,GPE,America
0,844,844,PRON,PER,my
225,844,845,NOM,PER,my brother
83,847,848,PROP,PER,Bill Steinmetz
78,868,869,PROP,PER,Mr. Griffin
226,872,872,PRON,PER,them
0,875,875,PRON,PER,she
227,877,879,NOM,FAC,the playing field
228,882,884,NOM,FAC,the school building
84,886,887,PROP,PER,Susan McConnell
84,894,894,PRON,PER,her
84,900,900,PRON,PER,her
84,910,910,PRON,PER,her
84,916,916,PRON,PER,her
229,933,934,NOM,FAC,the field
230,936,938,NOM,FAC,the parking lot
231,940,942,NOM,VEH,The parked cars
231,945,945,PRON,PER,their
232,958,961,NOM,LOC,the rugged Sandia Mountains
15,960,961,PROP,LOC,Sandia Mountains
0,974,974,PRON,PER,I
84,978,978,PROP,PER,Susan
84,980,980,PRON,PER,herself
0,983,983,PRON,PER,I
0,989,989,PRON,PER,I
233,991,991,PRON,PER,we
0,1002,1002,PRON,PER,she
0,1012,1012,PRON,PER,she
0,1025,1025,PRON,PER,I
1736,1031,1033,NOM,FAC,a cabin on
1737,1034,1051,NOM,LOC,the shore of a lake where everything is peaceful and green and the only sound is lapping water
1738,1037,1051,NOM,LOC,a lake where everything is peaceful and green and the only sound is lapping water
0,1061,1061,PRON,PER,she
0,1073,1073,PRON,PER,you
0,1082,1082,PRON,PER,her
234,1082,1083,NOM,PER,her father
234,1087,1087,PRON,PER,his
0,1100,1100,PRON,PER,you
1739,1103,1103,NOM,PER,Somebody
1740,1110,1115,NOM,LOC,that lovely green nest of yours
0,1115,1115,PRON,PER,yours
1741,1119,1121,NOM,PER,A rich husband
