start_token,end_token,supersense_category,text
2,3,noun.person,Lois Duncan
5,6,noun.person,Lois Duncan
7,7,verb.stative,is
10,10,noun.person,saint
13,13,noun.communication,things
18,19,noun.person,Jenny Han
21,22,noun.location,New York
25,25,noun.person,author
36,36,noun.communication,series
38,39,noun.person,Lois Duncan
42,42,verb.stative,been
47,47,noun.person,inspirations
50,51,verb.communication,gobbled up
53,53,noun.communication,novels
55,55,verb.cognition,reading
61,61,verb.emotion,scaring
68,68,verb.stative,’s
70,70,noun.person,master
72,72,noun.feeling,suspense
75,75,verb.emotion,prepare
78,78,verb.emotion,dazzled
84,85,noun.person,Sara Shepard
87,88,noun.location,New York
89,89,noun.group,Times
91,91,noun.person,author
97,97,noun.communication,series
106,107,noun.person,Lois Duncan
109,109,noun.communication,books
112,112,verb.communication,reach
115,115,noun.group,generation
117,117,noun.person,readers
121,122,noun.person,Judy Blume
124,125,noun.location,New York
126,126,noun.group,Times
128,128,noun.person,author
132,133,noun.person,Tiger Eyes
136,136,verb.cognition,knows
139,139,verb.social,did
141,141,noun.time,summer
144,144,verb.cognition,knows
147,147,verb.possession,find
150,150,noun.attribute,evil
153,153,noun.person,characters
155,155,noun.body,hearts
157,157,noun.act,evil
160,161,verb.change,turns into
165,165,verb.emotion,clutching
166,166,noun.feeling,suspense
168,168,noun.communication,book
170,170,noun.communication,book
174,174,verb.creation,write
176,176,noun.communication,books
178,179,noun.person,Lois Duncan
184,184,verb.cognition,think
189,190,noun.person,R.L. Stine
192,193,noun.location,New York
196,196,noun.person,author
201,202,noun.location,Fear Street
203,203,noun.group,series
206,206,verb.stative,are
208,208,noun.quantity,lot
211,211,noun.person,authors
215,215,noun.quantity,lot
217,217,noun.person,authors
219,219,verb.creation,write
223,224,noun.person,Lois Duncan
225,225,verb.stative,is
228,228,verb.creation,writes
231,231,noun.communication,books
234,234,verb.stative,is
240,240,noun.person,authors
242,242,noun.location,America
246,248,noun.person,Walter Dean Myers
250,251,noun.person,Printz Award
254,254,noun.person,author
261,262,noun.person,Lois Duncan
264,264,noun.communication,books
265,265,verb.stative,kept
271,271,noun.time,night
272,272,noun.act,reading
275,275,noun.artifact,covers
278,278,noun.artifact,flashlight
282,283,noun.person,Wendy Mass
285,285,noun.person,author
