COREF,start_token,end_token,prop,cat,text
1,37,37,PROP,GPE,Boston
256,47,97,NOM,PER,the Center for Children 's Books Blue Ribbon Winner A Horn Book Best Book of the Year A New York Public Library 100 Titles for Reading and Sharing Selection A New York Times Book Review Notable Book of the Year A Parenting Reading Magic Award Winner A Publishers Weekly Best Children
2,103,106,PROP,ORG,A School Library Journal
257,117,118,NOM,PER,young adolescents
258,122,126,NOM,LOC,the stormy seas of puberty
259,130,132,NOM,ORG,School Library Journal
260,185,187,NOM,PER,this age group
261,193,196,NOM,GPE,the Center for Children
262,268,270,NOM,PER,A younger child
263,279,281,NOM,PER,An independent reader
132,288,288,PROP,PER,Preadolescents
132,291,291,PRON,PER,their
264,295,295,NOM,PER,adolescents
264,305,305,PRON,PER,they
3,316,319,PROP,GPE,Hie New York Times
265,330,330,PRON,PER,your
266,330,331,NOM,PER,your kids
265,334,334,PRON,PER,you
265,339,339,PRON,PER,you
265,394,394,PRON,PER,your
265,402,402,PRON,PER,your
267,402,406,NOM,PER,your ever - curious kids
4,412,415,PROP,FAC,Los Angeles Times Book
268,445,448,NOM,PER,people of many races
269,459,460,NOM,GPE,San Francisco
270,498,506,NOM,FAC,"The Press - Enterprise , Riverside County , California"
5,503,504,PROP,GPE,Riverside County
6,506,506,PROP,GPE,California
271,510,510,NOM,PER,kids
272,518,519,NOM,PER,most parents
133,527,529,PROP,PER,Robie H. Harris
273,547,550,NOM,PER,ages 10 and up
274,573,574,NOM,PER,growing children
274,585,585,PRON,PER,their
274,595,595,PRON,PER,them
274,602,602,PRON,PER,themselves
0,604,604,PRON,PER,I
275,608,608,NOM,PER,parents
276,610,610,NOM,PER,children
264,613,613,NOM,PER,adolescents
278,615,615,PRON,PER,They
7,626,626,PROP,GPE,MD
8,630,632,PROP,FAC,Brazelton Touchpoints Center
1,634,634,PROP,GPE,Boston
279,635,637,NOM,PER,Children ’s Hospital
9,640,641,PROP,FAC,Joshua Sparrow
7,643,643,PROP,GPE,MD
280,645,655,NOM,PER,co - authors of Touchpoints : Birth to Iltree and Touchpoints
1,661,661,PROP,GPE,Boston
10,663,663,PROP,GPE,MA
133,673,673,PROP,PER,Harris
134,675,675,PROP,PER,Emberley
281,679,680,NOM,PER,younger children
282,700,700,PRON,PER,We
283,706,706,NOM,PER,families
284,715,715,NOM,PER,preteens
285,717,717,NOM,PER,teens
286,728,728,NOM,PER,parentchild
287,755,756,NOM,PER,young people
282,781,781,PRON,PER,us
135,786,788,PROP,PER,Leslie M. Kantor
288,790,792,NOM,PER,"PhD , MPH"
289,794,794,NOM,PER,professor
290,800,804,NOM,GPE,Urban - Global Public Health
11,806,807,PROP,ORG,Rutgers School
12,808,810,PROP,FAC,of Public Health
13,812,812,PROP,GPE,Newark
14,814,814,PROP,GPE,NJ
291,816,826,NOM,PER,"former vice president of education , Planned Parenthood Federation of America"
15,828,829,PROP,GPE,New York
16,831,831,PROP,GPE,NY
292,852,852,NOM,PER,youth
283,854,854,NOM,PER,families
287,868,869,NOM,PER,young people
287,880,880,PRON,PER,their
136,900,901,PROP,PER,Melanie Davis
295,905,905,NOM,PER,PhD
282,911,911,PRON,PER,Our
296,911,915,NOM,PER,Our Whole Lives program manager
17,917,919,PROP,ORG,Unitarian Universalist Association
1,921,921,PROP,GPE,Boston
10,923,923,PROP,GPE,MA
297,926,926,PRON,PER,you
297,935,935,PRON,PER,your
298,935,936,NOM,PER,your child
297,943,943,PRON,PER,you
299,952,954,NOM,PER,an invaluable friend
300,961,961,PRON,PER,it
300,966,966,PRON,PER,Its
301,979,980,NOM,PER,diverse families
133,989,989,PROP,PER,Harris
134,991,991,PROP,PER,Emberley
302,994,996,NOM,PER,a young person
285,1034,1034,NOM,PER,teens
275,1037,1037,NOM,PER,parents
137,1045,1046,PROP,PER,Angela Diaz
138,1052,1053,PROP,PER,Jean C.
139,1055,1058,PROP,PER,James W. Crystal Professor
305,1060,1066,NOM,ORG,Departments of Pediatrics and of Preventative Medicine
18,1068,1071,PROP,ORG,Icahn School of Medicine
19,1073,1074,PROP,FAC,Mount Sinai
306,1076,1076,NOM,PER,director
20,1078,1082,PROP,FAC,Mount Sinai Adolescent Health Center
15,1084,1085,PROP,GPE,New York
16,1087,1087,PROP,GPE,NY
21,1094,1094,PROP,GPE,America
307,1094,1104,NOM,PER,America ’s preteens and teens in every community across our nation
308,1103,1103,PRON,PER,our
309,1103,1104,NOM,LOC,our nation
307,1116,1116,PRON,PER,they
310,1140,1142,NOM,PER,every young person
308,1149,1149,PRON,PER,our
311,1149,1150,NOM,PER,our youth
311,1167,1167,PRON,PER,them
311,1171,1171,PRON,PER,they
140,1180,1182,PROP,PER,Marc H. Morial
312,1188,1192,NOM,ORG,"National Urban League , Inc."
15,1194,1195,PROP,GPE,New York
16,1197,1197,PROP,GPE,NY
284,1206,1206,NOM,PER,preteens
314,1208,1208,NOM,PER,teenagers
307,1210,1210,PRON,PER,they
275,1237,1237,NOM,PER,parents
316,1239,1239,NOM,PER,teachers
0,1258,1258,PRON,PER,I
317,1260,1261,NOM,PER,every child
318,1264,1264,NOM,PER,parent
141,1273,1274,PROP,PER,Penelope Leach
295,1276,1276,NOM,PER,PhD
320,1280,1280,PRON,PER,Your
321,1283,1283,NOM,PER,Child
322,1285,1286,NOM,PER,Children First
22,1288,1288,PROP,GPE,London
23,1290,1290,PROP,GPE,England
323,1294,1295,NOM,PER,the Reader
324,1300,1300,PRON,PER,It
0,1310,1310,PRON,PER,I
325,1318,1318,PRON,PER,we
326,1324,1325,NOM,PER,older kids
284,1327,1327,NOM,PER,preteens
285,1329,1329,NOM,PER,teens
329,1332,1332,NOM,PER,adults
325,1345,1345,PRON,PER,us
320,1354,1354,PRON,PER,you
325,1362,1362,PRON,PER,We
325,1368,1368,PRON,PER,our
320,1380,1380,PRON,PER,you
271,1392,1392,NOM,PER,kids
285,1394,1394,NOM,PER,teens
325,1408,1408,PRON,PER,we
332,1414,1414,NOM,PER,experts
275,1417,1417,NOM,PER,parents
316,1419,1419,NOM,PER,teachers
335,1421,1421,NOM,PER,librarians
336,1423,1423,NOM,PER,doctors
337,1425,1425,NOM,PER,nurses
338,1427,1427,NOM,PER,psychologists
339,1429,1429,NOM,PER,psychoanalysts
340,1431,1431,NOM,PER,scientists
341,1434,1434,NOM,PER,clergy
320,1459,1459,PRON,PER,you
325,1487,1487,PRON,PER,we
342,1489,1489,PRON,PER,them
325,1495,1495,PRON,PER,we
320,1536,1536,PRON,PER,you
343,1555,1555,NOM,PER,others
325,1557,1557,PRON,PER,we
325,1573,1573,PRON,PER,We
320,1578,1578,PRON,PER,you
320,1603,1603,PRON,PER,you
320,1605,1605,PRON,PER,your
320,1610,1610,PRON,PER,your
344,1610,1611,NOM,PER,your friends
320,1614,1614,PRON,PER,your
345,1614,1615,NOM,PER,your family
325,1629,1629,PRON,PER,we
325,1641,1641,PRON,PER,We
340,1644,1644,NOM,PER,scientists
347,1646,1647,NOM,PER,health professionals
320,1700,1700,PRON,PER,you
320,1720,1720,PRON,PER,you
348,1726,1727,NOM,PER,a parent
349,1729,1729,NOM,PER,doctor
350,1731,1731,NOM,PER,nurse
351,1733,1733,NOM,PER,teacher
352,1735,1736,NOM,PER,school counselor
353,1738,1738,NOM,PER,therapist
354,1741,1741,NOM,PER,clergyperson
355,1745,1747,NOM,PER,even more kids
356,1773,1774,NOM,LOC,the world
357,1777,1779,NOM,GPE,the United States
358,1781,1783,NOM,GPE,the United Kingdom
24,1785,1785,PROP,GPE,Denmark
25,1787,1788,PROP,GPE,the Netherlands
26,1790,1790,PROP,GPE,Germany
27,1792,1792,PROP,GPE,Italy
28,1794,1794,PROP,GPE,Spain
29,1796,1796,PROP,GPE,Poland
30,1798,1798,PROP,GPE,Japan
31,1800,1800,PROP,GPE,China
32,1802,1802,PROP,GPE,Mongolia
33,1804,1805,PROP,GPE,South Africa
34,1808,1808,PROP,GPE,Australia
359,1810,1810,PRON,PER,We
359,1813,1813,PRON,PER,our
360,1820,1820,PRON,PER,you
359,1825,1825,PRON,PER,We
360,1831,1831,PRON,PER,you
360,1833,1833,PRON,PER,your
344,1833,1834,NOM,PER,your friends
360,1844,1844,PRON,PER,you
133,1856,1858,PROP,PER,Robie H. Harris
142,1860,1865,PROP,PER,Michael Ernberley Perfectly Normal Changing Bodies
133,1877,1879,PROP,PER,ROBIE H. HARRIS
362,1882,1896,PROP,PER,MICHAEL EMBERLEY Candlewick Press Contents INTRODUCTION Lots of Questions PART TWO Our Bodies Changing Bodies
363,1910,1912,NOM,PER,The Human Body
359,1923,1923,PRON,PER,OUR
364,1944,1944,PRON,PER,Babies
271,1946,1946,NOM,PER,Kids
284,1948,1948,NOM,PER,Preteens
367,1950,1951,NOM,PER,2 Teens
368,1953,1961,NOM,PER,Grown - ups SEX AND GENDER 2 Making Babies
359,1979,1979,PRON,PER,We
143,2019,2020,PROP,PER,the Sperm
360,2044,2044,PRON,PER,YOUR
144,2095,2095,PROP,PER,Babies
369,2097,2100,NOM,PER,All Sorts of Families
370,2105,2107,NOM,PER,BABIES AND KIDS
371,2113,2114,NOM,GPE,THE CELL
145,2118,2118,PROP,PER,CHROMOSOMES
372,2154,2157,NOM,PER,A BABY AND FAMILY
360,2170,2170,PRON,PER,YOU
373,2174,2174,PRON,PER,It
374,2211,2218,NOM,PER,"flBlllW^ Changing Bodies , Growing Up , Sex"
271,2238,2238,NOM,PER,kids
376,2273,2273,NOM,PER,humans
377,2276,2277,NOM,PER,a baby
377,2282,2283,NOM,PER,a baby
377,2287,2288,NOM,PER,a baby
380,2297,2298,NOM,PER,Most kids
380,2312,2312,PRON,PER,them
380,2314,2314,PRON,PER,their
271,2328,2328,NOM,PER,kids
271,2338,2338,PRON,PER,their
283,2353,2353,NOM,PER,families
383,2355,2355,NOM,PER,babies
380,2390,2391,NOM,PER,Most kids
360,2414,2414,PRON,PER,You
360,2454,2454,PRON,PER,you
360,2462,2462,PRON,PER,yourself
360,2469,2469,PRON,PER,yourself
360,2471,2471,PRON,PER,you
360,2480,2480,PRON,PER,your
385,2504,2505,NOM,PER,1 Babies
271,2507,2507,NOM,PER,Kids
284,2509,2509,NOM,PER,Preteens
388,2511,2518,NOM,PER,"Teens , Grown - ups Sex and Gender"
271,2542,2542,NOM,PER,kids
360,2546,2546,PRON,PER,You
360,2554,2554,PRON,PER,you
390,2575,2575,NOM,PER,people
0,2620,2620,PRON,PER,I
383,2632,2632,NOM,PER,babies
360,2647,2647,PRON,PER,you
360,2676,2676,PRON,PER,you
392,2709,2717,NOM,PER,"female or mate , into which most living things"
376,2730,2730,NOM,PER,humans
376,2747,2747,PRON,PER,they
360,2804,2804,PRON,PER,you
394,2842,2843,NOM,PER,Most people
395,2850,2852,NOM,PER,a new baby
396,2863,2864,NOM,PER,the parent
275,2866,2866,NOM,PER,parents
398,2871,2872,NOM,PER,the baby
377,2878,2879,NOM,PER,a baby
400,2883,2883,NOM,PER,someone
401,2892,2893,NOM,PER,a girl
402,2900,2901,NOM,PER,a boy
271,2910,2910,NOM,PER,kids
271,2917,2917,PRON,PER,they
404,2921,2923,NOM,PER,a new kid
404,2926,2926,PRON,PER,their
405,2926,2927,NOM,PER,their class
402,2933,2934,NOM,PER,a boy
401,2936,2937,NOM,PER,a girl
271,2941,2941,NOM,PER,kids
271,2946,2946,PRON,PER,they
409,2951,2952,NOM,PER,a person
410,2959,2959,NOM,PER,girl
411,2963,2963,NOM,PER,boy
412,2977,2978,NOM,PER,most babies
396,2992,2993,NOM,PER,the parent
349,2995,2995,NOM,PER,doctor
350,2997,2997,NOM,PER,nurse
416,3000,3000,NOM,PER,midwife
417,3009,3010,NOM,PER,that baby
398,3017,3018,NOM,PER,the baby
411,3022,3022,NOM,PER,boy
417,3027,3028,NOM,PER,that baby
398,3035,3036,NOM,PER,the baby
410,3040,3040,NOM,PER,girl
423,3045,3047,NOM,PER,not all people
383,3052,3052,NOM,PER,babies
425,3061,3071,NOM,PER,Most babies are born with either a vagina or a penis
426,3073,3087,NOM,PER,Some babies are born with a mixture of male body parts and female body parts
427,3090,3096,NOM,PER,a person is born with that mixture
427,3098,3098,PRON,PER,their
390,3119,3119,NOM,PER,people
390,3129,3129,PRON,PER,they
409,3133,3134,NOM,PER,a person
430,3144,3144,PRON,PER,our
430,3159,3159,PRON,PER,us
430,3164,3164,PRON,PER,we
401,3167,3168,NOM,PER,a girl
402,3170,3171,NOM,PER,a boy
433,3174,3175,NOM,PER,a man
434,3177,3178,NOM,PER,a woman
435,3194,3197,NOM,PER,neither male nor female
436,3199,3200,NOM,PER,Many people
410,3204,3204,NOM,PER,girl
411,3206,3206,NOM,PER,boy
439,3209,3209,NOM,PER,man
440,3211,3211,NOM,PER,woman
436,3216,3216,PRON,PER,they
441,3220,3221,NOM,PER,other people
441,3232,3232,PRON,PER,they
441,3238,3238,PRON,PER,they
441,3248,3248,PRON,PER,they
441,3251,3251,PRON,PER,They
441,3257,3257,PRON,PER,they
441,3265,3265,PRON,PER,they
441,3272,3272,PRON,PER,they
442,3276,3279,NOM,PER,neither female nor male
441,3282,3282,PRON,PER,they
443,3290,3292,NOM,PER,girl or boy
444,3294,3296,NOM,PER,man or woman
441,3305,3305,PRON,PER,they
441,3308,3309,NOM,PER,Other people
441,3316,3316,PRON,PER,their
441,3319,3319,PRON,PER,They
441,3331,3331,PRON,PER,they
377,3334,3335,NOM,PER,A baby
377,3345,3346,NOM,PER,a baby
448,3364,3365,NOM,GPE,some states
449,3367,3367,NOM,GPE,cities
448,3377,3377,PRON,PER,their
450,3389,3390,NOM,GPE,those states
449,3392,3392,NOM,GPE,cities
448,3418,3418,PRON,PER,their
452,3418,3419,NOM,PER,their baby
453,3426,3431,NOM,PER,Parents in these states and cities
454,3428,3429,NOM,GPE,these states
449,3431,3431,NOM,GPE,cities
453,3438,3438,PRON,PER,their
456,3438,3439,NOM,PER,their child
453,3443,3443,PRON,PER,their
453,3451,3451,PRON,PER,their
456,3451,3452,NOM,PER,their child
458,3456,3464,NOM,PER,Older children in some of these states and cities
