start_token,end_token,supersense_category,text
12,12,noun.location,Gender
37,38,noun.location,Boston Globe
65,68,noun.group,New York Public Library
77,78,noun.location,New York
79,81,noun.group,Times Book Review
94,95,noun.group,Publishers Weekly
102,102,noun.time,Year
103,105,noun.group,A School Library
111,111,noun.time,Year
115,115,noun.communication,guide
118,118,noun.person,adolescents
119,120,verb.change,setting sail
124,124,noun.object,seas
126,126,noun.time,puberty
130,132,noun.group,School Library Journal
135,135,noun.communication,review
152,152,noun.cognition,review
165,166,noun.group,Publishers Weekly
169,169,noun.communication,review
179,179,noun.act,sex
180,180,noun.communication,books
182,183,verb.change,come along
186,186,noun.group,age
187,187,noun.group,group
191,191,noun.location,Bulletin
194,196,noun.group,Center for Children
198,198,noun.communication,Books
203,203,noun.cognition,review
208,208,noun.communication,teaching
209,209,noun.artifact,tool
213,213,verb.social,help
214,214,verb.social,slow
216,216,noun.event,spread
219,219,noun.state,disease
221,221,noun.state,ignorance
229,229,noun.cognition,review
233,233,noun.communication,book
235,235,verb.stative,serve
239,239,noun.cognition,tool
242,242,noun.act,sex
243,243,noun.act,education
244,244,noun.communication,curriculum
249,250,noun.group,Horn Book
253,253,noun.communication,review
270,270,noun.person,child
272,272,verb.emotion,enjoy
274,274,noun.artifact,art
281,281,noun.person,reader
283,283,verb.contact,seek
284,284,noun.communication,definitions
286,286,noun.attribute,privacy
288,288,noun.person,Preadolescents
290,290,verb.social,test
292,292,noun.Tops,knowledge
295,295,noun.Tops,adolescents
297,297,verb.possession,give
300,300,noun.communication,smirk
303,303,verb.cognition,learning
309,309,verb.cognition,know
312,312,noun.state,survival
316,321,noun.group,Hie New York Times Book Review
324,324,noun.group,family
327,327,noun.communication,guide
331,331,noun.person,kids
333,333,verb.communication,asked
336,336,noun.act,sex
340,340,verb.stative,were
343,343,verb.communication,answer
352,352,noun.communication,information
354,354,verb.possession,provided
358,358,noun.cognition,mechanics
361,361,noun.phenomenon,consequences
363,363,noun.time,puberty
365,366,noun.state,sexual activity
368,369,noun.act,birth control
371,371,noun.state,pregnancy
376,376,noun.state,diseases
391,391,verb.communication,recommended
393,393,verb.communication,talking
395,395,noun.act,way
401,401,noun.communication,interrogation
406,406,noun.person,kids
408,408,verb.creation,devise
412,416,noun.group,Los Angeles Times Book Review
422,422,noun.communication,compendium
424,424,verb.stative,includes
432,432,noun.communication,information
435,435,verb.communication,explained
443,443,noun.artifact,art
444,444,verb.communication,depicting
445,445,noun.group,people
448,448,noun.group,races
450,450,noun.cognition,cultures
452,452,noun.attribute,sizes
455,455,noun.attribute,ages
459,460,noun.location,San Francisco
469,469,verb.cognition,answers
474,474,noun.communication,questions
476,476,noun.act,sex
494,494,noun.communication,humor
499,501,noun.group,Press - Enterprise
503,504,noun.location,Riverside County
506,506,noun.location,California
508,508,noun.communication,Conversations
510,510,noun.person,kids
512,512,noun.act,sex
513,513,verb.stative,are
519,519,noun.person,parents
522,522,noun.act,surgery
527,529,noun.person,Robie H. Harris
531,531,verb.change,made
544,544,noun.communication,book
547,547,noun.time,ages
552,552,verb.stative,is
561,561,noun.location,USA
566,566,noun.group,EXPERTS
572,572,verb.possession,gives
574,574,noun.person,children
576,576,noun.state,chance
578,578,verb.cognition,read
583,583,noun.cognition,view
587,587,noun.body,bodies
590,590,noun.communication,text
592,592,noun.artifact,pictures
594,594,verb.possession,give
597,597,noun.state,chance
599,599,verb.cognition,understand
601,601,verb.cognition,value
605,605,verb.communication,recommend
608,608,noun.person,parents
610,610,noun.person,children
613,613,noun.person,adolescents
617,617,verb.emotion,love
622,624,noun.person,T. Berry Brazelton
626,626,noun.location,MD
628,628,noun.person,founder
630,632,noun.group,Brazelton Touchpoints Center
634,637,noun.group,Boston Children ’s Hospital
640,641,noun.person,Joshua Sparrow
645,645,noun.person,co
647,647,noun.person,authors
649,649,noun.location,Touchpoints
651,651,noun.location,Birth
653,653,noun.location,Iltree
655,655,noun.location,Touchpoints
657,659,noun.group,Three to Six
661,661,noun.location,Boston
663,663,noun.location,MA
673,673,noun.person,Harris
675,675,noun.person,Emberley
677,677,noun.communication,books
680,680,noun.person,children
682,682,verb.stative,are
687,687,noun.artifact,tools
690,690,verb.social,promote
691,691,noun.group,family
692,692,noun.communication,communication
695,695,noun.cognition,topics
698,698,noun.state,sexuality
701,701,verb.cognition,know
703,703,noun.act,research
706,706,noun.group,families
707,707,verb.communication,communicate
712,712,noun.state,health
713,713,noun.communication,topics
715,715,noun.person,preteens
717,717,noun.person,teens
718,718,verb.social,make
720,720,noun.act,decisions
727,727,verb.social,spur
728,728,noun.person,parentchild
729,729,noun.communication,communication
732,732,noun.cognition,topics
734,734,noun.time,puberty
736,736,noun.act,sex
738,738,noun.state,relationships
740,741,noun.state,sexual orientation
743,744,noun.state,gender identity
747,747,noun.quantity,more
750,750,noun.time,today
752,752,noun.group,world
756,756,noun.group,people
758,758,verb.contact,bombarded
760,760,noun.communication,messages
763,763,noun.communication,sources
770,770,noun.attribute,age
776,776,noun.communication,book
777,777,verb.stative,is
779,779,noun.possession,gift
786,788,noun.person,Leslie M. Kantor
790,790,noun.communication,PhD
792,792,noun.group,MPH
794,794,noun.person,professor
796,796,noun.artifact,chair
798,804,noun.group,Department of Urban - Global Public Health
806,810,noun.group,Rutgers School of Public Health
812,812,noun.location,Newark
814,814,noun.location,NJ
817,818,noun.person,vice president
820,820,noun.act,education
822,826,noun.group,Planned Parenthood Federation of America
828,829,noun.location,New York
831,831,noun.location,NY
837,837,verb.stative,remains
848,848,noun.attribute,resources
850,850,verb.communication,talking
852,852,noun.group,youth
854,854,noun.group,families
856,856,noun.act,sex
858,858,noun.communication,gender
860,860,noun.state,relationships
863,863,noun.cognition,values
866,866,noun.communication,conversations
867,867,verb.social,help
869,869,noun.group,people
870,870,verb.cognition,learn
873,873,verb.cognition,make
877,877,noun.cognition,choices
879,879,verb.stative,live
881,881,noun.state,lives
883,883,noun.state,integrity
887,888,noun.group,Perfectly Normal
889,889,verb.stative,is
892,892,noun.communication,catalyst
894,894,verb.change,start
896,896,noun.communication,conversations
900,901,noun.person,Melanie Davis
903,903,noun.person,MEd
905,905,noun.group,PhD
907,907,noun.group,CSC
909,909,noun.group,CSE
912,913,noun.group,Whole Lives
914,914,noun.cognition,program
915,915,noun.person,manager
917,919,noun.group,Unitarian Universalist Association
921,921,noun.location,Boston
923,923,noun.location,MA
929,929,verb.communication,found
933,933,verb.communication,talk
936,936,noun.person,child
938,938,noun.act,sex
944,944,verb.communication,find
949,949,noun.communication,book
951,951,verb.stative,be
954,954,noun.person,friend
957,957,noun.attribute,quality
960,960,noun.communication,information
962,962,verb.contact,provides
963,963,verb.stative,is
967,967,noun.communication,language
969,969,noun.communication,illustrations
970,970,verb.communication,speak
976,976,noun.attribute,manner
978,978,verb.communication,present
980,980,noun.group,families
983,983,noun.group,relationships
987,987,noun.group,bodies
989,989,noun.person,Harris
991,991,noun.person,Emberley
992,992,verb.communication,cover
996,996,noun.person,person
999,999,verb.cognition,know
1002,1002,noun.state,health
1004,1004,verb.stative,including
1008,1008,verb.consumption,use
1010,1010,noun.artifact,Internet
1012,1012,verb.possession,providing
1013,1013,noun.cognition,strategies
1015,1015,verb.possession,finding
1017,1017,noun.communication,information
1019,1019,noun.act,ways
1021,1021,verb.social,prevent
1023,1023,noun.state,hazards
1025,1025,noun.artifact,Internet
1026,1026,noun.act,use
1030,1031,verb.communication,draw in
1032,1032,noun.communication,tweens
1034,1034,noun.person,teens
1037,1037,noun.person,parents
1040,1040,verb.social,engage
1045,1046,noun.person,Angela Diaz
1048,1048,noun.person,MD
1050,1050,noun.location,MPH
1052,1053,noun.location,Jean C.
1055,1058,noun.person,James W. Crystal Professor
1060,1066,noun.group,Departments of Pediatrics and of Preventative Medicine
1068,1071,noun.group,Icahn School of Medicine
1073,1074,noun.location,Mount Sinai
1076,1076,noun.person,director
1078,1082,noun.group,Mount Sinai Adolescent Health Center
1084,1085,noun.location,New York
1087,1087,noun.location,NY
1094,1094,noun.location,America
1096,1096,noun.person,preteens
1098,1098,noun.person,teens
1101,1101,noun.group,community
1104,1104,noun.group,nation
1105,1105,verb.stative,need
1111,1111,noun.cognition,information
1114,1114,noun.state,health
1117,1117,verb.social,go
1118,1118,verb.perception,through
1123,1123,noun.act,downs
1125,1125,noun.time,puberty
1127,1127,noun.time,adolescence
1133,1133,verb.stative,is
1138,1138,noun.communication,book
1142,1142,noun.person,person
1148,1148,verb.communication,educates
1150,1150,noun.group,youth
1152,1152,noun.attribute,sexuality
1159,1159,noun.attribute,manner
1163,1164,verb.social,shy away
1166,1166,verb.possession,giving
1170,1170,noun.communication,information
1173,1174,verb.contact,looking for
1176,1176,verb.consumption,need
1180,1182,noun.person,Marc H. Morial
1184,1184,noun.person,president
1186,1186,noun.person,CEO
1188,1190,noun.group,National Urban League
1192,1192,noun.location,Inc.
1194,1195,noun.location,New York
1197,1197,noun.location,NY
1203,1203,noun.communication,book
1205,1205,verb.communication,tells
1206,1206,noun.person,preteens
1208,1208,noun.person,teenagers
1213,1213,verb.cognition,know
1215,1215,noun.act,sex
1217,1218,verb.communication,turning off
1223,1224,verb.contact,turning on
1230,1230,verb.communication,offending
1233,1233,noun.cognition,values
1235,1235,noun.cognition,sensibilities
1237,1237,noun.person,parents
1239,1239,noun.person,teachers
1245,1245,verb.stative,is
1259,1259,verb.emotion,wish
1261,1261,noun.person,child
1264,1264,noun.person,parent
1267,1267,verb.possession,have
1269,1269,noun.communication,copy
1273,1274,noun.person,Penelope Leach
1278,1278,noun.person,author
1285,1286,noun.person,Children First
1288,1288,noun.location,London
1290,1290,noun.location,England
1292,1292,noun.communication,Note
1304,1304,verb.stative,was
1311,1311,verb.creation,published
1315,1315,noun.time,years
1322,1323,verb.communication,talking with
1325,1325,noun.person,kids
1327,1327,noun.person,preteens
1329,1329,noun.person,teens
1332,1332,noun.person,adults
1335,1335,noun.communication,information
1337,1337,noun.state,issues
1340,1340,noun.communication,book
1344,1344,verb.possession,given
1347,1347,noun.state,chance
1349,1349,verb.cognition,learn
1351,1351,noun.quantity,more
1357,1357,verb.cognition,know
1359,1360,verb.change,stay healthy
1363,1363,verb.stative,are
1367,1367,verb.possession,share
1375,1375,noun.communication,edition
1378,1378,noun.communication,book
1383,1383,noun.communication,edition
1384,1384,verb.stative,is
1391,1391,noun.communication,information
1392,1392,noun.person,kids
1394,1394,noun.person,teens
1397,1397,verb.cognition,know
1399,1399,verb.change,stay
1406,1406,noun.time,years
1411,1411,verb.stative,continued
1413,1413,verb.communication,ask
1414,1414,noun.person,experts
1417,1417,noun.person,parents
1419,1419,noun.person,teachers
1421,1421,noun.person,librarians
1423,1423,noun.person,doctors
1425,1425,noun.person,nurses
1427,1427,noun.person,psychologists
1429,1429,noun.person,psychoanalysts
1431,1431,noun.person,scientists
1434,1434,noun.group,clergy
1437,1437,noun.communication,information
1439,1439,noun.time,puberty
1441,1441,noun.act,sex
1443,1444,noun.state,sexual health
1447,1447,noun.communication,gender
1451,1451,verb.change,changed
1453,1453,verb.change,updated
1456,1456,verb.change,added
1458,1458,verb.stative,keep
1463,1463,noun.relation,changes
1466,1466,noun.communication,text
1469,1469,noun.artifact,art
1470,1470,verb.stative,are
1473,1473,verb.change,make
1475,1475,noun.communication,book
1488,1488,verb.change,make
1493,1493,noun.communication,edition
1497,1497,verb.change,updated
1502,1502,noun.communication,information
1505,1505,verb.change,added
1507,1507,noun.communication,information
1509,1509,noun.cognition,facts
1511,1511,noun.communication,gender
1513,1513,noun.process,reproduction
1515,1516,noun.act,birth control
1518,1518,noun.act,abortion
1520,1521,noun.act,sexual abuse
1523,1525,noun.state,sexually transmitted diseases
1530,1530,noun.cognition,topics
1537,1537,verb.consumption,use
1538,1539,noun.artifact,cell phones
1541,1541,noun.artifact,tablets
1544,1544,noun.artifact,computers
1546,1546,verb.motion,go
1549,1549,verb.possession,find
1550,1550,noun.communication,information
1553,1553,verb.communication,communicate
1559,1559,verb.change,added
1561,1561,noun.cognition,information
1563,1563,noun.cognition,facts
1566,1566,noun.attribute,benefits
1568,1568,noun.act,risks
1570,1570,verb.stative,being
1574,1574,verb.cognition,believe
1577,1577,verb.social,help
1579,1579,verb.consumption,use
1583,1583,verb.possession,find
1596,1596,noun.communication,information
1599,1599,noun.state,health
1602,1602,verb.social,help
1604,1604,verb.competition,protect
1611,1611,noun.person,friends
1615,1615,noun.group,family
1617,1617,noun.state,privacy
1620,1620,noun.state,safety
1623,1623,verb.creation,writing
1625,1625,verb.creation,illustrating
1627,1627,noun.communication,book
1630,1630,verb.perception,checked
1632,1632,verb.communication,rechecked
1635,1635,noun.communication,information
1639,1639,noun.act,research
1642,1642,verb.cognition,learned
1644,1644,noun.person,scientists
1646,1646,noun.state,health
1647,1647,noun.person,professionals
1649,1649,noun.Tops,knowledge
1652,1652,noun.communication,subject
1655,1655,verb.change,evolving
1657,1657,verb.change,changing
1663,1663,noun.communication,agreement
1666,1666,verb.stative,is
1669,1669,noun.state,disagreement
1673,1673,noun.communication,questions
1675,1675,verb.stative,remain
1679,1679,noun.event,time
1682,1682,noun.communication,information
1685,1685,noun.communication,book
1686,1686,verb.stative,is
1701,1701,verb.possession,have
1703,1703,noun.communication,questions
1705,1705,verb.consumption,need
1707,1707,noun.communication,information
1713,1713,verb.stative,be
1717,1717,verb.communication,talk
1721,1721,verb.cognition,know
1724,1724,verb.social,trust
1727,1727,noun.person,parent
1729,1729,noun.person,doctor
1731,1731,noun.person,nurse
1733,1733,noun.person,teacher
1735,1735,noun.group,school
1736,1736,noun.person,counselor
1738,1738,noun.person,therapist
1741,1741,noun.person,clergyperson
1743,1743,noun.time,Today
1747,1747,noun.person,kids
1748,1748,verb.possession,have
1750,1750,noun.state,chance
1752,1752,verb.cognition,read
1761,1761,verb.communication,translated
1763,1763,noun.quantity,more
1768,1768,noun.communication,languages
1771,1771,verb.cognition,read
1774,1774,noun.object,world
1778,1779,noun.location,United States
1782,1783,noun.location,United Kingdom
