COREF,start_token,end_token,prop,cat,text
110,11,11,PROP,PER,Anderson
1968,20,20,NOM,PER,readers
1969,25,27,NOM,PER,an isolated teenager
110,33,33,PROP,PER,Anderson
1970,42,43,NOM,PER,the heroine
1970,45,45,PRON,PER,her
1968,49,49,NOM,PER,readers
111,64,64,PROP,PER,Melinda
1968,72,72,NOM,PER,readers
1968,100,100,NOM,PER,readers
111,117,117,PROP,PER,Melinda
111,129,129,PRON,PER,she
111,131,131,PRON,PER,her
111,148,148,PROP,PER,Melinda
111,158,158,PRON,PER,her
1968,169,169,NOM,PER,readers
1975,212,213,NOM,PER,the characters
1968,225,225,NOM,PER,readers
111,237,237,PROP,PER,Melinda
1968,244,244,NOM,PER,readers
111,249,249,PRON,PER,her
1968,264,264,NOM,PER,readers
1968,268,268,PRON,PER,them
1,275,277,PROP,FAC,School Library Journal
2,295,296,PROP,FAC,Library Journal
1979,329,329,PRON,PER,yourself
112,347,349,PROP,PER,Edgar Allan Poe
3,353,354,PROP,GPE,Los Angeles
307,373,414,NOM,PER,Young Adults An ALA Quick Pick A Publishers Weekly Best Book of the Year A Booklist Top Ten First Novel of the Year A BCCB Blue Ribbon Book A School Library Journal Best Book of the Year A Horn Book Fanfare Title
0,443,443,PRON,PER,I
308,446,447,NOM,PER,four kids
0,470,470,PRON,PER,my
0,475,475,PRON,PER,my
0,493,493,PRON,PER,my
0,495,495,PRON,PER,I
0,500,500,PRON,PER,I
111,504,504,PROP,PER,Melinda
0,510,510,PRON,PER,me
0,512,512,PRON,PER,I
0,518,518,PRON,PER,my
0,523,523,PRON,PER,I
0,535,535,PRON,PER,I
309,549,549,PRON,PER,you
0,555,555,PRON,PER,I
310,561,566,NOM,PER,half a million high school students
0,570,570,PRON,PER,I
0,583,583,PRON,PER,I
0,592,592,PRON,PER,my
311,595,601,NOM,PER,readers who identify with Melinda ’s struggle
111,599,599,PROP,PER,Melinda
309,603,603,PRON,PER,You
309,610,610,PRON,PER,You
312,613,617,NOM,PER,more adults who will listen
0,619,619,PRON,PER,I
309,634,634,PRON,PER,you
309,636,636,PRON,PER,your
313,646,648,NOM,PER,The real heroes
309,652,652,PRON,PER,you
314,653,666,NOM,PER,who have reached down deep — past fear and shame and depression and rage
309,674,674,PRON,PER,your
0,677,677,PRON,PER,I
315,686,686,PRON,PER,her
316,691,692,NOM,PER,a Woman
113,694,695,PROP,PER,Maya Angelou
0,715,715,PRON,PER,I
317,724,727,NOM,PER,a generation of readers
317,733,733,PRON,PER,their
309,739,739,PRON,PER,You
0,746,746,PRON,PER,me
0,748,748,PRON,PER,my
0,752,752,PRON,PER,I
309,757,757,PRON,PER,you
309,767,767,PRON,PER,You
318,770,770,PRON,PER,us
4,772,772,PROP,GPE,Houston
5,774,774,PROP,GPE,Brooklyn
6,776,776,PROP,GPE,Peoria
7,778,778,PROP,GPE,Rye
8,780,780,PROP,GPE,NY
9,782,782,PROP,GPE,LA
10,784,784,PROP,GPE,DC
11,786,787,PROP,LOC,Everyanywhere USA
0,789,789,PRON,PER,my
319,789,790,NOM,FAC,my mailbox
0,792,792,PRON,PER,My
320,799,799,NOM,PER,bffs
111,804,804,PROP,PER,Melinda
0,806,806,PRON,PER,Me
309,808,808,PRON,PER,You
0,810,810,PRON,PER,I
0,832,832,PRON,PER,i
0,835,835,PRON,PER,i
0,838,838,PRON,PER,i
321,842,842,PRON,PER,he
0,848,848,PRON,PER,i
321,850,850,PRON,PER,him
0,851,851,PRON,PER,i
321,856,856,PRON,PER,him
321,858,858,PRON,PER,He
0,860,860,PRON,PER,my
322,860,864,NOM,PER,my best friend ’s brother
0,866,866,PRON,PER,my
323,866,867,NOM,PER,my grandfather
324,869,869,NOM,PER,father
325,871,871,NOM,PER,mommy
326,871,873,NOM,PER,mommy ’s boyfriend
0,875,875,PRON,PER,my
327,875,880,NOM,PER,my date my cousin my coach
0,877,877,PRON,PER,my
328,877,878,NOM,PER,my cousin
0,879,879,PRON,PER,my
329,879,880,NOM,PER,my coach
0,881,881,PRON,PER,i
321,883,883,PRON,PER,him
330,892,893,NOM,PER,four guys
0,899,899,PRON,PER,i
331,901,902,NOM,PER,a boy
0,907,907,PRON,PER,me
0,912,912,PRON,PER,I
0,915,915,PRON,PER,I
0,918,918,PRON,PER,my
332,918,919,NOM,PER,my daughter
333,929,929,PRON,PER,you
114,933,933,PROP,PER,U2
333,935,935,PRON,PER,You
0,937,937,PRON,PER,i
0,943,943,PRON,PER,my
334,943,944,NOM,PER,my dad
0,948,948,PRON,PER,i
0,953,953,PRON,PER,my
335,953,954,NOM,PER,my brother
0,959,959,PRON,PER,i
0,964,964,PRON,PER,my
336,964,965,NOM,PER,my parents
0,970,970,PRON,PER,i
337,975,975,PRON,PER,we
337,977,977,PRON,PER,our
338,977,978,NOM,FAC,our house
0,981,981,PRON,PER,i
0,990,990,PRON,PER,i
0,992,992,PRON,PER,myself
0,993,993,PRON,PER,my
339,993,994,NOM,PER,my friends
337,996,996,PRON,PER,we
0,1009,1009,PRON,PER,my
340,1009,1015,NOM,PER,my 5 - year - old cousin
340,1019,1019,PRON,PER,he
341,1030,1030,PRON,PER,you
341,1036,1036,PRON,PER,you
340,1040,1040,PRON,PER,him
115,1042,1042,PROP,PER,Yow
111,1044,1044,PROP,PER,Melinda
342,1049,1050,NOM,PER,this girl
0,1051,1051,PRON,PER,I
342,1054,1054,PRON,PER,she
0,1060,1060,PRON,PER,me
0,1062,1062,PRON,PER,i
116,1064,1064,PROP,PER,MelindaSarah
0,1065,1065,PRON,PER,i
0,1068,1068,PRON,PER,i
117,1070,1070,PROP,PER,MelindaMegan
118,1074,1074,PROP,PER,MateoKristinaBeth
0,1086,1086,PRON,PER,my
0,1091,1091,PRON,PER,I
341,1096,1096,PRON,PER,your
0,1099,1099,PRON,PER,my
341,1102,1102,PRON,PER,You
0,1105,1105,PRON,PER,I
0,1108,1108,PRON,PER,I
0,1112,1112,PRON,PER,I
0,1115,1115,PRON,PER,I
0,1122,1122,PRON,PER,I
343,1125,1126,NOM,PER,the girl
341,1128,1128,PRON,PER,you
344,1131,1132,NOM,PER,that girl
0,1134,1134,PRON,PER,I
344,1137,1137,PRON,PER,her
345,1139,1139,NOM,PER,nobody
344,1142,1142,PRON,PER,her
0,1146,1146,PRON,PER,I
346,1148,1149,NOM,PER,a cheerleader
0,1156,1156,PRON,PER,my
0,1159,1159,PRON,PER,my
0,1162,1162,PRON,PER,me
0,1167,1167,PRON,PER,me
0,1172,1172,PRON,PER,my
0,1174,1174,PRON,PER,i
0,1180,1180,PRON,PER,my
0,1182,1182,PRON,PER,i
0,1186,1186,PRON,PER,I
341,1190,1190,PRON,PER,You
0,1192,1192,PRON,PER,me
0,1195,1195,PRON,PER,I
347,1201,1201,PRON,PER,Our
348,1201,1202,NOM,PER,Our class
0,1212,1212,PRON,PER,Me
0,1214,1214,PRON,PER,Me
0,1216,1216,PRON,PER,Me
110,1247,1247,PROP,PER,Laurie
349,1257,1264,PROP,PER,LAURIE HALSE ANDERSON SQUARE FISH FARRAR STRAUS GIROUX
12,1265,1266,PROP,GPE,NEW YORK
0,1267,1267,PRON,PER,I
0,1272,1272,PRON,PER,my
350,1277,1284,NOM,PER,the people who read drafts of this story
0,1287,1287,PRON,PER,me
13,1292,1298,PROP,FAC,the Bucks County Children ’s Writers Group
119,1300,1301,PROP,PER,Marnie Brooks
120,1303,1304,PROP,PER,Hillary Homzie
121,1306,1307,PROP,PER,Joanne Puglia
122,1309,1310,PROP,PER,Stephanie Anderson
123,1312,1313,PROP,PER,Meredith Anderson
124,1316,1317,PROP,PER,Elizabeth Mikesell
351,1319,1323,NOM,PER,a talented and compassionate editor
352,1326,1326,PRON,PER,you
352,1329,1329,PRON,PER,you
14,1331,1332,PROP,FAC,SQUARE FISH
125,1336,1337,PROP,PER,Macmillan SPEAK
110,1343,1345,PROP,PER,Laurie Haise Anderson
353,1356,1360,NOM,GPE,the United States of America
15,1363,1363,PROP,GPE,Robbinsville
15,1365,1365,PROP,GPE,Robbinsville
16,1367,1367,PROP,GPE,NJ
14,1373,1374,PROP,FAC,Square Fish
17,1377,1378,PROP,FAC,Fifth Avenue
12,1380,1381,PROP,GPE,New York
8,1383,1383,PROP,GPE,NY
14,1386,1387,PROP,FAC,Square Fish
125,1396,1396,PROP,PER,Macmillan
125,1407,1407,PROP,PER,Macmillan
110,1418,1418,PROP,PER,Anderson
110,1420,1421,PROP,PER,Laurie Haise
0,1424,1424,PRON,PER,I
110,1425,1427,PROP,PER,Laurie Haise Anderson
111,1448,1448,PROP,PER,Melinda
354,1453,1454,NOM,ORG,high school
355,1469,1470,NOM,FAC,High schools
356,1494,1494,PRON,PER,I.
18,1509,1511,PROP,GPE,the United States
19,1513,1518,PROP,FAC,Farrar Straus Giroux First Square Fish
126,1533,1535,PROP,PER,Filomena Tuosto macteenbooks.com
127,1553,1554,PROP,PER,Sandy Bernstein
0,1558,1558,PRON,PER,me
0,1560,1560,PRON,PER,my
0,1565,1565,PRON,PER,my
357,1565,1566,NOM,PER,my husband
128,1568,1568,PROP,PER,Greg
0,1584,1584,PRON,PER,my
0,1591,1591,PRON,PER,I
0,1599,1599,PRON,PER,I
358,1606,1608,NOM,VEH,The school bus
0,1611,1611,PRON,PER,my
0,1618,1618,PRON,PER,I
0,1622,1622,PRON,PER,I
359,1624,1629,NOM,PER,the first pickup of the day
360,1631,1632,NOM,PER,The driver
0,1639,1639,PRON,PER,I
0,1649,1649,PRON,PER,I
0,1658,1658,PRON,PER,I
361,1664,1665,NOM,PER,a stranger
0,1670,1670,PRON,PER,me
0,1673,1673,PRON,PER,I
0,1682,1682,PRON,PER,me
362,1685,1687,NOM,PER,a little kid
0,1690,1690,PRON,PER,I
0,1697,1697,PRON,PER,I
363,1704,1707,NOM,PER,one of my friends
0,1706,1706,PRON,PER,my
339,1706,1707,NOM,PER,my friends
339,1712,1712,PRON,PER,them
0,1718,1718,PRON,PER,me
365,1721,1722,NOM,VEH,The bus
366,1725,1731,NOM,PER,students in groups of four or five
366,1734,1734,PRON,PER,they
367,1737,1738,NOM,FAC,the aisle
368,1740,1751,NOM,PER,people who were my middle - school lab partners or gym buddies
0,1743,1743,PRON,PER,my
369,1743,1748,NOM,PER,my middle - school lab partners
370,1750,1751,NOM,PER,gym buddies
0,1754,1754,PRON,PER,me
0,1756,1756,PRON,PER,I
0,1758,1758,PRON,PER,my
0,1764,1764,PRON,PER,I
371,1770,1770,PRON,PER,we
0,1776,1776,PRON,PER,I
372,1778,1782,NOM,PER,the only person sitting alone
360,1784,1785,NOM,PER,The driver
371,1789,1789,PRON,PER,us
374,1791,1792,NOM,LOC,the hills
375,1800,1804,NOM,PER,the guys in the back
376,1809,1809,NOM,PER,Someone
0,1816,1816,PRON,PER,I
0,1820,1820,PRON,PER,my
377,1831,1834,NOM,PER,A guy behind me
0,1834,1834,PRON,PER,me
377,1836,1836,PRON,PER,his
0,1846,1846,PRON,PER,my
0,1852,1852,PRON,PER,my
371,1860,1860,PRON,PER,We
378,1862,1862,NOM,PER,janitors
379,1870,1872,NOM,FAC,the high school
380,1874,1875,NOM,ORG,The school
381,1874,1876,NOM,PER,The school board
20,1881,1888,PROP,FAC,Merryweather 3 High — Home of the Trojans
1980,1887,1888,NOM,PER,the Trojans
381,1899,1899,PRON,PER,they
371,1902,1902,PRON,PER,us
382,1904,1906,NOM,PER,the Blue Devils
383,1911,1911,PRON,PER,you
383,1916,1916,PRON,PER,you
0,1920,1920,PRON,PER,I
384,1942,1943,NOM,PER,Older students
385,1953,1953,NOM,PER,ninthgraders
386,1957,1958,NOM,FAC,the auditorium
371,1960,1960,PRON,PER,We
387,1965,1965,NOM,PER,Jocks
388,1967,1968,NOM,PER,Country Clubbers
389,1970,1971,NOM,PER,Idiot Savants
390,1973,1973,NOM,PER,Cheerleaders
391,1975,1976,NOM,PER,Human Waste
392,1980,1983,NOM,PER,Future Fascists of America
21,1983,1983,PROP,GPE,America
129,1985,1987,PROP,PER,Big Hair Chix
130,1989,1990,PROP,PER,the Marthas
393,1997,1997,NOM,PER,Goths
0,2001,2001,PRON,PER,I
0,2005,2005,PRON,PER,I
0,2016,2016,PRON,PER,I
394,2021,2022,NOM,FAC,the mall
395,2024,2025,NOM,LOC,the lake
396,2028,2029,NOM,FAC,the pool
0,2036,2036,PRON,PER,I
354,2039,2040,NOM,FAC,high school
0,2055,2055,PRON,PER,I
398,2059,2059,NOM,PER,anyone
0,2064,2064,PRON,PER,I
0,2074,2074,PRON,PER,my
399,2074,2077,NOM,PER,my ex - friends
400,2079,2079,PRON,PER,Our
401,2079,2080,NOM,PER,Our clan
131,2082,2084,PROP,PER,the Plain Janes
402,2095,2096,NOM,PER,rival factions
132,2098,2098,PROP,PER,Nicole
