start_token,end_token,supersense_category,text
9,9,noun.communication,novel
11,11,noun.person,Anderson
12,12,verb.consumption,uses
14,14,noun.cognition,observations
17,17,noun.cognition,imagery
19,19,verb.contact,pull
20,20,noun.person,readers
23,23,noun.body,head
27,27,noun.person,teenager
33,33,noun.person,Anderson
34,34,verb.change,infuses
36,36,noun.communication,narrative
39,39,noun.communication,wit
41,41,verb.emotion,sustains
43,43,noun.person,heroine
46,46,noun.feeling,pain
48,48,verb.stative,holds
49,49,noun.person,readers
51,51,noun.feeling,empathy
58,58,noun.communication,book
62,62,noun.communication,realism
64,64,noun.person,Melinda
69,69,noun.process,metamorphosis
71,71,verb.communication,leave
72,72,noun.person,readers
73,73,verb.emotion,touched
79,80,noun.group,Publishers Weekly
82,83,noun.group,Starred Review
89,89,noun.communication,book
93,93,verb.contact,plumbs
95,95,noun.state,darkness
97,97,noun.communication,Speak
99,99,verb.cognition,hold
100,100,noun.person,readers
103,103,noun.communication,word
113,114,noun.group,Starred Review
117,117,noun.person,Melinda
119,119,noun.attribute,voice
120,120,verb.stative,is
130,130,verb.communication,recounts
132,132,noun.time,past
135,135,noun.event,experiences
143,143,noun.communication,vignettes
148,148,noun.person,Melinda
151,151,noun.communication,wit
153,153,noun.attribute,honesty
156,156,noun.attribute,courage
157,157,verb.change,make
161,161,noun.person,character
164,164,noun.feeling,triumph
166,166,verb.emotion,inspire
168,168,verb.emotion,empower
169,169,noun.person,readers
182,182,noun.cognition,look
185,185,noun.attribute,cruelty
187,187,noun.feeling,viciousness
189,189,verb.stative,pervade
193,194,noun.group,high school
195,195,noun.state,life
200,200,noun.time,today
202,202,noun.communication,headlines
208,208,noun.communication,plot
209,209,verb.stative,is
213,213,noun.cognition,characters
216,216,verb.emotion,drawn
219,219,noun.communication,novel
222,222,verb.stative,be
225,225,noun.person,readers
227,227,verb.cognition,forget
234,235,noun.group,Pointer Review
237,237,noun.person,Melinda
239,239,noun.state,pain
240,240,verb.stative,is
244,244,noun.person,readers
247,247,verb.cognition,empathize
252,252,verb.stative,is
255,255,noun.communication,book
261,261,noun.act,writing
263,263,verb.contact,draws
264,264,noun.person,readers
267,267,verb.change,engulfing
271,271,noun.communication,story
275,277,noun.group,School Library Journal
280,280,noun.communication,story
281,281,verb.communication,told
