COREF,start_token,end_token,prop,cat,text
70,14,18,PROP,PER,CHARLIE stephen chbosky Ki BOO
1,23,24,PROP,GPE,New York
2,23,51,PROP,GPE,"New York London Toronto Sydney New Delhi Kt BOO < S G Gallery Books A Division of Simon & Schuster , Inc. 1230 Avenue of the Americas New York"
3,25,25,PROP,GPE,London
4,26,26,PROP,GPE,Toronto
5,27,27,PROP,GPE,Sydney
219,28,42,NOM,PER,New Delhi Kt BOO < S G Gallery Books A Division of Simon & Schuster
6,48,49,PROP,LOC,the Americas
1,50,51,PROP,GPE,New York
220,75,76,NOM,PER,the author
221,92,96,NOM,PER,"persons , living or dead"
71,106,107,PROP,PER,Steve Chbosky
222,108,109,NOM,PER,A PERSON
72,117,118,PROP,PER,Dr. Earl
223,122,122,NOM,PER,author
222,125,126,NOM,PER,A PERSON
223,139,139,NOM,PER,author
226,160,165,NOM,ORG,a division of Viacom International Inc.
7,195,198,PROP,FAC,Avenue of the Americas
6,197,198,PROP,LOC,the Americas
1,200,201,PROP,GPE,New York
8,209,210,PROP,FAC,Gallery Books
73,240,242,PROP,PER,Simon & Schuster
227,256,261,NOM,PER,The Simon & Schuster Speakers Bureau
228,264,264,NOM,PER,authors
229,266,266,PRON,PER,your
227,279,284,NOM,PER,the Simon & Schuster Speakers Bureau
231,295,295,PRON,PER,our
232,298,298,NOM,PER,www.simonspeakers.com
74,303,304,PROP,PER,Stacy Drummond
75,306,307,PROP,PER,Tracy Boychuk
74,310,311,PROP,PER,Stacy Drummond
76,314,315,PROP,PER,Jason Stang
9,318,322,PROP,GPE,the United States of America
10,332,334,PROP,FAC,Library of Congress
0,381,381,PRON,PER,my
233,381,382,NOM,PER,my family
0,385,385,PRON,PER,my
233,385,386,NOM,PER,my family
77,389,389,PROP,PER,Liz
78,391,391,PROP,PER,Maccie
79,394,395,PROP,PER,Theo Chbosky
0,398,398,PRON,PER,I
235,414,414,PRON,PER,them
0,417,417,PRON,PER,I
235,419,419,PRON,PER,them
0,423,423,PRON,PER,my
80,426,431,PROP,PER,Greer Kessel Hendricks Heather Neely Lea
81,433,433,PROP,PER,Fred
82,436,441,PROP,PER,Stacy Chbosky Robbie Thompson Christopher McQuarrie
