start_token,end_token,supersense_category,text
3,3,verb.stative,being
7,7,noun.time,ANNIVERSARY
12,12,noun.communication,LETTER
14,16,noun.person,CHARLIE stephen chbosky
23,24,noun.location,New York
25,26,noun.location,London Toronto
27,31,noun.location,Sydney New Delhi Kt BOO
33,36,noun.location,S G Gallery Books
40,42,noun.group,Simon & Schuster
46,49,noun.location,Avenue of the Americas
50,51,noun.location,New York
56,56,noun.communication,book
57,57,verb.stative,is
59,59,noun.artifact,work
61,61,noun.communication,fiction
63,63,noun.communication,Names
65,65,noun.communication,characters
67,67,noun.location,places
70,70,noun.event,incidents
72,72,verb.stative,are
73,73,noun.artifact,products
76,76,noun.person,author
78,78,noun.cognition,imagination
81,81,verb.consumption,used
85,85,noun.attribute,resemblance
88,88,noun.event,events
90,90,noun.communication,locales
92,92,noun.person,persons
98,98,verb.stative,is
102,102,noun.communication,Copyright
106,107,noun.person,Steve Chbosky
112,112,noun.group,PAPER
115,115,noun.communication,PROMISE
117,119,noun.person,Dr. Earl Reum
120,120,verb.consumption,used
122,122,noun.person,author
124,124,noun.communication,permission
129,129,noun.communication,PAPER
135,136,noun.person,Patrick Comeaux
137,137,verb.consumption,used
139,139,noun.person,author
141,141,noun.communication,permission
142,144,noun.group,MTV Music Television
148,148,noun.communication,titles
150,150,noun.communication,logos
153,153,noun.communication,characters
154,154,verb.stative,are
155,155,noun.possession,trademarks
157,158,noun.group,MTV Networks
161,161,noun.group,division
163,165,noun.group,Viacom International Inc.
167,167,noun.communication,rights
170,170,verb.stative,including
172,172,noun.attribute,right
174,174,verb.creation,reproduce
176,176,noun.communication,book
178,178,noun.artifact,portions
182,182,noun.communication,form
187,187,noun.communication,address
195,198,noun.location,Avenue of the Americas
200,201,noun.location,New York
203,203,noun.location,NY
206,207,noun.group,MTV Books
209,210,noun.group,Gallery Books
211,212,noun.communication,trade paperback
213,213,noun.communication,edition
214,214,noun.time,August
216,217,noun.group,GALLERY BOOKS
219,219,noun.artifact,colophon
220,220,verb.stative,are
222,222,noun.communication,trademarks
224,226,noun.group,Simon & Schuster
230,230,noun.communication,information
233,233,noun.act,discounts
235,235,noun.possession,bulk
236,236,noun.possession,purchases
239,239,verb.communication,contact
240,240,noun.person,Simon
254,254,noun.act,business@simonandschuster.com
257,261,noun.group,Simon & Schuster Speakers Bureau
263,263,verb.motion,bring
264,264,noun.person,authors
268,268,noun.event,event
272,272,noun.cognition,information
275,275,verb.communication,book
277,277,noun.event,event
278,278,verb.social,contact
280,280,noun.person,Simon
282,284,noun.group,Schuster Speakers Bureau
294,294,verb.social,visit
296,296,noun.communication,website
300,300,noun.artifact,Art
301,301,noun.act,direction
303,304,noun.person,Stacy Drummond
306,307,noun.person,Tracy Boychuk
310,311,noun.person,Stacy Drummond
314,315,noun.person,Jason Stang
316,316,verb.creation,Manufactured
319,322,noun.location,United States of America
332,334,noun.group,Library of Congress
335,335,verb.creation,Cataloging
341,341,verb.stative,is
378,378,noun.communication,ebook
382,382,noun.group,family
386,386,noun.group,family
388,389,noun.person,For Liz
391,391,noun.person,Maccie
394,395,noun.person,Theo Chbosky
402,402,verb.communication,say
406,406,verb.communication,listed
410,410,verb.stative,be
412,412,noun.communication,book
418,418,verb.communication,thank
424,424,noun.cognition,heart
426,431,noun.person,Greer Kessel Hendricks Heather Neely Lea
433,433,noun.person,Fred
436,437,noun.person,Stacy Chbosky
438,460,noun.person,Robbie Thompson Christopher McQuarrie Margaret Mehring Stewart Stern Kate Degenhart Mark McClain Wilson David Wilcox Kate Ward Tim Perell Jack Horner Eduardo Braniff
465,467,noun.person,Dr. Earl Reum
469,469,verb.creation,writing
472,472,noun.communication,poem
