COREF,start_token,end_token,prop,cat,text
1,7,10,PROP,LOC,Avenue of the Americas
2,11,12,PROP,GPE,New York
213,20,21,PROP,PER,Alice Sebold
214,40,40,PROP,PER,SCRIBNER
215,46,48,PROP,PER,Jossey - Bass
216,56,58,PROP,PER,Simon 6- Schuster
472,60,64,NOM,PER,the publisher of this work
217,68,69,PROP,PER,Colin J
3,73,73,PROP,GPE,Caledonia
4,76,79,PROP,GPE,the United States of
5,80,80,PROP,GPE,America
6,84,86,PROP,ORG,Library of Congress
213,99,100,PROP,PER,Alice Sebold
213,109,109,PROP,PER,Alice
4,116,117,PROP,GPE,United States
473,165,165,PRON,PER,their
0,168,168,PRON,PER,I
474,176,182,NOM,PER,the people who appear in these pages
475,188,193,NOM,FAC,the tunnel where I was raped
0,191,191,PRON,PER,I
476,195,205,NOM,FAC,a tunnel that was once an underground entry to an amphitheater
477,204,205,NOM,FAC,an amphitheater
478,207,219,NOM,FAC,a place where actors burst forth from underneath the seats of a crowd
479,210,210,NOM,PER,actors
480,218,219,NOM,PER,a crowd
481,221,222,NOM,PER,a girl
0,229,229,PRON,PER,I
482,235,236,NOM,PER,the police
482,241,241,PRON,PER,they
0,244,244,PRON,PER,I
0,253,253,PRON,PER,I
0,255,255,PRON,PER,I
483,261,263,NOM,PER,the dead girl
0,265,265,PRON,PER,I
484,268,273,NOM,PER,"the large , beefy police officers"
0,275,275,PRON,PER,my
485,275,280,NOM,PER,my stunned freshman - year girlfriends
483,282,284,NOM,PER,The dead girl
0,286,286,PRON,PER,I
8,295,295,PROP,GPE,WeKad
0,309,309,PRON,PER,my
0,325,325,PRON,PER,I
483,328,330,NOM,PER,the dead girl
0,332,332,PRON,PER,I
483,335,335,PRON,PER,her
0,338,338,PRON,PER,I
483,344,344,PRON,PER,her
483,351,351,PRON,PER,her
488,359,363,NOM,PER,the man who killed her
483,363,363,PRON,PER,her
483,371,371,PRON,PER,herself
483,385,385,PRON,PER,she
3573,398,399,NOM,PER,the assailant
483,404,404,PRON,PER,she
488,408,408,PRON,PER,his
483,412,412,PRON,PER,her
483,414,414,PRON,PER,herself
0,416,416,PRON,PER,I
0,424,424,PRON,PER,I
483,433,433,PRON,PER,hers
0,448,448,PRON,PER,I
483,453,453,PRON,PER,her
0,455,455,PRON,PER,I
0,463,463,PRON,PER,I
481,467,468,NOM,PER,a girl
481,474,474,PRON,PER,her
0,482,482,PRON,PER,I
0,485,485,PRON,PER,My
0,490,490,PRON,PER,I
488,496,496,PRON,PER,he
0,498,498,PRON,PER,me
0,503,503,PRON,PER,my
488,506,506,PRON,PER,He
488,512,512,PRON,PER,I
0,515,515,PRON,PER,you
0,517,517,PRON,PER,you
0,521,521,PRON,PER,I
488,527,527,PRON,PER,you
488,531,531,PRON,PER,you
488,533,533,PRON,PER,you
0,538,538,PRON,PER,I
0,540,540,PRON,PER,my
0,543,543,PRON,PER,My
0,548,548,PRON,PER,my
488,551,551,PRON,PER,his
0,556,556,PRON,PER,me
0,558,558,PRON,PER,my
488,563,563,PRON,PER,his
488,566,566,PRON,PER,He
488,568,568,PRON,PER,his
0,571,571,PRON,PER,my
0,574,574,PRON,PER,I
488,585,585,PRON,PER,He
0,587,587,PRON,PER,my
488,591,591,PRON,PER,He
0,593,593,PRON,PER,me
0,598,598,PRON,PER,my
0,602,602,PRON,PER,I
0,608,608,PRON,PER,You
3574,614,614,NOM,PER,bitch
488,616,616,PRON,PER,I
0,619,619,PRON,PER,you
488,621,621,PRON,PER,I
488,627,627,PRON,PER,I
