start_token,end_token,supersense_category,text
1,5,noun.group,Alice Sebold SCRIBNER A SCRIBNER
7,10,noun.location,Avenue of the Americas
11,12,noun.location,New York
14,14,noun.location,NY
26,26,verb.stative,including
28,28,noun.attribute,right
30,30,noun.communication,reproduction
38,38,noun.communication,form
40,40,noun.person,SCRIBNER
42,42,noun.act,design
43,43,verb.stative,are
44,44,noun.communication,trademarks
52,52,verb.consumption,used
54,54,noun.communication,license
56,58,noun.person,Simon 6- Schuster
61,61,noun.person,publisher
64,64,noun.artifact,work
68,69,noun.person,Colin J
73,74,noun.group,Caledonia Manufactured
77,78,noun.location,United States
80,80,noun.location,America
84,87,noun.group,Library of Congress Cataloging
91,93,noun.group,Publication Data Sebold
95,95,noun.person,Alice
99,100,noun.person,Alice Sebold
107,107,noun.person,Sebold
109,109,noun.person,Alice
114,114,noun.person,victims
116,117,noun.location,United States
120,120,noun.communication,studies
124,124,noun.act,Trials
126,127,noun.group,Rape)—United States
130,130,noun.act,studies
166,166,noun.attribute,privacy
170,170,verb.change,changed
172,172,noun.communication,names
177,177,noun.group,people
179,179,verb.change,appear
182,182,noun.communication,pages
189,189,noun.artifact,tunnel
193,193,verb.contact,raped
196,196,noun.artifact,tunnel
198,198,verb.stative,was
202,202,noun.artifact,entry
205,205,noun.artifact,amphitheater
208,208,noun.location,place
210,210,noun.person,actors
211,212,verb.motion,burst forth
216,216,noun.artifact,seats
219,219,noun.group,crowd
222,222,noun.person,girl
225,225,verb.social,murdered
227,227,verb.body,dismembered
231,231,verb.communication,told
233,233,noun.communication,story
236,236,noun.group,police
242,242,verb.communication,said
245,245,verb.stative,was
251,251,noun.time,time
254,254,verb.emotion,felt
256,256,verb.possession,had
257,257,noun.quantity,more
263,263,noun.person,girl
272,273,noun.person,police officers
277,277,noun.person,freshman
279,279,noun.time,year
280,280,noun.person,girlfriends
284,284,noun.person,girl
288,288,verb.stative,bebn
293,293,noun.location,place
295,295,noun.location,WeKad
296,296,verb.contact,lain
299,299,noun.plant,dead
300,300,noun.plant,leaves
303,304,noun.artifact,beer bottles
308,308,noun.act,rape
310,310,noun.body,eye
311,311,verb.contact,caught
315,315,noun.plant,leaves
317,317,noun.substance,glass
321,322,noun.artifact,hair tie
326,326,verb.cognition,heard
330,330,noun.person,girl
334,334,verb.creation,imagine
336,336,verb.communication,pleading
342,342,verb.cognition,wondered
345,345,noun.body,hair
348,348,verb.contact,pulled
352,352,noun.body,hair
353,353,noun.artifact,tie
357,357,verb.stative,was
360,360,noun.person,man
362,362,verb.contact,killed
365,365,verb.social,done
370,370,verb.social,save
373,373,noun.state,pain
376,376,noun.time,moment
378,378,verb.cognition,thinking
380,380,verb.emotion,hoping
387,387,verb.possession,have
389,389,noun.attribute,luxury
391,391,verb.cognition,reflect
394,394,noun.cognition,ramifications
397,397,verb.social,assisting
399,399,noun.person,assailant
409,409,noun.communication,urging
411,411,verb.contact,undone
413,413,noun.body,hair
419,419,verb.cognition,know
427,427,verb.cognition,know
430,430,noun.body,hair
431,431,noun.artifact,tie
432,432,verb.stative,was
440,440,noun.plant,leaves
442,442,verb.change,made
451,452,verb.cognition,think of
456,457,verb.cognition,think of
460,461,noun.artifact,hair tie
465,466,verb.cognition,think of
468,468,noun.person,girl
472,472,noun.time,moments
475,475,noun.time,life
477,477,noun.communication,CHAPTER
480,480,verb.stative,is
483,483,verb.cognition,remember
486,486,noun.body,lips
488,488,verb.contact,cut
491,492,verb.contact,bit down
497,497,verb.contact,grabbed
502,502,verb.contact,covered
504,504,noun.body,mouth
507,507,verb.communication,said
509,509,noun.communication,words
514,514,verb.contact,kill
518,518,verb.communication,scream
522,522,verb.change,remained
528,528,verb.cognition,understand
532,532,verb.communication,scream
539,539,verb.communication,nodded
541,541,noun.body,head
544,544,noun.body,arms
546,546,verb.contact,pinned
549,549,noun.body,sides
552,552,noun.body,right
553,553,noun.body,arm
554,554,verb.contact,wrapped
559,559,noun.body,mouth
561,561,verb.contact,covered
564,564,noun.body,left
567,567,verb.contact,released
569,569,noun.body,hand
572,572,noun.body,mouth
575,575,verb.communication,screamed
582,582,noun.act,struggle
583,583,verb.change,began
586,586,verb.contact,covered
588,588,noun.body,mouth
592,592,verb.contact,kneed
596,596,noun.body,back
599,599,noun.body,legs
604,605,verb.motion,fall down
614,614,noun.person,bitch
618,618,verb.contact,kill
623,623,verb.possession,got
625,625,noun.artifact,knife
629,629,verb.contact,kill
634,634,verb.contact,released
636,636,verb.contact,grip
639,639,noun.body,mouth
643,643,verb.motion,fell
645,645,verb.communication,screaming
649,649,noun.substance,brick
650,650,noun.object,path
653,653,verb.contact,straddled
656,656,verb.contact,kicked
660,660,noun.body,side
663,663,verb.creation,made
664,664,noun.attribute,sounds
667,667,verb.stative,were
668,668,noun.quantity,nothing
671,671,verb.stative,were
673,673,noun.body,footfalls
676,676,verb.communication,urged
681,681,verb.creation,made
686,686,verb.motion,scrambled
689,689,noun.object,path
693,693,verb.body,wearing
697,697,noun.animal,moccasins
701,701,verb.social,tried
703,703,verb.motion,land
705,705,noun.act,kicks
707,707,noun.person,Everything
708,708,verb.motion,missed
711,711,verb.contact,grazed
717,717,verb.competition,fought
721,721,verb.cognition,chosen
724,724,noun.artifact,gym
731,731,verb.cognition,remember
735,736,verb.social,made it
740,740,noun.body,feet
743,743,verb.cognition,remember
744,744,verb.contact,biting
747,747,verb.contact,pushing
753,753,verb.cognition,know
758,758,verb.change,began
760,760,verb.motion,run
764,764,noun.animal,giant
766,766,verb.stative,is
771,772,verb.contact,reached out
774,774,verb.contact,grabbed
776,776,noun.location,end
781,781,noun.body,hair
784,784,verb.contact,yanked
788,788,verb.contact,brought
793,793,noun.body,knees
800,800,verb.stative,was
804,804,noun.act,escape
807,807,noun.body,hair
810,810,noun.person,woman
813,813,noun.body,hair
817,817,verb.communication,asked
824,824,verb.communication,said
828,828,verb.change,began
830,830,verb.communication,beg
833,833,verb.contact,reached
837,837,noun.body,back
838,838,noun.artifact,pocket
840,841,verb.contact,draw out
843,843,noun.artifact,knife
846,846,verb.contact,struggled
850,850,noun.body,hair
851,852,verb.change,coming out
856,856,noun.body,skull
859,859,verb.social,did
863,863,verb.contact,rip
868,868,noun.act,grip
871,871,verb.motion,lunged
874,874,verb.contact,grabbed
877,877,noun.body,leg
880,880,noun.body,arms
882,882,verb.contact,throwing
885,885,noun.state,balance
887,887,verb.change,making
889,889,noun.act,Lucky
891,891,verb.motion,stagger
896,896,verb.cognition,know
900,900,noun.group,police
901,901,verb.possession,found
906,906,noun.plant,grass
910,910,noun.quantity,feet
915,915,noun.artifact,glasses
920,920,noun.act,move
923,923,noun.artifact,knife
924,924,verb.motion,fell
927,927,noun.body,hands
929,929,verb.stative,was
930,930,verb.possession,lost
934,934,verb.stative,was
935,935,noun.person,fists
939,939,verb.stative,was
943,943,noun.event,loss
946,946,noun.artifact,weapon
950,950,noun.act,disobedience
954,954,noun.motive,reason
957,957,verb.communication,marked
959,959,noun.event,end
962,962,noun.time,preliminaries
965,965,verb.stative,was
968,968,noun.object,ground
971,971,noun.body,stomach
974,974,verb.contact,sat
977,977,noun.body,back
980,980,verb.contact,pounded
982,982,noun.body,skull
985,985,noun.artifact,brick
988,988,verb.communication,cursed
992,992,verb.motion,turned
996,996,verb.contact,sat
999,999,noun.body,chest
1003,1003,verb.communication,babbling
1007,1007,verb.communication,begging
1010,1010,verb.stative,is
1013,1013,verb.contact,wrapped
1015,1015,noun.body,hands
1018,1018,noun.body,neck
1020,1020,verb.change,began
1022,1022,verb.contact,squeeze
1026,1026,noun.time,second
1029,1029,verb.possession,lost
1030,1030,noun.cognition,consciousness
1034,1034,verb.motion,came
1038,1038,verb.cognition,knew
1041,1041,verb.perception,staring
1045,1045,noun.body,eyes
1048,1048,noun.person,man
1051,1051,verb.contact,kill
1056,1056,noun.time,moment
1058,1058,verb.communication,signed
1071,1071,verb.stative,live
1076,1076,verb.competition,fight
1083,1083,verb.social,do
1086,1086,verb.emotion,wanted
1091,1091,verb.stative,was
1095,1096,verb.change,slowed down
1099,1100,verb.motion,stood up
1102,1102,verb.change,began
1103,1103,verb.contact,dragging
1107,1107,noun.plant,grass
1110,1110,noun.body,hair
1113,1113,verb.motion,twisted
1116,1116,verb.motion,crawled
1118,1118,verb.social,trying
1120,1122,verb.competition,keep up with
1129,1129,verb.perception,seen
1132,1132,noun.artifact,entrance
1135,1135,noun.artifact,amphitheater
1136,1136,noun.artifact,tunnel
1139,1139,noun.artifact,path
1143,1143,verb.motion,neared
1148,1148,verb.cognition,realized
1150,1150,verb.stative,was
1152,1152,noun.location,destination
1155,1155,noun.act,rush
1157,1157,noun.feeling,fear
1158,1158,verb.motion,ran
1163,1163,verb.cognition,knew
1166,1166,verb.change,die
1169,1169,verb.stative,was
1172,1172,noun.substance,iron
1173,1173,noun.artifact,fence
1176,1176,noun.quantity,feet
1180,1180,noun.artifact,tunnel
1181,1181,noun.artifact,entrance
1184,1184,verb.stative,was
1186,1186,noun.quantity,feet
1189,1189,verb.possession,provided
1192,1192,noun.location,space
1198,1198,verb.motion,walk
1202,1202,verb.motion,enter
1204,1204,noun.artifact,tunnel
1208,1208,verb.contact,dragged
1213,1213,verb.motion,scrambled
1216,1216,noun.plant,grass
1219,1220,verb.perception,caught sight
1223,1223,noun.artifact,fence
1225,1225,verb.change,became
1231,1231,verb.motion,brought
1235,1235,noun.state,point
1240,1240,verb.stative,survive
1244,1244,noun.time,moment
1248,1248,verb.contact,dragged
1252,1252,noun.object,ground
1255,1255,verb.contact,clung
1259,1259,noun.location,bottom
1262,1262,noun.substance,iron
1263,1263,noun.artifact,fence
1268,1268,noun.act,pull
1269,1269,verb.contact,yanked
1273,1273,noun.group,People
1274,1274,verb.cognition,think
1276,1276,noun.person,woman
1277,1277,verb.stative,stops
1278,1278,verb.competition,fighting
1281,1281,verb.stative,is
1290,1290,verb.change,begin
1293,1293,noun.act,fight
1296,1296,noun.act,fight
1298,1298,noun.communication,words
1300,1300,noun.communication,lies
1303,1303,noun.body,brain
1306,1306,noun.group,people
1307,1308,verb.communication,talk about
1309,1309,verb.motion,climbing
1311,1311,noun.object,mountain
1313,1313,verb.motion,riding
1315,1315,noun.substance,water
1318,1318,verb.communication,say
1320,1320,verb.change,became
1326,1326,noun.body,bodies
1336,1336,verb.communication,asked
1338,1338,verb.communication,articulate
1347,1347,verb.communication,explain
1351,1351,noun.artifact,tunnel
1355,1356,noun.artifact,beer bottles
1359,1359,noun.plant,leaves
1362,1363,noun.person,Alice Sebold
