COREF,start_token,end_token,prop,cat,text
164,6,7,PROP,PER,MEGAN McCafferty
1,10,11,PROP,GPE,NEW YORK
496,36,37,NOM,PER,the author
2,47,49,PROP,LOC,the United States
497,54,61,NOM,ORG,an imprint of St. Martin ’s Publishing Group
3,57,61,PROP,FAC,St. Martin ’s Publishing Group
164,69,70,PROP,PER,Megan McCafferty
498,86,90,NOM,LOC,the United States of America
4,90,90,PROP,GPE,America
3,96,100,PROP,FAC,St. Martin ’s Publishing Group
5,103,103,PROP,GPE,Broadway
1,105,106,PROP,GPE,New York
6,116,119,PROP,ORG,The Library of Congress
499,158,158,PRON,PER,Our
500,176,176,PRON,PER,your
501,176,178,NOM,PER,your local bookseller
502,180,186,NOM,ORG,the Macmillan Corporate and Premium Sales Department
2,208,210,PROP,LOC,the United States
7,214,216,PROP,FAC,Three Rivers Press
503,218,224,NOM,ORG,an imprint of the Crown Publishing Group
504,226,230,NOM,ORG,a division of Random House
8,229,230,PROP,FAC,Random House
1,234,235,PROP,GPE,New York
9,254,256,PROP,FAC,CHRISTOPHER Sloppy Firsts
165,269,270,PROP,PER,Jessica Darling
505,272,282,NOM,PER,"a precocious , sexually curious , fast - talking teenage girl"
10,293,293,PROP,GPE,Schools
506,294,295,NOM,GPE,the country
507,298,299,NOM,FAC,the towers
508,316,316,NOM,GPE,country
509,320,326,NOM,GPE,A place that had felt so safe
4,328,328,PROP,GPE,America
510,330,330,NOM,FAC,home
511,345,345,NOM,PER,teens
511,347,347,PRON,PER,their
508,351,351,NOM,GPE,country
513,356,356,PRON,PER,we
511,369,369,NOM,PER,Teens
511,379,379,PRON,PER,they
511,390,390,PRON,PER,them
515,393,393,PRON,PER,you
515,397,397,PRON,PER,you
165,407,407,PROP,PER,Jessica
513,410,410,PRON,PER,we
0,412,412,PRON,PER,I
166,416,417,PROP,PER,Ms. Darling
0,418,418,PRON,PER,my
0,427,427,PRON,PER,me
0,429,429,PRON,PER,I
165,434,434,PROP,PER,Jessica
516,438,445,NOM,PER,This overly average girl who was anything but
513,448,448,PRON,PER,our
517,448,449,NOM,PER,our queen
167,450,451,PROP,PER,Judy Blume
164,453,454,PROP,PER,Megan McCafferty
518,456,465,NOM,PER,a young woman who is unafraid of her own sexuality
518,463,463,PRON,PER,her
519,479,480,NOM,ORG,high school
518,494,494,PRON,PER,her
518,499,499,PRON,PER,She
520,504,507,NOM,PER,a high school girl
168,524,525,PROP,PER,Marcus Flutie
165,527,527,PROP,PER,Jessica
168,529,529,PROP,PER,Marcus
168,531,531,PROP,PER,Marcus
165,533,533,PROP,PER,Jessica
521,535,542,NOM,PER,The most perfect teenage boyfriend of all time
522,545,547,NOM,PER,the biggest fuckup
0,549,549,PRON,PER,I
0,552,552,PRON,PER,I
523,560,583,NOM,PER,"The stoner kid who needs Jessica ’s pee ( literally ) , and who ends up being her greatest teacher and her greatest love"
165,565,565,PROP,PER,Jessica
165,577,577,PRON,PER,her
165,581,581,PRON,PER,her
524,590,590,PRON,PER,we
524,609,609,PRON,PER,we
524,620,620,PRON,PER,We
165,627,627,PROP,PER,Jessica
168,647,647,PROP,PER,Marcus
165,649,649,PROP,PER,Jessica
525,663,663,PRON,PER,they
526,666,667,NOM,PER,each other
525,672,672,PRON,PER,they
525,682,682,PRON,PER,they
165,692,693,PROP,PER,Jessica Darling
527,698,698,NOM,PER,adults
524,702,702,PRON,PER,us
524,713,713,PRON,PER,We
528,732,736,NOM,PER,"Sloppy Firsts , Second Helpings"
529,745,746,NOM,PER,Perfect Fifths
524,748,748,PRON,PER,we
165,751,752,PROP,PER,Jessica Darling
524,760,760,PRON,PER,We
530,762,763,NOM,LOC,the world
165,766,766,PRON,PER,her
165,768,768,PRON,PER,She
1,771,772,PROP,GPE,New York
531,774,780,NOM,GPE,a city on the brink of rehabilitation
165,782,782,PRON,PER,She
165,793,793,PRON,PER,She
165,799,799,PRON,PER,Her
165,819,820,PROP,PER,Jessica Darling
532,842,842,PRON,PER,you
533,845,846,NOM,PER,a character
534,863,864,NOM,PER,the reader
530,871,872,NOM,LOC,the world
524,874,874,PRON,PER,we
524,879,879,PRON,PER,ourselves
524,882,882,PRON,PER,we
165,884,884,PROP,PER,Jessica
165,886,886,PRON,PER,she
536,888,895,NOM,PER,a teenage girl uncomfortable in her own skin
165,893,893,PRON,PER,her
524,898,898,PRON,PER,we
165,900,900,PRON,PER,her
165,902,902,PRON,PER,she
537,904,911,NOM,PER,a young woman on the cusp of adulthood
165,920,920,PROP,PER,Jessica
165,929,929,PRON,PER,She
524,940,940,PRON,PER,we
165,942,942,PRON,PER,her
538,960,961,NOM,LOC,the universe
532,1010,1010,PRON,PER,your
165,1016,1017,PROP,PER,Jessica Darling
165,1023,1023,PRON,PER,her
165,1027,1027,PRON,PER,she
539,1030,1032,NOM,PER,a timeless figure
540,1034,1035,NOM,PER,A feminist
541,1037,1038,NOM,PER,a leader
542,1040,1041,NOM,PER,a daughter
543,1043,1045,NOM,PER,a best friend
0,1047,1047,PRON,PER,I
524,1056,1056,PRON,PER,we
0,1069,1069,PRON,PER,I
544,1073,1073,NOM,PER,everyone
165,1075,1075,PROP,PER,Jessica
164,1083,1083,PROP,PER,Megan
165,1091,1091,PRON,PER,you
165,1093,1093,PROP,PER,Jessica
545,1098,1099,NOM,PER,a friend
169,1111,1111,PROP,PER,Rebecca
0,1121,1121,PRON,PER,I
532,1123,1123,PRON,PER,your
0,1139,1139,PRON,PER,I
532,1144,1144,PRON,PER,You
546,1147,1147,NOM,GPE,there
0,1151,1151,PRON,PER,I
532,1172,1172,PRON,PER,your
0,1175,1175,PRON,PER,I
0,1188,1188,PRON,PER,I
547,1193,1196,NOM,PER,a Pineville High celebrity
524,1202,1202,PRON,PER,our
544,1205,1205,NOM,PER,Everyone
0,1211,1211,PRON,PER,me
0,1216,1216,PRON,PER,I
0,1228,1228,PRON,PER,me
170,1237,1238,PROP,PER,Paul Parlipiano
0,1242,1242,PRON,PER,me
0,1246,1246,PRON,PER,mine
549,1248,1252,NOM,PER,a Z - level celebrity
550,1256,1273,NOM,PER,an actress who makes her mark in Lifetime made - for - TV movies with titles like Daddy
550,1260,1260,PRON,PER,her
0,1276,1276,PRON,PER,I
0,1285,1285,PRON,PER,I
0,1292,1292,PRON,PER,I
532,1298,1298,PRON,PER,your
532,1303,1303,PRON,PER,you
0,1306,1306,PRON,PER,I
532,1308,1308,PRON,PER,you
532,1314,1314,PRON,PER,your
551,1314,1315,NOM,PER,your grandmother
532,1323,1323,PRON,PER,you
532,1325,1325,PRON,PER,your
532,1328,1328,PRON,PER,your
552,1328,1335,NOM,FAC,your new Home Sweet 4 MEGAN McCAFFERTY Home
553,1347,1356,NOM,FAC,this oh - so - l - lappy New Year
0,1360,1360,PRON,PER,my
554,1369,1369,PRON,PER,our
532,1408,1408,PRON,PER,YOU
554,1414,1414,PRON,PER,our
0,1430,1430,PRON,PER,I
532,1432,1432,PRON,PER,you
532,1439,1439,PRON,PER,yours
0,1446,1446,PRON,PER,I
310,1453,1453,PROP,PER,Hope
0,1455,1455,PRON,PER,me
310,1458,1458,PRON,PER,she
11,1465,1465,PROP,GPE,Pineville
0,1467,1467,PRON,PER,I
0,1475,1475,PRON,PER,my
0,1479,1479,PRON,PER,I
0,1484,1484,PRON,PER,I
310,1505,1505,PRON,PER,her
310,1511,1511,PROP,PER,Hope
310,1527,1527,PRON,PER,her
0,1536,1536,PRON,PER,my
0,1539,1539,PRON,PER,I
0,1547,1547,PRON,PER,my
0,1550,1550,PRON,PER,I
310,1562,1562,PRON,PER,she
0,1577,1577,PRON,PER,my
310,1581,1581,PROP,PER,Hope
0,1583,1583,PRON,PER,I
0,1602,1602,PRON,PER,I
310,1608,1608,PROP,PER,Hope
555,1608,1610,NOM,FAC,Hope ’s house
0,1621,1621,PRON,PER,I
556,1625,1625,PRON,PER,We
310,1630,1630,PRON,PER,her
310,1637,1637,PRON,PER,She
557,1643,1664,NOM,PER,the dozen or so yellowbikini - clad four - year - olds shuffle - ball - changing to a Beach Boys medley
310,1667,1667,PROP,PER,Hope
172,1673,1674,PROP,PER,JonBenet Ramsey
173,1676,1676,PROP,PER,Yikes
556,1679,1679,PRON,PER,We
526,1683,1684,NOM,PER,each other
559,1691,1691,PRON,PER,You
559,1716,1716,PRON,PER,your
556,1732,1732,PRON,PER,We
556,1735,1735,PRON,PER,our
174,1746,1746,PROP,PER,Brainiac
0,1748,1748,PRON,PER,me
560,1751,1752,NOM,PER,Class Artist
560,1754,1754,PRON,PER,her
519,1761,1762,NOM,ORG,high school
556,1764,1764,PRON,PER,We
174,1767,1770,PROP,PER,Brainiac Who Will Actually
310,1774,1774,PRON,PER,Her
175,1786,1788,PROP,PER,Artist Who Will
116,1792,1793,PROP,LOC,This World
556,1803,1803,PRON,PER,we
556,1811,1811,PRON,PER,we
562,1817,1817,PRON,PER,their
562,1821,1821,PRON,PER,them
562,1823,1823,PRON,PER,they
176,1829,1830,PROP,PER,Scotty Glazer
563,1833,1842,NOM,PER,Most Athletic to Most Middle - Aged Yet Totally Immature
199,1844,1845,PROP,PER,Bridget Milhokovich
199,1853,1853,PRON,PER,She
13,1855,1855,PROP,GPE,Peak
398,1859,1860,PROP,PER,Manda Powers
179,1872,1874,PROP,PER,Jerry Springer 0
288,1875,1876,PROP,PER,Sara D’Abruzzi
310,1888,1888,PRON,PER,Her
14,1888,1889,PROP,GPE,Her Country
181,1892,1893,PROP,PER,Mrs. Weaver
310,1907,1907,PROP,PER,Hope
564,1907,1916,NOM,PER,Hope ’s then - sixteen - year - old brother
182,1918,1918,PROP,PER,Heath
182,1925,1925,PRON,PER,his
565,1929,1936,NOM,PER,some seventies comedian all hopped up on cocaine
0,1940,1940,PRON,PER,me
0,1945,1945,PRON,PER,I
0,1947,1947,PRON,PER,my
0,1954,1954,PRON,PER,my
0,1957,1957,PRON,PER,I
310,1961,1961,PROP,PER,Hope
0,1965,1965,PRON,PER,me
310,1967,1967,PRON,PER,she
310,1969,1969,PRON,PER,her
566,1969,1970,NOM,PER,her mom
182,1976,1976,PRON,PER,his
182,1981,1981,PROP,PER,Heath
0,1991,1991,PRON,PER,I
567,1996,2000,NOM,PER,SLOPPY FIRSTS 7 My brother
0,1999,1999,PRON,PER,My
568,1999,2000,NOM,PER,My brother
182,2009,2009,PROP,PER,Heath
310,2011,2011,PROP,PER,Hope
0,2013,2013,PRON,PER,I
0,2023,2023,PRON,PER,I
182,2026,2026,PRON,PER,him
183,2030,2032,PROP,PER,Matthew Michael Darling
183,2035,2035,PRON,PER,he
569,2047,2051,NOM,PER,No one in my family
0,2050,2050,PRON,PER,my
570,2050,2051,NOM,PER,my family
183,2054,2054,PRON,PER,him
571,2058,2058,PROP,PER,Mr.
181,2060,2061,PROP,PER,Mrs. Weaver
572,2071,2071,PRON,PER,their
573,2071,2073,NOM,GPE,their tiny hometown
15,2077,2077,PROP,GPE,Tennessee
572,2089,2089,PRON,PER,They
310,2093,2093,PROP,PER,Hope
572,2105,2105,PRON,PER,They
310,2111,2111,PROP,PER,Hope
574,2111,2113,NOM,PER,Hope ’s grandmother
572,2115,2115,PRON,PER,they
310,2124,2124,PROP,PER,Hope
0,2126,2126,PRON,PER,I
575,2132,2132,PRON,PER,We
575,2139,2139,PRON,PER,we
184,2146,2147,PROP,PER,The Weavers
310,2151,2151,PROP,PER,Hope
11,2154,2154,PROP,GPE,Pineville
16,2156,2157,PROP,GPE,New Jersey
576,2165,2166,NOM,PER,three people
310,2170,2170,PRON,PER,she
310,2176,2176,PRON,PER,her
577,2176,2177,NOM,PER,her brother
0,2184,2184,PRON,PER,I
0,2186,2186,PRON,PER,I
575,2189,2189,PRON,PER,we
310,2191,2191,PROP,PER,Hope
0,2193,2193,PRON,PER,me
577,2199,2199,PRON,PER,his
0,2207,2207,PRON,PER,I
572,2217,2217,PRON,PER,they
572,2226,2226,PRON,PER,they
0,2231,2231,PRON,PER,my
0,2234,2234,PRON,PER,I
0,2236,2236,PRON,PER,my
578,2236,2237,NOM,PER,my parents
0,2243,2243,PRON,PER,me
0,2262,2262,PRON,PER,me
0,2273,2273,PRON,PER,I
579,2278,2284,NOM,PER,who would be on the guest list
0,2286,2286,PRON,PER,I
0,2289,2289,PRON,PER,my
580,2289,2291,NOM,PER,my other friends
0,2293,2293,PRON,PER,I
0,2295,2295,PRON,PER,my
578,2295,2296,NOM,PER,my parents
0,2298,2298,PRON,PER,I
582,2305,2307,NOM,PER,the one person
0,2308,2308,PRON,PER,I
0,2318,2318,PRON,PER,I
510,2323,2323,NOM,FAC,home
0,2333,2333,PRON,PER,I
0,2355,2355,PRON,PER,my
0,2363,2363,PRON,PER,my
0,2373,2373,PRON,PER,my
584,2373,2374,NOM,PER,my dad
0,2378,2378,PRON,PER,me
185,2386,2394,PROP,PER,Jessica 8 mecan McCafferty Not - So - Darling
585,2398,2398,NOM,PER,anyone
0,2403,2403,PRON,PER,me
0,2405,2405,PRON,PER,I
0,2415,2415,PRON,PER,I
0,2421,2421,PRON,PER,my
586,2421,2422,NOM,PER,my sister
166,2424,2424,PROP,PER,Bethany
166,2441,2441,PRON,PER,her
166,2449,2449,PRON,PER,her
166,2461,2461,PROP,PER,Bethany
0,2463,2463,PRON,PER,me
0,2466,2466,PRON,PER,I
0,2474,2474,PRON,PER,I
587,2476,2477,NOM,PER,a kid
0,2479,2479,PRON,PER,I
165,2483,2484,PROP,PER,the Charlie
0,2488,2488,PRON,PER,I
166,2491,2491,PROP,PER,Bethany
0,2493,2493,PRON,PER,I
588,2496,2500,NOM,PER,the old - school Angels
186,2502,2502,PROP,PER,Sabrina
187,2504,2504,PROP,PER,Kelly
188,2506,2506,PROP,PER,Jill
189,2509,2509,PROP,PER,Kris
588,2512,2512,PRON,PER,They
190,2517,2518,PROP,PER,Tanya Roberts
191,2520,2521,PROP,PER,Shelley Hack
588,2524,2524,PRON,PER,They
588,2539,2539,PRON,PER,their
186,2547,2547,PROP,PER,Sabrina
187,2552,2552,PROP,PER,Kelly
188,2557,2557,PROP,PER,Jill
189,2563,2563,PROP,PER,Kris
0,2568,2568,PRON,PER,I
588,2570,2570,PRON,PER,they
589,2577,2580,NOM,PER,everyone else I knew
0,2579,2579,PRON,PER,I
192,2583,2583,PROP,PER,Barbie
193,2585,2586,PROP,PER,the Rockers
0,2592,2592,PRON,PER,I
0,2596,2596,PRON,PER,my
590,2596,2601,NOM,PER,"my pretty , popular older sister"
0,2608,2608,PRON,PER,I
0,2616,2616,PRON,PER,I
590,2619,2619,PRON,PER,she
590,2623,2623,PRON,PER,she
0,2628,2628,PRON,PER,I
0,2634,2634,PRON,PER,my
194,2641,2641,PROP,PER,God
590,2643,2643,PRON,PER,her
590,2650,2650,PRON,PER,She
0,2655,2655,PRON,PER,my
0,2668,2668,PRON,PER,my
591,2668,2670,NOM,PER,my own generation
195,2672,2673,PROP,PER,Gen Z
0,2676,2676,PRON,PER,i
0,2694,2694,PRON,PER,me
0,2699,2699,PRON,PER,I
592,2702,2703,NOM,PER,the Angels
592,2708,2708,PRON,PER,them
592,2711,2711,PRON,PER,their
0,2720,2720,PRON,PER,I
186,2723,2723,PROP,PER,Sabrina
593,2729,2731,NOM,PER,All the Angels
186,2738,2738,PROP,PER,Sabrina
0,2742,2742,PRON,PER,I
0,2750,2750,PRON,PER,I
594,2752,2756,NOM,PER,the fifth 10 mecan McCafferty
185,2756,2756,PROP,PER,McCafferty
595,2758,2762,NOM,PER,a messed - up doll
0,2766,2766,PRON,PER,I
166,2768,2768,PROP,PER,Bethany
166,2770,2770,PRON,PER,her
596,2770,2771,NOM,PER,her friends
166,2777,2777,PRON,PER,she
166,2779,2779,PRON,PER,she
0,2785,2785,PRON,PER,I
186,2794,2794,PROP,PER,Sabrina
186,2798,2798,PRON,PER,her
0,2803,2803,PRON,PER,I
0,2811,2811,PRON,PER,I
187,2820,2820,PROP,PER,Kelly
188,2822,2822,PROP,PER,Jill
186,2829,2829,PROP,PER,Sabrina
196,2844,2844,PROP,PER,Bosley
186,2848,2848,PRON,PER,her
186,2855,2855,PROP,PER,Sabrina
597,2857,2859,NOM,PER,the brainy Angel
598,2866,2867,NOM,PER,every girl
599,2871,2874,NOM,PER,one or the other
0,2883,2883,PRON,PER,I
600,2886,2886,PRON,PER,You
0,2893,2893,PRON,PER,me
310,2906,2906,PROP,PER,Hope
0,2908,2908,PRON,PER,I
0,2913,2913,PRON,PER,I
601,2917,2917,PRON,PER,our
0,2921,2921,PRON,PER,I
0,2944,2944,PRON,PER,I
0,2950,2950,PRON,PER,I
602,2958,2964,NOM,PER,someone who means so much to me
0,2964,2964,PRON,PER,me
0,2971,2971,PRON,PER,I
600,2976,2976,PRON,PER,you
0,3001,3001,PRON,PER,my
310,3004,3004,PROP,PER,Hope
603,3008,3009,NOM,PER,anyone else
604,3024,3029,NOM,PER,those who speak our secret language
601,3027,3027,PRON,PER,our
600,3032,3032,PRON,PER,you
601,3042,3042,PRON,PER,our
600,3046,3046,PRON,PER,you
310,3053,3053,PROP,PER,Hope
0,3055,3055,PRON,PER,I
605,3057,3058,NOM,PER,total clowns
0,3060,3060,PRON,PER,I
17,3065,3066,PROP,FAC,Charlies Angels
310,3068,3068,PROP,PER,Hope
0,3074,3074,PRON,PER,I
0,3082,3082,PRON,PER,my
584,3082,3083,NOM,PER,my dad
584,3085,3085,PRON,PER,his
310,3091,3091,PROP,PER,Hope
0,3093,3093,PRON,PER,me
310,3113,3113,PROP,PER,Hope
0,3127,3127,PRON,PER,mine
601,3129,3129,PRON,PER,We
601,3138,3138,PRON,PER,we
526,3144,3145,NOM,PER,each other
0,3147,3147,PRON,PER,I
0,3157,3157,PRON,PER,I
0,3166,3166,PRON,PER,me
0,3168,3168,PRON,PER,My
584,3168,3169,NOM,PER,My dad
0,3174,3174,PRON,PER,I
601,3183,3183,PRON,PER,us
0,3192,3192,PRON,PER,I
0,3200,3200,PRON,PER,I
609,3209,3211,NOM,PER,a PHS hacker
610,3216,3217,NOM,PER,a freshman
611,3223,3226,NOM,PER,every student in school
609,3229,3229,PRON,PER,He
609,3236,3236,PRON,PER,his
310,3240,3240,PROP,PER,Hope
310,3245,3245,PRON,PER,her
310,3253,3253,PRON,PER,she
612,3255,3259,NOM,PER,a far less suspicious person
0,3261,3261,PRON,PER,I
0,3269,3269,PRON,PER,I
310,3274,3274,PRON,PER,her
310,3277,3277,PRON,PER,her
0,3279,3279,PRON,PER,I
613,3299,3300,NOM,PER,total strangers
0,3309,3309,PRON,PER,I
0,3318,3318,PRON,PER,I
0,3333,3333,PRON,PER,my
310,3346,3346,PROP,PER,Hope
0,3348,3348,PRON,PER,I
199,3352,3352,PROP,PER,Bridget
199,3354,3354,PRON,PER,she
614,3358,3360,NOM,PER,the Charlies Angels
615,3363,3363,PRON,PER,we
616,3365,3365,NOM,PER,kids
199,3367,3367,PROP,PER,Bridget
0,3369,3369,PRON,PER,my
617,3374,3375,NOM,FAC,the street
0,3383,3383,PRON,PER,my
0,3390,3390,PRON,PER,I
543,3393,3395,NOM,PER,a best friend
199,3401,3401,PROP,PER,Bridget
199,3407,3407,PRON,PER,her
619,3407,3408,NOM,PER,her boyfriend
