start_token,end_token,supersense_category,text
10,11,noun.location,NEW YORK
13,13,verb.stative,is
15,15,noun.artifact,work
17,17,noun.communication,fiction
22,22,noun.cognition,characters
24,24,noun.group,organizations
27,27,noun.event,events
28,28,verb.perception,portrayed
31,31,noun.communication,novel
32,32,verb.stative,are
37,37,noun.person,author
39,39,noun.cognition,imagination
42,42,verb.consumption,used
48,49,noun.location,United States
51,52,noun.group,Wednesday Books
55,55,noun.cognition,imprint
57,61,noun.group,St. Martin ’s Publishing Group
73,73,noun.communication,copyright
87,88,noun.location,United States
90,90,noun.location,America
93,93,noun.communication,information
95,96,noun.location,address St.
97,100,noun.group,Martin ’s Publishing Group
103,103,noun.location,Broadway
105,106,noun.location,New York
108,108,noun.location,NY
114,119,noun.group,Devan Norman The Library of Congress
126,126,verb.stative,is
129,129,noun.communication,request
142,143,noun.communication,trade paperback
156,156,noun.communication,ebook
159,159,noun.communication,books
162,162,verb.possession,purchased
172,172,noun.act,use
175,175,verb.communication,contact
178,178,noun.person,bookseller
181,182,noun.group,Macmillan Corporate
184,186,noun.group,Premium Sales Department
196,196,noun.time,extension
201,201,noun.communication,email
206,206,verb.creation,published
209,210,noun.location,United States
214,216,noun.group,Three Rivers Press
219,219,noun.communication,imprint
222,224,noun.group,Crown Publishing Group
227,227,noun.cognition,division
229,232,noun.group,"Random House , Inc."
234,235,noun.location,New York
237,239,noun.group,First Wednesday Books
253,256,noun.group,FOR CHRISTOPHER Sloppy Firsts
258,258,verb.communication,published
264,264,noun.time,month
269,270,noun.person,Jessica Darling
282,282,noun.person,girl
284,284,verb.motion,spun
287,287,noun.cognition,world
289,289,verb.stative,was
291,291,noun.state,turmoil
293,293,noun.group,Schools
295,295,noun.location,country
297,297,verb.social,watched
299,299,noun.artifact,towers
300,300,verb.motion,fall
302,302,verb.cognition,understanding
312,312,noun.event,tragedy
314,314,noun.state,life
316,316,noun.location,country
317,317,verb.stative,were
321,321,noun.location,place
324,324,verb.body,felt
328,328,noun.location,America
330,330,noun.location,home
332,332,verb.change,changed
340,340,noun.time,years
343,343,noun.time,today
345,345,noun.person,teens
346,346,verb.communication,face
349,349,noun.state,crisis
351,351,noun.location,country
353,353,noun.act,Progress
358,358,verb.cognition,seen
360,360,verb.motion,bends
363,363,verb.motion,doubles
366,366,verb.motion,barrels
369,369,noun.person,Teens
370,371,verb.social,take up
373,373,noun.act,fight
377,377,noun.attribute,ways
380,380,verb.stative,are
384,384,noun.location,lines
387,387,noun.time,future
388,388,verb.stative,belongs
405,406,verb.communication,talk about
414,414,verb.motion,came
416,417,noun.person,Ms. Darling
419,420,noun.time,sophomore year
422,422,noun.group,college
425,425,noun.quantity,thousands
434,434,noun.person,Jessica
436,436,noun.attribute,voice
441,441,noun.person,girl
443,443,verb.stative,was
450,451,noun.person,Judy Blume
453,454,noun.person,Megan McCafferty
455,455,verb.communication,draws
458,458,noun.person,woman
460,460,verb.stative,is
465,465,noun.attribute,sexuality
468,468,verb.stative,is
471,471,verb.cognition,intrigued
474,474,verb.emotion,annoyed
477,477,noun.group,culture
479,480,noun.group,high school
483,483,verb.emotion,wants
485,485,verb.stative,be
491,491,verb.cognition,understands
493,493,verb.cognition,acknowledges
497,497,noun.state,existence
500,500,verb.stative,is
505,506,noun.group,high school
507,507,noun.person,girl
519,520,noun.person,X FOREWORD
524,525,noun.person,Marcus Flutie
527,527,noun.person,Jessica
529,529,noun.person,Marcus
531,531,noun.person,Marcus
533,533,noun.person,Jessica
539,539,noun.person,boyfriend
547,547,noun.person,fuckup
550,551,verb.emotion,feel like
554,554,verb.social,allowed
556,556,verb.communication,swear
562,562,noun.person,kid
565,565,noun.person,Jessica
567,567,noun.communication,pee
574,575,verb.change,ends up
