start_token,end_token,supersense_category,text
2,2,noun.communication,BOOK
4,4,noun.time,day
8,8,noun.person,babies
11,11,noun.person,babies
13,13,noun.time,summer
15,15,noun.time,fall
16,16,noun.person,babies
18,18,noun.time,winter
20,20,noun.time,spring
21,21,noun.person,babies
23,23,noun.animal,babies
31,31,noun.body,cheeks
35,35,noun.body,ears
38,38,noun.body,fingers
41,41,noun.body,nose
43,43,noun.person,babies
45,45,verb.contact,kissed
47,47,noun.body,toes
54,54,noun.body,head
58,58,noun.body,tummy
62,62,noun.communication,everywnere
65,65,noun.artifact,diapers
67,69,noun.artifact,T - shirts
72,72,noun.artifact,buntings
74,74,noun.substance,sleepers
76,76,noun.person,babies
78,78,verb.body,dressed
80,80,noun.artifact,playsuits
82,82,noun.artifact,dresses
85,85,noun.artifact,sweaters
87,87,noun.artifact,creepers
90,90,noun.time,day
94,94,noun.artifact,bottle
97,97,noun.body,breast
100,100,noun.artifact,cups
104,104,noun.artifact,spoons
107,107,noun.food,milk
111,111,noun.food,cereal
113,113,noun.food,carrots
116,116,noun.food,prunes
118,118,noun.person,babies
120,120,verb.consumption,fed-
122,122,noun.act,nap
123,123,noun.time,time
125,125,noun.time,night
128,128,noun.artifact,cradles
131,131,noun.artifact,chairs
134,134,noun.time,day
138,138,noun.person,friends
140,140,noun.person,relations
142,142,verb.contact,cuddle
146,146,noun.animal,babies
148,148,verb.contact,rocked-
151,151,noun.artifact,packs
154,154,noun.artifact,backpacks
157,157,noun.artifact,slings
161,161,noun.artifact,strollers
164,164,noun.time,day
168,168,noun.person,babies
170,170,verb.contact,carried
172,173,noun.artifact,bike seats
176,177,noun.artifact,car seats
181,181,noun.person,Daddy
183,183,noun.body,shoulders
189,189,verb.communication,cry
192,192,verb.communication,squeal
195,195,verb.body,giggle
198,198,verb.motion,coo
202,202,noun.person,babies
203,203,verb.creation,make
204,204,noun.event,noise
206,206,verb.contact,clap
208,208,noun.body,hands
213,213,verb.contact,bang
216,216,verb.contact,splash
217,217,noun.animal,rattles
220,220,noun.artifact,tops
223,223,noun.artifact,books
227,227,verb.contact,tear
230,230,noun.time,day
234,234,noun.artifact,pots
236,236,noun.substance,pans
242,242,noun.animal,bear
244,244,noun.artifact,banies
246,246,noun.person,toys-
248,248,noun.time,day
255,255,noun.animal,piggy
261,261,noun.communication,boo
263,263,noun.communication,pat
267,267,noun.artifact,cake
269,269,verb.contact,roll
273,273,noun.artifact,ball
275,275,verb.motion,ride
279,279,noun.animal,horse
285,285,noun.person,babies
286,286,verb.social,play
287,287,noun.act,games-
289,289,noun.time,day
294,294,noun.animal,puppy
297,297,noun.animal,kitten
300,300,noun.animal,goldfish
303,303,noun.animal,bunny
307,307,noun.group,people
310,310,noun.group,people
315,315,noun.person,babies
316,316,verb.creation,make
319,319,noun.time,day
326,326,noun.body,bottoms
328,328,noun.body,knees
330,330,noun.person,babies
332,332,verb.motion,crawling
335,335,verb.emotion,please
342,342,noun.time,day
346,346,noun.quantity,step
351,352,verb.motion,fall down
356,356,verb.contact,pick
360,360,verb.social,try
366,366,noun.person,babies
368,368,verb.motion,walkings
370,370,noun.time,day
376,376,verb.motion,run
380,380,verb.motion,jump
384,384,verb.motion,slide
388,388,verb.motion,swing
392,392,verb.creation,sing
396,396,verb.communication,talk
400,400,verb.motion,climb
402,402,noun.person,babies
406,406,noun.time,day
410,410,verb.motion,traveling
415,415,verb.social,trying
419,419,noun.person,babies
421,421,verb.emotion,loved
423,423,verb.stative,being
431,431,verb.stative,are
