COREF,start_token,end_token,prop,cat,text
34,2,3,PROP,PER,BRENT HARTINGER
1,2,19,PROP,FAC,BRENT HARTINGER The Last Chance Texaco I WASN’T THE MOST POPULAR GUY at Robert L. Goodkind High School
114,4,7,NOM,FAC,The Last Chance Texaco
0,8,8,PRON,PER,I
115,10,13,NOM,PER,THE MOST POPULAR GUY
2,15,19,PROP,FAC,Robert L. Goodkind High School
0,22,22,PRON,PER,I
35,31,32,PROP,PER,Kevin Land
0,37,37,PRON,PER,me
116,56,59,NOM,PER,the least popular guy
117,63,63,NOM,PER,people
118,65,65,PRON,PER,you
119,94,95,NOM,PER,other guys
0,109,109,PRON,PER,I
118,113,113,PRON,PER,you
0,115,115,PRON,PER,I
0,120,120,PRON,PER,I
117,125,125,PRON,PER,them
0,127,127,PRON,PER,I
117,134,134,PRON,PER,they
34,144,147,PROP,PER,BRENT HARTINGER Geography Club
34,152,153,PROP,PER,Brent Hartinger
120,191,195,NOM,LOC,the United States of America
3,195,195,PROP,GPE,America
4,208,209,PROP,FAC,HarperCollins Publishers
5,212,212,PROP,GPE,Broadway
6,214,215,PROP,GPE,New York
7,219,221,PROP,FAC,Library of Congress
34,228,228,PROP,PER,Hartinger
8,230,233,PROP,FAC,Brent . Geography Club
34,236,237,PROP,FAC,Brent Hartinger
121,244,250,NOM,PER,A group of gay and lesbian teenagers
121,255,255,PRON,PER,they
121,263,263,PRON,PER,their
122,263,265,NOM,FAC,their high school
123,311,313,NOM,PER,Clubs — Fiction
124,317,318,NOM,FAC,High schools
10,324,324,PROP,GPE,Schools
125,340,378,NOM,VEH,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
36,383,384,PROP,PER,Alison Donalty
126,397,397,PRON,PER,us
11,399,402,PROP,LOC,the World Wide Web
37,406,407,PROP,PER,MICHAEL JENSEN
0,408,408,PRON,PER,My
127,415,415,PRON,PER,you
0,421,421,PRON,PER,I
128,423,435,NOM,GPE,"DEEP BEHIND ENEMY LINES , in the very heart of the opposing camp"
129,429,435,NOM,LOC,the very heart of the opposing camp
130,433,435,NOM,FAC,the opposing camp
0,437,437,PRON,PER,My
131,437,438,NOM,PER,My adversaries
0,442,442,PRON,PER,me
0,449,449,PRON,PER,my
0,456,456,PRON,PER,I
0,464,464,PRON,PER,my
132,469,475,NOM,PER,anyone who took the time to look
0,477,477,PRON,PER,I
0,489,489,PRON,PER,my
0,493,493,PRON,PER,my
0,500,500,PRON,PER,my
133,504,505,NOM,PER,The enemy
0,511,511,PRON,PER,my
133,514,514,PRON,PER,their
133,522,522,PRON,PER,their
134,522,524,NOM,FAC,their inner sanctum
35,527,528,PROP,PER,Kevin Land
0,535,535,PRON,PER,my
0,541,541,PRON,PER,Yo
42,543,543,PROP,GPE,Middlebrook
