start_token,end_token,supersense_category,text
2,3,noun.person,BRENT HARTINGER
5,8,noun.group,Last Chance Texaco I
13,13,noun.person,GUY
15,16,noun.location,Robert L.
17,19,noun.group,Goodkind High School
23,23,verb.stative,was
31,32,noun.person,Kevin Land
35,35,verb.communication,spoke
45,45,verb.communication,ask
47,47,noun.artifact,shampoo
53,53,noun.act,way
55,55,verb.change,become
59,59,noun.person,guy
60,60,verb.stative,was
62,62,verb.social,have
63,63,noun.group,people
64,64,verb.cognition,think
67,67,verb.stative,be
72,72,verb.stative,being
74,74,verb.stative,was
79,79,verb.contact,throwing
81,81,noun.animal,bone
84,84,noun.artifact,showers
87,87,verb.stative,was
90,90,noun.act,way
92,93,verb.social,acting around
95,95,noun.person,guys
98,98,noun.state,level
100,100,noun.attribute,casualness
103,103,noun.state,comfort
106,106,verb.communication,says
110,110,verb.stative,’m
116,117,verb.stative,fit in
121,121,verb.stative,was
130,131,verb.social,fit in
139,139,verb.cognition,know
142,148,noun.group,GEOGRAPHY CLUB BRENT HARTINGER Geography Club Copyright
152,153,noun.person,Brent Hartinger
155,155,noun.attribute,rights
159,159,noun.relation,part
162,162,noun.artifact,book
165,165,verb.consumption,used
167,167,verb.social,reproduced
170,170,noun.attribute,manner
174,174,noun.communication,permission
178,178,noun.state,case
181,181,noun.communication,quotations
182,182,verb.stative,embodied
185,185,noun.communication,articles
187,187,noun.communication,reviews
192,193,noun.location,United States
195,195,noun.location,America
198,198,noun.communication,information
200,203,noun.group,HarperCollins Children ’s Books
206,206,noun.group,division
208,209,noun.group,HarperCollins Publishers
212,212,noun.location,Broadway
214,215,noun.location,New York
217,218,noun.location,NY 10007
219,221,noun.group,Library of Congress
230,230,noun.group,Brent
232,233,noun.group,Geography Club
245,245,noun.group,group
250,250,noun.person,teenagers
251,251,verb.perception,finds
253,253,noun.act,support
256,256,verb.stative,form
259,260,noun.group,Geography Club
264,265,noun.group,high school
274,274,noun.quantity,8
305,305,noun.act,Homosexuality
307,307,noun.communication,Fiction
311,311,noun.group,Clubs
313,313,noun.communication,Fiction
317,318,noun.group,High schools
320,320,noun.communication,Fiction
324,324,noun.group,Schools
326,326,noun.communication,Fiction
330,330,noun.communication,Title
381,381,noun.act,design
383,384,noun.person,Alison Donalty
392,393,noun.communication,paperback edition
396,396,verb.social,Visit
400,402,noun.group,World Wide Web
406,407,noun.person,MICHAEL JENSEN
410,410,noun.act,journey
411,411,verb.change,begins
413,413,verb.change,ends
416,416,verb.change,START
419,419,noun.communication,CHAPTER
425,426,noun.group,ENEMY LINES
431,431,noun.location,heart
435,435,noun.group,camp
438,438,noun.person,adversaries
439,439,verb.stative,were
450,450,noun.attribute,disguise
452,452,verb.emotion,holding
457,457,verb.body,felt
465,465,noun.communication,secret
466,466,verb.stative,was
471,471,verb.possession,took
473,473,noun.time,time
475,475,verb.perception,look
478,478,verb.cognition,knew
482,482,noun.act,action
488,488,verb.perception,expose
490,490,noun.act,deception
492,492,verb.perception,reveal
495,495,noun.attribute,identity
498,498,noun.cognition,thought
499,499,verb.change,made
501,501,noun.body,skin
502,502,verb.contact,prickle
505,505,noun.group,enemy
508,508,verb.cognition,take
512,512,noun.act,infiltration
515,515,noun.group,ranks
524,524,noun.location,sanctum
527,528,noun.person,Kevin Land
529,529,verb.contact,leaned
533,533,noun.artifact,bench
536,536,noun.artifact,locker
538,538,verb.communication,said
543,543,noun.location,Middlebrook
545,545,verb.social,let
547,547,verb.consumption,use
549,549,noun.artifact,shampoo
554,554,verb.stative,was
557,558,noun.group,high school
559,559,noun.person,boys
561,562,noun.artifact,locker room
565,565,noun.location,end
568,568,noun.time,period
569,570,noun.group,P.E. class
575,575,verb.motion,come
578,578,noun.artifact,showers
581,581,noun.relation,part
584,584,noun.communication,reason
586,586,verb.body,felt
588,588,verb.stative,was
591,591,verb.stative,was
596,596,verb.contact,slung
599,599,noun.artifact,towel
602,602,noun.substance,metal
603,603,noun.artifact,door
606,606,noun.artifact,locker
609,609,verb.contact,standing
617,617,verb.body,dressed
619,619,verb.motion,get
630,631,verb.emotion,feel like
633,633,noun.person,boys
635,636,noun.artifact,locker room
639,639,noun.time,period
640,640,noun.group,P.E.
641,641,verb.stative,was
642,642,noun.group,enemy
643,643,noun.location,territory
648,648,noun.person,guys
651,651,noun.group,class
652,652,verb.stative,were
654,654,noun.person,soldiers
658,658,noun.act,struggle
660,660,noun.act,domination
670,670,noun.communication,answer
673,673,noun.communication,question
676,676,verb.consumption,Use
680,680,noun.artifact,shampoo
684,684,verb.communication,said
686,686,noun.person,Kevin
688,688,verb.contact,crouching
694,694,noun.artifact,locker
696,696,verb.perception,probing
698,698,noun.state,darkness
701,701,noun.artifact,underwear
703,703,noun.person,Kevin
704,704,verb.motion,stepped
711,711,verb.change,started
712,712,verb.perception,searching
715,715,noun.artifact,reaches
718,718,noun.artifact,locker
723,723,verb.perception,feel
725,725,noun.attribute,heat
728,728,noun.body,body
733,733,noun.quantity,nothing
735,735,verb.change,lessen
737,737,noun.state,goosebumps
745,745,verb.communication,said
749,749,verb.stative,is
753,753,verb.cognition,know
755,755,verb.possession,have
760,760,verb.possession,have
761,761,noun.artifact,shampoo
767,767,verb.possession,have
769,769,noun.artifact,undies
775,775,verb.possession,found
778,778,noun.artifact,shorts
783,783,verb.emotion,tempted
786,786,verb.communication,give
787,787,noun.person,Kevin
789,789,noun.feeling,satisfaction
791,791,verb.perception,seeing
794,794,verb.stative,been
801,801,verb.stative,was
810,811,verb.motion,sat down
814,814,noun.artifact,bench
816,816,verb.contact,maneuvering
818,818,noun.body,legs
821,821,noun.artifact,elastic
824,824,noun.artifact,underwear
828,828,verb.contact,pulled
833,834,verb.contact,fumbled for
836,836,noun.artifact,shampoo
839,839,noun.artifact,backpack
841,841,verb.possession,handed
844,844,noun.person,Kevin
851,851,verb.communication,said
855,855,verb.motion,bring
864,864,noun.person,Kevin
865,865,verb.stative,was
874,874,noun.artifact,sideburns
879,879,noun.state,shadow
884,884,noun.time,morning
890,890,verb.stative,was
897,897,verb.perception,seemed
900,900,verb.stative,was
902,902,noun.location,place
904,904,verb.perception,look
908,909,noun.artifact,locker room
914,914,noun.body,crotch
917,917,verb.perception,glanced
925,926,noun.location,land mines
928,928,verb.communication,avoid
933,933,noun.body,bodies
935,935,noun.person,Leon
937,937,noun.person,Brad
939,939,noun.person,Jarred
941,941,noun.person,Ramone
944,944,noun.person,guys
947,948,noun.group,P.E. class
951,952,verb.stative,looking like
956,956,noun.person,Abercrombie
958,958,noun.person,Fitch
959,960,noun.artifact,underwear ads
961,961,verb.change,come
969,969,verb.stative,was
972,972,noun.communication,answer
975,975,noun.communication,question
979,979,verb.body,felt
985,985,noun.person,boys
987,988,noun.artifact,locker room
991,991,verb.emotion,liked
992,992,noun.person,guys
994,994,verb.perception,Seeing
999,999,verb.communication,mean
1005,1005,verb.stative,is
1010,1010,verb.emotion,liked
1011,1011,verb.perception,seeing
1019,1019,verb.perception,had
1022,1022,noun.feeling,interest
1024,1024,verb.perception,seeing
1033,1033,noun.person,boys
1035,1036,noun.artifact,locker room
1039,1039,noun.time,period
1040,1040,noun.group,P.E.
1048,1048,noun.person,guy
1051,1051,verb.communication,mean
1055,1055,noun.attribute,way
1059,1059,verb.possession,had
1061,1061,noun.cognition,plans
1070,1070,noun.communication,fact
1074,1075,verb.cognition,thought about
1080,1080,noun.person,guy
1084,1084,noun.attribute,way
1085,1085,verb.stative,was
1088,1088,noun.person,Kevin
1090,1090,noun.person,Leon
1092,1092,noun.person,Brad
1094,1094,noun.person,Jarred
1096,1096,noun.person,Ramone
1100,1100,verb.cognition,understand
1103,1103,verb.stative,was
1108,1108,noun.person,guy
1110,1111,noun.location,Robert L.
1112,1114,noun.group,Goodkind High School
1118,1118,verb.stative,was
1127,1128,noun.person,Kevin Land
1131,1131,verb.communication,spoke
1141,1141,verb.communication,ask
1143,1143,noun.artifact,shampoo
1149,1149,noun.act,way
1151,1151,verb.change,become
1155,1155,noun.person,guy
1156,1156,verb.stative,was
1158,1158,verb.social,have
1159,1159,noun.group,people
1160,1160,verb.cognition,think
1163,1163,verb.stative,be
1168,1168,verb.stative,being
1170,1170,verb.stative,was
1175,1175,verb.contact,throwing
1177,1177,noun.body,bone
1180,1180,noun.artifact,showers
1183,1183,verb.stative,was
1186,1186,noun.act,way
1188,1188,verb.creation,acting
1191,1191,noun.person,guys
1194,1194,noun.state,level
1196,1196,noun.attribute,casualness
1199,1199,noun.state,comfort
1202,1202,verb.communication,says
1206,1206,verb.stative,’m
1212,1212,verb.stative,fit
1217,1217,verb.stative,was
1226,1227,verb.social,fit in
1235,1235,verb.cognition,know
1238,1238,noun.person,Kevin
1239,1239,verb.contact,snatched
1241,1241,noun.artifact,shampoo
1246,1246,verb.motion,turned
1248,1248,noun.body,back
1252,1252,verb.motion,stepping
1256,1256,noun.artifact,jeans
1261,1261,noun.location,Middlebrook
1264,1264,noun.person,Kevin
1265,1265,verb.communication,said
1271,1271,noun.body,ass
1274,1274,noun.person,Leon
1276,1276,noun.person,Brad
1278,1278,verb.cognition,Jarred
1280,1280,noun.person,Ramone
1282,1282,verb.body,laughed
1285,1285,noun.communication,joke
1291,1291,noun.possession,expense
1297,1297,noun.location,vicinity
1301,1301,noun.relation,part
1304,1304,verb.communication,wondered
1308,1308,verb.possession,have
1311,1311,noun.body,ass
1318,1318,verb.cognition,know
1324,1324,noun.relation,part
1327,1327,verb.communication,tensed
1331,1331,verb.cognition,knew
1333,1333,verb.stative,was
1335,1335,noun.communication,test
1338,1338,noun.cognition,kind
1339,1339,noun.group,enemy
1340,1340,noun.person,soldiers
1342,1342,noun.communication,movies
1343,1343,verb.possession,give
1346,1346,noun.person,hero
1349,1349,verb.cognition,suspect
1350,1350,verb.stative,is
1359,1359,noun.person,guy
1363,1363,verb.possession,lent
1365,1365,noun.artifact,shampoo
1373,1373,noun.feeling,gratitude
1377,1378,verb.stative,depended on
1380,1380,noun.cognition,reaction
1384,1384,verb.cognition,pass
1387,1388,noun.person,Kevin Land
1391,1391,noun.communication,test
1394,1394,noun.state,manhood
1397,1398,verb.perception,glanced back
1400,1400,noun.person,Kevin
1405,1405,verb.communication,snickering
1411,1411,noun.body,body
1414,1414,verb.perception,jiggled
1422,1422,verb.perception,look
1427,1427,verb.motion,bent
1431,1431,verb.contact,sticking
1433,1433,noun.body,rear
1437,1437,noun.location,direction
1442,1442,verb.cognition,think
1447,1447,verb.communication,said
1449,1449,verb.motion,squirming
1455,1455,noun.location,Middlebrook
1458,1458,noun.person,Kevin
1459,1459,verb.communication,said
1462,1462,noun.body,teeth
1464,1464,noun.body,whiskers
1466,1466,noun.communication,dimples
1470,1470,verb.stative,are
1473,1473,noun.person,fag
1480,1480,verb.cognition,thought
1485,1485,verb.contact,holding
1489,1489,noun.time,day
1496,1496,verb.change,finished
1497,1497,verb.creation,dressing
1500,1501,verb.motion,met up
1504,1504,noun.person,friends
1505,1505,noun.person,Gunnar
1507,1507,noun.person,Min
1509,1509,noun.food,lunch
1513,1513,noun.artifact,table
1516,1516,noun.artifact,school
1517,1517,noun.artifact,cafeteria
1521,1521,noun.artifact,paint
1523,1524,verb.contact,flaking off
1526,1526,noun.artifact,ceiling
1528,1529,noun.person,Mr. Wick
1531,1531,noun.artifact,classroom
1534,1534,noun.person,Gunnar
1535,1535,verb.communication,said
1538,1538,verb.change,started
1540,1540,verb.consumption,eat
1545,1545,noun.food,chips
1546,1546,verb.motion,land
1549,1549,noun.artifact,desk
1552,1552,noun.person,Gunnar
1556,1556,verb.stative,been
1565,1566,noun.time,fourth grade
1570,1570,noun.group,family
1572,1572,verb.motion,moved
1574,1574,noun.location,Norway
1577,1577,noun.location,neighborhood
1582,1582,verb.cognition,thought
1585,1585,verb.stative,be
1588,1588,verb.stative,being
1594,1594,noun.person,kids
1596,1596,verb.communication,teased
1600,1600,noun.communication,accent
1603,1603,noun.communication,name
1606,1606,verb.communication,called
1609,1609,noun.person,Goony
1613,1613,noun.person,Gunner
1620,1620,verb.social,tried
1622,1622,verb.communication,ignore
1624,1624,noun.cognition,heritage
1626,1626,noun.person,Gunnar
1627,1627,verb.stative,was
1631,1631,noun.person,guy
1637,1637,noun.person,friend
1643,1643,verb.stative,is
1646,1646,verb.communication,admit
1649,1649,verb.stative,being
1651,1651,noun.person,buddy
1669,1669,noun.artifact,school
1672,1672,noun.person,Min
1673,1673,verb.communication,said
1678,1678,noun.artifact,ceiling
1682,1682,verb.motion,collapse
1688,1688,noun.time,days
1691,1691,noun.person,Min
1692,1692,verb.stative,was
1694,1694,noun.group,school
1695,1695,noun.person,egghead
1699,1699,verb.stative,was
1705,1705,verb.stative,is
1709,1709,noun.cognition,stereotype
1718,1719,noun.person,Shelly Vorhaus
1722,1722,noun.group,school
1725,1725,noun.person,egghead
1727,1727,noun.person,Min
1728,1728,verb.possession,had
1732,1732,noun.artifact,shirts
1735,1735,verb.body,wore
1736,1736,noun.artifact,makeup
1740,1740,noun.communication,words
1742,1742,noun.person,Min
1744,1744,noun.person,Gunnar
1745,1745,verb.stative,were
1751,1751,noun.person,visitors
1754,1754,noun.location,border
1755,1755,noun.location,region
1757,1758,noun.group,high school
1759,1759,noun.state,respectability
1765,1765,verb.cognition,understand
1768,1768,noun.person,Gunnar
1769,1769,verb.communication,said
1771,1771,noun.person,Min
1778,1778,noun.substance,lead
1779,1779,noun.artifact,paint
1782,1782,verb.communication,said
1787,1787,verb.stative,is
1790,1790,noun.artifact,building
1794,1794,noun.substance,Lead
1795,1795,noun.artifact,paint
1799,1799,verb.communication,said
1803,1803,verb.cognition,know
1806,1806,noun.cognition,kind
1808,1808,verb.body,causes
1809,1809,noun.body,brain
1810,1810,noun.event,damage
1813,1813,verb.consumption,ingest
1817,1817,noun.person,Gunnar
1820,1820,verb.stative,be
1834,1834,verb.stative,is
1837,1837,noun.person,Min
1838,1838,verb.communication,said
1844,1844,verb.consumption,eating
1856,1856,verb.stative,mean
1858,1858,verb.consumption,eat
1862,1862,noun.person,Gunnar
1863,1863,verb.communication,said
1869,1869,verb.communication,mean
1871,1871,verb.body,inhale
1874,1874,noun.group,people
1877,1877,verb.cognition,know
1882,1882,verb.stative,was
1888,1888,verb.cognition,known
1893,1893,noun.person,Min
1896,1896,verb.cognition,know
1903,1903,verb.emotion,feel
1908,1908,verb.emotion,liked
1909,1909,noun.person,Min
1911,1911,noun.person,Gunnar
1914,1914,verb.possession,had
1927,1927,verb.emotion,felt
1937,1937,verb.cognition,wondering
1941,1941,verb.cognition,react
1945,1945,verb.cognition,knew
1948,1948,noun.communication,secret
1952,1952,noun.person,guys
1955,1955,verb.communication,mean
1958,1958,verb.cognition,doubted
1961,1961,verb.motion,run
1965,1965,noun.artifact,room
1969,1969,verb.stative,were
1972,1972,noun.person,friends
1979,1979,verb.social,handled
1983,1983,noun.communication,confetti
1988,1988,noun.cognition,acceptance
1991,1991,verb.stative,was
1995,1995,verb.cognition,decided
1998,1998,verb.communication,tell
2003,2003,verb.stative,was
2007,2007,verb.cognition,guess
2010,2010,verb.body,felt
2019,2019,noun.object,blanket
2021,2021,noun.attribute,silence
2022,2022,verb.motion,fell
2025,2025,noun.artifact,cafeteria
2027,2027,noun.person,Min
2029,2029,noun.person,Gunnar
2034,2034,verb.motion,turned
2036,2036,verb.communication,see
2039,2039,verb.change,making
2041,2041,noun.state,lack
2044,2044,noun.event,commotion
2046,2047,noun.person,Brian Bund
2050,2050,noun.person,junior
2053,2053,verb.contact,sitting
2058,2058,noun.artifact,table
2061,2061,noun.location,corner
2067,2067,noun.body,back
2070,2070,noun.artifact,room
2074,2074,verb.contact,flung
2077,2077,noun.quantity,spoonful
2079,2079,noun.food,chili
2086,2086,verb.contact,spattered
2089,2089,noun.artifact,back
2093,2095,noun.artifact,T - shirt
2100,2100,noun.group,people
2101,2101,verb.cognition,realized
2104,2104,verb.change,happened
2107,2107,verb.change,began
2109,2109,verb.body,laugh
2112,2112,verb.perception,glanced
2115,2115,noun.artifact,lunchroom
2122,2122,noun.artifact,cafeteria
2123,2123,noun.person,worker
2128,2128,verb.contact,cleaning
2129,2129,noun.artifact,tables
2131,2131,verb.possession,refilling
2132,2133,noun.artifact,napkin dispensers
2139,2139,noun.person,adults
2144,2144,verb.stative,was
2147,2147,noun.person,Brian
2156,2156,noun.food,chili
2165,2165,noun.group,people
2167,2167,verb.body,laughing
2169,2169,noun.person,Brian
2174,2174,noun.person,jocks
2176,2176,verb.contact,sitting
2178,2178,noun.artifact,tables
2184,2184,verb.body,laughing
