COREF,start_token,end_token,prop,cat,text
282,1,5,PROP,PER,HOSSEINI THE KITE RUNNER Riverhead
1,10,18,PROP,FAC,Penguin Random House LLC 375 Hudson Street New York
2,18,18,PROP,GPE,York
3,20,21,PROP,GPE,New York
4,28,29,PROP,ORG,TKR Publications
5,52,53,PROP,ORG,Penguin Group
6,55,55,PROP,GPE,USA
283,58,58,PROP,PER,Penguin
630,81,81,PRON,PER,you
630,114,114,PRON,PER,You
631,117,117,NOM,PER,writers
283,120,120,PROP,PER,Penguin
632,127,128,NOM,PER,every reader
7,130,133,PROP,ORG,The Library of Congress
284,143,143,PROP,PER,Hosseini
284,151,152,PROP,FAC,Khaled Hosseini
285,167,167,PROP,PER,Kabol
633,180,183,NOM,PER,Social classes — Fiction
634,197,197,NOM,PER,Boys
9,222,222,PROP,GPE,Riverhead
635,239,243,NOM,GPE,the United States of America
286,249,250,PROP,PER,Claire Vaccaro
636,271,272,NOM,PER,the author
637,284,285,NOM,PER,actual persons
638,293,293,NOM,PER,companies
636,304,305,NOM,PER,the author
640,330,331,NOM,PER,the publisher
636,333,334,NOM,PER,the author
640,351,352,NOM,PER,the publisher
643,366,366,NOM,PER,author
644,373,373,PRON,PER,their
287,381,381,PROP,PER,Haris
288,383,383,PROP,PER,Farah
645,386,390,NOM,PER,the noor of my eyes
0,389,389,PRON,PER,my
646,394,397,NOM,PER,the children of Afghanistan
10,397,397,PROP,GPE,Afghanistan
0,406,406,PRON,PER,I
647,408,410,NOM,PER,The Kite Runner
0,420,420,PRON,PER,myself
0,428,428,PRON,PER,my
648,431,432,NOM,PER,two boys
649,434,442,NOM,PER,"one conflicted , on unsure emotional and moral ground"
650,444,454,NOM,PER,"the other pure , loyal , rooted in goodness and integrity"
0,456,456,PRON,PER,I
651,459,460,NOM,PER,the boys
651,468,468,PRON,PER,their
651,474,474,PRON,PER,their
0,494,494,PRON,PER,me
0,497,497,PRON,PER,I
0,499,499,PRON,PER,I
647,503,505,NOM,PER,The Kite Runner
0,508,508,PRON,PER,I
0,510,510,PRON,PER,I
0,515,515,PRON,PER,myself
653,517,517,PRON,PER,You
0,520,520,PRON,PER,my
0,539,539,PRON,PER,me
11,544,544,PROP,GPE,India
12,546,547,PROP,GPE,South Africa
13,549,550,PROP,GPE,Tel Aviv
14,552,552,PROP,GPE,Sydney
15,554,554,PROP,GPE,London
16,556,556,PROP,GPE,Arkansas
654,562,562,PRON,PER,their
0,565,565,PRON,PER,me
655,567,567,NOM,PER,Many
10,573,573,PROP,GPE,Afghanistan
656,580,582,NOM,PER,an Afghan orphan
0,588,588,PRON,PER,I
657,597,597,NOM,PER,people
0,600,600,PRON,PER,I
0,624,624,PRON,PER,My
289,627,627,PROP,PER,Amir
0,637,637,PRON,PER,I
282,655,657,PROP,PER,The Kite Runner
0,659,659,PRON,PER,I
282,676,676,PRON,PER,its
658,676,677,NOM,PER,its readers
659,677,677,NOM,PER,readers
282,682,682,PRON,PER,its
660,682,683,NOM,PER,its author
0,698,698,PRON,PER,I
17,701,701,PROP,GPE,Kabul
647,717,719,NOM,FAC,The Kite Runner
0,723,723,PRON,PER,my
662,723,725,NOM,PER,my own family
10,731,731,PROP,GPE,Afghanistan
18,735,735,PROP,GPE,California
0,737,737,PRON,PER,I
0,745,745,PRON,PER,my
663,745,746,NOM,PER,my protagonist
0,752,752,PRON,PER,myself
0,754,754,PRON,PER,I
10,757,757,PROP,GPE,Afghanistan
664,758,769,NOM,PER,"an eleven - year - old , thin - framed seventh grader"
665,768,769,NOM,PER,seventh grader
0,771,771,PRON,PER,I
666,776,784,NOM,PER,a thirty - eight - year - old physician
667,786,786,NOM,PER,writer
668,788,788,NOM,PER,husband
669,791,793,NOM,PER,father of two
0,800,800,PRON,PER,my
17,806,806,PROP,GPE,Kabul
0,817,817,PRON,PER,I
0,822,822,PRON,PER,I
0,827,827,PRON,PER,my
289,833,833,PROP,PER,Amir
282,841,843,PROP,LOC,The Kite Runner
0,846,846,PRON,PER,me
289,849,849,PROP,PER,Amir
0,854,854,PRON,PER,my
0,859,859,PRON,PER,I
670,863,865,NOM,LOC,the old land
0,869,869,PRON,PER,me
0,871,871,PRON,PER,I
0,873,873,PRON,PER,I
671,877,878,NOM,LOC,this land
0,881,881,PRON,PER,I
10,889,889,PROP,GPE,Afghanistan
0,893,893,PRON,PER,me
672,902,902,PRON,PER,you
672,906,906,PRON,PER,you
0,910,910,PRON,PER,I
0,916,916,PRON,PER,I
289,927,927,PROP,PER,Amir
0,931,931,PRON,PER,my
289,937,937,PROP,PER,Amir
0,941,941,PRON,PER,my
647,947,949,NOM,PER,The Kite Runner
0,953,953,PRON,PER,I
0,956,956,PRON,PER,myself
289,959,959,PRON,PER,his
0,975,975,PRON,PER,I
0,977,977,PRON,PER,my
674,977,978,NOM,PER,my father
675,977,1006,NOM,FAC,"my father ’s old house in Wazir Akbar Khan , the house where I grew up , just as Amir rediscovered his Baba ’s old house in that same neighborhood"
20,983,985,PROP,FAC,Wazir Akbar Khan
676,987,992,NOM,FAC,the house where I grew up
0,990,990,PRON,PER,I
289,996,996,PROP,PER,Amir
289,998,998,PRON,PER,his
677,998,1006,NOM,FAC,his Baba ’s old house in that same neighborhood
290,999,999,PROP,PER,Baba
678,1004,1006,NOM,FAC,that same neighborhood
0,1010,1010,PRON,PER,me
0,1017,1017,PRON,PER,I
679,1022,1023,NOM,FAC,the neighborhood
0,1029,1029,PRON,PER,I
0,1033,1033,PRON,PER,I
0,1042,1042,PRON,PER,I
0,1047,1047,PRON,PER,my
680,1047,1049,NOM,FAC,my old house
681,1051,1056,NOM,PER,the Panjshiri soldiers who lived there
682,1056,1056,NOM,FAC,there
0,1062,1062,PRON,PER,me
0,1067,1067,PRON,PER,I
289,1072,1072,PROP,PER,Amir
683,1072,1075,NOM,FAC,Amir ’s childhood house
0,1098,1098,PRON,PER,I
684,1106,1107,NOM,FAC,the house
0,1121,1121,PRON,PER,my
0,1126,1126,PRON,PER,I
0,1132,1132,PRON,PER,I
0,1139,1139,PRON,PER,I
685,1149,1150,NOM,FAC,the driveway
289,1154,1154,PROP,PER,Amir
289,1157,1157,PRON,PER,his
686,1157,1158,NOM,PER,his father
687,1157,1160,NOM,FAC,his father ’s driveway
0,1163,1163,PRON,PER,I
0,1165,1165,PRON,PER,my
688,1170,1171,NOM,PER,the soldiers
0,1173,1173,PRON,PER,I
0,1183,1183,PRON,PER,my
674,1183,1184,NOM,PER,my father
690,1183,1186,NOM,FAC,my father ’s house
0,1194,1194,PRON,PER,I
0,1205,1205,PRON,PER,I
0,1212,1212,PRON,PER,I
289,1216,1216,PROP,PER,Amir
289,1221,1221,PRON,PER,his
686,1221,1222,NOM,PER,his father
692,1221,1224,NOM,FAC,his father ’s house
289,1227,1227,PRON,PER,his
0,1230,1230,PRON,PER,I
289,1233,1233,PRON,PER,him
289,1235,1235,PRON,PER,his
693,1247,1247,PRON,PER,we
0,1269,1269,PRON,PER,my
0,1293,1293,PRON,PER,I
0,1299,1299,PRON,PER,I
694,1304,1304,PRON,PER,you
694,1307,1307,PRON,PER,your
695,1307,1321,NOM,PER,"your troublesome , awkward , unruly , ungainly , but ultimately decent and bighearted child"
0,1324,1324,PRON,PER,I
696,1329,1330,NOM,LOC,the world
697,1342,1343,NOM,PER,a writer
0,1345,1345,PRON,PER,I
659,1349,1349,NOM,PER,readers
699,1365,1366,NOM,PER,the characters
289,1374,1374,PROP,PER,Amir
700,1376,1381,NOM,PER,the pure and mortally doomed Hassan
0,1387,1387,PRON,PER,I
659,1391,1391,NOM,PER,readers
0,1393,1393,PRON,PER,me
10,1400,1400,PROP,GPE,Afghanistan
702,1402,1406,NOM,LOC,a real place for them
659,1406,1406,PRON,PER,them
703,1413,1420,NOM,LOC,the caves of Tora Bora and poppy fields
21,1416,1417,PROP,LOC,Tora Bora
704,1419,1420,NOM,LOC,poppy fields
22,1422,1423,PROP,LOC,Bin Laden
659,1425,1425,PRON,PER,them
