start_token,end_token,supersense_category,text
5,6,noun.group,Riverhead Books
8,8,noun.cognition,imprint
10,13,noun.group,Penguin Random House LLC
15,18,noun.location,Hudson Street New York
20,21,noun.location,New York
24,24,noun.communication,Copyright
28,29,noun.group,TKR Publications
36,36,noun.time,Anniversary
38,38,noun.communication,copyright
42,43,noun.group,TKR Publications
48,48,noun.communication,copyright
52,53,noun.group,Penguin Group
59,59,verb.possession,supports
60,60,noun.communication,copyright
62,62,noun.communication,Copyright
63,63,verb.change,fuels
64,64,noun.cognition,creativity
66,66,verb.emotion,encourages
68,68,noun.attribute,voices
70,70,verb.communication,promotes
71,72,noun.communication,free speech
75,75,verb.creation,creates
78,78,noun.group,culture
80,80,noun.communication,Thank
83,83,verb.possession,buying
86,86,noun.communication,edition
89,89,noun.communication,book
92,92,verb.communication,complying
94,95,noun.communication,copyright laws
98,98,verb.cognition,reproducing
100,100,verb.change,scanning
103,103,verb.possession,distributing
105,105,noun.artifact,part
110,110,noun.cognition,form
112,112,noun.communication,permission
116,116,verb.social,supporting
117,117,noun.person,writers
119,119,verb.communication,allowing
120,120,noun.person,Penguin
122,122,verb.stative,continue
124,124,verb.creation,publish
125,125,noun.communication,books
128,128,noun.person,reader
131,133,noun.group,Library of Congress
135,135,verb.communication,catalogued
137,137,noun.communication,Riverhead
138,138,noun.communication,hardcover
139,139,noun.communication,edition
143,143,noun.person,Hosseini
145,145,noun.communication,Khaled
151,152,noun.group,Khaled Hosseini
160,160,noun.substance,acid
163,163,noun.substance,paper
167,167,noun.person,Kabol
169,169,noun.communication,Afghanistan)—Fiction
174,174,noun.state,friendship
176,176,noun.communication,Fiction
180,181,noun.group,Social classes
183,183,noun.communication,Fiction
193,193,noun.communication,Fiction
210,210,noun.communication,hardcover
211,211,noun.communication,edition
213,213,noun.time,June
216,217,noun.communication,trade paperback
218,218,noun.communication,edition
220,220,noun.time,May
225,225,noun.communication,edition
227,227,noun.time,March
233,233,noun.communication,edition
240,243,noun.group,United States of America
245,246,noun.group,Printing Book
247,247,noun.act,design
249,250,noun.person,Claire Vaccaro
252,252,verb.stative,is
254,254,noun.artifact,work
256,256,noun.communication,fiction
258,258,noun.communication,Names
260,260,noun.communication,characters
262,262,noun.location,places
265,265,noun.communication,incidents
267,267,verb.stative,are
269,269,noun.artifact,product
272,272,noun.person,author
274,274,noun.cognition,imagination
277,277,verb.consumption,used
282,282,noun.attribute,resemblance
285,285,noun.person,persons
289,289,noun.state,dead
291,291,noun.group,businesses
293,293,noun.group,companies
295,295,noun.group,events
298,298,noun.communication,locales
299,299,verb.stative,is
305,305,noun.person,author
307,307,verb.social,made
309,309,noun.act,effort
311,311,verb.possession,provide
313,314,noun.communication,telephone numbers
316,316,noun.artifact,Internet
317,317,noun.location,addresses
321,322,noun.communication,contact information
325,325,noun.time,time
327,327,noun.communication,publication
331,331,noun.person,publisher
334,334,noun.person,author
335,335,verb.cognition,assumes
337,337,noun.act,responsibility
339,339,noun.act,errors
343,343,noun.event,changes
345,345,verb.change,occur
347,347,noun.communication,publication
352,352,noun.group,publisher
355,355,verb.possession,have
357,357,noun.relation,control
362,362,verb.cognition,assume
364,364,noun.act,responsibility
366,366,noun.person,author
370,370,noun.group,party
371,371,noun.artifact,websites
374,374,noun.communication,content
377,377,noun.communication,book
381,381,noun.person,Haris
383,383,noun.person,Farah
387,387,noun.person,noor
390,390,noun.body,eyes
395,395,noun.person,children
397,397,noun.location,Afghanistan
407,407,verb.change,began
413,413,noun.time,March
419,419,verb.communication,tell
422,422,noun.communication,story
425,426,verb.change,taken root
429,429,noun.cognition,mind
432,432,noun.person,boys
442,442,noun.object,ground
452,452,noun.attribute,goodness
454,454,noun.state,integrity
457,457,verb.cognition,knew
460,460,noun.person,boys
462,462,noun.state,friendship
463,463,verb.stative,was
469,471,noun.state,falling - out
473,473,verb.stative,impact
475,475,noun.state,lives
479,479,noun.attribute,way
482,482,noun.communication,why
485,485,verb.stative,were
487,487,noun.motive,reason
490,490,noun.motive,compulsion
493,493,verb.stative,carried
498,498,verb.cognition,knew
502,502,verb.creation,write
509,509,verb.cognition,thought
512,512,verb.creation,writing
519,519,verb.creation,imagine
521,521,noun.feeling,astonishment
527,527,noun.communication,reception
529,529,noun.communication,book
531,531,verb.perception,received
535,535,noun.communication,publication
538,538,verb.communication,amazes
541,541,verb.possession,get
542,542,noun.communication,letters
544,544,noun.location,India
546,547,noun.location,South Africa
549,550,noun.location,Tel Aviv
552,552,noun.location,Sydney
554,554,noun.location,London
556,556,noun.location,Arkansas
559,559,noun.person,readers
561,561,verb.communication,express
563,563,noun.feeling,passion
568,568,verb.emotion,want
570,570,verb.contact,send
571,571,noun.possession,money
573,573,noun.location,Afghanistan
577,577,verb.emotion,want
579,579,verb.possession,adopt
582,582,noun.person,orphan
586,586,noun.communication,letters
589,589,verb.cognition,see
592,592,noun.attribute,ability
593,593,noun.communication,fiction
594,594,verb.possession,has
596,596,verb.social,connect
597,597,noun.group,people
601,601,verb.cognition,see
606,606,noun.cognition,experiences
607,607,verb.stative,are
609,609,noun.feeling,shame
611,611,noun.feeling,guilt
613,613,noun.feeling,regret
615,615,noun.state,friendship
617,617,noun.feeling,love
619,619,noun.feeling,forgiveness
621,621,noun.feeling,atonement
623,623,noun.communication,Foreword
625,625,noun.time,childhood
627,627,noun.person,Amir
629,629,verb.stative,mirrored
634,634,noun.attribute,ways
640,640,verb.cognition,known
642,642,noun.cognition,life
644,644,verb.communication,inform
646,646,verb.change,shape
647,647,noun.communication,fiction
652,652,noun.time,time
654,654,verb.social,completing
661,661,verb.change,become
670,670,noun.communication,fiction
672,672,verb.change,affect
673,673,noun.cognition,life
677,677,noun.person,readers
683,683,noun.person,author
686,686,noun.time,March
692,692,noun.communication,novel
696,696,noun.act,production
699,699,verb.motion,returned
701,701,noun.location,Kabul
708,708,noun.time,years
715,715,noun.quantity,thirds
721,721,verb.communication,informed
725,725,noun.group,family
727,727,noun.event,experiences
731,731,noun.location,Afghanistan
735,735,noun.location,California
739,739,verb.creation,written
742,742,noun.act,homecoming
743,743,noun.act,trip
746,746,noun.person,protagonist
750,750,verb.social,taking
756,756,verb.motion,left
757,757,noun.location,Afghanistan
761,761,noun.time,year
767,767,verb.communication,framed
769,769,noun.person,grader
773,774,verb.motion,going back
781,781,noun.time,year
784,784,noun.person,physician
786,786,noun.person,writer
788,788,noun.person,husband
791,791,noun.person,father
798,798,noun.communication,context
803,803,noun.time,week
804,804,noun.act,stay
806,806,noun.location,Kabul
807,808,verb.change,took on
812,812,noun.attribute,quality
815,815,noun.time,day
818,818,verb.perception,saw
819,819,noun.location,places
821,821,noun.communication,things
825,825,verb.perception,seen
828,828,noun.body,mind
830,830,noun.body,eye
833,833,noun.person,Amir
835,835,noun.body,eyes
839,839,noun.communication,lines
844,844,verb.motion,came
849,849,noun.person,Amir
851,851,noun.cognition,thoughts
853,853,verb.change,became
858,858,noun.relation,kinship
860,860,verb.emotion,felt
865,865,noun.location,land
868,868,verb.cognition,surprised
872,872,verb.cognition,thought
875,875,verb.cognition,forgotten
878,878,noun.location,land
889,889,noun.location,Afghanistan
892,892,verb.cognition,forgotten
898,898,noun.communication,adage
900,900,verb.creation,writing
901,901,verb.stative,is
903,903,verb.communication,write
908,908,verb.perception,experienced
914,914,verb.perception,experience
919,920,verb.creation,written about
925,925,noun.communication,line
927,927,noun.person,Amir
929,929,noun.cognition,memories
933,933,verb.change,began
935,935,verb.change,blur
937,937,noun.person,Amir
939,939,verb.stative,lived
942,942,noun.cognition,memories
945,945,noun.communication,pages
955,955,verb.perception,found
957,957,verb.stative,living
965,965,noun.communication,fiction
967,967,noun.cognition,life
968,968,verb.stative,collide
976,976,verb.perception,found
978,978,noun.person,father
981,981,noun.artifact,house
983,984,noun.location,Wazir Akbar
988,988,noun.artifact,house
991,992,verb.change,grew up
996,996,noun.person,Amir
997,997,verb.possession,rediscovered
999,999,noun.person,Baba
1002,1002,noun.artifact,house
1006,1006,noun.location,neighborhood
1009,1009,verb.possession,took
1013,1013,noun.time,days
1015,1015,noun.act,searching
1018,1018,verb.possession,had
1020,1020,noun.communication,address
1023,1023,noun.location,neighborhood
1025,1025,verb.change,changed
1030,1030,verb.stative,kept
1031,1031,verb.perception,looking
1034,1034,verb.perception,spotted
1037,1037,noun.artifact,arch
1040,1040,noun.artifact,gates
1045,1046,verb.motion,walk through
1049,1049,noun.artifact,house
1053,1053,noun.person,soldiers
1055,1055,verb.stative,lived
1057,1057,verb.stative,were
1061,1061,verb.communication,grant
1065,1065,noun.act,tour
1068,1068,verb.perception,found
1072,1072,noun.person,Amir
1075,1075,noun.artifact,house
1078,1078,noun.artifact,paint
1080,1080,verb.change,faded
1083,1083,noun.plant,grass
1085,1085,verb.change,withered
1088,1088,noun.plant,trees
1089,1089,verb.stative,were
1094,1094,noun.artifact,walls
1096,1096,verb.change,crumbling
1101,1101,verb.emotion,struck
1107,1107,noun.artifact,house
1108,1108,verb.stative,was
1110,1110,noun.state,reality
1113,1113,noun.cognition,version
1119,1119,verb.stative,lived
1122,1122,noun.cognition,memories
1127,1127,verb.communication,swear
1133,1133,verb.motion,stepped
1137,1137,noun.artifact,gates
1140,1140,verb.perception,saw
1142,1142,noun.person,Rorscharch
1143,1143,noun.attribute,blot
1146,1146,noun.substance,oil
1147,1147,noun.attribute,stain
1150,1150,noun.artifact,driveway
1154,1154,noun.person,Amir
1155,1155,verb.possession,had
1158,1158,noun.person,father
1160,1160,noun.artifact,driveway
1164,1164,verb.communication,said
1166,1166,noun.communication,goodbyes
1168,1168,noun.communication,thanks
1171,1171,noun.person,soldiers
1174,1174,verb.cognition,realized
1180,1180,noun.phenomenon,impact
1182,1182,verb.possession,finding
1184,1184,noun.person,father
1186,1186,noun.artifact,house
1189,1189,verb.stative,been
1197,1197,verb.creation,written
1208,1208,verb.stative,been
1214,1214,verb.contact,stood
1216,1216,noun.person,Amir
1219,1219,noun.artifact,gates
1222,1222,noun.person,father
1224,1224,noun.artifact,house
1226,1226,verb.emotion,felt
1228,1228,noun.event,loss
1232,1232,verb.perception,watched
1234,1234,verb.contact,set
1236,1236,noun.body,hands
1240,1240,noun.artifact,wrought
1242,1242,noun.substance,iron
1243,1243,noun.artifact,bars
1249,1249,verb.perception,gazed
1253,1253,noun.artifact,roof
1255,1255,verb.change,crumbling
1256,1257,noun.artifact,front steps
1260,1260,verb.communication,written
1262,1262,noun.communication,scene
1263,1263,verb.change,took
1267,1267,noun.attribute,edge
1271,1271,noun.cognition,experience
1273,1273,verb.communication,Call
1275,1275,noun.act,Art
1276,1276,verb.possession,stealing
1277,1277,noun.time,Life
1279,1279,noun.event,thunder
1282,1282,noun.time,years
1284,1284,verb.change,passed
1287,1287,noun.communication,publication
1295,1295,verb.emotion,love
1297,1297,noun.communication,book
1300,1300,verb.emotion,love
1303,1303,noun.attribute,way
1306,1306,verb.emotion,love
1321,1321,noun.person,child
1330,1330,noun.object,world
1332,1332,noun.communication,reception
1336,1336,noun.time,years
1339,1339,noun.communication,publication
1343,1343,noun.person,writer
1347,1347,verb.emotion,thrilled
1349,1349,noun.person,readers
1350,1350,verb.cognition,respond
1353,1353,noun.communication,story
1357,1357,noun.communication,twists
1359,1359,noun.event,turns
1362,1362,noun.cognition,plot
1366,1366,noun.cognition,characters
1374,1374,noun.person,Amir
1381,1381,noun.person,Hassan
1385,1385,noun.person,Afghan
1389,1389,verb.communication,honored
1391,1391,noun.person,readers
1392,1392,verb.communication,tell
1396,1396,noun.communication,book
1398,1398,verb.social,helped
1399,1399,verb.change,make
1400,1401,noun.location,Afghanistan Foreword
1404,1404,noun.location,place
1410,1410,verb.stative,is
1414,1414,noun.location,caves
1416,1417,noun.location,Tora Bora
1419,1420,noun.location,poppy fields
1422,1423,noun.location,Bin Laden
1429,1429,verb.stative,’s
1432,1432,noun.attribute,honor
1434,1434,noun.person,readers
1435,1435,verb.communication,tell
1439,1439,noun.communication,novel
1440,1440,verb.social,helped
1441,1441,verb.change,put
1444,1444,noun.body,face
1446,1446,noun.location,Afghanistan
1454,1454,verb.cognition,see
1456,1456,noun.location,homeland
1468,1468,noun.location,land
1471,1471,verb.emotion,hope
1474,1474,verb.stative,is
1479,1480,noun.communication,Thank you
1487,1487,noun.act,support
1489,1489,noun.communication,encouragement
1492,1493,noun.location,Hosseini START
1496,1496,noun.communication,CHAPTER
1498,1498,noun.time,December
1502,1502,verb.change,became
1505,1505,verb.stative,am
1506,1506,noun.time,today
1509,1509,noun.attribute,age
1517,1517,noun.time,day
1520,1520,noun.time,winter
1525,1525,verb.cognition,remember
1528,1528,noun.time,moment
1530,1530,verb.contact,crouching
1534,1534,noun.substance,mud
1535,1535,noun.artifact,wall
1537,1537,verb.perception,peeking
1540,1540,noun.artifact,alley
1544,1544,noun.object,creek
1547,1547,verb.stative,was
1549,1550,noun.time,long time
1555,1555,verb.stative,’s
1559,1559,verb.communication,say
1562,1562,noun.time,past
1566,1566,verb.cognition,learned
1572,1572,verb.contact,bury
1577,1577,noun.time,past
1578,1578,verb.cognition,claws
1580,1580,noun.act,way
1583,1583,verb.perception,Looking
1588,1588,verb.cognition,realize
1592,1592,verb.perception,peeking
1596,1596,noun.artifact,alley
1603,1603,noun.time,years
1606,1606,noun.time,day
1608,1608,noun.time,summer
1611,1611,noun.person,friend
