COREF,start_token,end_token,prop,cat,text
142,2,3,PROP,PER,ADAM RAPP
1,2,8,PROP,GPE,ADAM RAPP Candlewick Press Cambridge . Massachusetts
2,6,6,PROP,GPE,Cambridge
3,8,8,PROP,GPE,Massachusetts
262,9,10,NOM,PER,The author
262,14,14,PRON,PER,his
263,14,15,NOM,PER,his agent
143,17,18,PROP,PER,Bill Reiss
143,21,21,PRON,PER,his
262,26,26,PRON,PER,his
264,26,27,NOM,PER,his editor
144,29,30,PROP,PER,Liz Bicknell
144,33,33,PRON,PER,her
262,57,58,NOM,PER,the author
142,75,77,PROP,PER,Adam Rapp Illustrations
145,82,84,PROP,PER,Timothy Basil Ering
266,135,136,NOM,PER,the publisher
4,143,144,PROP,LOC,Hushabye Mountain
146,147,149,PROP,PER,Richard M. Sherman
147,151,153,PROP,PER,Robert B. Sherman
5,172,176,PROP,FAC,Warner Bros. Publications U.S. Inc.
6,178,178,PROP,GPE,Miami
7,183,186,PROP,ORG,The Library of Congress
142,195,195,PROP,PER,Rapp
142,197,197,PROP,PER,Adam
142,202,203,PROP,PER,Adam Rapp
145,205,207,PROP,PER,Timothy Basil Ering
267,209,209,NOM,PER,illustrator
268,220,222,NOM,PER,A homeless boy
269,229,239,NOM,PER,"a fifteen - year - old , drug - addicted prostitute"
269,241,241,PRON,PER,her
270,241,248,NOM,PER,her boyfriend who just killed his own parents
268,246,246,PRON,PER,his
271,246,248,NOM,PER,his own parents
272,251,252,NOM,PER,a baby
268,263,263,PRON,PER,himself
273,279,280,NOM,PER,Homeless persons
274,286,290,NOM,PER,Child sexual abuse — Fiction
275,294,296,NOM,PER,Babies — Fiction
276,306,307,NOM,GPE,Middle West
277,315,318,NOM,PER,Thirty - three snowfish
145,322,322,PROP,PER,Ering
148,324,325,PROP,PER,Timothy B.
278,358,362,NOM,LOC,the United States of America
8,362,362,PROP,GPE,America
9,368,368,PROP,GPE,Perpetua
10,391,391,PROP,GPE,Candlewick
11,394,396,PROP,FAC,Massachusetts Avenue Cambridge
3,398,398,PROP,GPE,Massachusetts
279,401,401,PRON,PER,us
268,414,414,PRON,PER,he
0,418,418,PRON,PER,I
268,423,423,PRON,PER,him
0,426,426,PRON,PER,I
0,429,429,PRON,PER,I
268,434,434,PRON,PER,him
0,440,440,PRON,PER,me
280,442,443,NOM,LOC,the woods
268,458,458,PRON,PER,his
142,464,464,PROP,PER,Addie
149,467,468,PROP,PER,William Faulkner
12,467,496,PROP,FAC,William Faulkner ’s As I Lay Dying THE SKYLARK 1 THE OTEL MOTEL 59 THE VAN 87 SELDOM 123 THE ITTY BITTY FARM 129 START OF BOOK THE SKYLARK CUSTIS
268,471,471,PRON,PER,I
543,474,496,NOM,FAC,THE SKYLARK 1 THE OTEL MOTEL 59 THE VAN 87 SELDOM 123 THE ITTY BITTY FARM 129 START OF BOOK THE SKYLARK CUSTIS
150,503,503,PROP,PER,Boobie
544,510,511,NOM,FAC,Highway 53
268,512,512,PRON,PER,he
268,523,523,PRON,PER,he
545,532,533,NOM,VEH,the car
268,536,536,PRON,PER,I
268,539,539,PRON,PER,him
268,540,540,PRON,PER,he
268,551,551,PRON,PER,his
546,554,557,NOM,PER,some kind of scientist
210,559,559,PROP,PER,Curl
268,566,566,PRON,PER,he
152,569,569,PROP,PER,Custis
268,573,573,PRON,PER,he
268,577,577,PRON,PER,I
268,579,579,PRON,PER,he
547,581,581,PRON,PER,them
153,590,591,PROP,PER,The Gatorade
268,598,598,PRON,PER,I
548,601,601,NOM,PER,someone
268,606,606,PRON,PER,my
210,609,609,PROP,PER,Curl
210,618,618,PRON,PER,she
549,622,622,PRON,PER,we
13,625,626,PROP,FAC,Highway 38
210,628,628,PRON,PER,Her
550,639,647,NOM,FAC,Them towns like Maple Park and Elburn and Cortland
14,642,643,PROP,FAC,Maple Park
15,645,645,PROP,GPE,Elburn
16,647,647,PROP,GPE,Cortland
550,655,655,PRON,PER,their
551,655,656,NOM,FAC,their fields
210,672,672,PROP,PER,Curl
268,685,685,PRON,PER,him
268,687,687,PRON,PER,He
210,695,695,PROP,PER,Curl
552,697,697,PRON,PER,you
210,707,707,PRON,PER,She
268,720,720,PRON,PER,I
553,727,727,NOM,PER,pigs
154,729,729,PROP,PER,Pigs
554,733,734,NOM,FAC,the highway
552,736,736,PRON,PER,you
154,741,741,PRON,PER,They
154,746,746,PRON,PER,their
555,746,747,NOM,VEH,their cars
154,751,751,PRON,PER,their
17,755,756,PROP,FAC,Interstate 80
556,757,759,NOM,VEH,a pig car
268,769,769,PRON,PER,I
553,784,784,PRON,PER,them
552,807,807,PRON,PER,you
