start_token,end_token,supersense_category,text
1,1,noun.substance,snowfish
2,6,noun.group,ADAM RAPP Candlewick Press Cambridge
8,8,noun.location,Massachusetts
10,10,noun.person,author
11,11,verb.emotion,wishes
13,13,verb.communication,thank
15,15,noun.person,agent
17,18,noun.person,Bill Reiss
23,23,noun.attribute,persistence
27,27,noun.person,editor
29,30,noun.person,Liz Bicknell
35,35,noun.feeling,fearlessness
38,38,verb.stative,is
40,40,noun.artifact,work
42,42,noun.communication,fiction
44,44,noun.communication,Names
46,46,noun.communication,characters
48,48,noun.location,places
51,51,noun.communication,incidents
52,52,verb.stative,are
55,55,noun.artifact,product
58,58,noun.person,author
60,60,noun.cognition,imagination
67,67,verb.consumption,used
70,70,noun.communication,Text
71,71,noun.communication,copyright
75,77,noun.person,Adam Rapp Illustrations
78,78,noun.communication,copyright
90,90,noun.relation,part
93,93,noun.communication,book
96,96,verb.contact,reproduced
98,98,verb.contact,transmitted
101,101,verb.possession,stored
104,104,noun.communication,information
105,105,verb.contact,retrieval
106,106,noun.cognition,system
109,109,noun.communication,form
123,123,noun.act,photocopying
125,125,noun.act,taping
128,128,noun.artifact,recording
133,133,noun.communication,permission
136,136,noun.group,publisher
139,139,noun.communication,paperback
140,140,noun.communication,edition
147,149,noun.person,Richard M. Sherman
151,153,noun.person,Robert B. Sherman
154,154,noun.communication,copyright
170,170,noun.communication,permission
172,176,noun.group,Warner Bros. Publications U.S. Inc.
178,178,noun.location,Miami
184,186,noun.group,Library of Congress
188,188,verb.communication,cataloged
190,190,noun.communication,hardcover
191,191,noun.communication,edition
195,195,noun.person,Rapp
197,197,noun.person,Adam
200,200,noun.person,snowfish
202,203,noun.person,Adam Rapp
205,207,noun.person,Timothy Basil Ering
209,209,noun.person,illustrator
218,218,noun.communication,Summary
222,222,noun.person,boy
224,224,verb.contact,running
227,227,noun.group,police
232,232,noun.time,year
239,239,noun.person,prostitute
242,242,noun.person,boyfriend
245,245,verb.contact,killed
248,248,noun.person,parents
252,252,noun.person,baby
254,254,verb.change,gets
256,256,noun.state,chance
258,258,verb.creation,make
261,261,noun.state,life
274,274,noun.artifact,hardcover
280,280,noun.person,persons
282,282,noun.communication,Fiction
