COREF,start_token,end_token,prop,cat,text
91,1,5,PROP,PER,Ellen Hopkins Margaret K McElderry
1,7,8,PROP,GPE,NEW YORK
2,10,10,PROP,GPE,LONDON
3,10,33,PROP,FAC,LONDON TORONTO SYDNEY NEW DELHI MARGARET K. MCELDERRY BOOKS An imprint of Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
4,11,11,PROP,GPE,TORONTO
5,12,12,PROP,GPE,SYDNEY
6,14,14,PROP,GPE,DELHI
92,15,17,PROP,PER,MARGARET K. MCELDERRY
7,32,33,PROP,LOC,the Americas
1,35,36,PROP,GPE,New York
1,38,39,PROP,GPE,New York
223,77,78,NOM,PER,the author
91,105,106,PROP,PER,Ellen Hopkins
91,119,120,PROP,PER,Ellen Hopkins
91,139,139,PROP,PER,Margaret
92,163,165,PROP,PER,Simon & Schuster
224,179,184,NOM,ORG,The Simon & Schuster Speakers Bureau
225,187,187,NOM,PER,authors
226,189,189,PRON,PER,your
224,203,208,NOM,PER,the Simon & Schuster Speakers Bureau
228,219,219,PRON,PER,our
8,230,231,PROP,FAC,McElderry Books
92,235,237,PROP,PER,Margaret K. McElderry
93,245,247,PROP,PER,Sammy Yuen Jr.
229,265,268,NOM,GPE,the United States of
9,269,269,PROP,GPE,America
8,273,274,PROP,FAC,McElderry Books
10,311,314,PROP,ORG,The Library of Congress
91,323,323,PROP,PER,Hopkins
91,325,325,PROP,PER,Ellen
91,329,330,PROP,PER,Ellen Hopkins
230,346,346,PRON,PER,he
231,365,366,NOM,ORG,High schools
232,390,390,PRON,PER,I.
0,405,405,PRON,PER,my
233,405,406,NOM,PER,my family
234,409,418,NOM,PER,all families whose lives have been touched by the monster
94,424,425,PROP,PER,Lin Oliver
95,427,428,PROP,PER,Steve Mooser
235,430,430,PRON,PER,their
0,436,436,PRON,PER,my
0,460,460,PRON,PER,my
236,460,461,NOM,PER,my daughter
236,468,468,PRON,PER,her
236,475,475,PRON,PER,her
237,475,476,NOM,PER,her family
0,478,478,PRON,PER,My
233,478,479,NOM,PER,My family
239,487,487,PRON,PER,you
240,500,500,PRON,PER,him
241,502,502,PRON,PER,her
242,504,505,NOM,PER,a stranger
239,508,508,PRON,PER,you
243,528,528,PRON,PER,us
244,532,534,NOM,PER,families like ours
243,534,534,PRON,PER,ours
245,536,539,NOM,PER,Many of the characters
246,538,539,NOM,PER,the characters
247,543,544,NOM,PER,real people
245,547,547,PRON,PER,they
245,551,551,PRON,PER,they
248,554,563,NOM,PER,The “ baby ” at the end of the book
0,571,571,PRON,PER,my
249,571,572,NOM,PER,my husband
0,574,574,PRON,PER,I
248,577,577,PRON,PER,him
248,579,579,PRON,PER,He
239,598,598,PRON,PER,you
0,600,600,PRON,PER,I
0,604,604,PRON,PER,I
96,610,610,PROP,PER,Crank
239,626,626,PRON,PER,you
239,630,630,PRON,PER,your
97,646,648,PROP,PER,the Monster Life
0,652,652,PRON,PER,I
250,654,655,NOM,PER,the monster
239,672,672,PRON,PER,you
0,678,678,PRON,PER,me
239,690,690,PRON,PER,you
0,695,695,PRON,PER,me
251,697,698,NOM,PER,the girl
251,702,702,PRON,PER,her
251,705,705,PRON,PER,her
242,707,708,NOM,PER,a stranger
239,711,711,PRON,PER,you
253,721,723,NOM,FAC,the high road
0,734,734,PRON,PER,my
0,737,737,PRON,PER,I
0,748,748,PRON,PER,I
0,787,787,PRON,PER,I
254,792,793,NOM,PER,no mom
98,795,795,PROP,PER,Marie
98,802,802,PRON,PER,her
255,807,808,NOM,PER,no stepfather
99,810,810,PROP,PER,Scott
256,820,822,NOM,PER,no big sister
100,824,824,PROP,PER,Leigh
257,834,836,NOM,PER,no little brother
101,838,838,PROP,PER,Jake
101,844,844,PRON,PER,his
0,847,847,PRON,PER,my
258,855,857,NOM,PER,the person inside
0,859,859,PRON,PER,I
258,864,864,PRON,PER,her
0,873,873,PRON,PER,me
258,875,875,PRON,PER,She
258,919,919,PRON,PER,her
259,934,934,PRON,PER,you
258,942,942,PRON,PER,her
260,948,950,NOM,PER,no perfect daughter
261,952,957,NOM,PER,no gifted high - school junior
102,959,962,PROP,PER,no Kristina Georgia Snow
103,967,967,PROP,PER,Bree
103,971,971,PROP,PER,Bree
0,972,972,PRON,PER,I
103,974,974,PRON,PER,she
0,991,991,PRON,PER,I
0,994,994,PRON,PER,I
103,997,997,PRON,PER,her
0,1004,1004,PRON,PER,my
262,1014,1014,NOM,FAC,fieldstone
0,1019,1019,PRON,PER,I
103,1021,1021,PROP,PER,Bree
102,1037,1037,PROP,GPE,Kristina
0,1045,1045,PRON,PER,I
0,1049,1049,PRON,PER,I
103,1052,1052,PRON,PER,her
103,1075,1075,PROP,PER,Bree
0,1077,1077,PRON,PER,me
0,1084,1084,PRON,PER,I
103,1092,1092,PROP,PER,Bree
263,1094,1096,NOM,PER,no imaginary playmate
264,1098,1100,NOM,PER,no overactive pituitary
265,1102,1104,NOM,PER,no alter ego
103,1109,1109,PRON,PER,Hers
0,1113,1113,PRON,PER,I
266,1123,1124,NOM,PER,good girls
266,1130,1131,NOM,PER,good girls
266,1137,1137,PRON,PER,their
268,1137,1139,NOM,PER,their best friends
266,1146,1146,PRON,PER,they
269,1150,1154,NOM,FAC,lonely moon - shadowed sidewalks
0,1156,1156,PRON,PER,I
266,1161,1161,PRON,PER,them
266,1166,1166,PRON,PER,they
270,1179,1179,NOM,PER,vampires
0,1186,1186,PRON,PER,My
271,1186,1187,NOM,PER,My Mom
272,1190,1190,PRON,PER,You
273,1200,1201,NOM,PER,The judge
274,1203,1205,NOM,FAC,a God complex
0,1207,1207,PRON,PER,I
271,1211,1211,PRON,PER,she
273,1221,1221,PRON,PER,He
0,1226,1226,PRON,PER,My
271,1226,1227,NOM,PER,My mom
271,1230,1230,PRON,PER,her
276,1230,1231,NOM,PER,her daughter
271,1238,1238,PRON,PER,her
0,1241,1241,PRON,PER,I
0,1252,1252,PRON,PER,my
0,1256,1256,PRON,PER,I
271,1259,1259,PRON,PER,her
0,1261,1261,PRON,PER,My
271,1261,1262,NOM,PER,My mom
271,1265,1265,PRON,PER,her
0,1275,1275,PRON,PER,I
0,1282,1282,PRON,PER,I
104,1286,1286,PROP,PER,Dad
273,1300,1300,PRON,PER,He
278,1302,1306,NOM,PER,a self - serving bastard
0,1308,1308,PRON,PER,My
271,1308,1309,NOM,PER,My mom
280,1311,1312,NOM,PER,warrior goddess
273,1319,1319,PRON,PER,he
273,1322,1322,PRON,PER,He
0,1329,1329,PRON,PER,I
105,1334,1334,PROP,PER,Plotted
0,1338,1338,PRON,PER,I
106,1344,1344,PROP,PER,Daddy
106,1350,1350,PRON,PER,him
0,1355,1355,PRON,PER,My
271,1355,1356,NOM,PER,My mom
106,1364,1364,PRON,PER,his
106,1372,1372,PRON,PER,his
0,1375,1375,PRON,PER,I
0,1381,1381,PRON,PER,my
271,1392,1392,PRON,PER,she
106,1394,1394,PRON,PER,him
0,1398,1398,PRON,PER,My
271,1398,1399,NOM,PER,My mom
0,1403,1403,PRON,PER,me
271,1409,1409,PRON,PER,her
0,1419,1419,PRON,PER,I
271,1426,1426,PRON,PER,she
0,1428,1428,PRON,PER,me
0,1431,1431,PRON,PER,I
0,1434,1434,PRON,PER,my
106,1437,1437,PROP,PER,Daddy
283,1440,1442,NOM,VEH,Aboard United 1425
284,1443,1445,NOM,PER,The flight attendant
0,1447,1447,PRON,PER,me
285,1452,1456,NOM,VEH,a moth - munched toupee
0,1464,1464,PRON,PER,I
0,1466,1466,PRON,PER,myself
286,1484,1486,NOM,VEH,astraddle a 747
287,1490,1491,NOM,VEH,banshee engines
288,1494,1495,NOM,PER,earachy babies
289,1498,1499,NOM,PER,elderly seatmate
0,1508,1508,PRON,PER,me
0,1511,1511,PRON,PER,I
0,1519,1519,PRON,PER,I
0,1551,1551,PRON,PER,I
107,1554,1554,PROP,PER,Albert
0,1562,1562,PRON,PER,I
0,1564,1564,PRON,PER,my
107,1570,1570,PRON,PER,him
0,1582,1582,PRON,PER,My
290,1582,1583,NOM,PER,My wife
0,1592,1592,PRON,PER,I
0,1597,1597,PRON,PER,my
271,1597,1598,NOM,PER,my mom
99,1600,1600,PROP,PER,Scott
99,1602,1602,PRON,PER,He
271,1607,1607,PRON,PER,her
103,1621,1621,PROP,PER,Kristina
107,1638,1638,PROP,PER,Albert
107,1648,1648,PRON,PER,His
107,1652,1652,PRON,PER,he
107,1655,1655,PRON,PER,his
0,1669,1669,PRON,PER,I
107,1671,1671,PRON,PER,his
0,1686,1686,PRON,PER,me
0,1700,1700,PRON,PER,I
106,1726,1726,PROP,PER,Daddy
0,1738,1738,PRON,PER,me
0,1740,1740,PRON,PER,I
106,1744,1744,PRON,PER,his
106,1746,1746,PRON,PER,his
106,1750,1750,PRON,PER,his
106,1759,1759,PRON,PER,He
0,1766,1766,PRON,PER,me
106,1773,1773,PRON,PER,he
0,1775,1775,PRON,PER,I
12,1788,1791,PROP,FAC,Hot Landing Hot runway
292,1820,1821,NOM,PER,young lady
107,1827,1827,PROP,PER,Albert
293,1871,1871,PRON,PER,You
293,1875,1875,PRON,PER,You
293,1878,1878,PRON,PER,You
293,1884,1884,PRON,PER,You
0,1889,1889,PRON,PER,me
294,1897,1900,NOM,PER,part - time relatives
295,1902,1904,NOM,PER,substitutes for love
13,1907,1910,PROP,LOC,The Prince of Albuquerque
14,1910,1910,PROP,GPE,Albuquerque
15,1915,1915,PROP,GPE,Reno
0,1923,1923,PRON,PER,I
296,1925,1926,NOM,VEH,the plane
14,1945,1945,PROP,GPE,Albuquerque
0,1947,1947,PRON,PER,I
297,1950,1951,NOM,FAC,the skywalk
0,1964,1964,PRON,PER,my
0,1970,1970,PRON,PER,my
298,1973,1974,NOM,PER,No one
0,1979,1979,PRON,PER,I
299,1981,1985,NOM,PER,the crowd at the gate
0,2010,2010,PRON,PER,my
0,2019,2019,PRON,PER,I
13,2021,2021,PRON,PER,he
300,2030,2042,NOM,PER,a seven - year - old whose daddy was the Prince of Albuquerque
301,2039,2042,NOM,PER,the Prince of Albuquerque
14,2042,2042,PROP,GPE,Albuquerque
0,2044,2044,PRON,PER,I
16,2049,2050,PROP,GPE,New Mexico
106,2056,2056,PROP,PER,Daddy
106,2065,2065,PRON,PER,he
106,2080,2080,PROP,PER,Daddy
0,2087,2087,PRON,PER,my
302,2087,2088,NOM,PER,my love
106,2090,2090,PRON,PER,He
0,2092,2092,PRON,PER,me
0,2102,2102,PRON,PER,I
106,2104,2104,PRON,PER,he
106,2119,2119,PRON,PER,me
0,2142,2142,PRON,PER,my
103,2159,2159,PROP,PER,Kristina
106,2162,2162,PRON,PER,He
0,2164,2164,PRON,PER,me
108,2175,2176,PROP,PER,Jack Daniels
99,2182,2182,PROP,PER,Scott
0,2189,2189,PRON,PER,I
106,2195,2195,PRON,PER,you
1601,2206,2206,NOM,PER,Dad
303,2210,2210,NOM,PER,daddy
1601,2212,2212,NOM,PER,dad
305,2217,2217,PRON,PER,We
306,2219,2219,NOM,PER,strangers
0,2225,2225,PRON,PER,I
307,2228,2229,NOM,VEH,a Car
308,2231,2236,NOM,PER,a Stranger A ' 92 Geo
309,2242,2246,NOM,VEH,not quite a princely coach
104,2248,2248,PROP,PER,Dad
0,2250,2250,PRON,PER,I
104,2257,2257,PRON,PER,your
310,2257,2258,NOM,PER,your sister
311,2266,2268,NOM,FAC,a California campus
310,2271,2271,PRON,PER,she
0,2274,2274,PRON,PER,I
104,2277,2277,PROP,PER,Mom
0,2280,2280,PRON,PER,You
310,2282,2282,PRON,PER,her
104,2287,2287,PRON,PER,your
312,2287,2288,NOM,PER,your mother
313,2305,2307,NOM,PER,a wannabe writer
314,2309,2310,NOM,PER,workout fanatic
308,2319,2319,PRON,PER,his
109,2324,2324,PROP,PER,Indifferent
0,2333,2333,PRON,PER,my
0,2342,2342,PRON,PER,I
308,2344,2344,PRON,PER,him
0,2347,2347,PRON,PER,you
0,2352,2352,PRON,PER,you
0,2376,2376,PRON,PER,You
315,2395,2396,NOM,VEH,The carriage
0,2403,2403,PRON,PER,I
0,2405,2405,PRON,PER,my
0,2414,2414,PRON,PER,me
0,2423,2423,PRON,PER,your
0,2426,2426,PRON,PER,your
316,2426,2428,NOM,PER,your old man
0,2430,2430,PRON,PER,I
317,2463,2464,NOM,PER,little girl
308,2469,2469,PRON,PER,his
308,2472,2472,PRON,PER,He
308,2475,2475,PRON,PER,his
0,2485,2485,PRON,PER,My
308,2489,2489,PRON,PER,He
0,2497,2497,PRON,PER,Your
312,2497,2498,NOM,PER,Your mother
0,2500,2500,PRON,PER,me
0,2506,2506,PRON,PER,I
308,2508,2508,PRON,PER,him
319,2522,2522,NOM,GPE,city
320,2525,2525,NOM,FAC,suburbs
321,2527,2529,NOM,FAC,Not pretty suburbs
312,2532,2532,PRON,PER,She
322,2534,2536,NOM,PER,the bitch queen
0,2538,2538,PRON,PER,I
0,2543,2543,PRON,PER,I
323,2547,2548,NOM,PER,The Geo
324,2551,2556,NOM,FAC,a weather - chewed parking lot
0,2558,2558,PRON,PER,I
325,2571,2571,PRON,PER,we
326,2574,2576,NOM,FAC,Home sweet home
327,2582,2582,PRON,PER,yours
0,2584,2584,PRON,PER,I
106,2591,2591,PROP,PER,Daddy
301,2594,2597,NOM,PER,the Prince of Albuquerque
14,2597,2597,PROP,GPE,Albuquerque
106,2599,2599,PRON,PER,He
329,2601,2604,NOM,PER,the King of Cliche
330,2607,2607,PRON,PER,You
331,2610,2611,NOM,FAC,a Castle
332,2613,2615,NOM,FAC,Cracked cement ramparts
333,2617,2630,NOM,FAC,"a less than mighty bastion , swamp cooler overflow , drool down the battlement"
334,2637,2638,NOM,PER,faceless generals
334,2642,2642,PRON,PER,their
335,2642,2644,NOM,PER,their private troops
334,2647,2647,PRON,PER,their
336,2647,2649,NOM,PER,their little soldiers
0,2653,2653,PRON,PER,my
337,2653,2654,NOM,FAC,my castle
330,2656,2656,PRON,PER,You
331,2659,2660,NOM,FAC,a castle
339,2665,2667,NOM,FAC,the parking lot
0,2669,2669,PRON,PER,me
0,2684,2684,PRON,PER,I
0,2687,2687,PRON,PER,my
0,2698,2698,PRON,PER,I
0,2706,2706,PRON,PER,My
340,2713,2713,PRON,PER,His
341,2721,2721,PRON,PER,/break
342,2727,2739,NOM,PER,"No shoes barefoot , bare chest , with a bare , baby face"
343,2742,2744,NOM,PER,the angels sing
344,2764,2769,NOM,PER,No pin - up pretty boy
340,2780,2780,PRON,PER,He
0,2784,2784,PRON,PER,my
0,2790,2790,PRON,PER,I
0,2797,2797,PRON,PER,my
345,2797,2798,NOM,PER,my dad
346,2802,2803,NOM,FAC,palatial apartment
345,2806,2806,PRON,PER,he
347,2811,2815,NOM,GPE,this true blue collar kingdom
0,2817,2817,PRON,PER,I
348,2824,2826,NOM,PER,the working class
104,2830,2830,PROP,PER,Dad
