start_token,end_token,supersense_category,text
1,2,noun.person,Ellen Hopkins
3,8,noun.group,Margaret K McElderry Books NEW YORK
10,11,noun.location,LONDON TORONTO
12,14,noun.location,SYDNEY NEW DELHI
15,18,noun.group,MARGARET K. MCELDERRY BOOKS
20,20,noun.cognition,imprint
30,33,noun.location,Avenue of the Americas
35,36,noun.location,New York
38,39,noun.location,New York
42,42,noun.communication,book
43,43,verb.stative,is
45,45,noun.artifact,work
47,47,noun.communication,fiction
50,50,noun.communication,references
53,53,noun.event,events
56,56,noun.group,people
60,60,noun.location,places
62,62,verb.consumption,used
66,66,noun.communication,names
68,68,noun.person,characters
70,70,noun.location,places
73,73,noun.event,events
74,74,verb.stative,are
75,75,noun.artifact,products
78,78,noun.person,author
80,80,noun.cognition,imagination
84,84,noun.attribute,resemblance
87,87,noun.event,events
89,89,noun.state,places
91,91,noun.person,persons
93,93,verb.stative,living
95,95,noun.time,dead
97,97,verb.stative,is
105,106,noun.person,Ellen Hopkins
115,115,noun.communication,copyright
119,120,noun.person,Ellen Hopkins
125,125,verb.stative,including
127,127,noun.attribute,right
129,129,noun.communication,reproduction
137,137,noun.communication,form
139,140,noun.person,Margaret K.
143,143,verb.stative,is
145,145,noun.artifact,trademark
147,149,noun.group,Simon & Schuster
153,153,noun.communication,information
156,156,noun.quantity,discounts
159,159,noun.act,purchases
162,162,verb.communication,contact
163,165,noun.group,Simon & Schuster
177,177,noun.person,business@simonandschuster.com
180,184,noun.group,Simon & Schuster Speakers Bureau
186,186,verb.social,bring
187,187,noun.person,authors
191,191,noun.event,event
195,195,noun.communication,information
198,198,verb.creation,book
200,200,noun.event,event
202,202,verb.communication,contact
204,204,noun.person,Simon
206,208,noun.group,Schuster Speakers Bureau
218,218,verb.communication,visit
220,220,noun.communication,website
228,229,noun.person,Margaret K.
233,233,noun.communication,edition
239,239,noun.communication,edition
243,243,noun.act,design
245,246,noun.person,Sammy Yuen
249,249,noun.communication,text
252,252,noun.communication,book
254,254,verb.creation,set
266,267,noun.location,United States
269,274,noun.group,America First Margaret K. McElderry Books
275,276,noun.communication,paperback edition
277,277,noun.time,October
312,314,noun.group,Library of Congress
316,316,verb.communication,catalogued
318,318,noun.communication,paperback
319,319,noun.communication,edition
323,323,noun.person,Hopkins
325,325,noun.person,Ellen
329,330,noun.person,Ellen Hopkins
351,351,noun.artifact,Cocaine
352,352,noun.act,abuse
354,354,noun.communication,Fiction
358,359,noun.act,Drug abuse
361,361,noun.communication,Fiction
365,366,noun.group,High schools
368,368,noun.communication,Fiction
372,372,noun.group,Schools
374,374,noun.communication,Fiction
378,378,noun.group,Family
379,379,noun.state,problems
381,381,noun.communication,Fiction
385,385,noun.state,Pregnancy
387,387,noun.communication,Fiction
401,401,noun.communication,book
403,403,verb.communication,dedicated
406,406,noun.group,family
410,410,noun.group,families
412,412,noun.state,lives
415,415,verb.emotion,touched
418,418,noun.person,monster
422,422,noun.communication,thanks
424,425,noun.person,Lin Oliver
427,428,noun.person,Steve Mooser
435,435,verb.motion,guided
437,437,noun.act,way
446,446,noun.artifact,work
447,447,verb.stative,is
448,448,noun.communication,fiction
451,451,verb.stative,is
453,453,verb.cognition,based
458,458,noun.communication,story
461,461,noun.person,daughter
465,465,noun.person,monster
467,467,verb.contact,touch
469,469,noun.state,life
473,473,noun.state,lives
476,476,noun.group,family
479,479,noun.group,family
482,482,verb.stative,is
485,485,verb.perception,watch
488,488,verb.emotion,love
489,489,verb.social,fall
494,494,noun.state,spell
497,497,noun.Tops,substance
499,499,verb.change,turns
505,505,noun.person,stranger
512,512,verb.emotion,want
514,514,verb.cognition,know
516,516,noun.quantity,Nothing
519,519,noun.communication,story
520,520,verb.stative,is
523,523,noun.quantity,Much
526,526,verb.change,happened
532,532,noun.group,families
539,539,noun.person,characters
540,540,verb.stative,are
541,541,noun.cognition,composites
544,544,noun.group,people
548,548,verb.perception,ring
556,556,noun.person,baby
560,560,noun.event,end
563,563,noun.communication,book
564,564,verb.stative,is
567,567,noun.time,years
572,572,noun.person,husband
576,576,verb.social,adopted
580,580,verb.stative,is
586,586,verb.stative,took
591,591,noun.feeling,love
595,595,noun.communication,story
596,597,verb.communication,speaks to
602,602,verb.social,accomplished
605,606,verb.creation,set out
608,608,verb.social,do
610,610,noun.person,Crank
611,611,verb.stative,is
616,616,noun.person,monster
620,620,verb.stative,is
623,623,verb.possession,leave
627,627,verb.contact,invite
631,631,noun.state,life
633,633,verb.cognition,Think
637,637,verb.cognition,think
647,648,noun.person,Monster Life
649,649,verb.stative,was
653,653,verb.motion,met
655,655,noun.person,monster
659,659,noun.time,life
660,660,verb.stative,was
667,667,noun.time,while
670,670,noun.act,Introduction
675,675,verb.cognition,know
682,682,noun.state,chance
683,683,verb.social,meeting
685,685,noun.artifact,brush
687,687,noun.artifact,canvas
688,688,verb.creation,painted
691,691,verb.creation,see
694,694,verb.creation,made
696,696,verb.emotion,despise
698,698,noun.person,girl
701,701,verb.change,transform
704,704,verb.change,turn
708,708,noun.person,stranger
712,712,verb.emotion,want
714,714,verb.perception,hear
717,717,noun.communication,story
723,723,noun.artifact,road
733,733,verb.communication,coughing
735,735,noun.substance,dust
738,738,verb.stative,am
741,741,noun.body,face
744,744,noun.artifact,mirror
749,749,verb.motion,swerved
751,752,verb.contact,picked up
753,753,noun.time,speed
765,765,noun.time,velocity
766,766,noun.act,rush
768,768,noun.state,madness
772,772,verb.change,changes
776,776,verb.communication,call
779,779,noun.state,reality
786,786,noun.location,place
790,790,verb.stative,be
793,793,noun.person,mom
795,795,noun.person,Marie
804,804,noun.act,quest
806,806,noun.state,fame
808,808,noun.person,stepfather
810,810,noun.person,Scott
819,819,noun.feeling,expectations
821,822,noun.person,big sister
824,824,noun.person,Leigh
830,830,noun.state,tempest
833,833,noun.state,sexuality
835,836,noun.person,little brother
838,838,noun.person,Jake
845,845,noun.act,thievery
848,848,noun.state,niche
853,853,verb.stative,is
856,856,noun.person,person
861,861,verb.change,grown
863,863,verb.emotion,like
871,871,noun.substance,husk
883,883,verb.communication,shouts
884,884,noun.communication,obscenities
888,888,verb.motion,roll
893,893,noun.body,tongue
909,909,noun.attribute,ways
914,914,verb.communication,farts
916,916,noun.communication,gusto
918,918,verb.contact,picks
920,920,noun.body,nose
922,922,verb.body,spits
925,925,noun.person,guy
933,933,verb.communication,tell
936,936,noun.communication,truth
940,940,verb.cognition,wonder
947,947,verb.stative,is
950,950,noun.person,daughter
954,956,noun.group,high - school
957,957,noun.person,junior
960,962,noun.person,Kristina Georgia Snow
967,967,noun.person,Bree
971,971,noun.person,Bree
973,973,verb.cognition,suppose
984,984,noun.substance,copper
985,985,noun.event,pulse
987,987,noun.phenomenon,moonlight
990,990,noun.object,seacoast
992,992,verb.cognition,wonder
996,996,verb.perception,noticed
999,999,verb.motion,slipping
1005,1005,noun.body,pores
1011,1012,noun.artifact,seek spider
1013,1014,noun.substance,in fieldstone
1020,1020,verb.communication,summon
1021,1021,noun.person,Bree
1023,1023,noun.cognition,dreams
1026,1026,verb.stative,satisfy
1030,1030,noun.phenomenon,clouds
1032,1032,noun.attribute,monotony
1033,1033,verb.perception,smother
1034,1034,noun.event,thunder
1037,1037,noun.person,Kristina
1038,1038,noun.state,fog
1042,1042,verb.communication,cries
1046,1046,verb.cognition,remember
1048,1048,noun.time,night
1051,1051,verb.social,let
1053,1053,verb.motion,go
1055,1055,verb.change,opened
1057,1058,noun.artifact,smeared glass
1062,1062,noun.artifact,pane
1064,1064,noun.artifact,cellophane
1066,1066,noun.state,rules
1068,1068,noun.attribute,sin
1070,1070,verb.change,freed
1082,1082,noun.communication,labels
1088,1088,noun.person,schizo
1092,1092,noun.person,Bree
1093,1093,verb.stative,is
1096,1096,noun.person,playmate
1103,1104,noun.person,alter ego
1106,1106,verb.motion,moving
1110,1110,verb.stative,is
1112,1112,noun.body,face
1114,1114,verb.body,wear
1116,1116,verb.motion,treading
1121,1121,noun.object,oceans
1123,1124,noun.person,good girls
1125,1125,verb.contact,drown
1131,1131,noun.person,girls
1132,1132,verb.possession,have
1133,1133,noun.communication,secrets
1139,1139,noun.person,friends
1141,1141,verb.cognition,guess
1147,1148,verb.communication,turn to
1154,1154,noun.artifact,sidewalks
1158,1158,verb.emotion,love
1160,1160,verb.perception,hear
1162,1162,verb.communication,confess
1167,1167,verb.stative,become
1169,1169,noun.time,night
1170,1170,verb.motion,descends
1174,1174,noun.phenomenon,puff
1176,1176,noun.phenomenon,smoke
1179,1179,noun.person,vampires
1180,1181,verb.change,come out
1183,1183,noun.group,party
1189,1189,verb.communication,Tell
1192,1192,verb.stative,started
1195,1195,noun.group,court
1198,1198,noun.act,visit
1201,1201,noun.person,judge
1202,1202,verb.possession,had
1204,1204,noun.person,God
1205,1205,noun.cognition,complex
1208,1208,verb.cognition,guess
1219,1219,noun.time,summer
1222,1222,verb.change,started
1224,1224,noun.event,avalanche
1227,1227,noun.person,mom
1228,1228,verb.emotion,enjoys
1229,1229,verb.communication,discussing
1231,1231,noun.person,daughter
1234,1234,noun.act,slide
1237,1237,verb.change,swallowed
1243,1243,verb.body,wore
1245,1245,noun.artifact,skirts
1247,1247,noun.artifact,lipgloss
1250,1250,noun.communication,bangs
1251,1251,verb.communication,defined
1253,1253,noun.attribute,style
1258,1258,verb.possession,saved
1262,1262,noun.person,mom
1264,1264,verb.communication,outlines
1267,1267,noun.state,marriage
1271,1271,noun.communication,amen
1276,1276,verb.stative,was
1285,1285,verb.motion,seen
1286,1286,noun.person,Dad
1289,1289,noun.time,years
1292,1292,noun.communication,calls
1294,1295,noun.communication,No cards
1298,1298,noun.communication,presents
1301,1301,verb.stative,was
1306,1306,noun.person,bastard
1309,1309,noun.person,mom
1311,1311,noun.person,warrior
1312,1312,noun.person,goddess
1314,1315,verb.contact,threw down
1317,1317,noun.communication,gauntlet
1320,1320,verb.communication,phoned
1323,1323,verb.creation,played
1326,1327,noun.communication,trump card
1330,1330,verb.communication,begged
1332,1332,verb.communication,Pouted
1334,1334,noun.person,Plotted
1336,1336,verb.communication,Cajoled
1339,1339,verb.stative,was
1343,1343,verb.communication,adoring
1344,1344,noun.person,Daddy
1349,1349,verb.communication,gave
1356,1356,noun.person,mom
1357,1357,verb.communication,gave
1360,1362,noun.act,run - down
1366,1367,noun.state,bad habits
1370,1370,verb.stative,was
1373,1373,noun.attribute,style
1376,1376,verb.communication,promised
1378,1378,verb.communication,Swore
1380,1380,verb.cognition,Crossed
1382,1382,noun.body,heart
1384,1384,verb.communication,Recited
1386,1387,noun.communication,D.A.R.E. pledge
1393,1393,verb.emotion,love
1399,1399,noun.person,mom
1400,1400,verb.communication,relented
1402,1402,verb.communication,kissed
1408,1408,verb.body,sad
1410,1410,noun.artifact,perfume
1412,1412,noun.act,Things
1415,1415,verb.stative,be
1420,1420,verb.cognition,think
1422,1422,verb.stative,was
1425,1425,noun.event,time
1427,1427,verb.contact,kissed
1432,1432,verb.stative,was
1437,1437,noun.person,Daddy
1444,1445,noun.person,flight attendant
1446,1446,verb.motion,escorted
1450,1450,noun.location,seat
1455,1455,verb.change,munched
1456,1456,noun.artifact,toupee
1459,1459,noun.artifact,dentures
1460,1460,verb.perception,clacked
1463,1463,verb.communication,suggested
1465,1465,verb.change,make
1470,1470,noun.time,hours
1471,1471,verb.stative,is
1475,1475,noun.time,time
1477,1478,noun.time,Three hours
1479,1479,verb.stative,is
1481,1482,noun.time,long time
1484,1484,verb.contact,astraddle
1486,1486,noun.artifact,747
1488,1488,noun.artifact,wing
1490,1490,noun.artifact,banshee
1491,1491,noun.artifact,engines
1492,1492,verb.communication,screaming
1494,1495,noun.animal,earachy babies
1499,1499,noun.artifact,seatmate
1500,1500,verb.communication,complaining
1502,1503,noun.person,Ca n’t
1504,1504,verb.motion,stand
1505,1505,verb.motion,flying
1507,1507,verb.change,Makes
1512,1512,verb.change,get
1515,1516,noun.artifact,vid screens
1517,1517,verb.competition,play
1518,1518,noun.communication,movies
1521,1521,verb.perception,seen
1523,1523,noun.event,times
1525,1526,noun.artifact,seat belt
1527,1527,noun.communication,signs
1528,1528,verb.communication,deny
1529,1530,noun.act,pee breaks
1533,1533,noun.group,class
1534,1534,verb.perception,smells
1537,1537,noun.food,food
1539,1539,noun.food,Pretzels
1543,1543,noun.communication,ticket
1544,1544,noun.attribute,price
1549,1549,noun.attribute,price
1553,1553,verb.cognition,expect
1554,1554,noun.person,Albert
1556,1557,verb.communication,tone down
1559,1560,noun.artifact,gripe machine
1563,1563,verb.contact,closed
1565,1565,noun.body,eyes
1567,1567,verb.social,tried
1569,1569,verb.social,shut
1575,1575,noun.act,run
1576,1576,noun.communication,movies
1580,1580,noun.communication,conversation
1583,1583,noun.person,wife
1584,1584,verb.change,died
1586,1586,noun.time,year
1594,1594,verb.stative,been
1598,1598,noun.person,mom
1599,1599,verb.social,met
1600,1600,noun.person,Scott
1603,1603,verb.contact,sucked
1605,1605,noun.substance,nectar
1608,1608,noun.body,heart
1612,1612,noun.animal,butterfly
1615,1615,noun.attribute,nurture
1618,1618,noun.food,nourishment
1619,1619,verb.stative,left
1621,1621,noun.person,Kristina
1624,1624,noun.time,vacation
1625,1625,verb.stative,is
1628,1628,noun.communication,substitute
1630,1630,noun.feeling,love
1634,1634,noun.time,Hours
1637,1637,noun.location,Flight
1638,1638,noun.person,Albert
1639,1639,verb.body,snored
1644,1644,noun.animal,hummingbird
1646,1646,noun.object,hover
1650,1650,noun.communication,smile
1651,1651,verb.communication,suggested
1654,1654,verb.possession,found
1656,1656,noun.person,Genevieve
1660,1660,noun.time,time
1663,1663,noun.Tops,space
1667,1667,noun.time,continuum
1670,1670,verb.perception,watched
1672,1672,noun.body,face
1676,1676,noun.cognition,dreams
1679,1679,noun.phenomenon,sun
1680,1680,verb.perception,winks
1684,1684,noun.artifact,fuselage
1685,1685,verb.communication,hypnotized
1698,1698,noun.location,dimension
1701,1701,verb.motion,coasted
1704,1704,noun.artifact,byway
1706,1706,noun.cognition,memory
1708,1708,noun.act,glimpses
1710,1711,noun.state,truth speed
1712,1712,verb.contact,bumps
1715,1715,noun.cognition,belief
1724,1724,noun.state,insanity
1726,1726,noun.person,Daddy
1727,1727,verb.stative,waited
1730,1730,noun.time,dead
1732,1733,noun.location,end circle
1735,1736,verb.contact,reaching out
1743,1743,verb.possession,find
1745,1745,verb.possession,find
1747,1747,noun.act,embrace
1749,1749,verb.possession,find
1751,1751,noun.communication,excuse
1753,1753,noun.act,tears
1761,1761,verb.stative,waited
1764,1764,noun.time,years
1768,1768,verb.motion,come
1778,1778,verb.perception,see
1781,1781,verb.cognition,know
1782,1782,verb.consumption,needed
1790,1791,noun.artifact,Hot runway
1794,1794,noun.artifact,brakes
1798,1798,noun.substance,sand
1801,1801,noun.artifact,window
1803,1803,noun.phenomenon,wind
1805,1805,verb.body,sculpted
1807,1807,noun.shape,slivers
1809,1809,verb.perception,reflecting
1812,1812,noun.time,summer
1814,1814,noun.phenomenon,sun
1816,1818,noun.communication,Good - bye
1821,1821,noun.person,lady
1823,1825,noun.communication,Good - bye
1827,1827,noun.person,Albert
1833,1833,noun.location,toupee
1837,1837,noun.communication,bye
1839,1839,noun.substance,dentures
1847,1847,noun.artifact,flight
1848,1848,noun.act,glimpses
1851,1851,noun.person,soul
1853,1853,noun.feeling,aching
1856,1856,noun.cognition,dreams
1860,1860,noun.state,injuries
1862,1862,noun.phenomenon,death
1864,1864,verb.body,cure
1869,1869,noun.time,vacation
1871,1871,noun.location,You
1876,1876,verb.body,relax
1879,1879,verb.communication,pretend
1881,1881,verb.body,have
1882,1882,noun.act,fun
1885,1885,verb.consumption,share
1887,1887,noun.communication,toast
1895,1895,noun.state,madness
1899,1899,noun.time,time
1900,1900,noun.person,relatives
1902,1902,noun.substance,substitutes
1904,1904,noun.feeling,love
1910,1910,noun.location,Albuquerque
1911,1911,noun.time,June
1912,1912,verb.stative,is
1915,1915,noun.location,Reno
1924,1924,verb.motion,boarded
1926,1926,noun.artifact,plane
1929,1929,noun.artifact,jeans
1945,1945,noun.location,Albuquerque
1948,1948,verb.motion,wobbled
1951,1951,noun.artifact,skywalk
1953,1953,verb.contact,balancing
1956,1958,noun.artifact,carry - ons
1960,1960,noun.body,Fingers
1962,1962,noun.body,sweat
1963,1963,verb.contact,grabbed
1965,1965,noun.body,hair
1967,1967,verb.contact,pressed
1971,1971,noun.body,face
1975,1975,verb.perception,seemed
1977,1977,verb.perception,notice
1980,1980,verb.perception,scanned
1982,1982,noun.group,crowd
1985,1985,noun.artifact,gate
1997,1997,noun.communication,Way
2006,2006,noun.body,hair
2020,2020,verb.cognition,thought
2022,2022,verb.stative,was
2028,2028,noun.cognition,impression
2033,2033,noun.time,year
2035,2035,noun.person,old
2037,2037,noun.person,daddy
2038,2038,verb.stative,was
2040,2040,noun.person,Prince
2042,2042,noun.location,Albuquerque
2045,2045,verb.change,melted
2047,2047,noun.phenomenon,sleet
2049,2050,noun.location,New Mexico
2051,2051,noun.substance,asphalt
2054,2056,noun.group,Mutual Assessment Daddy
2057,2057,verb.social,watched
2059,2059,noun.artifact,gate
2061,2061,verb.communication,listing
2066,2066,verb.communication,hummed
2068,2068,noun.time,bedtime
2069,2069,noun.communication,tune
2071,2071,verb.social,withdrawn
