COREF,start_token,end_token,prop,cat,text
1,1,16,PROP,FAC,Lauren myracle Amulet Books New York Library of Congress Cataloging - in - Publication Data Myracle
2,5,6,PROP,GPE,New York
3,7,9,PROP,ORG,Library of Congress
4,18,18,PROP,GPE,Lauren
37,23,24,PROP,FAC,Lauren Myracle
187,53,54,NOM,PER,three friends
36,56,56,PROP,PER,Zoe
37,58,58,PROP,PER,Maddie
38,61,61,PROP,PER,Angela
187,64,64,PRON,PER,they
188,110,111,NOM,ORG,High schools
189,127,127,PRON,PER,you
37,150,151,PROP,PER,Lauren Myracle
190,164,165,NOM,PER,Young Readers
191,167,172,NOM,ORG,an imprint of Harry N. Abrams
192,219,220,NOM,PER,the publisher
6,226,226,PROP,GPE,Canada
193,241,250,NOM,ORG,a subsidiary of La Martiniere Groupe 115 West 18th Street
7,244,250,PROP,FAC,La Martiniere Groupe 115 West 18th Street
2,251,252,PROP,GPE,New York
194,281,282,NOM,PER,the author
195,294,295,NOM,PER,actual persons
192,326,327,NOM,PER,The publisher
0,352,352,PRON,PER,my
197,352,353,NOM,PER,my informants
198,357,357,NOM,PER,consultants
39,359,360,PROP,PER,Sarah Chesney
40,362,363,PROP,PER,Laura Chaddock
0,367,367,PRON,PER,me
41,374,374,PROP,PER,Jack
40,376,376,PROP,PER,Laura
42,378,378,PROP,PER,Suzy
43,380,380,PROP,PER,Julianne
44,382,382,PROP,PER,Mag
45,385,385,PROP,PER,Gin
0,388,388,PRON,PER,me
38,401,401,PROP,PER,Angela
199,405,405,PRON,PER,you
0,407,407,PRON,PER,my
200,407,408,NOM,PER,my editor
46,410,412,PROP,PER,Susan Van Metre
201,428,428,PRON,PER,We
107,453,453,PROP,PER,SnowAngel
202,472,473,NOM,PER,mad maddie
38,477,477,PROP,PER,angela
203,483,483,PRON,PER,u
107,486,486,PROP,PER,SnowAngel
203,489,489,PRON,PER,u
0,493,493,PRON,PER,i
203,496,496,PRON,PER,your
107,511,511,PROP,PER,SnowAngel
0,513,513,PRON,PER,i
203,524,524,PRON,PER,u
0,530,530,PRON,PER,i
203,537,537,PRON,PER,u.
203,541,541,PRON,PER,u
0,545,545,PRON,PER,me
107,547,547,PROP,PER,SnowAngel
0,553,553,PRON,PER,i
203,555,555,PRON,PER,u
203,561,561,PRON,PER,u
204,575,575,NOM,PER,zoe
205,575,577,NOM,PER,zoe ’s parents
203,587,587,PRON,PER,u
202,590,591,NOM,PER,mad maddie
107,599,599,PROP,PER,SnowAngel
203,613,613,PRON,PER,u
0,615,615,PRON,PER,me
207,620,620,PRON,PER,we’re
202,629,630,NOM,PER,mad maddie
207,633,633,PRON,PER,we
202,635,636,NOM,PER,mad maddie
0,640,640,PRON,PER,i
210,647,647,NOM,PER,everyone
107,651,651,PROP,PER,SnowAngel
203,657,657,PRON,PER,u
203,685,685,PRON,PER,u
107,701,701,PROP,PER,SnowAngel
0,723,723,PRON,PER,i
0,727,727,PRON,PER,i
210,731,731,NOM,PER,everyone
0,737,737,PRON,PER,me
107,741,743,PROP,PER,Cancel 1 SnowAngel
203,749,749,PRON,PER,u
0,758,758,PRON,PER,i
0,772,772,PRON,PER,i
203,775,775,PRON,PER,u
107,783,783,PROP,PER,SnowAngel
212,788,791,NOM,PER,all 3 of us
207,791,791,PRON,PER,us
202,809,810,NOM,PER,mad maddie
107,813,813,PROP,PER,SnowAngel
49,836,837,PROP,PER,susie smith
203,840,840,PRON,PER,u
49,845,845,PRON,PER,she
50,849,849,PROP,PER,Catherine
214,853,856,NOM,FAC,the piedmont driving club
51,865,865,PROP,PER,leigh
50,867,867,PROP,PER,Catherine
49,871,871,PRON,PER,her
202,873,874,NOM,PER,mad maddie
216,877,878,NOM,PER,a pisser
107,885,885,PROP,PER,SnowAngel
203,895,895,PRON,PER,your
203,899,899,PRON,PER,u
51,903,903,PROP,PER,leigh
51,912,912,PRON,PER,she
49,923,923,PRON,PER,her
203,935,935,PRON,PER,u
107,939,939,PROP,PER,SnowAngel
0,945,945,PRON,PER,i
0,950,950,PRON,PER,my
217,950,954,NOM,PER,my brother ’s new girlfriend
217,958,958,PRON,PER,her
217,961,961,PRON,PER,her
218,964,964,PRON,PER,he
217,966,966,PRON,PER,her
217,978,978,PRON,PER,she
107,983,983,PROP,PER,SnowAngel
217,995,995,PRON,PER,she
0,1003,1003,PRON,PER,me
217,1015,1015,PRON,PER,she
107,1025,1025,PROP,PER,SnowAngel
202,1031,1032,NOM,PER,mad maddie
218,1034,1034,PRON,PER,he
107,1042,1044,PROP,PER,lauren myracle SnowAngel
