start_token,end_token,supersense_category,text
1,9,noun.group,Lauren myracle Amulet Books New York Library of Congress
14,16,noun.group,Publication Data Myracle
18,18,noun.location,Lauren
29,29,noun.communication,Summary
36,36,noun.communication,message
38,38,noun.communication,format
41,41,noun.time,day
45,45,noun.time,day
46,46,noun.feeling,experiences
48,48,noun.Tops,feelings
51,51,noun.cognition,plans
54,54,noun.person,friends
56,56,noun.person,Zoe
58,58,noun.person,Maddie
61,61,noun.person,Angela
65,65,verb.change,begin
66,67,noun.time,tenth grade
86,86,noun.quantity,0
90,91,noun.communication,Instant messaging
93,93,noun.communication,Fiction
97,97,noun.state,Friendship
99,99,noun.communication,Fiction
104,104,noun.relation,relations
106,106,noun.communication,Fiction
110,111,noun.group,High schools
113,113,noun.communication,Fiction
117,117,noun.location,Schools
119,119,noun.communication,Fiction
123,123,noun.communication,Title
125,125,noun.communication,Talk
132,132,noun.communication,Title
140,140,verb.creation,published
142,143,noun.group,Amulet Books
147,147,noun.communication,Copyright
154,155,noun.group,Interrobang Design
164,165,noun.group,Young Readers
168,168,noun.cognition,imprint
170,172,noun.group,Harry N. Abrams
180,180,noun.relation,portion
183,183,noun.communication,book
186,186,verb.contact,reproduced
191,192,noun.artifact,retrieval system
195,195,verb.contact,transmitted
198,198,noun.communication,form
208,208,noun.communication,photocopying
210,210,noun.artifact,recording
217,217,noun.communication,permission
220,220,noun.group,publisher
226,226,noun.location,Canada
235,237,noun.group,harry n. abrams
242,242,noun.person,subsidiary
244,246,noun.group,La Martiniere Groupe
248,250,noun.location,West 18th Street
251,252,noun.location,New York
254,254,noun.location,NY
256,257,noun.group,www.hnabooks.com PUBLISHER
259,259,noun.communication,NOTE
262,262,verb.stative,is
264,264,noun.artifact,work
266,266,noun.communication,fiction
268,268,noun.communication,Names
270,270,noun.communication,characters
272,272,noun.location,places
275,275,noun.communication,incidents
276,276,verb.stative,are
279,279,noun.artifact,product
282,282,noun.person,author
284,284,noun.attribute,imagination
287,287,verb.consumption,used
292,292,noun.attribute,resemblance
295,295,noun.Tops,persons
299,299,noun.state,dead
301,301,noun.act,business
302,302,noun.artifact,establishments
304,304,noun.phenomenon,events
307,307,noun.communication,locales
308,308,verb.stative,is
313,313,noun.act,effort
316,316,verb.social,made
318,318,verb.cognition,verify
319,319,noun.communication,Web
320,320,noun.communication,addresses
321,321,verb.communication,mentioned
324,324,noun.communication,book
327,327,noun.group,publisher
328,328,verb.possession,bears
330,330,noun.act,responsibility
332,332,noun.communication,addresses
335,335,verb.motion,moved
337,337,verb.change,changed
341,342,noun.group,Beer Bros
347,347,verb.communication,Cheers
349,349,noun.communication,Acknowledgments
350,350,noun.communication,Thanks
353,353,noun.person,informants
357,357,noun.person,consultants
359,360,noun.person,Sarah Chesney
362,363,noun.person,Laura Chaddock
366,366,verb.social,helping
370,370,noun.cognition,form
372,372,noun.communication,Thanks
374,374,noun.person,Jack
376,376,noun.person,Laura
378,378,noun.person,Suzy
380,380,noun.person,Julianne
382,382,noun.person,Mag
385,385,noun.person,Gin
387,387,verb.possession,giving
390,390,noun.communication,advice
393,393,noun.communication,story
401,401,noun.person,Angela
404,405,noun.communication,thank you
408,408,noun.person,editor
410,412,noun.person,Susan Van Metre
415,415,noun.cognition,idea
417,417,noun.communication,novel
418,418,verb.stative,was
444,444,verb.change,START
447,447,noun.time,Tuesday
449,449,noun.time,September
453,453,noun.person,SnowAngel
457,457,noun.person,mads
460,460,noun.time,day
463,463,noun.group,grade
466,466,noun.artifact,tube
473,473,noun.person,maddie
477,477,noun.person,angela
486,486,noun.person,SnowAngel
490,490,verb.possession,get
492,492,noun.plant,daisy
494,494,verb.contact,put
497,497,noun.artifact,locker
507,507,verb.stative,’s
509,509,noun.communication,story
511,511,noun.person,SnowAngel
515,515,verb.cognition,know
518,518,noun.event,end
521,521,noun.time,summer
523,523,verb.contact,throws
527,527,noun.state,funk
533,533,verb.social,do
536,536,verb.communication,defunkify
539,539,noun.person,maddie
542,542,verb.emotion,wanted
544,544,verb.communication,DEFUNKIFY
547,547,noun.person,SnowAngel
554,554,verb.possession,gave
557,557,noun.artifact,daisy
560,560,verb.cognition,remind
563,563,noun.time,picnics
565,565,verb.stative,hanging
566,566,verb.body,out
569,569,noun.artifact,pool
571,572,verb.motion,going to
573,573,noun.act,tuckaway
575,575,noun.person,zoe
577,577,noun.person,parents
583,583,noun.plant,daisy
585,585,noun.communication,stuff
588,588,verb.cognition,know
597,597,noun.communication,thanks
599,599,noun.person,SnowAngel
604,604,noun.group,school
606,606,verb.change,started
608,608,noun.quantity,nothing
611,611,verb.change,change
618,618,noun.person,zoe
623,623,verb.perception,have
626,626,noun.time,year
629,630,noun.person,mad maddie
636,636,noun.person,maddie
643,643,verb.emotion,depressed
646,646,verb.perception,watching
648,648,verb.cognition,compare
649,649,noun.substance,tans
651,651,noun.person,SnowAngel
656,656,verb.emotion,depress
663,663,noun.food,berry
669,669,noun.time,day
676,676,noun.act,squealing
677,678,verb.stative,going on
686,686,verb.perception,look
701,701,noun.person,SnowAngel
705,705,verb.stative,is
709,710,noun.person,mad maddie
714,714,verb.stative,’s
720,720,noun.group,clique
721,721,noun.cognition,stuff
724,724,verb.emotion,hate
728,728,verb.emotion,hate
729,729,verb.cognition,feeling
732,732,verb.cognition,knows
735,735,noun.communication,handshake
740,741,noun.person,Send Cancel
743,743,noun.person,SnowAngel
751,751,noun.person,zoe
756,756,noun.artifact,homeroom
759,759,verb.stative,am
764,764,verb.body,shakes
765,765,noun.body,fist
770,770,noun.person,maddie
777,777,noun.cognition,math
781,781,noun.person,whoopee
783,783,noun.person,SnowAngel
786,786,verb.communication,thank
789,789,noun.quantity,3
792,792,verb.perception,have
795,796,noun.time,lunch period
798,798,verb.possession,Vaises
799,800,noun.act,champagne glass
810,810,noun.person,maddie
812,812,verb.communication,cheers
813,813,noun.person,SnowAngel
820,820,verb.stative,matter
823,824,noun.communication,secret handshakes
825,826,verb.change,pop up
831,831,verb.social,have
836,837,noun.person,susie smith
841,841,verb.perception,hear
844,844,noun.time,summer
846,847,verb.body,hung out
849,849,noun.person,Catherine
851,851,noun.person,leigh
854,854,noun.location,piedmont
855,856,noun.artifact,driving club
861,861,noun.artifact,school
863,863,verb.change,started
865,865,noun.person,leigh
867,867,noun.person,Catherine
870,870,verb.possession,dumped
878,878,noun.person,pisser
880,880,noun.person,susie
882,882,verb.stative,be
885,885,noun.person,SnowAngel
892,892,verb.stative,suck
897,897,noun.artifact,riends
898,898,verb.communication,drop
903,903,noun.person,leigh
904,904,verb.possession,has
906,906,noun.communication,blog
913,913,verb.communication,posted
916,916,noun.communication,entry
919,919,noun.person,susie
922,922,verb.body,shave
924,924,noun.body,pubes
932,932,noun.person,maddie
936,936,verb.cognition,read
939,939,noun.person,SnowAngel
948,948,noun.person,maddie
951,951,noun.person,brother
954,954,noun.person,girlfriend
957,957,verb.body,shave
959,959,noun.body,pits
962,962,noun.body,pubes
965,965,verb.motion,brought
