COREF,start_token,end_token,prop,cat,text
214,26,26,PROP,PER,Foer
214,39,39,PRON,PER,his
215,53,54,PROP,PER,Francine Prose
492,56,58,NOM,PER,"People , Critic"
216,74,75,PROP,PER,Holden Caulfield
217,77,78,PROP,PER,Huck Finn
218,80,82,PROP,PER,Harriet the Spy
219,85,86,PROP,PER,Krazy Kat
3281,102,102,NOM,FAC,home
214,107,109,PROP,PER,Jonathan Safran Foer
3282,131,132,NOM,PER,a child
3282,137,138,NOM,PER,a child
214,143,143,PROP,PER,Foer
220,143,158,PROP,PER,"Foer ’s nine - year - old Oskar Schell , confronting the cataclysm of our time"
220,150,151,PROP,PER,Oskar Schell
3284,157,157,PRON,PER,our
221,167,168,PROP,PER,Cynthia Ozick
214,170,172,PROP,PER,Jonathan Safran Foer
3285,178,178,NOM,PER,one
220,198,199,PROP,PER,orphaned Oskar
222,220,221,PROP,PER,Salman Rushdie
223,224,228,PROP,PER,Extremely Loud and Incredibly Close
224,241,242,PROP,PER,Mr. Foer
3286,247,248,NOM,PER,a writer
225,252,253,PROP,PER,Michiko Kakutani
1,255,257,PROP,GPE,New York Times
214,269,271,PROP,PER,Jonathan Safran Foer
214,281,281,PRON,PER,he
2,294,294,PROP,GPE,Atlanta
214,306,306,PROP,PER,Foer
3284,310,310,PRON,PER,us
3284,323,323,PRON,PER,we
3284,328,328,PRON,PER,we
226,336,336,PROP,PER,Salon.com
3287,356,357,NOM,PER,young people
225,361,361,PRON,PER,I
3288,363,368,NOM,PER,people who think of the future
225,372,372,PRON,PER,I
3,386,386,PROP,GPE,Seattle
227,406,407,PROP,PER,Jay McInerney
4,421,421,PROP,GPE,Buffalo
220,431,431,PROP,PER,Oskar
220,434,434,PRON,PER,his
220,439,439,PROP,PER,Foer
220,447,447,PRON,PER,him
3284,452,452,PRON,PER,us
5,457,460,PROP,FAC,Washington Post Book World
220,468,468,PROP,PER,Foer
220,512,512,PROP,PER,Foer
220,523,523,PRON,PER,he
493,528,536,NOM,PER,The Onion K writer of astonishing talent and perception
6,540,542,PROP,FAC,Cleveland Plain Dealer
220,575,575,PROP,PER,Foer
7,603,604,PROP,FAC,Library Journal
220,613,613,PROP,PER,Foer
220,618,618,PRON,PER,he
494,622,642,NOM,PER,"the few contemporary writers willing to risk sentimentalism in order to address great questions of truth , love , and beauty"
214,653,655,PROP,PER,Jonathan Safran Foer
3289,656,661,NOM,PER,A Convergence of Birds ( editor
228,669,670,PROP,PER,Hiroshi Sugimoto
229,672,673,PROP,PER,Richard Serra
3290,687,694,NOM,PER,editor ) MARINER BOOKS AN IMPRINT OF H.MCPKRCOiAA'NSPUBLISHERS
8,695,695,PROP,GPE,BOSTON
9,697,697,PROP,GPE,YORK
214,707,709,PROP,PER,Jonathan Safran Foer
10,753,753,PROP,GPE,Broadway
11,755,756,PROP,GPE,New York
12,758,758,PROP,GPE,NY
13,766,767,PROP,ORG,HarperCollins Publishers
3291,771,775,NOM,GPE,the United States of America
3292,777,778,NOM,GPE,other jurisdictions
3293,781,781,PRON,PER,our
214,799,800,PROP,PER,Jonathan Safran
214,810,812,PROP,PER,Jonathan Safran Foer
230,865,866,PROP,PER,Anne Chalmers
3291,873,877,NOM,GPE,the United States of America
14,877,877,PROP,GPE,America
214,909,911,PROP,PER,Jonathan Safran Foer
231,921,922,PROP,PER,Marianne Muller
232,931,932,PROP,PER,Christopher Moisan
233,938,939,PROP,PER,Jann Lipka
15,951,952,PROP,LOC,Corbis Sygma
