start_token,end_token,supersense_category,text
22,22,verb.perception,displays
24,24,noun.attribute,gifts
26,26,noun.person,Foer
28,28,noun.attribute,energy
30,30,noun.cognition,imagination
32,32,noun.feeling,ambition
35,35,noun.communication,humor
38,38,verb.change,made
41,41,noun.communication,book
49,49,noun.person,success
53,54,noun.person,Francine Prose
56,56,noun.group,People
65,65,noun.communication,novel
70,70,noun.state,fit
72,72,noun.feeling,envy
74,75,noun.person,Holden Caulfield
77,78,noun.person,Huck Finn
80,82,noun.person,Harriet the Spy
85,86,noun.person,Krazy Kat
96,96,verb.motion,enter
100,100,verb.perception,feel
107,109,noun.person,Jonathan Safran Foer
124,124,verb.possession,has
127,127,noun.act,kick
129,129,noun.attribute,brio
132,132,noun.person,child
135,135,noun.cognition,vision
138,138,noun.person,child
141,141,noun.state,hurt
143,143,noun.person,Foer
147,147,noun.time,year
150,151,noun.person,Oskar Schell
153,153,verb.communication,confronting
155,155,noun.phenomenon,cataclysm
158,158,noun.time,time
160,160,verb.stative,is
163,163,noun.communication,original
167,168,noun.person,Cynthia Ozick
170,171,noun.person,Jonathan Safran
175,175,noun.communication,novel
176,176,verb.stative,is
179,179,verb.emotion,hoped
188,188,verb.social,riddling
196,196,noun.communication,portrait
206,206,noun.feeling,emotions
208,208,verb.emotion,feel
212,212,verb.possession,borrowed
216,216,noun.act,achievement
220,221,noun.person,Salman Rushdie
230,230,verb.stative,contains
231,231,noun.time,moments
234,234,noun.feeling,emotion
237,237,noun.cognition,virtuosity
239,239,verb.communication,attest
241,242,noun.person,Mr. Foer
245,245,noun.cognition,gifts
248,248,noun.person,writer
252,253,noun.person,Michiko Kakutani
255,257,noun.group,New York Times
260,260,noun.attribute,humor
262,262,noun.attribute,wisdom
267,267,noun.communication,prose
269,271,noun.person,Jonathan Safran Foer
273,273,verb.social,done
283,283,verb.creation,written
287,287,noun.communication,novel
289,289,noun.time,September
294,297,noun.group,Atlanta Journal - Constitution
306,306,noun.person,Foer
309,309,verb.possession,given
311,311,verb.stative,is
317,317,noun.artifact,work
322,322,noun.communication,story
331,331,verb.cognition,know
336,336,noun.person,Salon.com
352,352,verb.stative,is
354,354,noun.communication,novel
357,357,noun.group,people
362,362,verb.communication,mean
363,363,noun.group,people
365,366,verb.cognition,think of
368,368,noun.time,future
373,373,verb.cognition,read
379,379,noun.state,happiness
386,386,noun.location,Seattle
398,398,noun.communication,journalism
399,399,verb.creation,generated
401,401,noun.time,September
406,407,noun.person,Jay McInerney
414,414,noun.event,triumph
416,416,noun.communication,literature
421,422,noun.group,Buffalo News
425,425,noun.event,tragedy
427,427,noun.time,September
430,430,verb.change,made
431,431,noun.person,Oskar
435,435,noun.time,years
439,439,noun.person,Foer
442,442,noun.act,portrayal
444,444,noun.feeling,grief
446,446,verb.emotion,weighs
449,449,verb.change,makes
450,450,noun.person,children
457,460,noun.group,Washington Post Book World
466,466,noun.communication,GQ
468,468,noun.person,Foer
472,472,noun.communication,novel
473,473,verb.change,pulses
475,475,noun.cognition,life
492,492,noun.communication,story
494,494,verb.perception,shows
497,497,noun.attribute,bravery
499,499,noun.cognition,invention
501,501,noun.person,Everything
503,503,verb.cognition,Illuminated
507,508,noun.location,Rocky Mountain
512,512,noun.person,Foer
516,516,noun.attribute,way
518,518,noun.communication,words
520,520,verb.change,trumps
522,522,noun.feeling,emotions
524,524,verb.stative,serves
529,530,noun.group,Onion K
531,531,noun.person,writer
534,534,noun.cognition,talent
536,536,noun.cognition,perception
540,542,noun.group,Cleveland Plain Dealer
560,560,noun.communication,narrative
565,565,noun.communication,fiction
573,573,noun.cognition,review
575,575,noun.person,Foer
579,579,noun.communication,novel
580,580,verb.change,vibrates
583,583,noun.communication,details
587,587,noun.event,tragedy
590,590,verb.communication,explores
593,593,noun.communication,questions
595,595,noun.state,trauma
596,597,verb.creation,brings on
599,599,noun.communication,floodtide
603,604,noun.group,Library Journal
