COREF,start_token,end_token,prop,cat,text
1,9,23,PROP,FAC,Michael L. Printz Award A Los Angeles Times Book Prize Finalist A New York Times
442,61,74,NOM,PER,"Young Adults , Top 10 • An ALA Quick Pick • A Booklist Editors"
443,95,108,NOM,FAC,A Chicago Public Library Best of the Best • A New York Public Library
2,137,137,PROP,GPE,SLJ
151,156,157,PROP,PER,Holden Caulfield
152,163,163,PROP,PER,KLIATT
153,230,231,PROP,PER,John Green
2359,264,264,PRON,PER,your
3,283,285,PROP,LOC,the Great Perhaps
154,289,291,PROP,PER,K. L. GOING
155,295,296,PROP,PER,Fat Kid
4,298,299,PROP,LOC,the World
153,313,314,PROP,PER,JOHN GREEN
156,319,323,PROP,PER,Katherines Paper Towns Will Grayson
157,328,329,PROP,PER,DAVID LEVITHAN
444,330,338,NOM,FAC,The Fault in Our Stars Turtles All the Way
5,345,348,PROP,FAC,Penguin Random House LLC
6,350,351,PROP,GPE,New York
7,356,360,PROP,GPE,the United States of America
445,365,373,NOM,PER,a member of Penguin Group ( USA ) Inc.
8,368,369,PROP,ORG,Penguin Group
9,371,371,PROP,GPE,USA
446,380,388,NOM,PER,an imprint of Penguin Group ( USA ) Inc.
8,383,384,PROP,ORG,Penguin Group
9,386,386,PROP,GPE,USA
447,396,402,NOM,ORG,an imprint of Penguin Random House LLC
153,409,410,PROP,PER,John Green
153,419,420,PROP,PER,John Green
448,433,433,PRON,PER,His
10,433,434,PROP,FAC,His Labyrinth
158,437,439,PROP,PER,Gabriel Garcia Marquez
153,448,448,PRON,PER,I
11,470,471,PROP,LOC,the Forest
159,475,479,PROP,PER,Edna St. Vincent Millay Penguin
449,502,502,PRON,PER,you
449,535,535,PRON,PER,You
450,538,538,NOM,PER,writers
159,541,541,PROP,PER,Penguin
451,548,549,NOM,PER,every reader
452,552,552,PRON,PER,us
186,575,575,PROP,GPE,Alaska
160,577,578,PROP,PER,John Green.—1st
453,586,601,NOM,PER,Sixteen - year - old Miles ’ first year at Culver Creek Preparatory School in Alabama
161,591,591,PROP,PER,Miles
13,596,599,PROP,FAC,Culver Creek Preparatory School
14,601,601,PROP,GPE,Alabama
454,603,604,NOM,PER,good friends
455,645,646,NOM,FAC,Boarding schools
162,677,678,PROP,PER,Irene Vandervoort
163,681,684,PROP,PER,Julie Strauss - Gabel
456,687,691,NOM,GPE,the United States of America
457,712,713,NOM,PER,the author
458,725,726,NOM,PER,actual persons
459,734,734,NOM,PER,companies
0,752,752,PRON,PER,my
460,752,753,NOM,PER,my family
164,755,756,PROP,PER,Sydney Green
165,758,759,PROP,PER,Mike Green
166,762,763,PROP,PER,Hank Green
166,765,765,PRON,PER,I
15,780,780,PROP,GPE,Cleveland
0,796,796,PRON,PER,I
0,798,798,PRON,PER,my
460,798,799,NOM,PER,my family
16,801,801,PROP,GPE,Florida
0,806,806,PRON,PER,my
462,812,815,NOM,FAC,boarding school in Alabama
14,815,815,PROP,GPE,Alabama
0,817,817,PRON,PER,my
463,817,818,NOM,PER,my mother
0,822,822,PRON,PER,me
0,832,832,PRON,PER,I
0,845,845,PRON,PER,I
0,854,854,PRON,PER,my
2360,854,857,NOM,PER,my “ school friends
464,860,860,PRON,PER,i.e.
465,866,867,NOM,PER,drama people
0,871,871,PRON,PER,I
466,878,884,NOM,FAC,the cavernous cafeteria of my public school
0,882,882,PRON,PER,my
467,882,884,NOM,FAC,my public school
0,886,886,PRON,PER,I
468,888,888,PRON,PER,they
0,895,895,PRON,PER,my
463,895,896,NOM,PER,my mother
0,904,904,PRON,PER,I
0,907,907,PRON,PER,my
463,911,911,PRON,PER,her
463,916,916,PRON,PER,She
463,925,925,PRON,PER,She
470,927,927,PRON,PER,our
471,927,929,NOM,FAC,our living room
0,939,939,PRON,PER,my
472,939,941,NOM,FAC,my new school
463,943,943,PRON,PER,She
470,956,956,PRON,PER,our
0,968,968,PRON,PER,my
463,974,974,PRON,PER,she
0,977,977,PRON,PER,my
473,977,978,NOM,PER,my dad
0,980,980,PRON,PER,me
161,1001,1001,PROP,PER,Miles
167,1004,1005,PROP,PER,alaska Cavalry
474,1007,1008,NOM,PER,Said cavalry
475,1011,1013,NOM,PER,exactly two people
168,1015,1018,PROP,PER,Marie Law - son
476,1020,1025,NOM,PER,a tiny blonde with rectangular glasses
463,1028,1028,PRON,PER,her
169,1038,1038,PROP,PER,Will
161,1043,1043,PROP,PER,Miles
168,1046,1046,PROP,PER,Marie
168,1049,1049,PRON,PER,she
0,1057,1057,PRON,PER,I
168,1063,1063,PRON,PER,your
169,1067,1067,PROP,PER,Will
168,1073,1073,PRON,PER,Yours
477,1079,1079,PRON,PER,We
170,1081,1083,PROP,PER,Jesus Christ Superstar
169,1085,1085,PRON,PER,I
168,1091,1091,PROP,PER,Marie
169,1097,1097,PROP,PER,Will
0,1105,1105,PRON,PER,I
477,1113,1113,PRON,PER,our
0,1117,1117,PRON,PER,I
170,1124,1126,PROP,PER,Jesus Christ Superstar
0,1132,1132,PRON,PER,I
0,1143,1143,PRON,PER,I
0,1153,1153,PRON,PER,I
0,1161,1161,PRON,PER,My
478,1161,1162,NOM,PER,My mom
478,1174,1174,PRON,PER,she
479,1180,1180,PRON,PER,them
479,1182,1182,PRON,PER,their
168,1201,1201,PRON,PER,I
168,1207,1207,PROP,PER,Marie
2361,1211,1214,NOM,PER,A lot of people
2362,1214,1214,NOM,PER,people
168,1217,1217,PRON,PER,I
168,1221,1221,PROP,PER,Marie
480,1223,1226,NOM,PER,the sort of person
169,1234,1234,PROP,PER,Will
482,1240,1240,PRON,PER,we
169,1250,1250,PRON,PER,I
168,1255,1255,PROP,PER,Marie
2363,1256,1256,NOM,FAC,home
2364,1263,1264,NOM,FAC,boarding school
161,1266,1266,PROP,PER,Miles
0,1273,1273,PRON,PER,I
481,1287,1288,NOM,PER,no one
482,1297,1302,NOM,PER,"two vastly , deeply uninteresting people"
482,1304,1304,PRON,PER,They
0,1309,1309,PRON,PER,I
0,1312,1312,PRON,PER,my
483,1312,1313,NOM,PER,my parents
0,1328,1328,PRON,PER,I
0,1332,1332,PRON,PER,I
483,1335,1335,PRON,PER,them
0,1339,1339,PRON,PER,me
0,1343,1343,PRON,PER,me
0,1353,1353,PRON,PER,I
0,1368,1368,PRON,PER,I
0,1372,1372,PRON,PER,I
483,1375,1375,PRON,PER,their
483,1378,1378,PRON,PER,they
0,1386,1386,PRON,PER,my
484,1386,1388,NOM,PER,my imaginary friends
483,1391,1391,PRON,PER,they
0,1396,1396,PRON,PER,I
0,1399,1399,PRON,PER,I
0,1404,1404,PRON,PER,My
0,1414,1414,PRON,PER,you
161,1419,1419,PROP,PER,Miles
171,1422,1422,PROP,PER,Mom
0,1426,1426,PRON,PER,I
171,1439,1439,PRON,PER,her
0,1447,1447,PRON,PER,I
171,1457,1457,PRON,PER,she
171,1466,1466,PRON,PER,she
171,1472,1472,PROP,PER,Mom
0,1479,1479,PRON,PER,me
2364,1482,1483,NOM,FAC,boarding school
0,1495,1495,PRON,PER,me
0,1498,1498,PRON,PER,my
473,1498,1499,NOM,PER,my dad
473,1502,1502,PRON,PER,He
20,1505,1506,PROP,FAC,Culver Creek
2367,1508,1516,NOM,FAC,the same boarding school to which I was headed
0,1514,1514,PRON,PER,I
2368,1520,1528,NOM,PER,both of his brothers and all of their kids
473,1522,1522,PRON,PER,his
2369,1522,1523,NOM,PER,his brothers
2369,1527,1527,PRON,PER,their
2370,1527,1528,NOM,PER,their kids
0,1530,1530,PRON,PER,I
473,1532,1532,PRON,PER,he
0,1537,1537,PRON,PER,me
473,1540,1540,PRON,PER,his
0,1543,1543,PRON,PER,My
2371,1543,1544,NOM,PER,My uncles
0,1547,1547,PRON,PER,me
0,1552,1552,PRON,PER,my
473,1552,1553,NOM,PER,my dad
2373,1557,1557,NOM,FAC,campus
473,1566,1566,PRON,PER,his
0,1578,1578,PRON,PER,I
16,1581,1581,PROP,GPE,Florida
172,1591,1591,PROP,PER,Dad
0,1601,1601,PRON,PER,I
0,1604,1604,PRON,PER,I
172,1607,1607,PROP,PER,Dad
2374,1607,1609,NOM,FAC,Dad ’s study
172,1612,1612,PRON,PER,his
173,1615,1616,PROP,PER,Francois Rabelais
0,1618,1618,PRON,PER,I
450,1623,1623,NOM,PER,writers
174,1633,1634,PROP,PER,Monsieur Rabelais
0,1637,1637,PRON,PER,I
450,1643,1643,PRON,PER,their
0,1647,1647,PRON,PER,I
0,1664,1664,PRON,PER,MY
485,1668,1668,PRON,PER,my
473,1668,1669,NOM,PER,my dad
485,1672,1672,PRON,PER,me
485,1681,1681,PRON,PER,you
485,1686,1686,PRON,PER,you
485,1695,1696,NOM,PER,this guy
485,1699,1699,PRON,PER,I
2377,1707,1709,NOM,FAC,the living room
173,1712,1713,PROP,PER,Francois Rabelais
173,1715,1715,PRON,PER,He
486,1717,1718,NOM,PER,this poet
173,1721,1721,PRON,PER,his
0,1726,1726,PRON,PER,I
0,1738,1738,PRON,PER,I
0,1743,1743,PRON,PER,I
0,1750,1750,PRON,PER,I
450,1763,1763,PRON,PER,them
171,1765,1765,PRON,PER,I
450,1773,1773,PRON,PER,they
171,1778,1778,PRON,PER,I
171,1781,1781,PRON,PER,I
169,1792,1792,PROP,PER,Will
168,1794,1794,PROP,PER,Marie
171,1796,1796,PRON,PER,I
