start_token,end_token,supersense_category,text
5,5,noun.location,alaska
9,11,noun.group,Michael L. Printz
14,15,noun.location,Los Angeles
16,18,noun.group,Times Book Prize
21,22,noun.location,New York
51,55,noun.group,PBS Great American Read Selection
69,70,noun.group,Quick Pick
77,77,noun.communication,selection
85,85,noun.time,Year
93,93,noun.time,Year
96,99,noun.group,Chicago Public Library Best
104,108,noun.group,A New York Public Library
113,113,noun.time,Age
116,116,noun.artifact,gem
119,119,noun.communication,literature
133,133,noun.communication,humor
154,154,noun.person,spirit
156,157,noun.group,Holden Caulfield
158,158,verb.social,lives
163,163,noun.person,KLIATT
166,166,noun.communication,conclusion
174,174,noun.communication,book
185,185,noun.time,coming
189,189,noun.time,age
190,190,noun.communication,story
196,196,verb.perception,captures
198,198,noun.attribute,intensity
200,200,noun.state,feeling
202,202,noun.feeling,despair
204,204,verb.communication,defines
205,205,noun.time,adolescence
215,215,noun.artifact,work
217,217,noun.communication,fiction
233,233,verb.creation,written
236,236,noun.communication,novel
240,240,verb.motion,plunges
244,244,noun.shape,labyrinth
246,246,noun.state,life
248,248,noun.feeling,love
252,252,noun.cognition,mysteries
254,254,verb.stative,being
258,258,verb.stative,is
260,260,noun.communication,book
263,263,verb.emotion,touch
265,265,noun.state,life
270,270,verb.cognition,read
272,273,verb.body,sitting down
275,276,verb.contact,Stand up
279,279,verb.change,take
281,281,noun.act,step
289,291,noun.person,K. L. GOING
293,293,noun.person,author
308,309,verb.contact,looking for
321,323,noun.location,Towns Will Grayson
333,335,noun.group,Our Stars Turtles
339,341,noun.group,Down PENGUIN BOOKS
343,343,noun.cognition,imprint
345,348,noun.group,Penguin Random House LLC
350,351,noun.location,New York
352,352,verb.communication,©
354,354,verb.creation,published
357,358,noun.location,United States
360,360,noun.location,America
362,363,noun.group,Dutton Books
366,366,noun.person,member
368,369,noun.group,Penguin Group
371,371,noun.location,USA
376,376,verb.social,Published
381,381,noun.cognition,imprint
383,384,noun.group,Penguin Group
388,388,noun.group,Inc.
391,391,verb.social,Published
393,394,noun.group,Penguin Books
397,397,noun.cognition,imprint
399,402,noun.group,Penguin Random House LLC
409,410,noun.person,John Green
412,412,noun.communication,content
415,415,noun.communication,edition
421,421,noun.communication,Pages
428,428,noun.communication,Excerpt
444,444,noun.communication,quote
462,462,noun.communication,Poetry
463,463,noun.communication,quote
475,479,noun.group,Edna St. Vincent Millay Penguin
480,480,verb.social,supports
481,481,noun.communication,copyright
483,483,noun.communication,Copyright
484,484,verb.stative,fuels
485,485,noun.cognition,creativity
487,487,verb.social,encourages
489,489,noun.communication,voices
491,491,verb.communication,promotes
492,493,noun.communication,free speech
496,496,verb.creation,creates
499,499,noun.group,culture
501,502,noun.communication,Thank you
504,504,verb.possession,buying
507,507,noun.communication,edition
510,510,noun.communication,book
513,513,verb.social,complying
515,516,noun.communication,copyright laws
519,519,verb.social,reproducing
521,521,verb.perception,scanning
524,524,verb.possession,distributing
526,526,noun.artifact,part
531,531,noun.communication,form
533,533,noun.communication,permission
537,537,verb.social,supporting
538,538,noun.person,writers
540,540,verb.communication,allowing
541,541,noun.person,Penguin
543,543,verb.stative,continue
545,545,verb.communication,publish
546,546,noun.communication,books
549,549,noun.person,reader
555,560,noun.group,penguinrandomhouse.com THE LIBRARY OF CONGRESS HAS
563,565,noun.group,DUTTON BOOKS EDITION
588,588,noun.time,year
591,591,noun.person,Miles
594,594,noun.time,year
596,597,noun.location,Culver Creek
598,599,noun.group,Preparatory School
601,601,noun.location,Alabama
602,602,verb.stative,includes
604,604,noun.person,friends
607,607,noun.communication,pranks
611,611,verb.stative,defined
614,614,noun.act,search
616,616,noun.communication,answers
618,618,noun.cognition,life
620,620,noun.event,death
624,624,noun.artifact,car
625,625,noun.event,crash
634,634,noun.quantity,0
639,639,noun.relation,relations
641,641,noun.communication,Fiction
645,646,noun.group,Boarding schools
648,648,noun.communication,Fiction
652,652,noun.group,Schools
654,654,noun.communication,Fiction
658,658,noun.event,Death
660,660,noun.communication,Fiction
675,675,verb.creation,Designed
677,678,noun.person,Irene Vandervoort
681,682,noun.person,Julie Strauss
688,691,noun.location,United States of America
693,693,verb.stative,is
695,695,noun.artifact,work
697,697,noun.communication,fiction
699,699,noun.communication,Names
701,701,noun.communication,characters
703,703,noun.location,places
706,706,noun.event,incidents
708,708,verb.stative,are
710,710,noun.artifact,product
713,713,noun.person,author
715,715,noun.cognition,imagination
718,718,verb.consumption,used
723,723,noun.attribute,resemblance
726,726,noun.person,persons
730,730,noun.group,dead
732,732,noun.group,businesses
734,734,noun.group,companies
736,736,noun.event,events
739,739,noun.communication,locales
740,740,verb.stative,is
753,753,noun.group,family
755,756,noun.person,Sydney Green
758,759,noun.person,Mike Green
762,763,noun.person,Hank Green
767,767,verb.social,tried
771,771,verb.social,do
776,776,noun.communication,words
778,780,noun.person,President Grover Cleveland
791,791,noun.time,days
794,794,noun.time,week
797,797,verb.motion,left
799,799,noun.group,family
801,801,noun.location,Florida
804,804,noun.relation,rest
808,808,noun.state,life
810,811,verb.motion,go to
812,813,noun.group,boarding school
815,815,noun.location,Alabama
818,818,noun.person,mother
819,819,verb.communication,insisted
821,821,verb.contact,throwing
827,827,noun.group,party
830,830,verb.communication,say
833,833,verb.stative,had
835,835,noun.feeling,expectations
837,837,verb.stative,be
839,839,verb.cognition,underestimate
841,841,noun.cognition,matter
850,850,verb.social,forced
852,852,verb.emotion,invite
856,857,noun.person,school friends
864,864,noun.group,bunch
866,866,noun.communication,drama
867,867,noun.group,people
869,869,noun.communication,English
870,870,noun.person,geeks
872,872,verb.contact,sat
876,876,noun.state,necessity
880,880,noun.artifact,cafeteria
883,884,noun.group,public school
887,887,verb.cognition,knew
891,891,verb.motion,come
896,896,noun.person,mother
897,897,verb.communication,persevered
902,902,noun.state,delusion
906,906,verb.social,kept
908,908,noun.attribute,popularity
914,914,noun.time,years
917,917,verb.contact,cooked
920,920,noun.object,mountain
922,922,noun.artifact,artichoke
923,923,noun.food,dip
926,926,verb.creation,festooned
928,929,noun.artifact,living room
934,934,noun.artifact,streamers
937,937,noun.artifact,colors
941,941,noun.artifact,school
944,944,verb.possession,bought
946,946,noun.quantity,dozen
947,947,noun.food,champagne
948,948,noun.artifact,poppers
950,950,verb.contact,placed
954,954,noun.location,edge
957,958,noun.artifact,coffee table
964,964,noun.time,Friday
965,965,verb.change,came
969,969,noun.substance,packing
975,975,verb.contact,sat
978,978,noun.person,dad
985,985,noun.artifact,room
986,986,noun.artifact,couch
989,989,noun.time,p.m.
992,992,verb.communication,awaited
994,994,noun.event,arrival
997,999,noun.communication,Good - bye
1001,1001,noun.person,Miles
1002,1003,verb.contact,looking for
1008,1008,noun.group,cavalry
1009,1010,verb.stative,consisted of
1013,1013,noun.group,people
1015,1018,noun.person,Marie Law - son
1022,1022,noun.person,blonde
1025,1025,noun.artifact,glasses
1032,1032,verb.communication,put
1036,1036,noun.person,boyfriend
1038,1038,noun.person,Will
1043,1043,noun.person,Miles
1046,1046,noun.person,Marie
1047,1047,verb.communication,said
1050,1051,verb.motion,sat down
1058,1058,verb.communication,said
1064,1064,noun.time,summer
1067,1067,noun.person,Will
1068,1068,verb.communication,asked
1081,1083,noun.person,Jesus Christ Superstar
1086,1086,verb.social,helped
1089,1089,noun.artifact,sets
1091,1091,noun.person,Marie
1092,1092,verb.creation,did
1093,1093,noun.artifact,lights
1096,1096,verb.communication,said
1097,1097,noun.person,Will
1101,1101,verb.stative,’s
1106,1106,verb.communication,nodded
1112,1112,verb.change,exhausted
1115,1115,noun.cognition,topics
1120,1120,verb.communication,asked
1122,1122,noun.communication,question
1124,1124,noun.person,Jesus
1135,1135,verb.cognition,know
1138,1138,verb.stative,was
1146,1146,verb.emotion,care
1148,1148,verb.cognition,learn
1156,1156,verb.social,excelled
1159,1159,noun.communication,talk
1162,1162,noun.person,mom
1167,1167,verb.communication,talk
1170,1170,noun.time,hours
1175,1175,verb.communication,extended
1177,1177,noun.cognition,awkwardness
1179,1179,verb.communication,asking
1183,1183,noun.act,rehearsal
1184,1184,noun.cognition,schedule
1189,1189,noun.act,show
1191,1191,verb.social,gone
1196,1196,verb.stative,was
1198,1198,noun.event,success
1202,1202,verb.cognition,guess
1204,1204,verb.stative,was
1207,1207,noun.person,Marie
1208,1208,verb.communication,said
1214,1214,noun.group,people
1215,1215,verb.motion,came
1218,1218,verb.cognition,guess
1221,1221,noun.person,Marie
1222,1222,verb.stative,was
1224,1224,noun.cognition,sort
1226,1226,noun.person,person
1228,1228,verb.cognition,guess
1234,1234,noun.person,Will
1235,1235,verb.communication,said
1242,1243,verb.motion,dropped by
1245,1245,verb.communication,say
1246,1248,noun.communication,good - bye
