COREF,start_token,end_token,prop,cat,text
8,5,6,PROP,PER,Justin Richardson
9,8,9,PROP,PER,Peter Parnell
10,12,16,PROP,PER,Henry Cole LITTLE SIMON New
0,12,25,PROP,FAC,Henry Cole LITTLE SIMON New York London Toronto Sydney New Delhi START OF BOOK
1,17,17,PROP,GPE,York
2,18,18,PROP,GPE,London
3,19,19,PROP,GPE,Toronto
4,20,20,PROP,GPE,Sydney
5,22,22,PROP,GPE,Delhi
25,23,25,NOM,PER,START OF BOOK
26,27,32,NOM,LOC,the middle of New York City
6,30,32,PROP,GPE,New York City
27,35,38,NOM,FAC,a great big park
7,40,41,PROP,FAC,Central Park
28,43,43,NOM,PER,Children
29,47,47,NOM,FAC,there
29,49,49,PRON,FAC,It
30,51,55,NOM,FAC,a toy - boat pond
28,57,57,PRON,PER,they
28,60,60,PRON,PER,their
29,63,63,PRON,FAC,It
31,65,69,NOM,FAC,a carousel to ride on
32,74,79,NOM,FAC,an ice rink to skate on
29,88,88,PRON,GPE,it
29,90,90,PRON,GPE,its
33,90,93,NOM,FAC,its very own zoo
34,97,100,NOM,PER,families of all kinds
29,108,108,NOM,FAC,there
28,111,111,NOM,PER,children
28,113,113,PRON,PER,their
37,113,114,NOM,PER,their parents
38,117,122,NOM,PER,the only families at the zoo
39,121,122,NOM,FAC,the zoo
40,129,129,PRON,PER,their
41,134,137,NOM,PER,red panda bear families
42,140,140,NOM,PER,mothers
43,142,142,NOM,PER,fathers
44,144,148,NOM,PER,furry red panda bear cubs
45,152,153,NOM,PER,monkey dads
46,155,156,NOM,PER,monkey moms
47,158,160,NOM,PER,noisy monkey babies
48,164,165,NOM,PER,toad families
49,168,169,NOM,PER,toucan families
50,172,176,NOM,PER,cotton - top tamarin families
51,181,183,NOM,FAC,the penguin house
52,186,187,NOM,PER,penguin families
53,197,199,NOM,PER,the girl penguins
54,202,204,NOM,PER,the boy penguins
54,207,209,NOM,PER,the boy penguins
56,212,213,NOM,PER,the girls
57,216,218,NOM,PER,the right girl
58,220,222,NOM,PER,the right boy
59,224,225,NOM,PER,each other
59,227,227,PRON,PER,they
60,229,230,NOM,PER,a couple
61,232,237,NOM,PER,Two penguins in the penguin house
51,235,237,NOM,FAC,the penguin house
63,244,244,NOM,PER,One
11,247,247,PROP,PER,Roy
12,254,254,PROP,PER,Silo
11,256,256,PROP,PER,Roy
12,258,258,PROP,PER,Silo
64,261,261,NOM,PER,boys
59,264,264,PRON,PER,they
11,274,274,PROP,PER,Roy
12,277,277,PROP,PER,Silo
59,283,283,PRON,PER,They
53,290,292,NOM,PER,the girl penguins
53,295,297,NOM,PER,the girl penguins
53,304,304,PRON,PER,them
11,308,308,PROP,PER,Roy
12,310,310,PROP,PER,Silo
59,312,312,PRON,PER,their
59,318,318,PRON,PER,Their
67,318,319,NOM,PER,Their keeper
13,320,321,PROP,PER,Mr. Gramzay
68,323,325,NOM,PER,the two penguins
13,329,329,PRON,PER,himself
68,332,332,PRON,PER,They
11,339,339,PROP,PER,Roy
12,341,341,PROP,PER,Silo
69,344,346,NOM,PER,the other penguins
70,348,349,NOM,FAC,a home
59,352,352,PRON,PER,they
59,359,359,PRON,PER,themselves
11,363,363,PROP,PER,Roy
12,365,365,PROP,PER,Silo
71,372,375,NOM,PER,the other penguin couples
11,380,380,PROP,PER,Roy
12,382,382,PROP,PER,Silo
11,390,390,PROP,PER,Roy
12,392,392,PROP,PER,Silo
72,395,397,NOM,PER,the other couples
59,401,401,PRON,PER,they
73,425,427,NOM,PER,a baby penguin
74,429,431,NOM,PER,The mama penguin
74,437,437,PRON,PER,She
11,441,441,PROP,PER,Roy
12,443,443,PROP,PER,Silo
59,454,454,PRON,PER,They
75,456,464,NOM,PER,no baby chick to feed and cuddle and love
59,466,466,PRON,PER,Their
76,466,467,NOM,FAC,Their nest
76,472,472,PRON,FAC,it
12,485,485,PROP,PER,Silo
11,493,493,PROP,PER,Roy
77,506,506,PRON,PER,he
59,510,510,PRON,PER,their
76,510,511,NOM,FAC,their nest
12,520,520,PROP,PER,Silo
77,524,524,PRON,PER,he
12,529,529,PROP,PER,Silo
77,536,536,PRON,PER,he
11,539,539,PROP,PER,Roy
12,545,545,PROP,PER,Silo
11,547,547,PROP,PER,Roy
79,550,551,NOM,LOC,the rock
13,561,562,PROP,PER,Mr. Gramzay
13,567,567,PRON,PER,He
13,579,579,PRON,PER,he
11,583,583,PROP,PER,Roy
12,585,585,PROP,PER,Silo
80,585,587,NOM,FAC,Silo ’s nest
11,589,589,PROP,PER,Roy
12,591,591,PROP,PER,Silo
59,598,598,PRON,PER,They
59,606,606,PRON,PER,their
76,606,607,NOM,FAC,their nest
59,611,611,PRON,PER,they
14,623,623,PROP,PER,R.oy
12,626,626,PROP,PER,Silo
12,635,635,PROP,PER,Silo
59,642,642,PRON,PER,their
59,645,645,PRON,PER,They
59,652,652,PRON,PER,they
59,657,657,PRON,PER,They
59,667,667,PRON,PER,They
59,677,677,PRON,PER,they
59,687,687,PRON,PER,they
59,699,699,PRON,PER,they
59,706,706,PRON,PER,their
11,720,720,PROP,PER,Roy
12,722,722,PROP,PER,Silo
59,758,758,PRON,PER,their
82,758,761,NOM,PER,their very own baby
82,763,763,PRON,PER,She
11,775,775,PROP,PER,Roy
12,777,777,PROP,PER,Silo
43,779,779,NOM,PER,fathers
59,782,782,PRON,PER,We
15,785,785,PRON,PER,her
15,786,786,PROP,PER,Tango
13,789,790,PROP,PER,Mr. Gramzay
11,805,805,PROP,PER,Roy
12,807,807,PROP,PER,Silo
15,809,809,PROP,PER,Tango
59,814,814,PRON,PER,them
15,816,816,PRON,PER,she
59,820,820,PRON,PER,They
15,822,822,PRON,PER,her
59,825,825,PRON,PER,their
59,828,828,PRON,PER,They
15,830,830,PRON,PER,her
59,832,832,PRON,PER,their
76,832,833,NOM,FAC,their nest
15,837,837,PROP,PER,Tango
39,844,845,NOM,FAC,the zoo
86,848,849,NOM,PER,two daddies
