start_token,end_token,supersense_category,text
1,1,noun.act,tango
5,6,noun.person,Justin Richardson
8,9,noun.person,Peter Parnell
10,10,verb.creation,illustrated
12,15,noun.person,Henry Cole LITTLE SIMON
16,17,noun.location,New York
18,19,noun.location,London Toronto
20,21,noun.location,Sydney New
22,23,noun.location,Delhi START
25,25,noun.communication,BOOK
28,28,noun.location,middle
30,32,noun.location,New York City
34,34,verb.stative,is
38,38,noun.location,park
40,41,noun.location,Central Park
43,43,noun.person,Children
44,44,verb.emotion,love
46,46,verb.competition,play
50,50,verb.stative,has
52,54,noun.artifact,toy - boat
55,55,noun.object,pond
59,59,verb.motion,sail
61,61,noun.artifact,boats
64,64,verb.stative,has
66,66,noun.artifact,carousel
68,68,verb.contact,ride
72,72,noun.time,summer
75,75,noun.substance,ice
76,76,noun.artifact,rink
78,78,verb.contact,skate
82,82,noun.time,winter
89,89,verb.possession,has
93,93,noun.artifact,zoo
96,96,noun.time,day
97,97,noun.group,families
100,100,noun.cognition,kinds
101,101,verb.motion,go
103,103,verb.social,visit
105,105,noun.animal,animals
107,107,verb.stative,live
111,111,noun.person,children
114,114,noun.person,parents
115,115,verb.stative,are
119,119,noun.group,families
122,122,noun.artifact,zoo
125,125,noun.animal,animals
126,126,verb.creation,make
127,127,noun.group,families
134,135,noun.animal,red panda
136,136,noun.animal,bear
137,137,noun.group,families
140,140,noun.person,mothers
142,142,noun.person,fathers
144,144,noun.animal,furry
145,146,noun.animal,red panda
147,148,noun.animal,bear cubs
151,151,verb.stative,are
152,152,noun.animal,monkey
153,153,noun.person,dads
155,155,noun.animal,monkey
156,156,noun.person,moms
157,157,verb.creation,raising
159,160,noun.animal,monkey babies
163,163,verb.stative,are
164,164,noun.animal,toad
165,165,noun.group,families
169,169,noun.group,families
172,172,noun.substance,cotton
175,175,noun.animal,tamarin
176,176,noun.group,families
182,182,noun.animal,penguin
183,183,noun.artifact,house
185,185,verb.stative,are
186,186,noun.animal,penguin
187,187,noun.group,families
198,198,noun.person,girl
199,199,noun.animal,penguins
200,200,verb.change,start
201,201,verb.perception,noticing
203,203,noun.person,boy
204,204,noun.animal,penguins
208,208,noun.person,boy
209,209,noun.animal,penguins
210,210,verb.change,start
211,211,verb.perception,noticing
213,213,noun.person,girls
218,218,noun.person,girl
222,222,noun.person,boy
223,223,verb.possession,Find
228,228,verb.stative,become
230,230,noun.person,couple
233,233,noun.animal,penguins
236,236,noun.animal,penguin
237,237,noun.artifact,house
238,238,verb.stative,were
245,245,verb.stative,was
247,247,noun.person,Roy
252,252,verb.stative,was
254,254,noun.person,Silo
256,256,noun.person,Roy
258,258,noun.person,Silo
259,259,verb.stative,were
261,261,noun.person,boys
270,270,verb.motion,swam
274,274,noun.person,Roy
275,275,verb.motion,went
277,277,noun.person,Silo
278,278,verb.motion,went
286,286,verb.stative,spend
288,288,noun.time,time
291,291,noun.person,girl
292,292,noun.animal,penguins
296,296,noun.person,girl
297,297,noun.animal,penguins
300,300,verb.stative,spend
302,302,noun.time,time
308,308,noun.person,Roy
310,310,noun.person,Silo
311,311,verb.contact,wound
313,313,noun.body,necks
319,321,noun.person,keeper Mr. Gramzay
322,322,verb.perception,noticed
325,325,noun.animal,penguins
327,327,verb.cognition,thought
334,334,verb.stative,be
336,336,noun.feeling,love
339,339,noun.person,Roy
341,341,noun.person,Silo
342,342,verb.perception,watched
346,346,noun.animal,penguins
347,347,verb.creation,made
349,349,noun.artifact,home
353,353,verb.creation,built
355,355,noun.object,nest
357,357,noun.substance,stones
362,362,noun.time,night
363,363,noun.person,Roy
365,365,noun.person,Silo
366,366,verb.body,slept
374,374,noun.animal,penguin
375,375,noun.group,couples
379,379,noun.time,morning
380,380,noun.person,Roy
382,382,noun.person,Silo
383,384,verb.body,woke up
389,389,noun.time,day
390,390,noun.person,Roy
392,392,noun.person,Silo
393,393,verb.cognition,saw
397,397,noun.person,couples
399,399,verb.social,do
405,405,noun.animal,penguin
407,408,verb.social,take turns
409,409,verb.stative,keeping
411,411,noun.animal,egg
418,418,verb.body,hatch
424,424,verb.stative,be
427,427,noun.animal,penguin
430,430,noun.animal,mama
431,431,noun.animal,penguin
433,433,verb.contact,lav
435,435,noun.animal,egg
441,441,noun.person,Roy
443,443,noun.person,Silo
444,444,verb.possession,had
446,446,noun.animal,egg
448,448,verb.contact,sit
451,451,verb.stative,keep
455,455,verb.possession,had
457,458,noun.animal,baby chick
460,460,verb.consumption,feed
462,462,verb.consumption,cuddle
464,464,verb.emotion,love
467,467,noun.object,nest
468,468,verb.stative,was
473,473,verb.stative,was
479,479,verb.stative,was
482,482,noun.object,rock
485,485,noun.person,Silo
487,487,verb.contact,sat
492,492,noun.time,day
493,493,noun.person,Roy
494,494,verb.possession,found
497,498,verb.stative,looked like
502,502,noun.animal,penguins
504,504,verb.contact,hatching
507,507,verb.motion,brought
511,511,noun.object,nest
514,514,verb.contact,sat
520,520,noun.person,Silo
521,521,verb.change,got
522,522,verb.body,sleepy
525,525,verb.body,slept
529,529,noun.person,Silo
532,532,verb.body,sleeping
534,534,verb.contact,sitting
537,537,verb.motion,swam
539,539,noun.person,Roy
540,540,verb.contact,sat
542,542,noun.time,Day
544,544,noun.time,day
545,545,noun.person,Silo
547,547,noun.person,Roy
548,548,verb.contact,sat
551,551,noun.object,rock
554,554,verb.motion,sat
557,557,noun.quantity,nothing
558,558,verb.change,happened
561,562,noun.person,Mr. Gramzay
563,563,verb.possession,got
565,565,noun.cognition,idea
568,568,verb.possession,Found
570,570,noun.animal,egg
575,575,verb.social,cared
580,580,verb.motion,brought
583,583,noun.location,Roy
585,585,noun.location,Silo
587,587,noun.object,nest
589,589,noun.person,Roy
591,591,noun.person,Silo
592,592,verb.cognition,knew
596,596,verb.social,do
599,599,verb.motion,moved
601,601,noun.animal,egg
604,604,noun.location,center
607,607,noun.object,nest
612,612,verb.motion,turned
617,617,noun.location,side
618,618,verb.change,stayed
622,622,noun.time,days
623,623,noun.person,R.oy
624,624,verb.motion,sat
626,626,noun.person,Silo
627,627,verb.motion,went
629,629,noun.food,Food
632,632,noun.time,days
634,634,verb.stative,was
635,635,noun.person,Silo
637,637,noun.act,turn
639,640,verb.social,take care
643,643,noun.animal,egg
646,646,verb.contact,sat
649,649,noun.time,morning
653,653,verb.contact,sat
655,655,noun.time,night
658,658,verb.contact,sat
660,660,noun.time,lunchtime
662,663,noun.act,swim time
665,665,noun.food,supper
668,668,verb.stative,sat
671,671,noun.event,beginning
674,674,noun.time,month
678,678,verb.contact,sat
681,681,noun.event,end
684,684,noun.time,month
688,688,verb.contact,sat
692,692,noun.time,days
698,698,noun.time,day
700,700,verb.perception,heard
702,702,noun.cognition,sound
703,703,verb.perception,coming
707,707,noun.animal,egg
709,709,noun.person,Peep
711,711,noun.event,peep
715,715,noun.person,peep
718,718,verb.communication,said
720,720,noun.person,Roy
722,722,noun.person,Silo
723,724,verb.communication,called back
726,726,noun.animal,Squawk
734,734,verb.communication,answered
736,736,noun.animal,egg
741,741,noun.object,hole
742,742,verb.change,appeared
745,745,noun.animal,egg
747,747,noun.artifact,shell
757,757,verb.motion,came
761,761,noun.animal,baby
764,764,verb.stative,had
767,767,noun.animal,feathers
772,772,noun.animal,beak
775,775,noun.person,Roy
777,777,noun.person,Silo
778,778,verb.stative,were
779,779,noun.person,fathers
784,784,verb.communication,call
786,786,noun.person,Tango
789,790,noun.person,Mr. Gramzay
791,791,verb.cognition,decided
797,797,verb.possession,takes
800,800,verb.creation,make
802,802,noun.communication,Tango
805,805,noun.person,Roy
807,807,noun.person,Silo
808,808,verb.communication,taught
809,809,noun.person,Tango
812,812,verb.creation,sing
817,817,verb.stative,was
821,821,verb.consumption,fed
823,823,noun.food,food
826,826,noun.animal,beaks
829,829,verb.body,snuggled
833,833,noun.object,nest
835,835,noun.time,night
837,837,noun.person,Tango
838,838,verb.stative,was
842,842,noun.animal,penguin
845,845,noun.artifact,zoo
847,847,verb.possession,have
849,849,noun.person,daddies
852,852,noun.animal,penguin
853,853,noun.artifact,house
859,859,noun.person,children
861,861,verb.motion,came
863,864,verb.social,playing in
867,867,noun.animal,penguins
869,869,noun.person,Tango
870,870,verb.change,grew
874,874,verb.motion,leave
876,876,noun.object,nest
878,878,noun.person,Roy
880,880,noun.person,Silo
881,881,verb.motion,took
885,885,noun.act,swim
892,892,noun.animal,penguin
893,893,noun.group,Families
895,895,noun.artifact,zoo
897,897,verb.perception,see
898,898,noun.person,Tango
902,902,noun.person,fathers
904,904,noun.person,Hooray
906,906,noun.person,Roy
912,912,noun.person,Silo
917,917,noun.person,Tango
921,921,verb.communication,cheered
924,924,noun.time,night
927,927,noun.animal,penguins
928,928,verb.motion,returned
931,931,noun.object,nest
935,935,verb.contact,snuggled
943,943,noun.animal,penguins
946,946,noun.animal,penguin
947,947,noun.artifact,house
953,953,noun.animal,animals
956,956,noun.artifact,zoo
961,961,noun.group,families
965,965,noun.location,city
970,971,verb.stative,went to
972,972,verb.body,sleep
974,978,noun.person,END OF BOOK L MUTHORS
984,984,noun.event,events
987,987,noun.communication,story
988,988,verb.stative,are
991,991,noun.person,Roy
993,993,noun.person,Silo
996,997,noun.animal,chinstrap penguins
1002,1002,noun.shape,line
1005,1005,noun.animal,feathers
1007,1007,verb.motion,loops
1010,1010,noun.body,beaks
1015,1015,verb.stative,hold
1017,1017,noun.artifact,hat
1022,1022,noun.time,years
1024,1024,verb.stative,living
1030,1032,noun.location,Central Park Zoo
1035,1035,verb.perception,discovered
1043,1043,verb.stative,been
1045,1045,noun.group,couple
1049,1049,noun.person,Tango
1053,1053,noun.animal,chick
1056,1056,verb.body,born
1059,1059,noun.animal,egg
1060,1060,verb.body,laid
1063,1063,noun.animal,penguin
1064,1064,noun.group,couple
1066,1066,noun.person,Betty
1068,1068,noun.person,Porkey
1071,1071,noun.group,couple
1074,1074,verb.change,hatched
1077,1077,noun.animal,eggs
1086,1086,verb.emotion,care
1099,1099,noun.person,Betty
1100,1100,verb.contact,laid
1103,1103,noun.animal,eggs
1105,1106,noun.person,Rob Gramzay
1107,1107,verb.cognition,decided
1109,1109,verb.communication,give
1110,1110,noun.person,Roy
1112,1112,noun.person,Silo
1118,1118,noun.animal,eggs
1120,1120,noun.state,chance
1122,1122,verb.stative,become
1124,1124,noun.group,family
1128,1129,verb.motion,go to
1131,1133,noun.location,Central Park Zoo
1137,1137,verb.perception,see
1138,1138,noun.person,Tango
1141,1141,noun.person,parents
1142,1142,verb.motion,splashing
1146,1146,noun.animal,penguin
1147,1147,noun.artifact,house
1151,1151,noun.person,friends
1154,1154,noun.person,Nipper
1156,1156,noun.person,Squawk
1158,1158,noun.person,Charlie
1160,1160,noun.person,Wasabi
1163,1163,noun.person,Piwi
1166,1166,verb.stative,are
1170,1171,noun.animal,chinstrap penguins
1174,1176,noun.location,Central Park Zoo
1181,1181,noun.animal,chinstraps
1184,1184,noun.object,world
1188,1188,verb.stative,is
1191,1191,noun.animal,Tango
