COREF,start_token,end_token,prop,cat,text
465,10,12,NOM,FAC,THE GLASS CASTLE
242,14,14,PROP,PER,Walls
323,27,29,PROP,FAC,The Glass Castle
242,59,59,PROP,PER,Walls
2279,69,69,PRON,PER,our
466,75,77,NOM,PER,The Plain Dealer
465,88,90,NOM,FAC,The Glass Castle
243,114,114,PROP,PER,God
243,121,121,PRON,PER,he
246,124,125,PROP,FAC,Jeannette Walls
246,131,131,PRON,PER,you
242,140,140,PROP,PER,Walls
243,142,142,PRON,PER,His
244,151,152,PROP,PER,Charles Dickens
467,179,183,NOM,FAC,The Atlanta Journal - Constitution
2281,185,186,NOM,PER,Some people
2282,189,189,NOM,PER,storytellers
323,208,210,PROP,FAC,The Glass Castle
470,212,212,PRON,PER,they
3,217,218,PROP,GPE,New York
323,221,223,PROP,FAC,The Glass Castle
2283,231,231,PRON,PER,you
2284,238,239,NOM,FAC,the house
465,249,251,NOM,FAC,The Glass Castle
469,252,253,NOM,PER,The autobiographer
470,273,273,NOM,PER,Readers
471,282,284,NOM,PER,the Walls kids
245,288,289,PROP,PER,Francine Prose
4,291,296,PROP,FAC,The New York Times Book Review
244,320,321,PROP,PER,Charles Dickens
246,325,326,PROP,PER,Jeannette Walls
465,330,332,NOM,FAC,The Glass Castle
246,338,338,PRON,PER,her
244,344,344,PROP,PER,Dickens
246,381,381,PROP,PER,Walls
323,393,395,PROP,FAC,The Glass Castle
473,400,400,PRON,PER,you
473,404,404,PRON,PER,you
473,411,411,PRON,PER,you
246,424,425,PROP,PER,Jeannette Walls
473,444,444,PRON,PER,You
474,448,450,NOM,PER,the Walls family
323,456,458,PROP,FAC,The Glass Castle
473,466,466,PRON,PER,you
2284,473,474,NOM,FAC,the house
246,483,483,PROP,PER,Walls
246,492,492,PRON,PER,her
247,518,519,PROP,PER,Rosie O’Donnell
246,521,522,PROP,PER,Jeannette Walls
476,573,573,PRON,PER,our
248,582,583,PROP,PER,Dani Shapiro
323,590,592,PROP,FAC,The Glass Castle
477,597,602,NOM,PER,"the restless , indomitable Walls family"
478,606,608,NOM,PER,a grand eccentric
478,610,610,PRON,PER,his
479,610,613,NOM,PER,his tempestuous artist wife
246,615,616,PROP,PER,Jeannette Walls
246,629,629,PRON,PER,She
249,642,643,PROP,PER,Patricia Bosworth
480,648,648,PRON,PER,Your
5,653,654,PROP,FAC,Diane Arbus
323,665,667,PROP,FAC,The Glass Castle
246,669,670,PROP,PER,Jeannette Walls
0,673,673,PRON,PER,I
480,675,675,PRON,PER,you
0,691,691,PRON,PER,I
250,700,701,PROP,PER,Dominick Dunne
2285,705,709,NOM,FAC,The Way We Lived Then
476,707,707,PRON,PER,We
0,719,719,PRON,PER,My
2286,719,720,NOM,PER,My parents
251,722,723,PROP,PER,Rose Mary
242,725,726,PROP,PER,Rex Walls
2286,729,729,PRON,PER,their
323,734,736,PROP,FAC,THE Glass Castle
6,739,742,PROP,FAC,Jeannette Walls SCRIBNER New
7,739,755,PROP,FAC,Jeannette Walls SCRIBNER New York London Toronto Sydney A SCRIBNER 1230 Avenue of the Americas New York
8,743,743,PROP,GPE,York
9,744,744,PROP,GPE,London
10,745,745,PROP,GPE,Toronto
11,746,746,PROP,GPE,Sydney
2287,747,748,NOM,GPE,A SCRIBNER
12,753,753,PROP,GPE,Americas
2288,754,755,NOM,GPE,New York
13,757,757,PROP,GPE,NY
246,778,779,PROP,PER,Jeannette Walls
14,810,813,PROP,FAC,Macmillan Library Reference USA
15,813,813,PROP,GPE,USA
252,821,823,PROP,PER,Simon & Schuster
2289,825,829,NOM,PER,the publisher of this work
253,859,860,PROP,PER,Kyoko Watanabe
16,867,867,PROP,GPE,Italy
17,875,877,PROP,FAC,Library of Congress
246,886,886,PROP,GPE,Jeannette
465,888,890,NOM,FAC,The glass castle
246,895,896,PROP,FAC,Jeannette Walls
246,905,905,PROP,GPE,Jeannette
2291,909,911,NOM,PER,Children of alcoholics
2292,913,914,NOM,GPE,United States
2291,920,922,NOM,PER,Children of alcoholics
19,924,925,PROP,GPE,West Virginia
20,931,931,PROP,GPE,Problem
2294,932,932,NOM,PER,families
2292,934,935,NOM,GPE,United States
2296,942,943,NOM,PER,Problem families
19,945,946,PROP,GPE,West Virginia
21,948,948,PROP,GPE,Welch
19,957,958,PROP,GPE,West Virginia
21,960,960,PROP,GPE,Welch
2297,966,967,NOM,PER,Homeless persons
3,969,970,PROP,GPE,New York
8,973,973,PROP,GPE,York
254,1014,1014,PROP,PER,John
0,1018,1018,PRON,PER,me
2298,1020,1023,NOM,PER,everyone who is interesting
0,1028,1028,PRON,PER,I
0,1033,1033,PRON,PER,my
2299,1033,1034,NOM,PER,my brother
255,1036,1036,PROP,PER,Brian
0,1041,1041,PRON,PER,me
2300,1043,1043,PRON,PER,we
0,1049,1049,PRON,PER,I
0,1053,1053,PRON,PER,I
0,1058,1058,PRON,PER,my
2301,1058,1059,NOM,PER,my mother
0,1076,1076,PRON,PER,my
2302,1076,1081,NOM,PER,my brilliant and talented older sister
256,1083,1083,PROP,PER,Lori
0,1093,1093,PRON,PER,my
2303,1093,1095,NOM,PER,my younger sister
251,1097,1097,PROP,PER,Maureen
0,1100,1100,PRON,PER,I
0,1107,1107,PRON,PER,my
2304,1107,1108,NOM,PER,my father
242,1110,1112,PROP,PER,Rex S. Walls
0,1126,1126,PRON,PER,my
2305,1126,1127,NOM,PER,my agent
257,1129,1131,PROP,PER,Jennifer Rudolph Walsh
257,1134,1134,PRON,PER,her
0,1146,1146,PRON,PER,my
2306,1146,1147,NOM,PER,my editor
258,1149,1150,PROP,PER,Nan Graham
258,1153,1153,PRON,PER,her
259,1169,1170,PROP,PER,Alexis Gargagliano
258,1172,1172,PRON,PER,her
0,1178,1178,PRON,PER,My
2307,1181,1181,PRON,PER,their
260,1188,1188,PROP,PER,Jay
261,1190,1191,PROP,PER,Betsy Taylor
256,1193,1194,PROP,PER,Laurie Peck
262,1196,1196,PROP,PER,Cynthia
