COREF,start_token,end_token,prop,cat,text
52,2,3,PROP,PER,e. lockhart
194,4,27,NOM,FAC,THE RUBY OLIVER NOVELS The Boyfriend List The Boy Book The Treasure Map of Boys Dramarama The Disreputable History of Frankie Landau - Banks
53,34,35,PROP,PER,Lauren Myracle
54,37,38,PROP,PER,Sarah Mlynowski
195,68,69,NOM,PER,the author
52,100,100,PROP,PER,Lockhart
1,107,109,PROP,GPE,the United States
2,111,112,PROP,FAC,Delacorte Press
3,117,118,PROP,ORG,Random House
4,117,121,PROP,FAC,Random House Children 's Books
196,123,127,NOM,ORG,a division of Random House
3,126,127,PROP,ORG,Random House
5,131,132,PROP,GPE,New York
1,139,141,PROP,GPE,the United States
2,143,144,PROP,FAC,Delacorte Press
2,148,149,PROP,FAC,Delacorte Press
3,161,162,PROP,ORG,Random House
197,166,166,PRON,PER,us
198,171,174,NOM,PER,www.randomhouse.com/teens Educators and librarians
199,172,172,NOM,PER,Educators
200,174,174,NOM,PER,librarians
197,184,184,PRON,PER,us
6,188,190,PROP,ORG,Library of Congress
52,202,202,PROP,PER,Lockhart
201,211,212,NOM,PER,one girl
55,224,225,PROP,PER,Gretchen Yee
202,227,236,NOM,PER,a student at the Manhattan School for Art and Music
7,230,234,PROP,FAC,the Manhattan School for Art
55,239,239,PRON,PER,she
203,247,248,NOM,PER,the boys
204,247,251,NOM,FAC,the boys ' locker room
55,253,253,PRON,PER,she
55,256,256,PRON,PER,her
205,344,345,NOM,FAC,High schools
5,357,358,PROP,GPE,New York
206,393,396,NOM,GPE,the United States of
8,397,397,PROP,GPE,America
56,415,415,PROP,PER,Daniel
0,420,420,PRON,PER,my
207,430,433,NOM,PER,an artificial redhead friday
0,435,435,PRON,PER,I
208,440,441,NOM,FAC,the lunchroom
57,447,447,PROP,PER,Katya
57,452,452,PRON,PER,she
57,469,469,PRON,PER,She
57,471,471,PRON,PER,her
57,475,475,PRON,PER,she
0,490,490,PRON,PER,I
0,499,499,PRON,PER,me
0,504,504,PRON,PER,I
0,508,508,PRON,PER,my
209,508,513,NOM,FAC,my favorite comer of the lunchroom
208,512,513,NOM,FAC,the lunchroom
0,520,520,PRON,PER,my
0,526,526,PRON,PER,I
0,535,535,PRON,PER,my
58,581,583,PROP,PER,Spider - Man
59,585,586,PROP,PER,Doctor Octopus
211,591,592,NOM,FAC,the building
60,601,601,PROP,PER,Ock
60,606,606,PRON,PER,he
60,610,610,PRON,PER,his
60,618,618,PRON,PER,He
60,626,626,PRON,PER,him
61,629,629,PROP,PER,Spidey
0,644,644,PRON,PER,I
61,647,647,PRON,PER,him
0,648,648,PRON,PER,myself
0,651,651,PRON,PER,I
0,653,653,PRON,PER,I
61,655,655,PRON,PER,his
0,664,664,PRON,PER,I
0,666,666,PRON,PER,I
0,668,668,PRON,PER,my
0,672,672,PRON,PER,I
0,700,700,PRON,PER,I
211,715,716,NOM,FAC,the building
60,724,725,PROP,PER,Doc Ock
60,727,727,PRON,PER,he
61,743,743,PROP,GPE,Spidey
62,748,749,PROP,PER,Cammie Holmes
0,753,753,PRON,PER,me
0,755,755,PRON,PER,I
62,766,766,PRON,PER,you
0,771,771,PRON,PER,I
0,786,786,PRON,PER,I
0,790,790,PRON,PER,my
62,802,802,PROP,PER,Cammie
62,807,807,PRON,PER,She
213,811,816,NOM,PER,a character in a comic book
62,822,822,PRON,PER,her
62,825,825,PRON,PER,Her
62,833,833,PRON,PER,you
62,835,835,PRON,PER,your
62,840,840,PROP,PER,Cammie
62,842,842,PRON,PER,her
62,852,852,PRON,PER,I
62,855,855,PRON,PER,I
63,865,865,PROP,PER,Superman
58,869,869,PROP,PER,Spider
58,878,880,PROP,PER,Spider - Man
55,890,890,PROP,PER,Gretchen
62,893,893,PRON,PER,She
208,899,900,NOM,FAC,the lunchroom
62,902,902,PRON,PER,her
64,907,907,PROP,PER,Taffy
58,912,912,PRON,PER,I
55,915,915,PROP,PER,Gretchen
62,923,923,PRON,PER,she
58,927,927,PROP,PER,Spider
58,929,929,PROP,PER,Spider
58,931,933,PROP,PER,Spider - Man
62,936,936,PRON,PER,She
64,940,941,PROP,PER,Taffy Johnson
63,947,947,PROP,PER,Superman
0,953,953,PRON,PER,I
63,957,957,PROP,PER,Superman
63,962,962,PRON,PER,him
0,965,965,PRON,PER,I
215,969,969,NOM,PER,anybody
0,974,974,PRON,PER,I
216,976,977,NOM,PER,those girls
64,979,979,PROP,PER,Taffy
217,987,989,NOM,FAC,the lunchroom floor
64,1000,1000,PRON,PER,her
218,1008,1008,NOM,PER,everybody
218,1014,1014,PRON,PER,they
64,1018,1018,PRON,PER,she
64,1023,1023,PRON,PER,she
0,1032,1032,PRON,PER,I
216,1034,1035,NOM,PER,those girls
0,1038,1038,PRON,PER,I
220,1040,1041,NOM,GPE,this place
221,1043,1049,NOM,FAC,the Manhattan High School for the Arts
83,1054,1056,PROP,FAC,Ma - Ha
221,1060,1060,PRON,FAC,it
222,1062,1076,NOM,FAC,"a magnet high school for students talented in drawing , painting , sculpture or photography"
223,1067,1076,NOM,PER,"students talented in drawing , painting , sculpture or photography"
224,1078,1078,PRON,PER,You
0,1090,1090,PRON,PER,I
0,1092,1092,PRON,PER,mine
0,1105,1105,PRON,PER,I
0,1107,1107,PRON,PER,myself
0,1116,1116,PRON,PER,I
0,1119,1119,PRON,PER,my
0,1123,1123,PRON,PER,my
225,1123,1124,NOM,PER,my parents
224,1132,1132,PRON,PER,you
226,1134,1134,NOM,FAC,here
227,1140,1148,NOM,FAC,"an old , ugly New York public school building"
228,1151,1152,NOM,PER,angry teachers
229,1154,1161,NOM,FAC,crap facilities like any other city public school
230,1158,1161,NOM,ORG,other city public school
0,1164,1164,PRON,PER,I
0,1181,1181,PRON,PER,I
83,1190,1192,PROP,FAC,Ma - Ha
231,1199,1215,NOM,FAC,"the schools you see on television , where everyone wants to be the same as everyone else"
224,1201,1201,PRON,PER,you
232,1207,1207,NOM,PER,everyone
233,1214,1215,NOM,PER,everyone else
224,1221,1221,PRON,PER,you
234,1228,1230,NOM,PER,the popular kids
234,1237,1237,PRON,PER,they
234,1243,1243,PRON,PER,they
224,1247,1247,PRON,PER,you
