start_token,end_token,supersense_category,text
2,3,noun.person,e. lockhart
5,10,noun.group,RUBY OLIVER NOVELS The Boyfriend List
24,25,noun.location,Frankie Landau
34,35,noun.person,Lauren Myracle
37,38,noun.person,Sarah Mlynowski
44,45,noun.person,e. lockhart
51,51,noun.artifact,work
53,53,noun.communication,fiction
55,55,noun.communication,Names
57,57,noun.communication,characters
59,59,noun.location,places
62,62,noun.communication,Incidents
64,64,verb.stative,are
66,66,noun.artifact,product
69,69,noun.person,author
71,71,noun.feeling,Imagination
74,74,verb.consumption,used
78,78,noun.attribute,resemblance
81,81,noun.person,persons
87,87,noun.event,events
90,90,noun.location,locales
91,91,verb.stative,is
99,100,noun.person,E Lockhart
108,109,noun.location,United States
111,112,noun.group,Delacorte Press
115,115,noun.cognition,imprint
117,119,noun.group,Random House Children
124,124,noun.cognition,division
126,127,noun.group,Random House
131,132,noun.location,New York
135,135,verb.creation,published
137,137,noun.communication,hardcover
140,141,noun.location,United States
143,144,noun.group,Delacorte Press
148,149,noun.group,Delacorte Press
153,153,noun.communication,trademark
156,156,noun.artifact,colophon
157,157,verb.stative,is
159,159,noun.artifact,trademark
161,162,noun.group,Random House
172,172,noun.person,Educators
174,174,noun.person,librarians
178,178,noun.group,variety
180,181,noun.cognition,teaching tools
183,183,verb.social,visit
188,190,noun.group,Library of Congress
192,192,verb.possession,cataloged
194,194,noun.communication,hardcover
195,195,noun.communication,edition
198,198,noun.artifact,work
202,202,noun.person,Lockhart
212,212,noun.person,girl
213,213,verb.perception,saw
228,228,noun.person,student
231,236,noun.group,Manhattan School for Art and Music
238,238,verb.emotion,wishes
240,240,verb.stative,were
245,245,noun.artifact,wall
250,251,noun.artifact,locker room
255,255,verb.cognition,expects
257,257,noun.feeling,wish
259,260,verb.change,come true
265,265,noun.attribute,way
276,276,noun.quantity,9
278,278,noun.act,trade
293,296,noun.person,Gibraltar lib . bdg
314,314,noun.communication,book
319,319,noun.person,Artists
321,321,noun.communication,Fiction
326,326,noun.relation,relations
328,328,noun.communication,Fiction
334,334,noun.communication,Fiction
338,338,noun.location,Flies
340,340,noun.communication,Fiction
344,345,noun.group,High schools
347,347,noun.communication,Fiction
351,351,noun.location,Schools
353,353,noun.communication,Fiction
357,358,noun.location,New York
394,397,noun.location,United States of America
398,399,noun.group,Random House
403,403,verb.stative,supports
405,406,noun.communication,First Amendment
408,408,verb.possession,celebrates
410,411,noun.attribute,right to
412,412,verb.communication,read
415,415,noun.communication,Daniel
419,419,verb.stative,is
422,422,noun.communication,romance
428,428,noun.state,life
432,432,noun.person,redhead
433,433,noun.time,friday
437,437,verb.consumption,eating
441,441,noun.artifact,lunchroom
447,447,noun.person,Katya
448,448,verb.change,started
449,449,verb.consumption,smoking
450,450,noun.artifact,cigarettes
454,454,verb.contact,hanging
459,460,noun.artifact,garbage cans
462,463,verb.weather,lighting up
466,467,noun.person,Art Rats
470,470,verb.contact,bags
472,472,noun.food,lunch
481,481,verb.consumption,eats
482,483,noun.food,potato chips
486,486,noun.phenomenon,haze
488,488,noun.substance,nicotine
491,491,verb.emotion,hate
492,492,noun.act,smoking
496,497,noun.person,Art Rats
498,498,verb.change,make
505,505,verb.stative,am
513,513,noun.artifact,lunchroom
515,515,verb.contact,sitting
518,518,noun.artifact,floor
521,521,noun.body,back
524,524,noun.artifact,wall
528,528,verb.consumption,eating
529,529,noun.food,fries
532,532,noun.artifact,tray
534,534,verb.creation,drawing
537,537,noun.substance,stuff
542,542,noun.group,class
544,544,noun.body,Knee
546,546,noun.body,Calf
547,547,noun.body,muscle
550,550,noun.shape,point
553,553,verb.change,sharpen
554,554,noun.artifact,pencil
556,556,noun.location,Hell
