COREF,start_token,end_token,prop,cat,text
28,1,3,PROP,PER,PATRICIA McCORMICK LITTLE
115,31,32,NOM,PER,the author
116,49,49,NOM,PER,persons
28,62,63,PROP,PER,Patricia McCormick
29,75,76,PROP,PER,Isabelle Rozenbaum
30,85,89,PROP,PER,Alan Kearney / Getty Images
117,92,92,NOM,PER,girl
31,95,99,PROP,PER,Philip Reeve / Getty Images
32,104,106,PROP,PER,Ellice M. Lee
1,118,120,PROP,ORG,Hachette Book Group
118,140,140,NOM,PER,writers
119,142,142,NOM,PER,artists
120,150,150,PRON,PER,our
115,169,170,NOM,PER,the author
122,176,176,PRON,PER,you
122,199,199,PRON,PER,you
122,201,201,PRON,PER,your
115,204,205,NOM,PER,the author
2,211,211,PROP,GPE,Brown
124,213,221,NOM,FAC,Company Hachette Book Group 1290 Avenue of the Americas
3,223,224,PROP,GPE,New York
4,226,226,PROP,GPE,NY
120,229,229,PRON,PER,us
125,239,244,NOM,ORG,an imprint of Disney Book Group
5,242,244,PROP,FAC,Disney Book Group
2,258,258,PROP,GPE,Brown
1,265,267,PROP,FAC,Hachette Book Group
2,273,273,PROP,PER,Brown
126,280,282,NOM,PER,Hachette Book Group
127,285,286,NOM,PER,The publisher
128,294,294,PRON,PER,their
127,302,303,NOM,PER,the publisher
7,305,308,PROP,FAC,Library of Congress Control
130,328,332,NOM,GPE,the United States of America
120,347,347,PRON,PER,our
34,354,354,PROP,PER,Ama
0,356,356,PRON,PER,My
131,356,357,NOM,PER,My mother
0,370,370,PRON,PER,I
131,381,381,PRON,PER,her
34,418,418,PROP,PER,Ama
34,423,423,PRON,PER,She
132,427,428,NOM,LOC,the mountain
133,430,432,NOM,LOC,the rice terraces
134,441,442,NOM,GPE,the village
135,446,447,NOM,PER,the neighbors
34,455,455,PRON,PER,her
136,457,459,NOM,FAC,A tin roof
137,462,463,NOM,PER,the family
138,465,466,NOM,PER,a father
139,472,473,NOM,PER,the landlord
140,479,481,NOM,FAC,the tea shop
137,487,488,NOM,PER,the family
142,490,491,NOM,PER,a son
143,494,499,NOM,FAC,the brick kiln in the city
144,498,499,NOM,GPE,the city
145,516,517,NOM,PER,the baby
0,524,524,PRON,PER,me
144,527,528,NOM,GPE,the city
0,531,531,PRON,PER,I
1121,539,541,NOM,PER,a rich family
35,543,543,PROP,PER,Gita
0,548,548,PRON,PER,my
1122,550,550,NOM,FAC,home
0,552,552,PRON,PER,you
