start_token,end_token,supersense_category,text
1,3,noun.person,PATRICIA McCORMICK LITTLE
5,10,noun.group,BROWN AND COMPANY New York Boston
12,12,noun.communication,book
13,13,verb.stative,is
15,15,noun.artifact,work
17,17,noun.communication,fiction
19,19,noun.communication,Names
21,21,noun.attribute,characters
23,23,noun.location,places
26,26,noun.event,incidents
27,27,verb.stative,are
29,29,noun.artifact,product
32,32,noun.person,author
34,34,noun.cognition,imagination
37,37,verb.consumption,used
41,41,noun.attribute,resemblance
44,44,noun.event,events
46,46,noun.communication,locales
49,49,noun.person,persons
51,51,verb.stative,living
53,53,noun.time,dead
55,55,verb.stative,is
58,58,noun.communication,Copyright
62,63,noun.person,Patricia McCormick
65,65,noun.artifact,photographs
69,69,noun.location,front
71,71,noun.artifact,wall
73,73,noun.communication,copyright
75,76,noun.person,Isabelle Rozenbaum
81,81,noun.artifact,fabric
82,82,noun.cognition,pattern
83,83,noun.communication,copyright
85,86,noun.person,Alan Kearney
92,92,noun.person,girl
93,93,noun.communication,copyright
94,94,verb.communication,©
95,96,noun.person,Philip Reeve
98,99,noun.person,Getty Images
104,106,noun.person,Ellice M. Lee
108,108,noun.communication,Cover
109,109,noun.communication,copyright
113,115,noun.group,Hachette Book Group
117,120,noun.group,Inc. Hachette Book Group
121,121,verb.social,supports
123,123,noun.attribute,right
125,126,noun.communication,free expression
129,129,noun.possession,value
131,131,noun.communication,copyright
134,134,noun.cognition,purpose
136,136,noun.communication,copyright
139,139,verb.social,encourage
140,140,noun.person,writers
142,142,noun.person,artists
144,144,verb.creation,produce
147,147,noun.artifact,works
149,149,verb.change,enrich
151,151,noun.group,culture
154,154,noun.act,scanning
156,156,noun.communication,uploading
159,159,noun.act,distribution
162,162,noun.communication,book
164,164,noun.communication,permission
165,165,verb.stative,is
167,167,noun.act,theft
170,170,noun.person,author
172,173,noun.possession,intellectual property
178,178,verb.emotion,like
179,179,noun.communication,permission
181,181,verb.consumption,use
182,182,noun.communication,material
185,185,noun.communication,book
190,190,noun.cognition,review
191,191,noun.cognition,purposes
195,195,verb.communication,contact
198,199,noun.communication,Thank you
202,202,noun.act,support
205,205,noun.person,author
207,207,noun.possession,rights
209,209,noun.person,Little
211,216,noun.group,Brown and Company Hachette Book Group
218,221,noun.location,Avenue of the Americas
223,224,noun.location,New York
226,226,noun.location,NY
231,232,noun.group,LBYR.com Originally
233,233,verb.creation,published
235,235,noun.communication,hardcover
240,240,noun.cognition,imprint
242,244,noun.group,Disney Book Group
247,247,noun.time,September
254,254,noun.time,April
258,260,noun.group,Brown and Company
261,261,verb.stative,is
263,263,noun.group,division
265,267,noun.group,Hachette Book Group
269,271,noun.group,Inc. The Little
273,273,noun.group,Brown
274,274,noun.communication,name
276,276,noun.communication,logo
277,277,verb.stative,are
278,278,noun.communication,trademarks
280,282,noun.person,Hachette Book Group
284,284,noun.location,Inc.
286,286,noun.group,publisher
287,287,verb.stative,is
291,291,noun.artifact,websites
295,295,noun.communication,content
300,300,verb.possession,owned
303,303,noun.group,publisher
305,308,noun.group,Library of Congress Control
324,324,noun.communication,ebook
326,326,verb.creation,Printed
329,330,noun.location,United States
333,333,noun.communication,CW
340,341,noun.location,TIN ROOF
344,345,noun.time,rainy season
348,348,noun.artifact,roof
350,350,verb.stative,be
353,353,verb.communication,says
354,354,noun.person,Ama
357,357,noun.person,mother
359,359,verb.contact,standing
362,362,noun.substance,log
363,363,noun.artifact,ladder
365,365,verb.perception,inspecting
367,367,noun.artifact,thatch
371,371,verb.stative,am
374,374,noun.substance,ground
376,376,verb.possession,handing
378,378,noun.artifact,laundry
385,385,verb.change,bake
389,389,noun.time,afternoon
390,390,noun.phenomenon,sun
393,393,verb.stative,are
395,395,noun.object,clouds
400,400,noun.communication,hint
402,402,noun.phenomenon,rain
405,405,noun.state,chance
410,410,noun.time,weeks
415,415,noun.attribute,use
417,417,verb.communication,telling
418,418,noun.person,Ama
425,425,verb.perception,looking
428,428,noun.object,mountain
431,431,noun.plant,rice
432,432,noun.object,terraces
434,434,verb.motion,descend
442,442,noun.group,village
447,447,noun.person,neighbors
449,449,noun.substance,tin
450,450,noun.artifact,roofs
451,451,verb.perception,winking
458,458,noun.substance,tin
459,459,noun.artifact,roof
460,460,verb.communication,means
463,463,noun.group,family
464,464,verb.possession,has
466,466,noun.person,father
470,471,verb.possession,gamble away
473,473,noun.person,landlord
475,475,noun.possession,money
476,476,verb.social,playing
477,477,noun.act,cards
480,481,noun.artifact,tea shop
484,484,noun.substance,tin
485,485,noun.artifact,roof
486,486,verb.communication,means
488,488,noun.group,family
489,489,verb.possession,has
491,491,noun.person,son
492,492,verb.social,working
495,495,noun.artifact,brick
496,496,noun.artifact,kiln
499,499,noun.location,city
502,502,noun.substance,tin
503,503,noun.artifact,roof
504,504,verb.communication,means
508,508,noun.phenomenon,rains
509,509,verb.change,come
512,512,noun.event,fire
513,513,verb.change,stays
517,517,noun.person,baby
518,518,verb.change,stays
523,523,verb.social,Let
525,526,verb.motion,go to
528,528,noun.location,city
532,532,verb.communication,say
537,537,verb.social,work
541,541,noun.group,family
543,543,noun.person,Gita
547,547,verb.motion,send
549,549,noun.possession,wages
555,555,noun.person,Ama
556,556,verb.contact,strokes
558,558,noun.body,cheek
561,561,noun.body,skin
564,564,noun.act,work
567,567,noun.body,hand
572,572,noun.body,tongue
576,576,noun.animal,goat
582,582,noun.person,child
586,586,verb.communication,says
591,591,verb.stative,stay
593,593,noun.group,school
