COREF,start_token,end_token,prop,cat,text
1,11,12,PROP,GPE,New York
2,16,17,PROP,GPE,San Francisco
151,39,39,NOM,PER,teens
151,44,44,PRON,PER,their
152,44,45,NOM,PER,their friends
36,64,64,PROP,PER,Myracle
153,79,79,NOM,PER,readers
36,85,85,PROP,PER,Myracle
154,133,133,PRON,PER,you
36,139,140,PROP,PER,LAUREN MYRACLE
155,151,151,PRON,PER,Us
37,164,164,PROP,PER,Daisy
38,178,179,PROP,PER,Baby Ducks
39,189,190,PROP,PER,John Green
40,192,193,PROP,PER,Maureen Johnson
41,204,205,PROP,PER,Sarah Mylnowski
156,231,232,NOM,PER,the author
157,244,245,NOM,PER,actual persons
3,278,280,PROP,FAC,Library of Congress
36,299,300,PROP,PER,Lauren Myracle
42,304,304,PROP,PER,Maria
4,306,309,PROP,FAC,Middleton “ Chet Baker
43,316,318,PROP,PER,David Patrick Wilcox
44,358,359,PROP,PER,Sheldon Harnick
45,363,364,PROP,PER,Jerry Bock
45,382,384,PROP,PER,Jerry Bock Enterprises
5,386,388,PROP,LOC,the United States
6,390,392,PROP,FAC,Alley Music Corporation
158,394,396,NOM,PER,Trio Music Company
45,399,401,PROP,PER,Jerry Bock Enterprises
159,403,409,NOM,LOC,the world outside of the United States
160,407,409,NOM,GPE,the United States
46,432,432,PROP,PER,ABRAMS
161,487,488,NOM,PER,the publisher
7,561,563,PROP,FAC,West 18th Street
1,564,565,PROP,GPE,New York
47,570,570,PROP,PER,SnowAngel
47,572,572,PROP,PER,SnowAngel
162,574,574,NOM,PER,zoegirl
47,576,576,PROP,PER,SnowAngel
163,578,580,NOM,PER,zoegirl : SnowAngel
47,582,582,PROP,PER,SnowAngel
162,584,584,NOM,PER,zoegirl
162,586,586,NOM,PER,zoegirl
47,588,588,PROP,PER,SnowAngel
166,607,609,NOM,PER,zoe - cakes
167,612,612,PRON,PER,we
0,620,620,PRON,PER,i
0,630,630,PRON,PER,i
0,637,637,PRON,PER,my
0,647,647,PRON,PER,i
168,649,649,PRON,PER,you
168,652,652,PRON,PER,you
167,657,657,PRON,PER,we
167,661,661,PRON,PER,we
167,667,667,PRON,PER,we
169,671,681,NOM,PER,the winsome - threesome workout - of - the - century
167,683,683,PRON,PER,we
