start_token,end_token,supersense_category,text
3,3,noun.communication,PRAISE
11,12,noun.location,New York
13,13,noun.communication,Times
15,15,noun.group,series
16,17,noun.location,San Francisco
20,20,noun.group,series
24,27,noun.group,series School Library Journal
36,36,noun.communication,novel
38,38,verb.emotion,inspire
39,39,noun.group,teens
41,41,verb.communication,pass
45,45,noun.person,friends
50,50,noun.communication,communication
52,52,verb.stative,be
55,55,noun.act,way
57,57,verb.communication,tell
59,59,noun.communication,story
61,62,noun.group,Publishers Weekly
66,66,noun.act,approach
67,67,verb.stative,is
75,75,noun.communication,read
79,79,noun.person,readers
81,81,verb.emotion,cheer
83,83,noun.communication,Booklist
85,85,noun.person,Myracle
87,87,verb.social,manages
89,89,verb.change,build
91,91,noun.communication,characters
93,93,noun.communication,narrative
94,94,noun.state,tension
97,97,verb.cognition,taking
99,99,noun.communication,story
103,104,noun.artifact,IM box
113,113,noun.communication,tale
115,115,noun.state,friendship
117,117,noun.event,change
120,120,noun.process,growth
125,125,noun.group,ROTFL
128,128,noun.communication,magazine
130,130,verb.change,Changing
132,132,noun.attribute,way
134,134,verb.cognition,read
137,137,noun.communication,BOOKS
139,140,noun.person,LAUREN MYRACLE
163,163,noun.communication,Oopsy
178,179,noun.location,Baby Ducks
189,190,noun.person,John Green
192,193,noun.person,Maureen Johnson
201,202,noun.person,E. Lockhart
204,205,noun.person,Sarah Mylnowski
212,212,verb.stative,is
214,214,noun.artifact,work
216,216,noun.communication,fiction
218,218,noun.communication,Names
220,220,noun.communication,characters
222,222,noun.location,places
225,225,noun.communication,incidents
226,226,verb.stative,are
229,229,noun.artifact,product
232,232,noun.person,author
234,234,noun.cognition,imagination
237,237,verb.consumption,used
242,242,noun.attribute,resemblance
245,245,noun.person,persons
249,249,noun.state,dead
251,251,noun.group,business
252,252,noun.artifact,establishments
254,254,noun.event,events
258,258,verb.stative,is
266,267,noun.communication,Publication Data
270,271,verb.communication,applied for
275,275,verb.possession,obtained
278,280,noun.group,Library of Congress
282,282,noun.cognition,ISBN
293,293,noun.communication,Text
294,294,noun.communication,copyright
302,302,noun.act,design
304,306,noun.person,Maria T. Middleton
308,309,noun.person,Chet Baker
316,318,noun.person,David Patrick Wilcox
320,320,noun.communication,Copyright
324,325,noun.person,Irving Music
327,328,noun.location,Midnight Ocean
334,334,verb.possession,administered
336,337,noun.group,Irving Music
343,343,verb.consumption,Used
345,345,noun.communication,permission
352,352,noun.time,Sunrise
354,354,noun.time,Sunset
356,356,noun.communication,words
358,359,noun.person,Sheldon Harnick
361,361,noun.communication,music
363,364,noun.person,Jerry Bock
376,376,verb.possession,administered
378,379,noun.group,R&H music
382,384,noun.group,Jerry Bock Enterprises
387,388,noun.location,United States
390,392,noun.group,Alley Music Corporation
394,396,noun.group,Trio Music Company
399,400,noun.person,Jerry Bock
404,404,noun.group,world
408,409,noun.location,United States
413,413,noun.communication,permission
415,416,noun.attribute,All rights
417,417,verb.possession,reserved
420,420,verb.creation,published
422,422,noun.communication,hardcover
430,430,noun.cognition,imprint
435,435,noun.communication,edition
436,436,verb.creation,published
445,445,verb.possession,reserved
448,448,noun.relation,portion
451,451,noun.artifact,book
454,454,verb.contact,reproduced
456,456,verb.contact,stored
459,460,noun.artifact,retrieval system
463,463,verb.communication,transmitted
466,466,noun.cognition,form
478,478,noun.artifact,recording
485,485,noun.communication,permission
488,488,noun.group,publisher
495,495,verb.stative,are
497,497,noun.communication,trademarks
499,501,noun.group,Harry N. Abrams
508,508,noun.communication,U.S.A.
519,519,verb.possession,purchased
523,523,noun.possession,premiums
525,525,noun.communication,promotions
529,529,noun.possession,fundraising
532,532,noun.act,use
534,535,noun.communication,Special editions
539,539,verb.creation,created
541,541,verb.communication,specification
544,544,noun.communication,details
547,547,noun.communication,specialsales@abramsbooks.com
550,550,noun.communication,address
561,563,noun.location,West 18th Street
564,565,noun.location,New York
567,567,noun.location,NY
572,572,noun.person,SnowAngel
574,574,noun.person,zoegirl
576,576,noun.person,SnowAngel
578,578,noun.person,zoegirl
580,580,noun.person,SnowAngel
582,582,noun.person,SnowAngel
584,584,noun.person,zoegirl
586,586,noun.person,zoegirl
588,588,noun.person,SnowAngel
590,590,noun.person,zoegirl
592,592,verb.change,START
597,597,noun.time,Nov
601,601,noun.time,pm
609,609,noun.artifact,cakes
618,618,noun.communication,yahootie
621,621,verb.perception,have
624,625,noun.state,adrenaline buzz
626,626,verb.stative,going
631,631,verb.stative,am
638,638,noun.body,muscles
640,640,verb.communication,gon
645,645,noun.time,tomorrow
648,648,verb.perception,hear
653,653,verb.creation,imagine
656,656,noun.attribute,shape
659,659,verb.stative,be
665,665,noun.time,day
669,669,verb.communication,call
675,675,noun.act,workout
681,681,noun.time,century
685,685,verb.social,make
687,687,noun.act,exercise
688,688,noun.communication,video
690,690,verb.contact,rake
692,692,noun.quantity,oodles
694,694,noun.possession,cash
698,698,noun.body,toenails
699,699,verb.stative,are
702,702,verb.contact,flops
705,705,noun.artifact,bed
707,707,noun.communication,groans
710,710,verb.communication,told
711,711,noun.person,chrissy
723,724,verb.motion,ran up
726,726,noun.artifact,escalator
728,729,noun.artifact,peachtree center
745,745,noun.communication,point
746,746,verb.stative,is
749,750,verb.contact,ran up
755,755,noun.artifact,escalator
759,759,verb.communication,explain
772,772,verb.stative,be
775,775,noun.artifact,escalator
778,778,noun.object,world
788,789,noun.artifact,football field
793,793,verb.possession,lost
796,796,noun.person,maddie
797,797,verb.motion,stopped
800,800,noun.artifact,breather
803,803,noun.artifact,escalator
804,804,verb.contact,took
813,813,verb.stative,was
821,821,verb.possession,losing
822,822,noun.location,ground
825,825,noun.person,zoegirl
829,829,noun.person,SnowAngel
836,836,verb.cognition,conquered
842,842,verb.social,do
845,845,noun.person,baby
847,847,noun.person,SnowAngel
855,855,noun.object,cave
859,859,noun.person,buds
860,860,noun.person,Mumford
862,862,noun.person,Sons
868,868,verb.emotion,hold
870,870,noun.feeling,hope
877,877,verb.possession,find
878,878,noun.attribute,strength
880,880,noun.state,pain
883,883,noun.person,zoegirl
888,888,verb.emotion,love
889,889,noun.person,Mumford
891,891,noun.person,Sons
893,893,noun.person,SnowAngel
896,896,verb.cognition,know
902,902,noun.communication,song
907,907,noun.act,therapy
909,909,noun.event,time
911,911,verb.perception,listen
919,919,verb.emotion,like
921,921,noun.communication,line
923,923,verb.emotion,wanting
925,925,verb.stative,live
926,926,noun.time,life
933,933,verb.stative,lived
935,935,noun.person,SnowAngel
945,945,noun.event,things
946,946,verb.stative,are
951,951,verb.stative,keep
954,954,noun.person,SnowAngel
959,959,verb.cognition,know
962,962,verb.stative,keep
963,963,verb.motion,going
972,972,verb.stative,keep
973,973,verb.motion,going
975,975,noun.person,zoegirl
979,979,noun.person,SnowAngel
981,981,noun.person,zoegirl
987,987,noun.person,mads
990,990,noun.person,SnowAngel
1006,1006,verb.cognition,forget
1008,1008,verb.change,add
1012,1012,noun.person,SnowAngel
1014,1014,noun.person,zoegirl
1018,1018,verb.emotion,like
1020,1020,noun.communication,rhyme
1024,1024,noun.person,SnowAngel
1026,1026,verb.stative,wait
1041,1042,noun.group,7th grade
1046,1046,verb.stative,part
1049,1049,verb.change,stayed
1053,1053,noun.cognition,hearts
1059,1059,noun.person,girl
1069,1069,verb.stative,is
1074,1074,noun.person,zoegirl
1084,1084,noun.person,SnowAngel
1086,1086,noun.person,zoegirl
1091,1091,noun.person,brainiac
1094,1094,verb.possession,find
1097,1097,verb.communication,rhyme
1105,1105,noun.person,angela
1106,1106,verb.stative,tends
1108,1109,verb.stative,act like
1111,1111,noun.person,child
1114,1114,noun.person,SnowAngel
1116,1116,noun.person,zoegirl
1122,1122,verb.communication,teasing
1125,1125,verb.cognition,know
1127,1127,verb.emotion,love
1135,1135,verb.change,got
1138,1138,noun.cognition,type
1139,1139,noun.group,people
1142,1142,noun.cognition,brain
1145,1145,verb.cognition,guess
1149,1149,verb.possession,got
1151,1151,noun.act,job
1153,1154,noun.person,Kidding Around
1156,1156,noun.person,SnowAngel
1158,1158,noun.person,zoegirl
1166,1166,noun.act,dance
1169,1169,noun.communication,dance
1174,1174,noun.communication,message
1175,1175,verb.stative,waiting
1180,1180,verb.motion,got
1185,1185,verb.emotion,psyched
1187,1187,noun.person,SnowAngel
1192,1192,noun.feeling,joy
1196,1196,verb.body,wiping
1197,1197,noun.body,noses
1199,1199,verb.motion,chasing
1200,1200,noun.person,toddlers
1205,1205,verb.change,start
1207,1207,noun.person,zoegirl
1213,1213,verb.body,freak
1217,1217,noun.person,SnowAngel
1222,1222,verb.body,freak
1228,1228,verb.communication,say
1231,1231,verb.change,make
1233,1233,verb.body,freak
1238,1238,noun.person,SnowAngel
1240,1240,verb.stative,wait
1242,1242,noun.time,minute
1248,1248,verb.communication,tell
1253,1253,verb.change,start
1256,1256,noun.person,zoegirl
1259,1259,noun.state,thing
1260,1260,verb.stative,is
1265,1265,noun.person,SnowAngel
1267,1267,noun.person,zoegirl
1273,1273,noun.time,Saturday
1274,1274,noun.time,night
1278,1278,noun.time,night
1281,1281,noun.person,director
1282,1282,verb.emotion,wants
1285,1286,verb.motion,come in
1288,1288,noun.act,training
1290,1290,noun.person,SnowAngel
1297,1297,verb.social,watch
1299,1299,noun.person,Bridesmaids
1304,1304,verb.consumption,eat
1306,1306,noun.food,carrots
1308,1308,noun.person,zoegirl
1311,1311,verb.cognition,know
1316,1316,verb.emotion,miss
1317,1317,verb.consumption,eating
1320,1320,noun.plant,carrot
1327,1327,verb.social,watch
1329,1329,noun.person,Bridesmaids
1335,1335,verb.stative,be
1341,1341,noun.attribute,way
1344,1344,verb.social,join
1347,1347,noun.person,SnowAngel
1350,1350,noun.communication,point
1351,1351,verb.stative,being
1354,1354,verb.possession,has
1355,1355,noun.cognition,plans
1361,1361,verb.contact,rub
1366,1366,verb.possession,got
1368,1368,noun.act,job
1370,1370,noun.person,maddie
1371,1371,verb.change,has
1373,1373,noun.person,cousin
1375,1375,noun.event,wedding
1378,1378,verb.possession,have
1382,1382,noun.group,pile
1384,1384,noun.substance,poop
1386,1386,noun.communication,thanks
1390,1390,noun.person,zoegirl
1395,1395,verb.stative,are
1398,1398,noun.communication,drama
