COREF,start_token,end_token,prop,cat,text
48,6,8,PROP,PER,JAY ASHER RAZORBILL
49,12,14,PROP,FAC,Penguin Random House
49,21,25,PROP,PER,Penguin Random House Penguin.com RAZORBILL
2,33,36,PROP,FAC,Penguin Random House LLC
48,41,42,PROP,PER,Jay Asher
194,68,68,PRON,PER,you
194,101,101,PRON,PER,You
195,104,104,NOM,PER,writers
49,107,109,PROP,PER,Penguin Random House
196,116,117,NOM,PER,every reader
3,121,121,PROP,GPE,CONGRESS
48,130,130,PROP,PER,Jay
48,139,140,PROP,PER,Jay Asher
197,148,152,NOM,PER,high school student Clay Jensen
50,151,152,PROP,PER,Clay Jensen
50,165,165,PRON,PER,his
198,165,166,NOM,PER,his classmate
51,167,167,PROP,PER,Hannah
50,173,173,PRON,PER,he
199,181,181,PRON,PER,their
200,181,182,NOM,GPE,their town
51,186,186,PROP,PER,Hannah
51,195,195,PRON,PER,her
201,218,219,NOM,FAC,High schools
202,250,253,NOM,GPE,the United States of
4,254,254,PROP,GPE,America
203,277,278,NOM,PER,the author
204,290,295,NOM,PER,"actual persons , living or dead"
205,318,318,PRON,PER,she
0,325,325,PRON,PER,you
1366,330,330,NOM,FAC,there
0,333,333,PRON,PER,I
0,341,341,PRON,PER,my
0,358,358,PRON,PER,I
206,361,362,NOM,PER,The clerk
207,367,374,NOM,FAC,The same shoebox that sat on my porch
0,373,373,PRON,PER,my
0,398,398,PRON,PER,I
52,415,416,PROP,PER,Hannah Baker
52,421,421,PROP,PER,Baker
0,426,426,PRON,PER,I
0,430,430,PRON,PER,I
0,440,440,PRON,PER,me
0,443,443,PRON,PER,I
0,445,445,PRON,PER,my
52,456,457,PROP,PER,JAY ASHER
205,458,458,PRON,PER,She
205,472,472,PRON,PER,her
0,475,475,PRON,PER,I
0,477,477,PRON,PER,my
0,493,493,PRON,PER,I
0,499,499,PRON,PER,my
0,507,507,PRON,PER,my
0,512,512,PRON,PER,my
205,519,519,PRON,PER,I
205,531,531,PRON,PER,she
0,535,535,PRON,PER,You
0,542,542,PRON,PER,I
0,554,554,PRON,PER,my
0,562,562,PRON,PER,I
0,575,575,PRON,PER,I
205,620,620,PRON,PER,she
205,632,632,PRON,PER,she
205,640,640,PRON,PER,her
0,642,642,PRON,PER,I
0,650,650,PRON,PER,I
53,654,654,PROP,PER,Jenny
53,662,662,PRON,PER,she
53,669,669,PRON,PER,she
208,671,671,NOM,FAC,home
