COREF,start_token,end_token,prop,cat,text
119,3,4,PROP,PER,Ellen Hopkins
1,3,60,PROP,FAC,Ellen Hopkins Crank Burned Impulse Identical Tricks Fallout Perfect Tilt Smoke Traffick Rumble The You I ’ve Never Known People Kill People Margaret K. McElderry Books Ellen Hopkins Margaret K. McElderry Books NEW YORK LONDON TORONTO SYDNEY NEW DELHI MARGARET K. MCELDERRY BOOKS An imprint of Simon & Schuster Children ’s Publishing Division 1230 Avenue of the Americas
290,17,17,PRON,PER,You
0,18,18,PRON,PER,I
291,25,35,PROP,PER,Margaret K. McElderry Books Ellen Hopkins Margaret K. McElderry Books NEW
2,36,36,PROP,GPE,YORK
3,37,37,PROP,GPE,LONDON
4,38,38,PROP,GPE,TORONTO
5,39,39,PROP,GPE,SYDNEY
6,41,41,PROP,GPE,DELHI
120,42,42,PROP,PER,MARGARET
7,44,45,PROP,FAC,MCELDERRY BOOKS
121,49,52,PROP,PER,Simon & Schuster Children
8,59,60,PROP,LOC,the Americas
9,62,63,PROP,GPE,New York
9,65,66,PROP,GPE,New York
292,82,83,NOM,PER,real people
293,104,105,NOM,PER,the author
294,118,118,NOM,PER,persons
119,133,134,PROP,PER,Ellen Hopkins
296,136,136,PRON,PER,You
119,147,148,PROP,PER,Ellen Hopkins
120,174,177,PROP,PER,Margaret K. McElderry Books
121,198,200,PROP,PER,Simon & Schuster
10,214,219,PROP,FAC,The Simon & Schuster Speakers Bureau
295,222,222,NOM,PER,authors
296,224,224,PRON,PER,your
10,238,243,PROP,FAC,the Simon & Schuster Speakers Bureau
297,254,254,PRON,PER,our
7,265,266,PROP,FAC,McElderry Books
122,272,273,PROP,PER,Mike Rosamilia
298,291,299,NOM,GPE,the United States of America First Margaret K. McElderry
120,306,308,PROP,PER,Margaret K. McElderry
11,324,327,PROP,ORG,The Library of Congress
119,336,336,PROP,PER,Hopkins
119,338,338,PROP,PER,Ellen
119,342,343,PROP,PER,Ellen Hopkins
299,350,355,NOM,PER,Eighteen - year - old Kristina
123,355,355,PROP,PER,Kristina
123,360,360,PRON,PER,her
123,370,370,PRON,PER,her
300,370,372,NOM,PER,her newborn son
123,385,385,PRON,PER,her
301,421,421,NOM,PER,Teenagers
302,433,433,NOM,PER,Babies
303,445,445,PRON,PER,I.
124,480,480,PROP,PER,Glass
125,484,484,PROP,PER,Orion
126,486,486,PROP,PER,Jade
127,488,488,PROP,PER,Heaven
128,491,491,PROP,PER,Clyde
304,500,500,PRON,PER,their
0,511,511,PRON,PER,I
0,517,517,PRON,PER,my
305,517,518,NOM,PER,my husband
129,520,520,PROP,PER,John
0,526,526,PRON,PER,me
0,541,541,PRON,PER,I
306,568,569,NOM,FAC,the freeway
307,576,576,PRON,PER,yourself
307,593,593,PRON,PER,You
0,595,595,PRON,PER,My
307,599,599,PRON,PER,you
0,603,603,PRON,PER,my
308,612,613,NOM,PER,some people
130,617,617,PROP,PER,Crystal
131,619,621,PROP,PER,Tina . Ice
0,628,628,PRON,PER,my
309,628,629,NOM,PER,my dad
0,631,631,PRON,PER,me
310,636,637,NOM,PER,a boy
311,639,657,NOM,PER,"a hot - bodied hunk , my very first love , who led me down the path to insanity"
0,645,645,PRON,PER,my
0,652,652,PRON,PER,me
312,662,662,NOM,FAC,home
132,665,667,PROP,PER,Kristina Georgia Snow
313,669,679,NOM,PER,"gifted high school junior , total dweeb , and perfect daughter"
314,678,679,NOM,PER,perfect daughter
315,683,688,NOM,PER,a stranger who called herself Bree
315,687,687,PRON,PER,herself
133,688,688,PROP,PER,Bree
315,698,698,PRON,PER,her
133,700,700,PROP,PER,Bree
316,720,723,NOM,PER,everyone mired in ego
132,735,735,PROP,PER,Kristina
0,747,747,PRON,PER,I
0,750,750,PRON,PER,my
309,750,751,NOM,PER,my dad
134,757,757,PROP,PER,Adam
134,769,769,PRON,PER,him
134,771,771,PRON,PER,his
318,771,772,NOM,PER,his girlfriend
134,781,781,PRON,PER,he
0,783,783,PRON,PER,me
319,785,786,NOM,PER,the monster
320,809,809,PRON,PER,you
0,830,830,PRON,PER,I
134,834,834,PROP,PER,Adam
0,853,853,PRON,PER,I
12,859,859,PROP,GPE,Reno
0,863,863,PRON,PER,my
0,869,869,PRON,PER,me
0,882,882,PRON,PER,I
0,887,887,PRON,PER,I
0,889,889,PRON,PER,I
0,906,906,PRON,PER,I
321,911,912,NOM,VEH,the jet
0,915,915,PRON,PER,I
0,927,927,PRON,PER,My
322,927,928,NOM,PER,My family
0,931,931,PRON,PER,me
323,933,934,NOM,FAC,the airport
0,945,945,PRON,PER,I
135,956,956,PROP,PER,Mom
0,961,961,PRON,PER,me
0,963,963,PRON,PER,My
324,963,964,NOM,PER,My stepfather
136,966,966,PROP,PER,Scott
0,974,974,PRON,PER,my
137,977,977,PROP,PER,Dad
0,979,979,PRON,PER,My
325,979,981,NOM,PER,My big sister
138,983,983,PROP,PER,Leigh
325,989,989,PRON,PER,her
326,989,991,NOM,PER,her new girlfriend
0,994,994,PRON,PER,my
327,994,996,NOM,PER,my little brother
138,998,998,PROP,PER,Jake
0,1014,1014,PRON,PER,I
328,1026,1026,PRON,PER,You
0,1029,1029,PRON,PER,I
0,1034,1034,PRON,PER,I
0,1038,1038,PRON,PER,I
135,1044,1044,PROP,PER,Mom
136,1046,1046,PROP,PER,Scott
0,1048,1048,PRON,PER,I
329,1053,1055,NOM,PER,a good girl
330,1057,1057,PRON,PER,they
0,1073,1073,PRON,PER,I
0,1077,1077,PRON,PER,I
331,1085,1085,NOM,FAC,school
332,1088,1089,NOM,FAC,the street
0,1091,1091,PRON,PER,I
0,1096,1096,PRON,PER,my
319,1099,1100,NOM,PER,the monster
0,1102,1102,PRON,PER,I
0,1107,1107,PRON,PER,my
0,1116,1116,PRON,PER,I
0,1122,1122,PRON,PER,My
0,1129,1129,PRON,PER,my
0,1137,1137,PRON,PER,I
0,1142,1142,PRON,PER,I
312,1148,1148,NOM,FAC,home
0,1150,1150,PRON,PER,I
0,1165,1165,PRON,PER,I
0,1170,1170,PRON,PER,I
0,1173,1173,PRON,PER,my
0,1176,1176,PRON,PER,my
0,1179,1179,PRON,PER,I
138,1183,1183,PROP,PER,Leigh
335,1185,1185,PRON,PER,She
336,1187,1193,NOM,PER,the prettiest lesbian you ’ve ever seen
337,1190,1190,PRON,PER,you
0,1197,1197,PRON,PER,my
335,1199,1199,PRON,PER,she
139,1213,1213,PROP,PER,Sarah
0,1215,1215,PRON,PER,my
338,1215,1217,NOM,PER,my best friend
339,1223,1239,NOM,PER,"any of my old crowd , all of whom lived by the code of the D.A.R.E. pledge"
0,1225,1225,PRON,PER,my
340,1225,1227,NOM,PER,my old crowd
341,1229,1239,NOM,PER,all of whom lived by the code of the D.A.R.E. pledge
0,1241,1241,PRON,PER,I
0,1253,1253,PRON,PER,I
133,1262,1262,PROP,PER,Bree
342,1264,1267,NOM,PER,the goddess of persuasion
0,1271,1271,PRON,PER,I
0,1273,1273,PRON,PER,I
337,1278,1278,PRON,PER,you
133,1282,1282,PROP,PER,Bree
0,1288,1288,PRON,PER,my
0,1291,1291,PRON,PER,I
132,1295,1295,PROP,PER,Kristina
132,1304,1304,PRON,PER,her
132,1310,1310,PRON,PER,she
132,1314,1314,PRON,PER,her
343,1314,1315,NOM,PER,her family
344,1317,1317,NOM,PER,friends
132,1320,1320,PRON,PER,she
132,1325,1325,PRON,PER,she
132,1336,1336,PRON,PER,she
0,1361,1361,PRON,PER,I
345,1363,1364,NOM,PER,someone new
346,1372,1372,NOM,PER,someone
133,1374,1374,PROP,PER,Bree
0,1376,1376,PRON,PER,I
133,1378,1378,PRON,PER,her
0,1384,1384,PRON,PER,I
133,1393,1393,PRON,PER,her
0,1396,1396,PRON,PER,I
133,1402,1402,PRON,PER,she
0,1410,1410,PRON,PER,me
132,1414,1414,PROP,PER,Kristina
133,1416,1416,PROP,PER,Bree
347,1420,1421,NOM,PER,one person
348,1425,1428,NOM,PER,two such different halves
0,1434,1434,PRON,PER,me
133,1438,1438,PROP,PER,Bree
132,1445,1445,PROP,PER,Kristina
133,1455,1455,PROP,PER,Bree
13,1465,1466,PROP,GPE,Wild Waters
136,1468,1468,PROP,PER,Scott
139,1474,1474,PROP,PER,Sarah
132,1481,1481,PROP,PER,Kristina
133,1484,1484,PROP,PER,Bree
349,1494,1497,NOM,PER,a truly gorgeous lifeguard
140,1501,1501,PROP,PER,Brendan
133,1514,1514,PROP,PER,Bree
140,1529,1529,PROP,PER,Brendan
350,1536,1537,NOM,PER,one guy
0,1543,1543,PRON,PER,I
141,1547,1548,PROP,PER,Chase Wagner
141,1552,1552,PRON,PER,His
0,1557,1557,PRON,PER,I
141,1564,1564,PRON,PER,he
141,1575,1575,PROP,PER,Chase
140,1577,1577,PROP,PER,Brendan
0,1578,1578,PRON,PER,I
0,1594,1594,PRON,PER,me
140,1596,1596,PROP,PER,Brendan
141,1601,1601,PROP,PER,Chase
0,1608,1608,PRON,PER,I
0,1610,1610,PRON,PER,my
0,1619,1619,PRON,PER,I
142,1622,1622,PROP,PER,Robyn
0,1624,1624,PRON,PER,my
351,1624,1629,NOM,PER,my old friend Trent ’s sister
143,1627,1627,PROP,PER,Trent
352,1634,1638,NOM,PER,an “ in ” cheerleader
353,1641,1641,PRON,PER,It
142,1658,1658,PRON,PER,She
0,1660,1660,PRON,PER,me
0,1666,1666,PRON,PER,myself
354,1687,1687,NOM,PER,family
0,1704,1704,PRON,PER,My
355,1704,1705,NOM,PER,My Mom
144,1707,1707,PROP,PER,Stepfather
0,1711,1711,PRON,PER,me
132,1719,1719,PROP,PER,Kristina
145,1725,1725,PROP,PER,GUFN
133,1733,1733,PROP,PER,Bree
133,1751,1751,PRON,PER,she
0,1760,1760,PRON,PER,me
0,1765,1765,PRON,PER,my
140,1768,1768,PROP,PER,Brendan
356,1778,1779,NOM,FAC,juvenile hall
0,1786,1786,PRON,PER,me
141,1789,1789,PROP,PER,Chase
0,1795,1795,PRON,PER,I
141,1797,1797,PRON,PER,him
141,1800,1800,PRON,PER,He
0,1805,1805,PRON,PER,me
0,1807,1807,PRON,PER,I
141,1809,1809,PRON,PER,him
0,1810,1810,PRON,PER,I
357,1815,1815,NOM,PER,Pregnant
140,1818,1818,PROP,PER,Brendan
358,1820,1821,NOM,PER,the father
133,1823,1823,PROP,PER,Bree
132,1829,1829,PROP,PER,Kristina
359,1831,1832,NOM,PER,the baby
359,1838,1838,PRON,PER,His
360,1838,1839,NOM,PER,His father
361,1843,1843,PRON,PER,you
361,1851,1851,PRON,PER,You
0,1853,1853,PRON,PER,me
0,1855,1855,PRON,PER,my
362,1858,1861,NOM,LOC,the monster ’s territory
363,1863,1863,PRON,PER,We
364,1866,1866,NOM,FAC,here
0,1870,1870,PRON,PER,I
0,1876,1876,PRON,PER,I
361,1878,1878,PRON,PER,you
365,1882,1883,NOM,FAC,the deck
0,1885,1885,PRON,PER,me
0,1889,1889,PRON,PER,my
366,1889,1891,NOM,PER,my new baby
0,1896,1896,PRON,PER,I
361,1898,1898,PRON,PER,you
361,1921,1921,PRON,PER,you
0,1924,1924,PRON,PER,I
0,1929,1929,PRON,PER,I
141,1935,1935,PROP,PER,Chase
0,1939,1939,PRON,PER,me
14,1946,1946,PROP,GPE,California
141,1951,1951,PRON,PER,his
0,1957,1957,PRON,PER,I
141,1959,1959,PRON,PER,him
