start_token,end_token,supersense_category,text
3,4,noun.person,Ellen Hopkins
35,37,noun.location,NEW YORK LONDON
38,39,noun.location,TORONTO SYDNEY
40,41,noun.location,NEW DELHI
42,45,noun.group,MARGARET K. MCELDERRY BOOKS
47,47,noun.communication,imprint
49,51,noun.group,Simon & Schuster
54,55,noun.group,Publishing Division
57,60,noun.location,Avenue of the Americas
62,63,noun.location,New York
65,66,noun.location,New York
69,69,noun.communication,book
70,70,verb.stative,is
72,72,noun.artifact,work
74,74,noun.communication,fiction
77,77,noun.communication,references
80,80,noun.event,events
83,83,noun.group,people
87,87,noun.location,places
89,89,verb.consumption,used
93,93,noun.communication,names
95,95,noun.person,characters
97,97,noun.location,places
100,100,noun.event,events
101,101,verb.stative,are
102,102,noun.artifact,products
105,105,noun.person,author
107,107,noun.cognition,imagination
111,111,noun.attribute,resemblance
114,114,noun.event,events
116,116,noun.location,places
118,118,noun.person,persons
120,120,verb.stative,living
124,124,verb.stative,is
128,128,noun.communication,Text
129,129,noun.communication,copyright
133,134,noun.person,Ellen Hopkins
141,141,noun.location,Truth
143,143,noun.communication,copyright
147,148,noun.person,Ellen Hopkins
151,151,noun.communication,copyright
160,160,verb.stative,including
162,162,noun.attribute,right
164,164,noun.communication,reproduction
172,172,noun.communication,form
174,175,noun.person,Margaret K.
178,178,verb.stative,is
180,180,noun.artifact,trademark
182,184,noun.group,Simon & Schuster
188,188,noun.communication,information
191,191,noun.quantity,discounts
194,194,noun.act,purchases
197,197,verb.communication,contact
198,198,noun.person,Simon
212,212,noun.person,business@simonandschuster.com
215,216,noun.group,Simon &
217,219,noun.person,Schuster Speakers Bureau
221,221,verb.motion,bring
222,222,noun.person,authors
226,226,noun.event,event
230,230,noun.communication,information
233,233,verb.creation,book
235,235,noun.event,event
237,237,verb.communication,contact
239,239,noun.person,Simon
241,243,noun.group,Schuster Speakers Bureau
253,253,verb.communication,visit
255,255,noun.communication,website
257,257,noun.person,www.simonspeakers.com
263,265,noun.person,Margaret K. McElderry
266,266,noun.communication,Books
268,269,noun.communication,edition Book
270,270,verb.creation,design
272,273,noun.person,Mike Rosamilia
275,275,noun.communication,text
278,278,noun.communication,book
280,280,verb.creation,set
289,289,verb.creation,Manufactured
292,293,noun.location,United States
295,296,noun.location,America First
297,300,noun.group,Margaret K. McElderry Books
301,302,noun.communication,paperback edition
303,303,noun.time,April
306,309,noun.group,Margaret K. McElderry Books
310,311,noun.communication,paperback edition
312,312,noun.time,August
325,327,noun.group,Library of Congress
329,329,verb.creation,cataloged
331,331,noun.communication,hardcover
332,332,noun.communication,edition
336,336,noun.person,Hopkins
338,338,noun.person,Ellen
342,343,noun.person,Ellen Hopkins
348,348,noun.communication,Summary
352,352,noun.time,year
355,355,noun.person,Kristina
356,356,verb.stative,is
359,359,verb.social,manage
361,362,noun.substance,crystal meth
363,363,noun.state,addiction
367,368,verb.social,take care
372,372,noun.person,son
377,377,noun.phenomenon,pull
380,380,noun.artifact,drug
381,381,verb.change,becomes
387,387,noun.feeling,fears
390,390,verb.cognition,realized
403,403,noun.artifact,hardcover
408,408,noun.artifact,Methamphetamine
410,410,noun.communication,Fiction
412,412,noun.quantity,2
414,415,noun.act,Drug abuse
417,417,noun.communication,Fiction
423,423,noun.communication,Fiction
