COREF,start_token,end_token,prop,cat,text
100,2,5,PROP,PER,Q)u < san Alice
0,7,7,PRON,PER,I
101,9,12,PROP,PER,Miss Smithers Alice MacLeod
1,16,25,PROP,FAC,Last Another Kind of Cowboy Susan Juby Harper Trophy Canada
102,20,22,PROP,PER,Cowboy Susan Juby
2,25,25,PROP,GPE,Canada
102,38,39,PROP,PER,Susan Juby
2094,78,79,NOM,PER,the publisher
2095,116,116,PRON,PER,our
2096,116,119,NOM,FAC,our Special Markets Department
3,121,142,PROP,FAC,"HarperCollins Publishers Ltd 2 Bloor Street East , 20th Floor Toronto , Ontario , Canada M4W 1A8 www.harpercollins.ca Library and Archives Canada"
4,125,127,PROP,FAC,Bloor Street East
5,129,130,PROP,FAC,20th Floor
6,131,131,PROP,GPE,Toronto
7,133,133,PROP,GPE,Ontario
2,135,135,PROP,GPE,Canada
2,142,142,PROP,GPE,Canada
102,146,146,PROP,PER,Juby
102,148,148,PROP,PER,Susan
103,156,157,PROP,PER,Susan Juby.—1st
8,200,202,PROP,FAC,Ancient Forest Friendly
2,218,218,PROP,GPE,Canada
104,221,222,PROP,PER,Amy Ryan
102,224,224,PRON,PER,my
2097,224,225,NOM,PER,my mother
102,234,234,PRON,PER,I
2098,236,237,NOM,PER,a kid
102,241,241,PRON,PER,my
2099,241,242,NOM,PER,my husband
105,244,244,PROP,PER,James
102,251,251,PRON,PER,I
2100,289,289,PRON,PER,you
2100,295,295,PRON,PER,you
105,299,299,PRON,PER,him
2101,301,304,NOM,VEH,a darkblue Norco bike
106,313,314,PROP,PER,Alex Ford
107,316,316,PROP,PER,Magnifico
108,328,330,PROP,PER,the Black Stallion
108,333,335,PROP,PER,the Black Stallion
107,337,337,PROP,PER,Magnifico
106,349,349,PROP,PER,Alex
106,357,357,PRON,PER,his
106,360,360,PROP,PER,Alex
107,362,362,PROP,PER,Magnifico
106,364,364,PRON,PER,his
2102,364,366,NOM,FAC,his rural neighborhood
106,381,381,PRON,PER,he
2103,396,397,NOM,VEH,the bike
106,414,414,PRON,PER,he
107,416,416,PROP,PER,Magnifico
2104,419,420,NOM,FAC,the school
2103,427,428,NOM,VEH,the bike
2106,430,431,NOM,FAC,the garage
106,450,450,PRON,PER,he
106,456,456,PRON,PER,his
106,461,461,PROP,PER,Alex
2103,472,473,NOM,VEH,the bike
107,486,486,PROP,PER,Magnifico
106,493,493,PROP,PER,Alex
2108,493,496,NOM,PER,Alex ’s teenage cousins
2108,500,500,PRON,PER,they
107,502,502,PROP,PER,Magnifico
107,505,505,PRON,PER,him
2109,507,508,NOM,FAC,the store
2108,517,517,PRON,PER,their
2108,520,520,PRON,PER,they
2110,525,526,NOM,FAC,the lawn
106,529,529,PROP,PER,Alex
107,531,531,PROP,PER,Magnifico
107,537,537,PRON,PER,his
107,544,544,PRON,PER,his
106,551,551,PROP,PER,Alex
2111,563,565,NOM,PER,the drunken stableman
109,567,568,PROP,PER,Black Beauty
107,573,573,PRON,PER,him
2111,578,578,PRON,PER,his
106,583,583,PROP,PER,Alex
107,585,585,PROP,PER,Magnifico
2106,587,588,NOM,FAC,the garage
106,590,590,PRON,PER,he
107,592,592,PRON,PER,his
107,597,597,PRON,PER,him
106,606,606,PRON,PER,he
107,609,609,PROP,PER,Magnifico
106,615,615,PRON,PER,he
107,617,617,PRON,PER,him
107,624,624,PRON,PER,him
106,633,633,PRON,PER,he
107,642,642,PRON,PER,him
2113,646,646,PRON,PER,their
106,649,649,PROP,PER,Alex
2114,649,651,NOM,PER,Alex ’s cousins
106,657,657,PROP,PER,Alex
2113,662,662,PRON,PER,They
2115,665,665,PRON,PER,2
2103,666,667,NOM,VEH,the bike
2113,675,675,PRON,PER,they
106,680,680,PROP,PER,Alex
106,684,684,PRON,PER,he
2117,689,690,NOM,PER,other people
106,697,697,PRON,PER,he
2118,700,711,NOM,PER,a naturally gifted horseman with a bike called Del Magnifico le Noir
107,708,711,PROP,PER,Del Magnifico le Noir
106,713,713,PRON,PER,He
106,715,715,PRON,PER,he
106,725,725,PRON,PER,he
106,736,736,PRON,PER,him
106,740,740,PRON,PER,he
106,746,746,PRON,PER,he
107,749,749,PROP,PER,Magnifico
106,752,752,PRON,PER,himself
106,760,760,PRON,PER,He
106,777,777,PRON,PER,He
2119,786,787,NOM,FAC,the library
2120,793,794,NOM,PER,the librarian
107,799,799,PROP,PER,Magnifico
106,807,807,PRON,PER,him
106,808,808,PRON,PER,he
288,813,813,PRON,PER,them
289,817,821,NOM,PER,someone else in the neighborhood
290,820,821,NOM,FAC,the neighborhood
288,830,830,PRON,PER,their
106,834,834,PROP,PER,Alex
2120,843,844,NOM,PER,the librarian
106,846,846,PRON,PER,him
106,853,853,PROP,PER,Alex
106,859,859,PRON,PER,He
106,885,885,PRON,PER,he
2122,891,897,NOM,PER,all the top show jumpers on ESPN
9,897,897,PROP,GPE,ESPN
106,899,899,PROP,PER,Alex
106,908,908,PRON,PER,he
2123,911,913,NOM,PER,the horses onscreen
106,915,915,PRON,PER,His
2123,933,933,PRON,PER,them
106,940,940,PRON,PER,he
106,958,958,PROP,PER,Alex
2124,967,968,NOM,PER,The announcer
106,975,975,PROP,PER,Alex
2125,980,987,NOM,PER,the riders who wore top hats and tails
2125,990,990,PRON,PER,their
2125,1011,1011,PRON,PER,they
2125,1032,1032,PRON,PER,they
2125,1041,1041,PRON,PER,they
2125,1044,1044,PRON,PER,their
2125,1057,1057,PRON,PER,their
2126,1057,1058,NOM,PER,their riders
106,1071,1071,PROP,PER,Alex
2127,1078,1078,PRON,PER,your
106,1086,1086,PROP,PER,Alex
106,1094,1094,PRON,PER,his
106,1098,1098,PRON,PER,his
106,1105,1105,PRON,PER,him
106,1107,1107,PRON,PER,he
2128,1110,1111,NOM,FAC,the room
106,1113,1113,PRON,PER,He
106,1127,1127,PRON,PER,his
106,1135,1135,PRON,PER,he
106,1145,1145,PROP,PER,Alex
106,1153,1153,PRON,PER,He
2129,1159,1160,NOM,PER,the riders
106,1167,1167,PRON,PER,he
106,1175,1175,PRON,PER,He
2124,1198,1199,NOM,PER,the announcer
106,1223,1223,PRON,PER,him
106,1230,1230,PROP,PER,Alex
106,1233,1233,PRON,PER,his
2131,1240,1242,NOM,FAC,the living room
106,1244,1244,PRON,PER,He
106,1246,1246,PRON,PER,his
106,1250,1250,PRON,PER,his
106,1260,1260,PRON,PER,his
2132,1260,1261,NOM,PER,his father
110,1277,1277,PROP,PER,Darlene
291,1283,1283,PRON,PER,he
106,1288,1288,PROP,PER,Alex
106,1290,1290,PRON,PER,his
2132,1290,1291,NOM,PER,his father
2132,1295,1295,PRON,PER,him
2106,1297,1298,NOM,FAC,the garage
106,1301,1301,PRON,PER,he
111,1304,1304,PROP,PER,Magnificos
2135,1313,1314,NOM,FAC,the driveway
106,1318,1318,PRON,PER,he
106,1321,1321,PROP,PER,Alex
106,1325,1325,PRON,PER,he
