start_token,end_token,supersense_category,text
8,8,verb.cognition,Think
10,12,noun.person,Smithers Alice MacLeod
28,28,noun.cognition,imprint
38,39,noun.person,Susan Juby
47,47,verb.creation,Published
53,53,noun.communication,imprint
55,56,noun.group,HarperCollins Publishers
59,59,noun.relation,part
62,62,noun.communication,book
65,65,verb.consumption,used
67,67,verb.creation,reproduced
70,70,noun.attribute,manner
75,76,noun.communication,written permission
79,79,noun.person,publisher
84,84,noun.state,case
87,87,noun.communication,quotations
88,88,verb.communication,embodied
90,90,noun.communication,reviews
94,94,verb.stative,is
96,96,noun.communication,trademark
98,99,noun.group,HarperCollins Publishers
102,102,noun.communication,books
105,105,verb.possession,purchased
112,112,noun.act,sales
114,114,noun.act,use
121,127,noun.group,HarperCollins Publishers Ltd 2 Bloor Street East
130,131,noun.location,Floor Toronto
133,133,noun.location,Ontario
135,136,noun.location,Canada M4W
138,139,noun.group,www.harpercollins.ca Library
145,145,noun.communication,Publication
146,146,noun.person,Juby
148,148,noun.person,Susan
152,152,noun.cognition,kind
154,154,noun.person,cowboy
181,181,noun.communication,Title
194,194,noun.cognition,Kind
200,201,noun.substance,Ancient Forest
203,203,noun.substance,paper
205,205,verb.creation,made
212,212,noun.substance,waste
218,219,noun.location,Canada Typograpy
221,222,noun.person,Amy Ryan
225,225,noun.person,mother
228,228,verb.cognition,sacrificed
230,230,verb.creation,make
231,231,noun.act,riding
235,235,verb.stative,was
237,237,noun.person,kid
242,242,noun.person,husband
244,244,noun.person,James
248,248,verb.emotion,tolerates
250,250,noun.feeling,obsession
252,252,verb.stative,continue
254,254,verb.communication,nurture
258,258,noun.act,difficulty
260,260,noun.act,equitation
261,261,verb.stative,is
263,263,verb.stative,keep
265,265,noun.animal,horse
278,278,noun.location,beginning
282,282,verb.stative,was
292,292,verb.cognition,know
298,298,verb.cognition,mistaken
304,304,noun.artifact,bike
310,310,noun.time,year
313,314,noun.person,Alex Ford
316,316,noun.person,Magnifico
317,317,verb.stative,was
321,321,noun.time,year
329,330,noun.person,Black Stallion
334,335,noun.person,Black Stallion
337,337,noun.person,Magnifico
339,339,verb.possession,given
341,341,noun.time,bursts
344,344,noun.time,speed
347,347,verb.stative,is
349,349,noun.person,Alex
350,350,verb.stative,kept
353,353,noun.animal,dog
354,354,noun.artifact,leash
355,355,verb.contact,tied
358,358,noun.artifact,handlebars
360,360,noun.person,Alex
361,361,verb.motion,rode
362,362,noun.person,Magnifico
366,366,noun.location,neighborhood
368,368,verb.communication,whispering
373,374,noun.communication,stop signs
376,376,verb.consumption,using
378,378,noun.group,assortment
382,382,verb.cognition,imagined
383,383,verb.stative,were
385,385,noun.event,noises
389,389,noun.communication,clucks
392,392,noun.communication,trills
395,395,verb.motion,urge
397,397,noun.artifact,bike
399,399,noun.object,puddles
403,403,noun.object,obstacles
405,405,verb.consumption,Using
407,408,noun.person,Pony Club
411,412,noun.artifact,slip knot
415,415,verb.contact,tied
416,416,noun.person,Magnifico
420,420,noun.artifact,school
425,425,noun.time,night
426,426,verb.motion,brought
428,428,noun.artifact,bike
431,431,noun.artifact,garage
435,435,noun.act,rubdown
438,438,verb.contact,covered
443,443,noun.artifact,blanket
445,445,verb.contact,fastened
449,449,noun.artifact,belt
452,452,verb.change,taken
457,457,noun.person,mothers
459,459,noun.artifact,pantsuits
461,461,noun.person,Alex
462,462,verb.consumption,kept
464,464,noun.animal,dog
465,465,noun.artifact,dish
468,468,noun.substance,water
473,473,noun.artifact,bike
475,475,verb.contact,hung
477,477,noun.substance,aluminum
478,478,noun.artifact,fishnet
482,482,noun.plant,grass
483,483,noun.artifact,clippings
486,486,noun.person,Magnifico
488,488,noun.artifact,handlebars
493,493,noun.person,Alex
496,496,noun.person,cousins
498,498,verb.social,visiting
