COREF,start_token,end_token,prop,cat,text
64,2,3,PROP,PER,LAUREN MYRACLE
1,9,11,PROP,ORG,New York Times
3178,22,22,PRON,PER,their
3179,27,27,NOM,PER,boy
3178,30,30,PRON,PER,they
3180,89,91,NOM,FAC,School Library Journal
64,113,114,PROP,PER,LAUREN MYRACLE
0,123,123,PRON,PER,I
0,129,129,PRON,PER,I
205,132,132,PRON,PER,I8r
0,135,135,PRON,PER,I
206,137,137,PRON,PER,your
64,146,146,PROP,PER,Lauren
206,151,151,PRON,PER,Your
0,156,156,PRON,PER,my
0,159,159,PRON,PER,I
0,164,164,PRON,PER,I
0,173,173,PRON,PER,I
0,177,177,PRON,PER,I
206,182,182,PRON,PER,your
65,187,187,PROP,PER,Ellie
0,189,189,PRON,PER,I
206,195,195,PRON,PER,your
0,204,204,PRON,PER,I
0,210,210,PRON,PER,I
206,222,222,PRON,PER,You
207,232,233,NOM,PER,a teenager
206,237,237,PRON,PER,you
66,243,243,PROP,PER,Sam
64,246,246,PROP,PER,Lauren
0,251,251,PRON,PER,I
64,256,256,PRON,PER,you
64,258,258,PRON,PER,YOU
0,270,270,PRON,PER,I
0,281,281,PRON,PER,my
0,297,297,PRON,PER,I
208,299,299,PRON,PER,them
67,317,317,PROP,PER,Ashley
0,319,319,PRON,PER,I
0,328,328,PRON,PER,I
209,336,337,NOM,PER,the teacher
0,341,341,PRON,PER,me
0,343,343,PRON,PER,I
209,347,347,PRON,PER,her
0,349,349,PRON,PER,I
68,358,358,PROP,PER,Jess
64,372,373,PROP,PER,Lauren Myracle
209,382,382,PRON,PER,My
64,387,393,PROP,PER,"Kate l8r , g8r Lauren Myracle Amulet"
2,395,397,PROP,ORG,New York Publisher
210,421,422,NOM,PER,the author
211,466,467,NOM,PER,The publisher
3,479,482,PROP,ORG,The Library of Congress
64,493,493,PROP,PER,Lauren
64,500,501,PROP,PER,Lauren Myracle
212,509,509,PRON,PER,their
213,513,514,NOM,ORG,high school
69,516,516,PROP,PER,Zoe
70,518,518,PROP,PER,Maddie
71,521,521,PROP,PER,Angela
214,530,531,NOM,PER,one another
212,533,533,PRON,PER,their
212,541,541,PRON,PER,they
212,557,557,PRON,PER,their
215,557,559,NOM,PER,their inseparable trio
216,613,614,NOM,FAC,High schools
4,620,620,PROP,FAC,Schools
64,666,667,PROP,PER,Lauren Myracle
72,680,681,PROP,PER,VADA NOBLES
73,683,684,PROP,PER,ALISHA BROOKS
