start_token,end_token,supersense_category,text
1,3,noun.group,LOVE LAUREN MYRACLE
9,10,noun.location,New York
11,12,noun.group,Times Bestseller
19,19,verb.stative,are
23,24,noun.time,senior year
35,36,verb.communication,talk about
42,42,noun.communication,story
44,44,verb.communication,told
47,47,noun.group,series
51,51,noun.communication,message
53,53,noun.communication,chat
55,55,noun.artifact,room
56,56,noun.communication,conversations
59,59,verb.creation,written
64,64,noun.communication,language/
67,67,verb.change,adds
70,70,noun.attribute,appeal
79,79,noun.communication,pages
82,82,verb.perception,seem
89,91,noun.group,School Library Journal
97,97,noun.act,approach
99,99,noun.time,today
102,102,noun.person,teenagers
107,108,noun.group,Bridgewater Courier
110,114,noun.group,Post READERS LOVE LAUREN MYRACLE
124,124,verb.cognition,read
131,131,verb.possession,bought
136,136,verb.emotion,LOVE
138,138,noun.communication,books
142,142,noun.food,chocolate
146,146,noun.person,Lauren
152,152,noun.communication,books
155,155,verb.change,changed
157,157,noun.time,life
162,162,verb.cognition,know
166,167,verb.stative,go on
174,174,verb.emotion,feel
179,179,verb.cognition,read
183,183,noun.communication,books
187,187,noun.person,Ellie
191,191,verb.cognition,read
196,196,noun.communication,books
200,200,noun.communication,series
211,211,verb.stative,keep
212,213,verb.motion,going back
215,215,verb.cognition,read
224,224,verb.cognition,know
227,228,verb.cognition,get into
230,230,noun.cognition,mind
233,233,noun.person,teenager
235,235,noun.communication,Congratulations
243,243,noun.person,Sam
245,246,noun.person,Hi Lauren
255,255,verb.communication,tell
271,271,verb.stative,'m
277,277,noun.group,series
282,282,noun.cognition,favorite
283,283,verb.stative,was
293,294,noun.person,Ca n't
295,295,verb.cognition,choose
298,298,verb.emotion,loved
306,306,noun.communication,thanks
308,308,verb.creation,writing
311,311,noun.communication,series
317,317,noun.person,Ashley
321,321,verb.cognition,reading
326,326,noun.group,class
332,332,verb.contact,put
337,337,noun.person,teacher
339,339,verb.communication,yelling
346,346,verb.perception,heard
350,350,verb.stative,was
354,354,noun.communication,book
358,358,noun.person,Jess
363,363,noun.communication,series
370,370,noun.communication,books
372,373,noun.person,Lauren Myracle
381,381,verb.change,Changed
395,396,noun.location,New York
402,402,verb.stative,is
404,404,noun.artifact,work
406,406,noun.communication,fiction
408,408,noun.communication,Names
410,410,noun.communication,characters
412,412,noun.location,places
415,415,noun.event,incidents
416,416,verb.stative,are
419,419,noun.artifact,product
422,422,noun.person,author
424,424,noun.cognition,imagination
427,427,verb.consumption,used
432,432,noun.attribute,resemblance
435,435,noun.person,persons
437,437,verb.stative,living
441,441,noun.act,business
442,442,noun.artifact,establishments
444,444,noun.event,events
447,447,noun.communication,locales
448,448,verb.stative,is
453,453,noun.act,effort
456,456,verb.social,made
458,458,verb.cognition,verify
459,459,noun.communication,Web
460,460,noun.communication,addresses
461,461,verb.communication,mentioned
464,464,noun.communication,book
467,467,noun.group,publisher
468,468,verb.possession,bears
470,470,noun.act,responsibility
472,472,noun.communication,addresses
475,475,verb.motion,moved
477,477,verb.change,changed
480,482,noun.group,Library of Congress
484,484,verb.communication,cataloged
486,486,noun.communication,hardcover
487,487,noun.communication,edition
493,493,noun.person,Lauren
500,501,noun.person,Lauren Myracle
503,504,noun.communication,p. cm
506,506,noun.communication,Summary
510,511,noun.time,senior year
513,514,noun.group,high school
516,516,noun.person,Zoe
518,518,noun.person,Maddie
521,521,noun.person,Angela
522,522,verb.stative,continue
524,524,verb.possession,share
527,527,noun.communication,messages
534,534,noun.time,day
538,538,noun.time,day
539,539,noun.event,experiences
542,542,verb.perception,consider
543,543,noun.group,college
545,545,noun.act,sex
548,548,noun.attribute,importance
550,550,noun.event,prom
555,555,noun.event,end
559,559,noun.group,trio
594,594,noun.communication,messaging
596,596,noun.communication,Fiction
600,600,noun.state,Friendship
602,602,noun.communication,Fiction
607,607,noun.relation,relations
609,609,noun.communication,Fiction
613,614,noun.group,High schools
616,616,noun.communication,Fiction
620,620,noun.group,Schools
622,622,noun.communication,Fiction
630,630,noun.communication,Title
634,634,noun.location,gator
654,654,verb.creation,published
656,656,noun.communication,hardcover
658,659,noun.group,Amulet Books
662,662,noun.communication,Text
663,663,noun.communication,copyright
