COREF,start_token,end_token,prop,cat,text
68,4,6,PROP,PER,Julie Anne Peters
1,19,19,PROP,GPE,York
2,20,20,PROP,GPE,Boston
68,23,25,PROP,PER,Julie Anne Peters
211,32,32,PRON,PER,You
3,35,42,PROP,GPE,Luna Far from Xanadu Between Mom and Jo
69,40,40,PROP,PER,Mom
70,42,42,PROP,PER,Jo
68,47,49,PROP,PER,Julie Anne Peters
212,101,102,NOM,PER,the publisher
213,104,111,NOM,PER,"Little , Brown and Company Hachette Book Group"
4,112,112,PROP,GPE,USA
5,114,115,PROP,FAC,Park Avenue
6,117,118,PROP,GPE,New York
214,123,123,PRON,PER,our
215,147,148,NOM,PER,real persons
216,160,161,NOM,PER,the author
217,196,200,NOM,GPE,the United States of America
7,200,200,PROP,GPE,America
218,202,210,NOM,PER,all the young readers who ’ve shared their stories
218,209,209,PRON,PER,their
0,212,212,PRON,PER,me
8,223,227,PROP,FAC,the Feeling 17 After Alex
9,237,260,PROP,FAC,Stone Cold Butch 61 Abstinence Makes the Heart Grow Fonder 73 Boi 87 TIAD 109 Two - Part Invention 135 START OF BOOK Passengers
219,262,262,PRON,PER,he
220,275,276,NOM,VEH,the train
219,278,278,PRON,PER,She
0,284,284,PRON,PER,I
0,287,287,PRON,PER,I
0,307,307,PRON,PER,I
0,314,314,PRON,PER,I
219,321,321,PRON,PER,her
219,323,323,PRON,PER,She
219,329,329,PRON,PER,her
220,332,333,NOM,VEH,the train
219,344,344,PRON,PER,She
0,346,346,PRON,PER,me
0,350,350,PRON,PER,I
222,358,358,PRON,PER,we
222,369,369,PRON,PER,We
0,387,387,PRON,PER,I
219,391,391,PRON,PER,she
0,394,394,PRON,PER,my
0,397,397,PRON,PER,I
0,400,400,PRON,PER,my
223,400,401,NOM,PER,my group
71,405,405,PROP,PER,Becca
0,410,410,PRON,PER,you
72,415,415,PROP,PER,Ozzy
0,420,420,PRON,PER,I
0,424,424,PRON,PER,myself
0,431,431,PRON,PER,I
219,440,440,PRON,PER,her
72,443,443,PROP,PER,Ozzy
73,445,445,PROP,PER,Laura
224,450,450,NOM,PER,People
219,453,453,PRON,PER,her
225,455,455,NOM,PER,Guys
225,458,458,PRON,PER,They
219,460,460,PRON,PER,her
226,461,462,NOM,PER,a dyke
227,464,464,NOM,PER,Girls
219,466,466,PRON,PER,her
228,467,468,NOM,PER,a guy
219,470,470,PRON,PER,She
228,473,474,NOM,PER,a guy
230,477,478,NOM,PER,a girl
219,482,482,PRON,PER,She
219,491,491,PRON,PER,She
231,508,508,PRON,PER,you
232,514,514,PRON,PER,we
0,519,519,PRON,PER,I
228,524,525,NOM,PER,a guy
0,530,530,PRON,PER,I
0,536,536,PRON,PER,I
968,540,540,PRON,PER,They
219,546,546,PRON,PER,She
234,551,554,NOM,PER,long - sleeved men
74,574,574,PROP,PER,Martens
219,580,580,PRON,PER,She
219,586,586,PRON,PER,She
0,590,590,PRON,PER,I
219,593,593,PRON,PER,she
0,601,601,PRON,PER,My
219,609,609,PRON,PER,her
219,612,612,PRON,PER,She
235,622,633,NOM,PER,someone had taken dull scissors to and hacked off in a rage
219,637,637,PRON,PER,she
219,652,652,PRON,PER,her
219,664,664,PRON,PER,her
219,674,674,PRON,PER,her
219,682,682,PRON,PER,her
219,685,685,PRON,PER,her
219,688,688,PRON,PER,Her
219,707,707,PRON,PER,she
225,731,731,NOM,PER,Guys
219,736,736,PRON,PER,her
227,739,739,NOM,PER,Girls
238,742,742,NOM,PER,Slut
219,744,744,PRON,PER,She
239,747,754,NOM,PER,"a slut , or jock , or stoner"
224,756,756,NOM,PER,People
219,764,764,PRON,PER,She
219,781,781,PRON,PER,I
75,786,787,PROP,PER,Mr. Right
0,792,792,PRON,PER,me
219,797,797,PRON,PER,She
0,803,803,PRON,PER,I
219,810,810,PRON,PER,her
0,814,814,PRON,PER,I
219,820,820,PRON,PER,you
219,823,823,PRON,PER,Her
0,827,827,PRON,PER,my
0,834,834,PRON,PER,my
0,840,840,PRON,PER,I
0,846,846,PRON,PER,I
219,852,852,PRON,PER,She
219,854,854,PRON,PER,her
0,857,857,PRON,PER,my
969,884,884,PRON,PER,we
0,889,889,PRON,PER,I
219,899,899,PRON,PER,Your
0,914,914,PRON,PER,I
241,916,919,NOM,PER,the only one laughing
219,923,923,PRON,PER,Her
242,929,931,NOM,FAC,the crowded cafeteria
0,934,934,PRON,PER,I
0,940,940,PRON,PER,I
969,945,945,PRON,PER,we
219,953,953,PRON,PER,her
0,956,956,PRON,PER,I
0,965,965,PRON,PER,I
219,967,967,PRON,PER,She
0,969,969,PRON,PER,me
219,983,983,PRON,PER,she
0,986,986,PRON,PER,I
219,988,988,PRON,PER,her
0,992,992,PRON,PER,myself
0,994,994,PRON,PER,my
0,999,999,PRON,PER,I
0,1002,1002,PRON,PER,I
10,1006,1007,PROP,LOC,the Yukon
0,1010,1010,PRON,PER,I
219,1024,1024,PRON,PER,She
0,1028,1028,PRON,PER,me
219,1031,1031,PRON,PER,her
219,1036,1036,PRON,PER,Her
11,1066,1066,PROP,GPE,India
0,1068,1068,PRON,PER,I
243,1075,1077,NOM,VEH,This passenger train
244,1080,1081,NOM,FAC,a bridge
245,1085,1085,NOM,PER,Passengers
12,1088,1090,PROP,LOC,the Krishna River
245,1092,1092,PRON,PER,They
246,1110,1114,NOM,FAC,A train wreck in India
11,1114,1114,PROP,GPE,India
0,1120,1120,PRON,PER,me
0,1123,1123,PRON,PER,I
0,1129,1129,PRON,PER,I
247,1132,1148,NOM,PER,"the people on the train riding along all nonchalant , reading their papers or rocking their babies"
220,1135,1136,NOM,VEH,the train
247,1143,1143,PRON,PER,their
247,1147,1147,PRON,PER,their
249,1147,1148,NOM,PER,their babies
247,1151,1151,PRON,PER,they
224,1170,1170,NOM,PER,people
224,1176,1176,PRON,PER,their
0,1187,1187,PRON,PER,me
0,1190,1190,PRON,PER,my
224,1227,1227,NOM,PER,people
252,1231,1232,NOM,PER,each other
224,1235,1235,PRON,PER,they
252,1244,1245,NOM,PER,each other
224,1249,1249,PRON,PER,they
254,1255,1260,NOM,PER,the person sitting next to them
224,1260,1260,PRON,PER,them
224,1265,1265,PRON,PER,their
0,1268,1268,PRON,PER,I
224,1271,1271,PRON,PER,they
224,1280,1280,PRON,PER,They
255,1289,1289,PRON,PER,she
256,1293,1293,PRON,PER,We
256,1297,1297,PRON,PER,Our
257,1297,1298,NOM,VEH,Our train
13,1302,1303,PROP,FAC,Carbondale Bridge
0,1307,1307,PRON,PER,I
255,1309,1309,PRON,PER,her
0,1315,1315,PRON,PER,I
255,1321,1321,PRON,PER,you
0,1329,1329,PRON,PER,I
0,1334,1334,PRON,PER,I
255,1338,1338,PRON,PER,you
255,1341,1341,PRON,PER,you
0,1344,1344,PRON,PER,I
0,1349,1349,PRON,PER,I
255,1354,1354,PRON,PER,your
255,1359,1359,PRON,PER,your
255,1363,1363,PRON,PER,you
0,1365,1365,PRON,PER,I
255,1369,1369,PRON,PER,your
255,1385,1385,PRON,PER,your
258,1385,1386,NOM,PER,your person
0,1388,1388,PRON,PER,I
255,1390,1390,PRON,PER,you
0,1393,1393,PRON,PER,my
255,1401,1401,PRON,PER,her
0,1404,1404,PRON,PER,I
255,1406,1406,PRON,PER,her
0,1413,1413,PRON,PER,I
255,1419,1419,PRON,PER,you
0,1423,1423,PRON,PER,me
0,1425,1425,PRON,PER,I
255,1432,1432,PRON,PER,Her
0,1442,1442,PRON,PER,Mine
0,1455,1455,PRON,PER,You
0,1457,1457,PRON,PER,your
255,1466,1466,PRON,PER,she
259,1488,1491,NOM,VEH,Stupid train in India
11,1491,1491,PROP,GPE,India
0,1498,1498,PRON,PER,My
0,1510,1510,PRON,PER,I
255,1520,1520,PRON,PER,you
0,1523,1523,PRON,PER,I
0,1539,1539,PRON,PER,My
255,1546,1546,PRON,PER,She
255,1552,1552,PRON,PER,her
255,1582,1582,PRON,PER,her
255,1586,1586,PRON,PER,her
255,1591,1591,PRON,PER,she
255,1597,1597,PRON,PER,I
255,1604,1604,PRON,PER,she
0,1608,1608,PRON,PER,I
255,1612,1612,PRON,PER,she
0,1616,1616,PRON,PER,I
0,1631,1631,PRON,PER,I
260,1635,1636,NOM,FAC,the boneyard
261,1638,1639,NOM,PER,the librarian
262,1644,1644,PRON,PER,us
261,1647,1647,PRON,PER,her
263,1656,1658,NOM,FAC,the media center
261,1665,1665,PRON,PER,She
260,1667,1667,PRON,LOC,it
14,1668,1670,PROP,FAC,the Britannica Boneyard
260,1673,1673,PRON,FAC,It
0,1678,1678,PRON,PER,I
0,1690,1690,PRON,PER,my
0,1695,1695,PRON,PER,I
264,1703,1703,PRON,PER,I^ssengers
0,1706,1706,PRON,PER,I
0,1714,1714,PRON,PER,I
255,1722,1722,PRON,PER,her
255,1725,1725,PRON,PER,I
255,1734,1734,PRON,PER,She
0,1736,1736,PRON,PER,me
255,1738,1738,PRON,PER,She
255,1740,1740,PRON,PER,her
255,1743,1743,PRON,PER,her
255,1754,1754,PRON,PER,Her
0,1792,1792,PRON,PER,I
255,1802,1802,PRON,PER,She
0,1811,1811,PRON,PER,I
255,1817,1817,PRON,PER,you
0,1820,1820,PRON,PER,I
255,1831,1831,PRON,PER,her
0,1837,1837,PRON,PER,I
255,1841,1841,PRON,PER,you
0,1844,1844,PRON,PER,I
0,1850,1850,PRON,PER,my
255,1854,1854,PRON,PER,She
255,1856,1856,PRON,PER,her
0,1864,1864,PRON,PER,me
255,1866,1866,PRON,PER,She
0,1870,1870,PRON,PER,me
0,1874,1874,PRON,PER,me
0,1896,1896,PRON,PER,I
0,1907,1907,PRON,PER,I
255,1913,1913,PRON,PER,She
265,1924,1925,NOM,ORG,middle school
255,1927,1927,PRON,PER,She
0,1930,1930,PRON,PER,my
266,1930,1932,NOM,VEH,my same train
267,1937,1937,PRON,PER,We
0,1951,1951,PRON,PER,I
255,1956,1956,PRON,PER,her
255,1973,1973,PRON,PER,Her
0,1976,1976,PRON,PER,me
255,1978,1978,PRON,PER,She
255,1980,1980,PRON,PER,her
255,2005,2005,PRON,PER,She
255,2012,2012,PRON,PER,Her
0,2037,2037,PRON,PER,I
255,2044,2044,PRON,PER,her
0,2049,2049,PRON,PER,I
76,2051,2051,PROP,PER,Tamlyn
0,2058,2058,PRON,PER,I
255,2060,2060,PRON,PER,her
77,2063,2063,PROP,PER,Tam
255,2066,2066,PRON,PER,She
255,2068,2068,PRON,PER,her
0,2072,2072,PRON,PER,me
255,2079,2079,PRON,PER,I
0,2084,2084,PRON,PER,you
0,2091,2091,PRON,PER,I
255,2099,2099,PRON,PER,you
0,2103,2103,PRON,PER,I
78,2105,2105,PROP,PER,Andrea
255,2109,2109,PRON,PER,She
255,2111,2111,PRON,PER,her
0,2120,2120,PRON,PER,you
255,2127,2127,PRON,PER,Her
255,2131,2131,PRON,PER,she
0,2134,2134,PRON,PER,my
