start_token,end_token,supersense_category,text
2,2,noun.communication,fictions
4,6,noun.person,Julie Anne Peters
15,17,noun.group,BROWN AND COMPANY
18,20,noun.location,New York Boston
23,25,noun.person,Julie Anne Peters
35,36,noun.location,Luna Far
38,40,noun.group,Xanadu Between Mom
47,49,noun.person,Julie Anne Peters
56,56,verb.communication,permitted
66,66,noun.relation,part
69,69,noun.communication,publication
72,72,verb.contact,reproduced
74,74,verb.contact,distributed
77,77,verb.contact,transmitted
80,80,noun.communication,form
87,87,verb.contact,stored
90,90,noun.communication,database
92,93,noun.artifact,retrieval system
99,99,noun.communication,permission
102,102,noun.group,publisher
104,104,noun.person,Little
106,112,noun.group,Brown and Company Hachette Book Group USA
114,115,noun.location,Park Avenue
117,118,noun.location,New York
120,120,noun.location,NY
125,125,noun.location,site
131,131,noun.time,September
134,134,noun.communication,characters
136,136,noun.event,events
137,137,verb.perception,portrayed
140,140,noun.communication,book
141,141,verb.stative,are
145,145,noun.attribute,similarity
148,148,noun.person,persons
152,152,noun.state,dead
154,154,verb.stative,is
158,158,verb.creation,intended
161,161,noun.person,author
173,173,noun.quantity,7
185,185,noun.quantity,9
187,187,noun.person,pb
197,200,noun.location,United States of America
205,205,noun.person,readers
208,208,verb.possession,shared
210,210,noun.communication,stories
237,239,noun.location,Stone Cold Butch
254,261,noun.group,Part Invention 135 START OF BOOK Passengers S
263,263,verb.stative,sits
270,270,noun.group,seminar
272,272,noun.food,lunch
276,276,noun.artifact,train
280,280,verb.motion,sits
285,285,verb.stative,was
289,289,verb.possession,find
292,292,verb.social,do
294,294,verb.cognition,Read
296,297,verb.social,work on
298,298,noun.act,homework
300,300,noun.communication,doodle
308,308,verb.stative,was
312,313,verb.stative,look like
315,315,verb.emotion,wanted
317,317,verb.stative,be
324,324,verb.contact,sits
326,326,verb.body,slumps
330,330,noun.location,seat
333,333,noun.artifact,train
335,335,verb.perception,stares
338,338,noun.artifact,window
342,342,noun.artifact,aisle
345,345,verb.social,watches
347,348,verb.change,getting on
353,353,verb.perception,look
357,357,noun.time,day
359,359,verb.perception,have
361,361,noun.act,stare
364,364,noun.quantity,Ten
367,367,noun.time,seconds
371,371,verb.communication,talk
373,373,verb.communication,say
388,388,verb.stative,'m
393,393,verb.cognition,knows
395,395,noun.communication,name
398,398,verb.contact,sit
401,401,noun.group,group
405,405,noun.person,Becca
406,406,verb.communication,says
411,411,verb.perception,hear
413,413,verb.change,happened
415,415,noun.person,Ozzy
417,417,noun.event,party
423,423,verb.social,force
426,426,verb.perception,listen
429,429,verb.emotion,care
434,434,verb.change,concentrate
438,438,verb.perception,looking
443,443,noun.person,Ozzy
445,445,noun.person,Laura
446,447,verb.social,hooked up
450,450,noun.group,People
451,452,verb.communication,talk about
455,455,noun.person,Guys
459,459,verb.communication,call
462,462,noun.person,dyke
464,464,noun.person,Girls
465,465,verb.communication,call
468,468,noun.person,guy
471,471,verb.stative,is
474,474,noun.person,guy
478,478,noun.person,girl
488,488,noun.person,Gender
494,494,verb.communication,committing
496,496,noun.attribute,way
504,504,verb.communication,say
507,507,verb.communication,says
522,522,verb.body,dress
525,525,noun.person,guy
547,547,verb.body,wears
