COREF,start_token,end_token,prop,cat,text
401,2,5,PROP,FAC,Jodi Picoult Nineteen Minutes
5919,42,42,PRON,PER,us
5919,45,45,PRON,PER,we
2,59,59,PROP,GPE,Denver
199,62,62,PROP,PER,Picoult
5920,64,72,NOM,PER,"a rare writer who delivers , book after book"
5921,87,88,NOM,PER,No reader
5922,174,175,NOM,PER,school people
199,188,188,PROP,PER,Picoult
3,200,202,PROP,ORG,The Washington Post
5923,207,209,NOM,PER,a bestselling writer
401,231,232,PROP,FAC,Nineteen Minutes
199,270,270,PROP,PER,Picoult
401,275,276,PROP,FAC,Nineteen Minutes
5924,301,301,NOM,PER,families
5925,303,303,NOM,PER,kids
5926,306,307,NOM,PER,the bullies
5927,329,329,PRON,PER,your
5928,329,330,NOM,PER,your community
5927,332,332,PRON,PER,your
5929,332,333,NOM,PER,your neighbor
5927,335,335,PRON,PER,your
5930,335,336,NOM,PER,your family
199,342,342,PROP,PER,Picoult
5,363,364,PROP,GPE,New York
625,380,382,NOM,FAC,The Tenth Circle
5931,392,392,NOM,PER,teenagers
6,409,411,PROP,FAC,Rocky Mountain News
5932,419,420,NOM,PER,a family
626,429,429,NOM,PER,People
5933,442,443,NOM,PER,the reader
5934,454,454,NOM,PER,readers
7,466,467,PROP,FAC,Denver Post
199,469,469,PROP,PER,Picoult
5935,506,506,PRON,PER,her
199,510,511,PROP,PER,Jodi Picoult
5935,533,533,PRON,PER,She
5927,537,537,PRON,PER,you
8,545,545,PROP,GPE,Pittsburgh
200,553,554,PROP,PER,Ms. Picoult
5936,556,560,NOM,PER,"a solid , lively storyteller"
627,564,566,NOM,GPE,The New York
9,577,577,PROP,GPE,Boston
199,582,582,PROP,PER,Picoult
5935,585,585,PRON,PER,her
5937,585,586,NOM,PER,her characters
5938,592,596,NOM,PER,the people who inhabit them
10,606,619,PROP,FAC,Jotli ' ^lcoiaI'F House Rules Handle with Care Change of Heart The Tenth Circle
0,622,622,PRON,PER,My
11,630,663,PROP,FAC,Salem Falls Plain Truth Keeping Faith The Pact Mercy Picture Perfect Harvesting the Heart Songs of the Humpback Whale Nineteen Minutes A Novel Jodi Picoult Washington Square Press A Division of Simon & Schuster
12,665,674,PROP,FAC,"Inc. 1230 Avenue of the Americas NewYork , NY 10020"
628,669,674,NOM,GPE,"the Americas NewYork , NY 10020"
629,695,696,NOM,PER,the author
630,712,712,NOM,PER,persons
199,726,727,PROP,PER,Jodi Picoult
631,750,754,NOM,ORG,Atria Books Subsidiary Rights Department
632,757,760,NOM,FAC,Avenue of the Americas
5,762,763,PROP,GPE,New York
201,785,787,PROP,PER,Simon & Schuster
201,801,803,PROP,PER,Simon & Schuster
633,818,822,NOM,LOC,the United States of America
13,822,822,PROP,GPE,America
634,871,871,PRON,PER,You
0,882,882,PRON,PER,I
635,885,906,NOM,PER,the man who came to my house to teach me how to shoot a handgun in a woodpile in my own backyard
0,890,890,PRON,PER,my
636,890,891,NOM,FAC,my house
0,894,894,PRON,PER,me
0,904,904,PRON,PER,my
637,904,906,NOM,FAC,my own backyard
202,908,910,PROP,PER,Captain Frank Moran
202,917,917,PRON,PER,his
638,917,918,NOM,PER,his colleague
203,920,922,PROP,PER,Lieutenant Michael Evans
639,932,935,NOM,PER,police chief Nick Giaccone
204,934,935,PROP,PER,Nick Giaccone
205,958,959,PROP,PER,Claire Demarais
205,961,961,PRON,PER,her
640,967,970,NOM,PER,the queen of forensics
345,974,974,PROP,PER,Patrick
0,983,983,PRON,PER,I
641,988,989,NOM,PER,many friends
642,991,991,NOM,PER,family
641,999,999,PRON,PER,their
0,1004,1004,PRON,PER,me
641,1006,1006,PRON,PER,their
207,1016,1017,PROP,PER,Jane Picoult
208,1019,1021,PROP,PER,Dr. David Toub
209,1023,1024,PROP,PER,Wyatt Fox
210,1026,1027,PROP,PER,Chris Keating
211,1029,1030,PROP,PER,Suzanne Serat
