start_token,end_token,supersense_category,text
2,5,noun.group,Jodi Picoult Nineteen Minutes
8,8,noun.person,character
9,9,noun.state,development
12,13,noun.communication,plot twists
20,20,verb.stative,is
23,23,noun.communication,page
29,29,noun.act,exploration
31,31,noun.attribute,popularity
33,33,noun.attribute,power
41,41,verb.stative,define
44,44,noun.attribute,ways
48,48,verb.emotion,wish
51,51,verb.communication,defined
55,57,noun.group,Rocky Mountain News
59,59,noun.location,Denver
62,62,noun.group,Picoult
63,63,verb.stative,is
66,66,noun.person,writer
68,68,verb.communication,delivers
70,70,noun.communication,book
72,72,noun.communication,book
76,76,noun.event,combination
88,88,noun.person,reader
91,91,verb.cognition,foresee
93,93,noun.communication,book
96,96,noun.event,denouement
99,99,verb.stative,is
104,104,verb.creation,crafted
114,115,noun.group,Entertainment Weekly
122,123,noun.group,Nineteen Minutes
129,129,verb.creation,made
133,133,noun.state,level
136,136,verb.stative,’s
138,138,noun.communication,thriller
143,143,noun.act,carnage
146,146,noun.communication,discoveries
150,150,noun.time,hour
151,151,noun.communication,revelations
156,156,verb.communication,asks
159,159,noun.communication,questions
162,162,noun.relation,relationship
170,170,noun.communication,questions
172,172,verb.possession,provide
174,174,noun.group,school
175,175,noun.group,people
176,176,verb.communication,call
179,179,noun.time,moments
183,183,noun.feeling,compassion
186,186,verb.communication,taught
188,188,noun.group,Picoult
190,190,verb.stative,be
195,195,verb.communication,teach
201,202,noun.group,Washington Post
205,205,noun.communication,storytelling
209,209,noun.person,writer
214,215,noun.location,Associated Press
217,217,noun.quantity,Lots
219,219,noun.communication,humor
222,222,noun.act,writing
229,229,noun.communication,plot
232,232,noun.time,Minutes
235,235,verb.stative,be
238,238,verb.stative,is
242,242,noun.location,top
245,245,noun.communication,bestseller
246,246,noun.communication,list
251,252,noun.group,Philadelphia Inquirer
254,254,noun.communication,title
270,270,noun.person,Picoult
273,273,noun.communication,novels
280,280,verb.perception,garner
282,282,noun.cognition,attention
286,286,noun.communication,subject
288,288,noun.act,twist
289,289,noun.communication,ending
