COREF,start_token,end_token,prop,cat,text
122,2,4,NOM,PER,LIVING DEAD GIRL
906,18,18,NOM,PER,readers
38,40,40,PROP,PER,Scott
38,63,63,PROP,PER,Scott
907,83,83,PRON,PER,you
39,90,90,PROP,PER,Scotts
38,124,125,PROP,PER,Elizabeth Scott
40,136,137,PROP,PER,Ellen Hopkins
1,139,140,PROP,GPE,New York
2,141,141,PROP,ORG,Times
908,147,148,NOM,PER,Most authors
41,153,153,PRON,PER,I
908,161,161,PRON,PER,their
909,161,162,NOM,PER,their fans
122,164,166,NOM,PER,Living Dead Girl
907,170,170,PRON,PER,you
907,177,177,PRON,PER,you
911,195,198,NOM,PER,none of its readers
912,197,198,NOM,PER,its readers
41,214,215,PROP,PER,Chris Crutcher
42,222,223,PROP,PER,Sarah Byrnes
913,231,241,NOM,PER,an abducted girl you ’ll be desperate and helpless to save
907,234,234,PRON,PER,you
913,243,243,PRON,PER,her
914,243,244,NOM,PER,her captor
907,251,251,PRON,PER,you
43,267,268,PROP,PER,Lisa McMann
3,271,271,PROP,GPE,York
123,272,286,NOM,PER,Times bestselling author of Wake and Fade A 2009 ALA BEST BOOK FOR YOUNG ADULTS
124,288,295,NOM,PER,A 2009 ALA QUICK PICK FOR RELUCTANT READERS
4,299,299,PROP,GPE,IRA
125,300,302,NOM,PER,YOUNG ADULT CHOICE
5,306,306,PROP,GPE,ALA
126,307,311,NOM,PER,TEENS ’ TOP TEN NOMINEE
127,315,322,NOM,PER,AMELIA BLOOMER PROJECT YOUNG ADULT FICTION PICK ♦
44,368,370,PROP,PER,ELIZABETH SCOTT Bloom
128,372,372,PRON,PER,You
129,375,378,NOM,PER,Maybe living dead girl
45,379,382,PROP,PER,ELIZABETH SCOTT Simon Pulse
1,383,384,PROP,GPE,NEW YORK
6,386,386,PROP,GPE,LONDON
7,388,388,PROP,GPE,TORONTO
8,390,390,PROP,GPE,SYDNEY
130,405,406,NOM,PER,real people
131,428,429,NOM,PER,the author
132,442,442,NOM,PER,persons
9,460,468,PROP,FAC,Children ’s Publishing Division 1230 Avenue of the Americas
10,467,468,PROP,LOC,the Americas
1,470,471,PROP,GPE,New York
46,479,480,PROP,PER,Elizabeth Spencer
45,499,500,PROP,PER,SIMON PULSE
47,532,534,PROP,PER,Simon & Schuster
133,556,556,NOM,PER,authors
128,558,558,PRON,PER,your
11,571,576,PROP,FAC,the Simon & Schuster Speakers Bureau
134,587,587,PRON,PER,our
48,594,595,PROP,PER,Mike Rosamilia
12,609,613,PROP,LOC,the United States of America
13,613,613,PROP,GPE,America
48,637,637,PRON,PER,he
135,651,652,NOM,ORG,pbk )
135,651,652,NOM,PER,pbk )
49,655,656,PROP,PER,Jennifer Klonsky
50,663,664,PROP,PER,Bethany Buck
51,666,667,PROP,PER,Paul Crichton
52,669,670,PROP,PER,Russell Gordon
53,672,673,PROP,PER,Victor Iannone
54,675,676,PROP,PER,Lucille Rettino
55,678,680,PROP,PER,Michael del Rosario
56,682,683,PROP,PER,Kelly Stocks
137,686,690,NOM,PER,everyone else at Simon Pulse
14,689,690,PROP,FAC,Simon Pulse
137,693,693,PRON,PER,their
57,698,699,PROP,PER,Robin Rue
0,705,705,PRON,PER,my
58,712,713,PROP,PER,Katharine Beutner
59,715,716,PROP,PER,Jessica Brearton
60,718,719,PROP,PER,Diana Fox
61,722,723,PROP,PER,Amy Pascale
137,725,725,PRON,PER,their
62,733,735,PROP,PER,Shana Naomi Krochmal
138,738,738,PRON,PER,you
0,741,741,PRON,PER,me
0,752,752,PRON,PER,my
138,763,763,PRON,PER,you
15,776,778,PROP,FAC,Shady Pines Apartments
139,780,799,NOM,FAC,four shabby build - gs tucked off the road near the highway Across from a strip mall with nail places
140,787,788,NOM,FAC,the road
141,790,791,NOM,FAC,the highway
142,794,796,NOM,FAC,a strip mall
143,798,799,NOM,FAC,nail places
144,801,812,NOM,FAC,a cash - loan store that advertises on TV all the time
145,817,818,NOM,FAC,a drugstore
146,820,821,NOM,FAC,tiny restaurants
18,831,832,PROP,FAC,Shady Pines
138,841,841,PRON,PER,you
147,859,859,NOM,PER,management
148,868,870,NOM,PER,A few mothers
148,873,873,PRON,PER,their
149,873,874,NOM,FAC,their buildings
148,887,887,PRON,PER,their
150,887,888,NOM,PER,their children
38,901,902,PROP,FAC,Elizabeth Scott
151,906,906,PRON,PER,its
152,909,910,NOM,PER,a child
153,926,931,NOM,PER,That man in the far building
154,929,931,NOM,FAC,the far building
155,933,935,NOM,PER,the car guy
156,950,952,NOM,FAC,the parking lot
155,954,954,PRON,PER,him
157,956,957,NOM,PER,Car guy
158,960,960,NOM,FAC,here
138,962,962,PRON,PER,you
138,967,967,PRON,PER,you
155,970,970,PRON,PER,him
155,977,977,PRON,PER,he
155,980,980,PRON,PER,his
159,980,981,NOM,VEH,his car
