start_token,end_token,supersense_category,text
12,12,noun.communication,book
13,13,verb.communication,exerts
16,16,noun.attribute,grip
18,18,noun.person,readers
25,25,noun.communication,review
37,37,noun.act,review
40,40,noun.person,Scott
41,41,verb.possession,gives
43,43,noun.communication,phrase
45,45,verb.contact,wrenching
50,50,noun.communication,meaning
54,54,noun.communication,book
61,61,noun.communication,review
63,63,noun.person,Scott
66,66,noun.communication,language
67,67,noun.communication,...
68,68,verb.stative,is
80,80,noun.communication,page
82,82,verb.stative,leave
91,91,noun.communication,novel
92,92,verb.stative,is
96,96,noun.relation,proportion
99,99,noun.attribute,brilliance
102,102,noun.act,execution
110,110,noun.communication,books
112,112,verb.cognition,read
114,115,verb.contact,put away
118,118,verb.communication,demand
121,122,verb.communication,talked about
124,125,noun.person,Elizabeth Scott
129,129,noun.person,GirlvAW
131,132,verb.communication,talked about
136,137,noun.person,Ellen Hopkins
139,140,noun.location,New York
143,143,noun.person,author
148,148,noun.person,authors
149,149,verb.emotion,want
151,151,verb.perception,hear
162,162,noun.person,fans
164,166,noun.person,Living Dead Girl
167,167,verb.stative,is
169,169,noun.communication,book
173,174,verb.cognition,put down
180,180,verb.cognition,pick
187,187,noun.attribute,beauty
190,190,noun.communication,story
191,191,verb.stative,is
198,198,noun.person,readers
201,201,verb.perception,had
203,203,noun.event,experience
207,207,verb.emotion,feel
214,215,noun.person,Chris Crutcher
217,217,noun.person,author
222,223,noun.person,Sarah Byrnes
229,229,noun.communication,story
233,233,noun.person,girl
236,236,verb.stative,be
241,241,verb.social,save
244,244,noun.person,captor
253,253,verb.emotion,want
255,255,verb.contact,claw
257,257,noun.communication,pages
260,260,noun.communication,book
262,262,verb.contact,shred
267,268,noun.person,Lisa McMann
270,271,noun.location,New York
274,274,noun.person,author
291,292,noun.group,QUICK PICK
299,302,noun.person,IRA YOUNG ADULT CHOICE
322,322,verb.possession,♦
368,369,noun.person,ELIZABETH SCOTT
378,378,noun.person,girl
379,384,noun.group,ELIZABETH SCOTT Simon Pulse NEW YORK
386,386,noun.location,LONDON
388,388,noun.location,TORONTO
390,390,noun.location,SYDNEY
392,392,noun.communication,book
393,393,verb.stative,is
395,395,noun.artifact,work
397,397,noun.communication,fiction
400,400,noun.communication,references
403,403,noun.event,events
406,406,noun.group,people
410,410,noun.location,locales
412,412,verb.consumption,used
416,416,noun.communication,names
418,418,noun.cognition,characters
420,420,noun.location,places
423,423,noun.event,incidents
424,424,verb.stative,are
426,426,noun.artifact,product
429,429,noun.person,author
431,431,noun.cognition,imagination
435,435,noun.attribute,resemblance
