COREF,start_token,end_token,prop,cat,text
190,3,4,PROP,PER,Ellen Hopkins
1,8,15,PROP,FAC,Glass Identical Fallout Perfect Tilt Smoke Rumble Traffick
446,17,17,PRON,PER,You
0,18,18,PRON,PER,I
190,26,31,PROP,PER,Ellen Hopkins Margaret K. McElderry Books
2,32,33,PROP,GPE,NEW YORK
3,34,34,PROP,GPE,LONDON
4,34,42,PROP,GPE,LONDON TORONTO SYDNEY NEW DELHI MARGARET K. McELDERRY BOOKS
5,35,35,PROP,GPE,TORONTO
6,36,36,PROP,GPE,SYDNEY
7,38,38,PROP,GPE,DELHI
8,41,42,PROP,FAC,McELDERRY BOOKS
9,56,57,PROP,LOC,the Americas
2,59,60,PROP,GPE,New York
2,62,63,PROP,GPE,New York
447,79,80,NOM,PER,real people
448,101,102,NOM,PER,the author
190,130,131,PROP,PER,Ellen Hopkins
191,137,139,PROP,PER,Sammy Yuen Jr.
8,160,161,PROP,FAC,McELDERRY BOOKS
449,166,168,NOM,ORG,Simon & Schuster
450,198,203,NOM,FAC,The Simon & Schuster Speakers Bureau
451,206,206,NOM,PER,authors
452,208,208,PRON,PER,your
10,222,227,PROP,FAC,the Simon & Schuster Speakers Bureau
453,238,238,PRON,PER,our
190,247,249,PROP,PER,Margaret K. McElderry
192,256,258,PROP,PER,Emma D. Dryden
191,262,264,PROP,PER,Sammy Yuen Jr.
11,280,283,PROP,GPE,the United States of
12,284,284,PROP,GPE,America
13,297,300,PROP,ORG,The Library of Congress
190,309,309,PROP,PER,Hopkins
190,311,311,PROP,PER,Ellen
190,315,316,PROP,PER,Ellen Hopkins
454,323,325,NOM,PER,Five troubled teenagers
454,330,330,PRON,PER,they
455,355,355,PRON,PER,he
456,425,476,NOM,PER,"the fine members of law enforcement , social work , and the judiciary who truly care about young people forced to walk the streets in search of simple sustenance . With a major nod to Randy Sutton of the Las Vegas P.D. , Judge William Voy , and Children of the Night"
457,429,433,NOM,ORG,"law enforcement , social work"
458,436,453,NOM,PER,the judiciary who truly care about young people forced to walk the streets in search of simple sustenance
459,442,443,NOM,PER,young people
460,447,448,NOM,FAC,the streets
14,463,466,PROP,FAC,the Las Vegas P.D.
193,468,470,PROP,PER,Judge William Voy
461,473,476,NOM,PER,Children of the Night
462,484,486,NOM,PER,three amazing friends
463,488,518,PROP,PER,"exceptional writers Susan Hart Lindquist , Jim Averbeck , and Suzanne Morgan Williams , who push me to reach ever deeper for the very best stories I ’m capable of writing"
194,490,492,PROP,PER,Susan Hart Lindquist
194,494,495,PROP,PER,Jim Averbeck
194,498,500,PROP,PER,Suzanne Morgan Williams
0,504,504,PRON,PER,me
0,514,514,PRON,PER,I
463,526,526,PRON,PER,them
0,529,529,PRON,PER,my
463,534,534,PRON,PER,they
195,546,550,PROP,PER,Eden Streit Eyes Tell Stories
463,553,553,PRON,PER,they
463,561,561,PRON,PER,they
464,566,566,PRON,PER,His
0,576,576,PRON,PER,me
0,586,586,PRON,PER,I
464,589,589,PRON,PER,his
0,599,599,PRON,PER,I
464,621,621,PRON,PER,His
0,634,634,PRON,PER,I
464,638,638,PRON,PER,he
195,642,642,PROP,GPE,Eden
465,643,644,NOM,PER,Some People
466,653,653,PRON,PER,You
466,660,660,PRON,PER,your
466,673,673,PRON,PER,your
465,702,703,NOM,PER,Some people
468,718,723,NOM,PER,"two people , rocked by destiny"
469,732,733,NOM,PER,someone else
463,736,736,PRON,PER,themselves
470,751,752,NOM,LOC,this world
0,759,759,PRON,PER,me
196,763,763,PROP,PER,God
0,766,766,PRON,PER,me
0,768,768,PRON,PER,I
471,777,779,NOM,PER,the wrong person
197,788,788,PROP,PER,Andrew
197,807,807,PRON,PER,he
197,818,818,PRON,PER,his
197,830,830,PRON,PER,he
197,835,835,PRON,PER,He
472,838,839,NOM,PER,a hunk
0,850,850,PRON,PER,me
197,852,852,PRON,PER,his
0,869,869,PRON,PER,me
473,873,873,PRON,PER,they
0,875,875,PRON,PER,me
0,883,883,PRON,PER,I
0,898,898,PRON,PER,I
197,905,905,PROP,PER,Andrew
197,909,909,PRON,PER,he
0,917,917,PRON,PER,me
196,925,925,PROP,PER,God
197,935,935,PRON,PER,he
0,940,940,PRON,PER,my
474,940,941,NOM,PER,my parents
0,946,946,PRON,PER,My
475,946,947,NOM,PER,My Papa
198,947,947,PROP,PER,Papa
476,949,960,NOM,PER,a hellfire - and - brimstone - preaching Assembly of God minister
199,963,963,PROP,PER,Mama
198,965,965,PRON,PER,his
477,965,982,PROP,PER,his not - nearly - as - sweet - as - she - seems right - hand woman
199,976,976,PRON,PER,she
478,979,982,NOM,PER,right - hand woman
196,986,987,PROP,PER,almighty God
474,989,989,PRON,PER,their
479,989,990,NOM,PER,their daughters
0,994,994,PRON,PER,me
195,996,996,PROP,PER,Eden
0,999,999,PRON,PER,my
480,999,1001,NOM,PER,my little sister
200,1003,1003,PROP,PER,Eve
200,1019,1019,PROP,PER,Eve
0,1021,1021,PRON,PER,I
474,1032,1032,PRON,PER,them
481,1034,1034,PRON,PER,we
481,1042,1042,PRON,PER,we
482,1045,1046,NOM,ORG,public school
199,1048,1048,PROP,PER,Mama
0,1071,1071,PRON,PER,my
483,1071,1072,NOM,PER,my father
484,1074,1074,NOM,PER,mother
474,1082,1082,PRON,PER,their
479,1082,1083,NOM,PER,their daughters
198,1095,1095,PROP,PER,Papa
481,1097,1097,PRON,PER,Our
486,1097,1098,NOM,PER,Our daughters
487,1101,1101,NOM,PER,husbands
486,1103,1103,PRON,PER,their
199,1106,1106,PROP,PER,Mama
481,1108,1108,PRON,PER,Our
486,1108,1109,NOM,PER,Our daughters
486,1114,1114,PRON,PER,they
489,1121,1121,PRON,PER,You
0,1123,1123,PRON,PER,My
0,1125,1125,PRON,PER,I
0,1134,1134,PRON,PER,I
490,1139,1139,PRON,PER,them
0,1141,1141,PRON,PER,I
491,1149,1168,NOM,PER,"a guy who is n’t born - again , and even worse , does n’t believe he needs to be"
491,1165,1165,PRON,PER,he
197,1170,1170,PROP,PER,Andrew
492,1182,1182,NOM,PER,followers
197,1184,1184,PRON,PER,he
0,1186,1186,PRON,PER,me
492,1189,1189,NOM,PER,Followers
494,1191,1191,NOM,PER,puppets
0,1194,1194,PRON,PER,my
197,1198,1198,PRON,PER,he
0,1207,1207,PRON,PER,I
495,1211,1220,NOM,PER,some money - grubbing preacher defining my relationship with God
0,1217,1217,PRON,PER,my
196,1220,1220,PROP,PER,God
0,1226,1226,PRON,PER,I
197,1233,1233,PROP,PER,Andrew
0,1236,1236,PRON,PER,I
0,1246,1246,PRON,PER,your
2796,1249,1249,PRON,PER,our
2797,1249,1251,NOM,PER,our Heavenly Father
197,1254,1254,PRON,PER,He
0,1257,1257,PRON,PER,my
0,1265,1265,PRON,PER,I
196,1269,1269,PROP,PER,God
496,1271,1272,NOM,PER,a guy
497,1274,1279,NOM,PER,Some Old Testament - writing fart
197,1285,1285,PRON,PER,his
498,1285,1287,NOM,PER,his old lady
197,1292,1292,PRON,PER,He
196,1300,1300,PROP,PER,God
499,1302,1303,NOM,PER,a pecker
197,1309,1309,PRON,PER,he
0,1315,1315,PRON,PER,my
0,1337,1337,PRON,PER,I
196,1340,1340,PROP,PER,God
500,1350,1350,NOM,PER,anyone
0,1353,1353,PRON,PER,me
0,1360,1360,PRON,PER,I
197,1362,1362,PRON,PER,His
501,1378,1379,NOM,LOC,thirsty fields
502,1383,1385,NOM,PER,a newborn lamb
502,1387,1387,PRON,PER,his
503,1387,1388,NOM,PER,his mama
0,1393,1393,PRON,PER,I
196,1395,1395,PROP,PER,God
504,1402,1402,PRON,PER,you
0,1407,1407,PRON,PER,I
197,1417,1417,PROP,PER,Andrew
505,1424,1424,PRON,PER,We
506,1433,1433,NOM,PER,everyone
197,1449,1449,PROP,PER,Andrew
507,1449,1451,NOM,PER,Andrew ’s sister
201,1453,1453,PROP,PER,Mariah
201,1457,1457,PRON,PER,her
201,1471,1471,PRON,PER,her
508,1471,1472,NOM,PER,her brother
508,1478,1478,PRON,PER,he
197,1484,1484,PRON,PER,he
0,1486,1486,PRON,PER,me
197,1503,1503,PRON,PER,He
0,1510,1510,PRON,PER,me
197,1515,1515,PRON,PER,he
0,1522,1522,PRON,PER,I
197,1526,1526,PRON,PER,him
0,1532,1532,PRON,PER,I
0,1537,1537,PRON,PER,my
0,1541,1541,PRON,PER,my
197,1544,1544,PROP,PER,Andrew
509,1546,1556,NOM,PER,the best - looking guy to ever sit next to me
0,1556,1556,PRON,PER,me
0,1564,1564,PRON,PER,me
0,1569,1569,PRON,PER,I
510,1573,1573,PRON,PER,they
16,1578,1578,PROP,GPE,Idaho
0,1586,1586,PRON,PER,I
197,1588,1588,PRON,PER,he
0,1596,1596,PRON,PER,I
0,1606,1606,PRON,PER,I
2798,1608,1608,NOM,FAC,here
2799,1613,1617,NOM,PER,the short guy up there
0,1620,1620,PRON,PER,I
198,1623,1623,PROP,PER,Papa
511,1627,1631,NOM,PER,the crowd chanting and praying
512,1633,1635,NOM,PER,the visiting evangelist
198,1639,1639,PRON,PER,his
198,1643,1643,PRON,PER,He
2800,1645,1647,NOM,PER,the regular preacher
198,1652,1652,PRON,PER,my
483,1652,1653,NOM,PER,my father
197,1656,1656,PROP,PER,Andrew
197,1661,1661,PRON,PER,He
198,1667,1667,PROP,PER,Papa
0,1669,1669,PRON,PER,me
0,1671,1671,PRON,PER,You
197,1677,1677,PRON,PER,His
0,1680,1680,PRON,PER,me
0,1690,1690,PRON,PER,you
197,1695,1695,PRON,PER,He
0,1697,1697,PRON,PER,me
197,1712,1712,PRON,PER,He
197,1714,1714,PRON,PER,his
0,1717,1717,PRON,PER,I
197,1721,1721,PRON,PER,him
197,1729,1729,PRON,PER,his
0,1742,1742,PRON,PER,I
197,1745,1745,PRON,PER,he
0,1751,1751,PRON,PER,I
0,1753,1753,PRON,PER,my
0,1765,1765,PRON,PER,I
197,1769,1769,PRON,PER,you
513,1774,1774,PRON,PER,It
0,1780,1780,PRON,PER,me
0,1788,1788,PRON,PER,I
0,1800,1800,PRON,PER,I
0,1813,1813,PRON,PER,my
483,1813,1814,NOM,PER,my father
515,1813,1816,NOM,PER,my father ’s flock
0,1818,1818,PRON,PER,I
516,1823,1823,PRON,PER,you
517,1831,1832,NOM,PER,the Lord
516,1834,1834,PRON,PER,you
516,1838,1838,PRON,PER,your
518,1838,1839,NOM,PER,your husband
516,1843,1843,PRON,PER,your
519,1843,1848,NOM,PER,your best friend / business partner
0,1852,1852,PRON,PER,I
520,1856,1857,NOM,PER,a cynic
521,1870,1875,NOM,PER,a guy who on the surface
0,1880,1880,PRON,PER,me
522,1885,1885,PRON,PER,we
522,1890,1890,PRON,PER,we
523,1894,1895,NOM,PER,each other
465,1897,1898,NOM,PER,Some people
516,1914,1914,PRON,PER,You
197,1930,1930,PROP,PER,Andrew
525,1932,1934,NOM,PER,the poser type
0,1942,1942,PRON,PER,I
197,1946,1946,PRON,PER,he
517,1951,1952,NOM,PER,the Lord
197,1954,1954,PRON,PER,his
0,1958,1958,PRON,PER,my
483,1958,1959,NOM,PER,my father
522,1966,1966,PRON,PER,we
197,1987,1987,PROP,PER,Andrew
528,1989,1996,NOM,PER,the most honest person I ’ve ever met
0,1993,1993,PRON,PER,I
516,2005,2005,PRON,PER,you
522,2022,2022,PRON,PER,We
506,2031,2031,NOM,PER,everyone
530,2043,2044,NOM,FAC,the church
0,2046,2046,PRON,PER,I
0,2059,2059,PRON,PER,I
516,2062,2062,PRON,PER,You
0,2074,2074,PRON,PER,I
202,2082,2083,PROP,PER,Brother Bradley
197,2089,2089,PROP,PER,Andrew
0,2096,2096,PRON,PER,you
0,2105,2105,PRON,PER,I
2802,2114,2118,NOM,PER,the ‘ pastor ’s daughter
2803,2116,2116,NOM,PER,pastor
2804,2127,2127,PRON,PER,them
2804,2133,2133,PRON,PER,they
516,2137,2137,PRON,PER,you
0,2152,2152,PRON,PER,I
0,2167,2167,PRON,PER,I
531,2170,2172,NOM,PER,this perfect stranger
197,2179,2179,PROP,PER,Andrew
197,2182,2182,PRON,PER,his
0,2189,2189,PRON,PER,my
197,2195,2195,PRON,PER,he
197,2207,2207,PRON,PER,He
0,2213,2213,PRON,PER,me
0,2215,2215,PRON,PER,I
197,2226,2226,PRON,PER,his
197,2230,2230,PRON,PER,You
197,2238,2238,PRON,PER,you
197,2245,2245,PRON,PER,His
0,2255,2255,PRON,PER,I
0,2268,2268,PRON,PER,I
532,2270,2270,PRON,PER,we
533,2274,2274,NOM,PER,one
0,2284,2284,PRON,PER,I
0,2289,2289,PRON,PER,I
534,2292,2292,NOM,PER,guys
0,2302,2302,PRON,PER,I
534,2310,2310,PRON,PER,they
535,2321,2321,NOM,PER,none
536,2331,2343,NOM,PER,most of the guys here at Boise High know who my father is
537,2333,2338,NOM,PER,the guys here at Boise High
17,2337,2338,PROP,FAC,Boise High
0,2341,2341,PRON,PER,my
483,2341,2342,NOM,PER,my father
197,2346,2346,PROP,PER,Andrew
18,2349,2350,PROP,FAC,Borah High
539,2354,2354,NOM,GPE,town
197,2357,2357,PRON,PER,he
197,2362,2362,PRON,PER,He
540,2364,2375,NOM,PER,"a freshman at Boise State , where his mom teaches feminist theory"
19,2367,2368,PROP,GPE,Boise State
197,2371,2371,PRON,PER,his
541,2371,2372,NOM,PER,his mom
541,2379,2379,PRON,PER,she
197,2381,2381,PRON,PER,his
542,2381,2383,NOM,PER,his rancher dad
543,2385,2387,NOM,PER,an odd couple
197,2396,2396,PRON,PER,his
197,2404,2404,PRON,PER,him
544,2411,2411,PRON,PER,we
544,2415,2415,PRON,PER,our
16,2420,2420,PROP,GPE,Idaho
0,2429,2429,PRON,PER,my
474,2429,2430,NOM,PER,my parents
197,2438,2438,PRON,PER,him
0,2448,2448,PRON,PER,my
197,2458,2458,PROP,PER,Andrew
0,2465,2465,PRON,PER,me
197,2471,2471,PRON,PER,him
546,2474,2474,NOM,FAC,church
201,2476,2476,PROP,PER,Mariah
544,2480,2480,PRON,PER,us
198,2484,2484,PROP,PER,Papa
547,2505,2510,NOM,LOC,the thick stand of riverside trees
544,2521,2521,PRON,PER,we
544,2525,2525,PRON,PER,we
544,2538,2538,PRON,PER,We
544,2543,2543,PRON,PER,we
544,2548,2548,PRON,PER,our
197,2558,2558,PROP,PER,Andrew
197,2561,2561,PRON,PER,He
0,2563,2563,PRON,PER,me
197,2565,2565,PRON,PER,his
197,2569,2569,PRON,PER,his
0,2572,2572,PRON,PER,my
197,2581,2581,PRON,PER,he
0,2584,2584,PRON,PER,My
197,2588,2588,PRON,PER,He
0,2592,2592,PRON,PER,me
0,2596,2596,PRON,PER,me
0,2600,2600,PRON,PER,I
197,2605,2605,PRON,PER,His
0,2608,2608,PRON,PER,my
0,2614,2614,PRON,PER,my
0,2619,2619,PRON,PER,I
0,2622,2622,PRON,PER,I
0,2624,2624,PRON,PER,you
0,2626,2626,PRON,PER,I
0,2636,2636,PRON,PER,I
0,2643,2643,PRON,PER,I
0,2648,2648,PRON,PER,my
0,2655,2655,PRON,PER,I
0,2659,2659,PRON,PER,you
0,2669,2669,PRON,PER,I
0,2671,2671,PRON,PER,my
197,2686,2686,PROP,PER,Andrew
0,2692,2692,PRON,PER,mine
548,2701,2701,PRON,PER,you
549,2731,2731,PRON,PER,our
197,2734,2734,PROP,PER,Andrew
0,2736,2736,PRON,PER,me
197,2739,2739,PRON,PER,his
0,2744,2744,PRON,PER,me
0,2753,2753,PRON,PER,mine
0,2755,2755,PRON,PER,I
197,2767,2767,PROP,PER,Andrew
549,2771,2771,PRON,PER,we
0,2775,2775,PRON,PER,I
0,2777,2777,PRON,PER,my
0,2784,2784,PRON,PER,I
197,2789,2789,PRON,PER,him
0,2797,2797,PRON,PER,I
0,2805,2805,PRON,PER,I
197,2813,2813,PRON,PER,him
0,2816,2816,PRON,PER,I
197,2818,2818,PRON,PER,him
0,2821,2821,PRON,PER,I
0,2828,2828,PRON,PER,I
506,2835,2835,NOM,PER,everyone
20,2837,2837,PROP,GPE,Boise
16,2839,2839,PROP,GPE,Idaho
200,2854,2854,PROP,PER,Eve
200,2856,2856,PRON,PER,She
200,2865,2865,PRON,PER,she
200,2872,2872,PRON,PER,she
20,2881,2881,PROP,GPE,Boise
0,2884,2884,PRON,PER,I
551,2888,2889,NOM,PER,a junior
0,2898,2898,PRON,PER,I
0,2905,2905,PRON,PER,I
0,2911,2911,PRON,PER,I
197,2922,2922,PROP,PER,Andrew
0,2924,2924,PRON,PER,I
0,2936,2936,PRON,PER,I
0,2943,2943,PRON,PER,I
0,2951,2951,PRON,PER,I
552,2957,2958,NOM,FAC,study hall
197,2969,2969,PRON,PER,his
553,2972,2973,NOM,FAC,the street
197,2980,2980,PRON,PER,He
0,2982,2982,PRON,PER,me
0,2989,2989,PRON,PER,I
197,2992,2992,PRON,PER,his
554,3000,3003,NOM,PER,No one I know
0,3002,3002,PRON,PER,I
555,3013,3013,NOM,VEH,cars
0,3015,3015,PRON,PER,I
197,3047,3047,PROP,PER,Andrew
0,3049,3049,PRON,PER,I
197,3053,3053,PRON,PER,him
0,3066,3066,PRON,PER,my
0,3069,3069,PRON,PER,I
556,3078,3078,PRON,PER,we
0,3091,3091,PRON,PER,my
196,3101,3101,PROP,PER,God
556,3109,3109,PRON,PER,us
0,3111,3111,PRON,PER,I
196,3114,3114,PROP,PER,God
0,3126,3126,PRON,PER,my
557,3136,3136,PRON,PER,you
203,3151,3152,PROP,PER,Seth Parnell
558,3155,3156,NOM,PER,a child
0,3158,3158,PRON,PER,I
0,3169,3169,PRON,PER,I
0,3172,3172,PRON,PER,myself
0,3188,3188,PRON,PER,my
0,3195,3195,PRON,PER,my
0,3200,3200,PRON,PER,My
0,3213,3213,PRON,PER,I
0,3230,3230,PRON,PER,my
559,3230,3231,NOM,PER,my family
0,3236,3236,PRON,PER,I
560,3245,3246,NOM,FAC,the closet
203,3260,3260,PROP,PER,Seth
0,3265,3265,PRON,PER,I
0,3269,3269,PRON,PER,I
0,3273,3273,PRON,PER,I
0,3277,3277,PRON,PER,I
0,3279,3279,PRON,PER,I
0,3284,3284,PRON,PER,I
0,3288,3288,PRON,PER,I
561,3290,3308,NOM,PER,the little boy who liked art projects and ant farm tending better than riding bikes or playing army rangers
562,3298,3299,NOM,FAC,ant farm
563,3307,3308,NOM,PER,army rangers
564,3315,3322,NOM,PER,a long line of farmers and factory workers
565,3319,3319,NOM,PER,farmers
566,3321,3322,NOM,PER,factory workers
204,3324,3324,PROP,PER,Dad
204,3329,3329,PRON,PER,his
567,3329,3331,NOM,PER,his only son
0,3339,3339,PRON,PER,My
568,3345,3348,NOM,FAC,a New Agey university
21,3350,3350,PROP,GPE,Berkeley
22,3359,3360,PROP,GPE,San Francisco
205,3371,3372,PROP,PER,Mom Gone
205,3373,3373,PRON,PER,She
569,3375,3381,NOM,PER,the one who supported my escape plan
0,3379,3379,PRON,PER,my
570,3383,3383,PRON,PER,You
570,3386,3386,PRON,PER,your
205,3389,3389,PRON,PER,she
571,3396,3396,PRON,PER,us
0,3414,3414,PRON,PER,my
572,3414,3415,NOM,PER,my mom
572,3426,3426,PRON,PER,she
0,3434,3434,PRON,PER,me
572,3436,3436,PRON,PER,She
0,3438,3438,PRON,PER,me
572,3444,3444,PRON,PER,her
0,3448,3448,PRON,PER,me
572,3455,3455,PRON,PER,her
572,3465,3465,PRON,PER,she
206,3468,3468,PROP,PER,Catholic
572,3470,3470,PRON,PER,her
573,3477,3477,NOM,PER,babies
0,3484,3484,PRON,PER,I
572,3490,3490,PRON,PER,she
0,3493,3493,PRON,PER,my
574,3493,3494,NOM,PER,my cousin
207,3495,3495,PROP,PER,Liz
207,3499,3499,PRON,PER,She
207,3504,3504,PRON,PER,her
575,3504,3505,NOM,PER,her boyfriend
575,3507,3507,PRON,PER,his
539,3511,3511,NOM,GPE,town
577,3517,3521,NOM,FAC,an army base in Georgia
23,3521,3521,PROP,GPE,Georgia
205,3523,3523,PROP,PER,Mom
208,3529,3530,PROP,PER,Aunt Josie
578,3541,3541,PRON,PER,our
579,3541,3544,NOM,PER,our pretty little Liz
207,3544,3544,PROP,PER,Liz
580,3551,3552,NOM,PER,a whore
0,3554,3554,PRON,PER,I
572,3562,3562,PRON,PER,her
572,3565,3565,PRON,PER,She
207,3578,3578,PRON,PER,her
580,3579,3580,NOM,PER,a whore
196,3582,3582,PROP,PER,God
0,3587,3587,PRON,PER,I
205,3594,3594,PROP,PER,Mom
205,3598,3598,PRON,PER,she
0,3609,3609,PRON,PER,I
205,3612,3612,PRON,PER,her
0,3615,3615,PRON,PER,me
205,3626,3626,PROP,PER,Mom
24,3628,3628,PROP,GPE,Indiana
582,3628,3635,NOM,PER,Indiana ’s holier - than - thou conservatives
583,3644,3647,NOM,PER,those freaks in Kansas
25,3647,3647,PROP,GPE,Kansas
584,3654,3655,NOM,PER,dead soldiers
583,3660,3660,PRON,PER,their
196,3663,3663,PROP,PER,God
196,3684,3684,PROP,PER,God
585,3689,3689,NOM,PER,someone
196,3695,3695,PRON,PER,he
585,3697,3697,PRON,PER,them
586,3713,3715,NOM,PER,a native Indianan
587,3717,3721,NOM,FAC,These cornfields and gravel roads
588,3720,3721,NOM,FAC,gravel roads
589,3726,3728,NOM,PER,someone like me
0,3728,3728,PRON,PER,me
590,3732,3738,NOM,PER,every guy I ever knew growing up
0,3734,3734,PRON,PER,I
591,3740,3756,NOM,PER,"a total jock , with no plans for the future but farming or assembly - line work"
592,3767,3767,NOM,FAC,school
593,3775,3777,NOM,FAC,that frigging closet
0,3779,3779,PRON,PER,I
204,3784,3784,PROP,PER,Dad
0,3787,3787,PRON,PER,I
204,3800,3800,PRON,PER,his
196,3809,3809,PROP,PER,God
209,3811,3811,PROP,PER,Adam
200,3813,3813,PROP,PER,Eve
209,3816,3816,PROP,PER,Adam
210,3818,3818,PROP,PER,Steve
594,3821,3826,NOM,PER,no damn bleeding - heart liberal
0,3830,3830,PRON,PER,me
595,3836,3840,NOM,PER,this bleeding - heart liberal
204,3845,3845,PROP,PER,Dad
0,3852,3852,PRON,PER,I
0,3862,3862,PRON,PER,I
596,3870,3874,NOM,PER,the biggest part of me
0,3874,3874,PRON,PER,me
0,3878,3878,PRON,PER,I
204,3885,3885,PRON,PER,he
0,3889,3889,PRON,PER,I
204,3891,3891,PRON,PER,him
597,3892,3894,NOM,PER,the first person
0,3898,3898,PRON,PER,I
598,3901,3902,NOM,PER,a priest
211,3904,3905,PROP,PER,Father Howard
0,3914,3914,PRON,PER,I
204,3920,3920,PROP,PER,Dad
204,3926,3926,PRON,PER,he
205,3931,3931,PROP,PER,Mom
0,3933,3933,PRON,PER,I
0,3939,3939,PRON,PER,I
0,3941,3941,PRON,PER,my
599,3941,3942,NOM,PER,my dad
0,3949,3949,PRON,PER,I
0,3955,3955,PRON,PER,I
0,3961,3961,PRON,PER,I
203,3965,3965,PROP,PER,Seth
600,3984,3984,PRON,PER,we
600,4010,4010,PRON,PER,our
0,4026,4026,PRON,PER,me
212,4037,4040,PROP,PER,The big John Deere
0,4057,4057,PRON,PER,I
601,4097,4098,NOM,PER,One human
0,4146,4146,PRON,PER,me
0,4158,4158,PRON,PER,I
0,4160,4160,PRON,PER,I
0,4169,4169,PRON,PER,me
602,4171,4172,NOM,FAC,the freeway
26,4174,4174,PROP,GPE,Louisville
603,4184,4184,NOM,FAC,home
0,4189,4189,PRON,PER,me
604,4195,4196,NOM,PER,a stranger
0,4203,4203,PRON,PER,I
213,4208,4208,PROP,PER,Butthen
0,4209,4209,PRON,PER,I
0,4219,4219,PRON,PER,I
605,4222,4222,NOM,PER,Girls
0,4229,4229,PRON,PER,myself
534,4233,4233,NOM,PER,guys
0,4234,4234,PRON,PER,I
214,4244,4244,PROP,PER,Satan
0,4247,4247,PRON,PER,me
0,4255,4255,PRON,PER,I
607,4260,4261,NOM,PER,a female
215,4263,4264,PROP,PER,Janet Winkler
215,4294,4294,PROP,PER,Janet
0,4314,4314,PRON,PER,I
608,4325,4329,NOM,PER,every other guy my age
0,4328,4328,PRON,PER,my
215,4339,4339,PROP,PER,Janet
0,4342,4342,PRON,PER,I
0,4344,4344,PRON,PER,I
0,4351,4351,PRON,PER,me
215,4365,4365,PRON,PER,her
609,4365,4369,NOM,PER,her Neanderthal jock big brother
0,4371,4371,PRON,PER,me
216,4379,4380,PROP,PER,Leon Winkler
216,4400,4400,PRON,PER,he
