start_token,end_token,supersense_category,text
3,4,noun.person,Ellen Hopkins
7,11,noun.group,Impulse Glass Identical Fallout Perfect
25,25,noun.act,tricks
32,33,noun.location,NEW YORK
34,36,noun.location,LONDON TORONTO SYDNEY
37,40,noun.location,NEW DELHI MARGARET K.
44,44,noun.cognition,imprint
54,57,noun.location,Avenue of the Americas
59,60,noun.location,New York
62,63,noun.location,New York
66,66,noun.communication,book
67,67,verb.stative,is
69,69,noun.artifact,work
71,71,noun.communication,fiction
74,74,noun.communication,references
77,77,noun.event,events
80,80,noun.group,people
84,84,noun.location,places
86,86,verb.consumption,used
90,90,noun.communication,names
92,92,noun.cognition,characters
94,94,noun.location,places
97,97,noun.event,events
98,98,verb.stative,are
99,99,noun.artifact,products
102,102,noun.person,author
104,104,noun.cognition,imagination
108,108,noun.attribute,resemblance
111,111,noun.event,events
113,113,noun.state,places
115,115,noun.person,persons
121,121,verb.stative,is
125,125,noun.communication,Text
126,126,noun.communication,copyright
130,131,noun.person,Ellen Hopkins
132,132,noun.communication,Cover
133,133,noun.act,design
135,135,noun.communication,illustration
137,138,noun.person,Sammy Yuen
141,141,noun.attribute,rights
144,144,verb.stative,including
146,146,noun.attribute,right
148,148,noun.communication,reproduction
156,156,noun.cognition,form
162,162,verb.stative,is
164,164,noun.communication,trademark
166,168,noun.group,Simon & Schuster
172,172,noun.communication,information
175,175,noun.communication,discounts
177,178,noun.possession,bulk purchases
181,181,verb.communication,contact
182,182,noun.person,Simon
196,196,noun.communication,business@simonandschuster.com
199,203,noun.group,Simon & Schuster Speakers Bureau
205,205,verb.motion,bring
206,206,noun.person,authors
210,210,noun.event,event
214,214,noun.communication,information
217,217,verb.creation,book
219,219,noun.event,event
221,221,verb.communication,contact
223,227,noun.person,Simon & Schuster Speakers Bureau
237,237,verb.communication,visit
239,239,noun.communication,website
252,252,noun.communication,edition
253,253,noun.communication,Book
254,254,verb.creation,edited
256,259,noun.person,Emma D. Dryden Book
260,260,verb.creation,design
262,264,noun.person,Sammy Yuen Jr.
266,266,noun.communication,text
269,269,noun.communication,book
271,271,verb.creation,set
278,278,verb.creation,Manufactured
281,284,noun.location,United States of America
286,289,noun.group,Margaret K. McElderry Books
290,290,noun.communication,paperback
291,291,noun.communication,edition
292,292,noun.time,January
297,300,noun.group,The Library of Congress
302,302,verb.communication,cataloged
304,304,noun.communication,hardcover
305,305,noun.communication,edition
309,309,noun.person,Hopkins
311,311,noun.person,Ellen
313,316,noun.person,Tricks I Ellen Hopkins
321,321,noun.communication,Summary
325,325,noun.person,teenagers
326,326,verb.social,fall
328,328,noun.act,prostitution
331,331,verb.possession,search
333,333,noun.state,freedom
335,335,noun.state,safety
337,337,noun.group,community
339,339,noun.group,family
342,342,noun.feeling,love
373,373,noun.communication,Novels
375,375,noun.communication,verse
379,379,noun.group,Family
380,380,noun.state,problems
382,382,noun.communication,Fiction
387,387,noun.state,problems
389,389,noun.communication,Fiction
393,393,noun.act,Prostitution
395,395,noun.communication,Fiction
417,417,noun.act,trade
421,421,noun.communication,book
423,423,verb.communication,dedicated
427,427,noun.person,members
429,430,noun.group,law enforcement
432,433,noun.group,social work
437,437,noun.group,judiciary
440,440,verb.emotion,care
442,443,noun.person,young people
444,444,verb.communication,forced
446,446,verb.motion,walk
448,448,noun.artifact,streets
450,450,noun.act,search
453,453,noun.state,sustenance
458,458,noun.communication,nod
460,461,noun.person,Randy Sutton
464,466,noun.location,Las Vegas P.D.
468,470,noun.person,Judge William Voy
476,476,noun.time,Night
479,479,noun.communication,thanks
482,483,verb.stative,go to
486,486,noun.person,friends
489,489,noun.person,writers
490,492,noun.person,Susan Hart Lindquist
494,495,noun.person,Jim Averbeck
498,500,noun.person,Suzanne Morgan Williams
503,503,verb.communication,push
506,506,verb.communication,reach
513,513,noun.communication,stories
515,515,verb.stative,’m
518,518,verb.creation,writing
521,521,noun.communication,book
522,522,verb.stative,is
530,530,noun.state,life
531,531,verb.stative,is
535,535,verb.stative,are
539,539,noun.person,tricks
542,542,noun.communication,BOOK
544,544,noun.communication,Poem
546,548,noun.person,Eden Streit Eyes
554,554,verb.cognition,know
557,557,verb.creation,craft
558,558,noun.communication,fiction
562,562,verb.cognition,know
565,565,verb.motion,spin
567,567,noun.body,eyes
568,568,verb.communication,swear
573,573,noun.communication,vows
582,582,noun.communication,lies
584,584,noun.communication,promises
587,587,verb.perception,stare
590,590,noun.body,eyes
595,595,noun.substance,crystal
596,596,noun.artifact,ball
602,602,verb.perception,find
605,605,noun.communication,movies
607,607,noun.time,yesterday
610,610,noun.communication,sketchbook
612,612,noun.time,today
614,614,noun.cognition,dreams
619,619,noun.time,tomorrow
622,622,noun.body,eyes
623,623,verb.communication,whisper
624,624,noun.communication,secrets
627,627,verb.stative,are
629,629,noun.communication,truths
631,632,noun.communication,fairy tales
635,635,verb.communication,wonder
639,639,verb.cognition,knows
642,642,noun.location,Eden
646,646,verb.possession,find
649,649,noun.cognition,kind
651,651,noun.feeling,love
654,654,verb.cognition,know
657,657,noun.cognition,kind
659,659,verb.contact,steals
661,661,noun.substance,breath
665,665,verb.motion,diving
667,667,noun.food,snowmelt
670,670,noun.cognition,kind
672,672,verb.emotion,jolts
674,674,noun.cognition,heart
676,676,verb.change,sets
678,678,verb.motion,beating
683,683,noun.event,hiccuping
685,685,noun.animal,hummingbird
686,686,noun.animal,wings
689,689,noun.cognition,kind
691,691,verb.change,makes
694,694,noun.time,minute
696,696,verb.stative,feel
698,698,noun.time,hours
700,700,noun.time,Days
703,703,noun.group,people
704,704,verb.motion,flit
707,707,noun.cognition,possibility
713,713,verb.perception,experiencing
716,716,noun.state,connection
719,719,noun.group,people
721,721,verb.emotion,rocked
723,723,noun.cognition,destiny
726,726,verb.cognition,knowing
729,729,verb.stative,means
731,731,verb.emotion,love
740,740,noun.cognition,life
745,745,noun.communication,promise
752,752,noun.object,world
758,758,verb.communication,forgive
763,763,noun.person,God
769,769,verb.possession,found
772,772,noun.cognition,kind
774,774,noun.feeling,love
779,779,noun.person,person
782,782,noun.communication,No
788,788,noun.person,Andrew
789,789,verb.stative,is
801,801,noun.person,model
802,802,noun.cognition,kind
804,804,noun.attribute,way
808,808,verb.stative,is
814,814,noun.body,hair
817,817,verb.perception,hides
819,819,noun.body,eyes
823,823,noun.body,eyes
825,825,verb.emotion,hold
826,826,noun.communication,laughter
839,839,noun.person,hunk
849,849,verb.contact,tuck
853,853,noun.body,arms
855,855,noun.body,arms
857,857,verb.stative,are
863,863,noun.artifact,ranch
864,864,noun.act,work
866,866,noun.body,arms
868,868,verb.change,make
870,870,verb.cognition,feel
874,874,verb.contact,gather
882,882,noun.event,time
885,885,verb.emotion,feel
886,886,verb.emotion,wanted
892,892,noun.relation,part
895,895,noun.time,day
896,896,verb.stative,is
899,899,verb.social,manage
901,901,verb.possession,steal
903,903,noun.time,time
905,905,noun.person,Andrew
923,923,noun.body,eyes
925,925,noun.person,God
941,941,noun.person,parents
954,954,noun.substance,brimstone
956,956,noun.communication,preaching
960,960,noun.person,minister
963,963,noun.person,Mama
964,964,verb.stative,is
978,978,verb.perception,seems
982,982,noun.person,woman
987,987,noun.person,God
990,990,noun.person,daughters
996,996,noun.person,Eden
1001,1001,noun.person,sister
1003,1003,noun.person,Eve
1008,1008,noun.attribute,pressure
1013,1013,verb.stative,toe
1015,1015,noun.person,Pentecostal
1016,1016,noun.group,line
1019,1019,noun.person,Eve
1023,1023,verb.communication,pretend
1025,1025,verb.communication,talk
1027,1027,noun.communication,tongues
1031,1031,verb.stative,keep
1033,1033,verb.cognition,believing
1035,1035,verb.stative,’re
1040,1040,noun.communication,fact
1043,1044,verb.stative,go to
1045,1046,noun.group,public school
1048,1048,noun.person,Mama
1053,1053,verb.stative,homeschool
1056,1056,verb.motion,come
1066,1066,noun.time,day
1072,1072,noun.person,father
1074,1074,noun.person,mother
1075,1075,verb.stative,maintain
1077,1077,noun.cognition,expectations
1080,1081,verb.stative,comes to
1083,1083,noun.person,daughters
1091,1091,noun.cognition,plans
1093,1093,noun.feeling,desires
1095,1095,noun.person,Papa
1098,1098,noun.person,daughters
1100,1100,verb.perception,find
1101,1101,noun.person,husbands
1104,1104,noun.cognition,faith
1106,1106,noun.person,Mama
1109,1109,noun.person,daughters
1112,1112,verb.social,date
