start_token,end_token,supersense_category,text
7,9,noun.person,J E EMBER
11,11,verb.stative,is
13,13,noun.artifact,work
15,15,noun.communication,fiction
17,17,noun.communication,Names
19,19,noun.communication,characters
21,21,noun.location,places
24,24,noun.event,incidents
26,26,verb.stative,are
28,28,noun.artifact,product
31,31,noun.person,author
33,33,noun.cognition,imagination
36,36,verb.consumption,used
40,40,noun.attribute,resemblance
43,43,noun.Tops,persons
47,47,noun.state,dead
49,49,noun.event,events
52,52,noun.location,locales
53,53,verb.stative,is
57,57,noun.communication,Text
58,58,noun.communication,copyright
62,63,noun.person,Brian Katcher
64,65,noun.communication,Cover photograph
66,66,noun.communication,copyright
70,71,noun.person,Jolanda Cats
73,74,noun.person,Hans Withoos
80,80,noun.cognition,rights
81,81,verb.possession,reserved
83,83,verb.creation,Published
86,87,noun.location,United States
89,89,noun.person,Ember
92,92,noun.cognition,imprint
94,98,noun.group,Random House Children ’s Books
101,101,noun.cognition,division
103,106,noun.group,"Random House , Inc."
108,109,noun.location,New York
112,112,verb.creation,published
114,114,noun.communication,hardcover
117,118,noun.location,United States
120,121,noun.group,Delacorte Press
124,124,noun.cognition,imprint
126,130,noun.group,Random House Children ’s Books
132,133,noun.location,New York
138,138,noun.person,Ember
141,141,noun.artifact,colophon
142,143,noun.artifact,arc trademarks
145,146,noun.group,Random House
153,153,noun.group,Web
156,156,noun.person,Educators
158,158,noun.person,librarians
162,162,noun.group,variety
164,164,noun.cognition,teaching
165,165,noun.artifact,tools
167,167,verb.social,visit
172,174,noun.group,Library of Congress
176,176,verb.communication,cataloged
178,178,noun.communication,hardcover
179,179,noun.communication,edition
182,182,noun.artifact,work
186,186,noun.person,Katcher
188,188,noun.person,Brian
193,194,noun.person,Brian Katcher
203,203,noun.communication,Summary
207,207,noun.person,mother
208,208,verb.social,working
210,210,noun.time,hours
213,213,noun.state,pain
217,217,noun.event,break
219,219,verb.contact,up
223,223,noun.time,year
226,226,noun.person,Logan
227,227,verb.perception,feels
235,235,noun.person,student
236,236,verb.motion,arrives
241,242,noun.location,town Missouri
243,244,noun.group,high school
246,246,verb.stative,keeping
249,249,noun.communication,secret
260,260,noun.quantity,0
262,262,noun.communication,hardcover
293,293,noun.communication,ebook
305,306,noun.group,High schools
308,308,noun.communication,Fiction
312,312,noun.location,Schools
314,314,noun.communication,Fiction
316,316,noun.quantity,4
318,318,noun.state,Friendship
320,320,noun.communication,Fiction
326,326,noun.communication,Fiction
331,331,noun.group,people
333,333,noun.communication,Fiction
339,339,noun.person,parent
340,340,noun.group,families
342,342,noun.communication,Fiction
346,346,noun.location,Missouri
348,348,noun.communication,Fiction
352,352,noun.communication,Title
383,386,noun.location,United States of America
396,396,verb.stative,supports
398,399,noun.communication,First Amendment
401,401,verb.possession,celebrates
403,404,noun.attribute,right to
405,405,verb.communication,read
409,409,noun.communication,BOOK
411,411,verb.possession,has
414,414,noun.communication,line
416,416,verb.communication,swear
424,424,noun.act,thing
426,426,verb.communication,say
430,430,verb.social,do
439,439,verb.contact,kill
445,445,verb.competition,invade
446,446,noun.location,Russia
449,449,noun.time,winter
464,464,verb.social,cheat
471,472,verb.social,work at
474,474,noun.artifact,job
476,476,verb.emotion,hate
481,482,verb.possession,give up
484,484,noun.cognition,dreams
487,487,verb.communication,draw
489,489,noun.communication,line
494,494,verb.cognition,believe
501,501,verb.stative,’s
506,506,verb.change,break
508,508,noun.communication,promise
510,510,verb.social,make
514,515,noun.person,Sage Hendricks
516,516,verb.stative,was
518,518,noun.communication,line
521,521,noun.communication,CHAPTER
529,529,verb.emotion,loved
530,530,noun.quantity,most
532,532,verb.stative,being
535,535,noun.artifact,track
536,536,noun.group,team
540,540,verb.stative,was
543,543,noun.body,shin
544,544,noun.artifact,splints
548,548,verb.perception,feeling
553,553,verb.consumption,smoked
555,555,noun.quantity,packs
557,557,noun.artifact,cigarettes
561,561,verb.stative,was
564,564,noun.group,stands
567,567,noun.event,meet
571,571,noun.attribute,way
