COREF,start_token,end_token,prop,cat,text
50,2,2,PROP,PER,Ash
50,4,4,PROP,PER,Lo
2388,11,16,NOM,PER,a heroine of steel and heart
51,29,30,PROP,PER,Leigh Bardugo
146,32,44,NOM,PER,bestselling author of the Shadow and Bone trilogy and Six of Crows duology
50,47,47,PROP,PER,Ash
2389,54,56,NOM,FAC,a familiar path
2390,59,59,PRON,PER,yourself
2391,61,65,NOM,LOC,a new and magical place
2392,67,76,NOM,LOC,a part of the forest you ’ve never seen before
2393,70,71,NOM,LOC,the forest
2390,72,72,PRON,PER,you
52,94,95,PROP,PER,Rainbow Rowell
1,99,101,PROP,GPE,New York Times
53,108,108,PRON,PER,I
53,117,117,PRON,PER,I
53,164,164,PRON,PER,I
50,168,168,PRON,PER,her
50,171,171,PRON,PER,her
2394,171,172,NOM,PER,her friend
53,175,175,PRON,PER,I
50,180,180,PRON,PER,she
50,182,182,PRON,PER,her
53,195,196,PROP,PER,Kristin Cashore
147,198,206,NOM,PER,New York Times bestselling author of the Graceling Realm
54,209,209,PROP,PER,Jane
50,217,217,PROP,PER,Ash
55,219,219,PRON,PER,me
55,222,222,PRON,PER,I
55,225,225,PRON,PER,I
55,230,230,PRON,PER,I
55,234,234,PRON,PER,I
55,243,243,PRON,PER,my
55,248,249,PROP,PER,Nina LaCour
148,259,259,PRON,PER,We
2395,275,287,NOM,PER,those seeking a read about the victory of transformation over the darkest grief
56,291,292,PROP,PER,Roshani Chokshi
1,294,296,PROP,GPE,New York Times
149,298,308,NOM,PER,author of The Star - Touched Queen and The Gilded Wolves
50,310,310,PROP,PER,Lo
2396,312,319,NOM,PER,one of the greatest voices in YA fiction
50,324,324,PRON,PER,her
2397,340,340,PRON,PER,your
150,345,354,NOM,ORG,"Kiersten White , New York Times bestselling author of the"
150,345,354,NOM,PER,"Kiersten White , New York Times bestselling author of the"
0,356,356,PRON,PER,I
2398,377,379,NOM,PER,women in love
50,381,381,PROP,PER,Ash
2399,386,388,NOM,PER,girls like me
57,388,388,PRON,PER,me
57,390,390,PRON,PER,I
2400,398,401,NOM,PER,queer women of color
50,406,407,PROP,PER,Malinda Lo
57,411,414,PROP,PER,Anna - Marie McLemore
152,426,426,PRON,PER,Ours
2,428,430,PROP,GPE,Blanca Si Roja
50,441,441,PROP,PER,Ash
2401,448,449,NOM,LOC,the woods
2402,464,464,PRON,PER,you
58,504,505,PROP,PER,Melissa Bashardoust
3,514,514,PROP,GPE,Glass
50,516,516,PROP,PER,Lo
50,525,525,PRON,PER,her
2403,533,564,NOM,PER,a generation of writers who needed to know there is room on shelves for fantasy books in which homophobia does not exist . Ash ’s journey from grief to enchantment to love
50,556,556,PROP,PER,Ash
50,575,575,PRON,PER,her
59,591,592,PROP,PER,Audrey Coulthurst
153,594,599,NOM,PER,author of Of Fire and Stars
50,601,605,PROP,PER,Inkmistress Ash MALINDA LO LITTLE
4,611,611,PROP,GPE,York
154,633,634,NOM,PER,the author
155,651,651,NOM,PER,persons
50,664,665,PROP,PER,Malinda Lo
50,682,683,PROP,PER,Malinda Lo
60,686,686,PROP,PER,Huntress
50,691,691,PROP,GPE,Malinda
61,698,699,PROP,PER,Amina Bech
62,704,705,PROP,PER,Alison Impey
63,707,708,PROP,PER,Karina Granda
6,715,717,PROP,ORG,Hachette Book Group
6,720,722,PROP,ORG,Hachette Book Group
156,742,742,NOM,PER,writers
157,744,744,NOM,PER,artists
158,752,752,PRON,PER,our
154,771,772,NOM,PER,the author
160,778,778,PRON,PER,you
160,801,801,PRON,PER,you
160,803,803,PRON,PER,your
154,806,807,NOM,PER,the author
7,815,823,PROP,FAC,Company Hachette Book Group 1290 Avenue of the Americas
8,822,823,PROP,LOC,the Americas
9,825,826,PROP,GPE,New York
10,828,828,PROP,GPE,NY
158,831,831,PRON,PER,us
6,865,867,PROP,ORG,Hachette Book Group
6,880,882,PROP,ORG,Hachette Book Group
162,885,886,NOM,PER,The publisher
163,894,894,PRON,PER,their
162,902,903,NOM,PER,the publisher
11,905,908,PROP,ORG,The Library of Congress
50,919,919,PROP,GPE,Malinda
50,924,924,PROP,GPE,Malinda
50,941,941,PROP,PER,Ash
165,950,951,NOM,PER,the king
165,953,953,PRON,PER,his
166,953,954,NOM,PER,his philosophers
50,963,963,PRON,PER,she
167,967,982,NOM,PER,"a handsome fairy cursed to love her and the King ’s Huntress , whom she loves"
50,973,973,PRON,PER,her
165,975,976,NOM,PER,the King
50,981,981,PRON,PER,she
169,995,995,PRON,PER,he
170,1037,1037,NOM,PER,Orphans
171,1043,1043,NOM,PER,Lesbians
12,1085,1088,PROP,GPE,the United States of
13,1089,1089,PROP,GPE,America
0,1100,1100,PRON,PER,my
172,1100,1101,NOM,PER,my grandmother
64,1103,1105,PROP,PER,Ruth Earnshaw Lo
65,1116,1118,PROP,PER,HOLLY BLACK Everyone
173,1127,1129,NOM,PER,an evil stepmother
174,1131,1131,NOM,PER,stepsisters
175,1142,1144,NOM,PER,a fairy godmother
176,1158,1159,NOM,PER,a girl
177,1164,1165,NOM,PER,a princess
178,1168,1168,NOM,PER,someone
174,1184,1184,NOM,PER,stepsisters
174,1187,1187,PRON,PER,their
174,1191,1191,PRON,PER,their
180,1191,1192,NOM,PER,their mother
176,1203,1204,NOM,PER,a girl
182,1216,1218,NOM,PER,a rich boy
50,1220,1221,PROP,PER,Malinda Lo
50,1230,1230,PROP,PER,Ash
183,1247,1247,PRON,PER,us
66,1266,1266,PROP,PER,Aisling
66,1274,1274,PRON,PER,her
183,1285,1285,PRON,PER,us
14,1294,1294,PROP,GPE,Faerie
66,1299,1299,PRON,PER,her
184,1299,1301,NOM,PER,her dead mother
66,1305,1305,PRON,PER,her
50,1309,1309,PROP,PER,Ash
50,1312,1312,PRON,PER,her
185,1312,1313,NOM,PER,her mother
14,1318,1318,PROP,GPE,Faerie
50,1323,1323,PRON,PER,her
50,1326,1326,PRON,PER,her
185,1326,1327,NOM,PER,her mother
185,1334,1334,PRON,PER,her
50,1345,1345,PROP,PER,Malinda
187,1351,1351,PRON,PER,you
188,1360,1360,PRON,PER,They
188,1375,1375,PRON,PER,their
189,1379,1380,NOM,PER,a blacksmith
190,1384,1385,NOM,PER,The riders
50,1392,1392,PRON,PER,she
191,1398,1399,NOM,PER,ethereal men
192,1401,1404,NOM,PER,women with pale visages
188,1406,1406,PRON,PER,their
50,1412,1412,PRON,PER,she
188,1415,1415,PRON,PER,their
188,1421,1421,PRON,PER,They
50,1423,1423,PRON,PER,her
50,1427,1427,PRON,PER,her
50,1438,1438,PRON,PER,her
50,1444,1444,PRON,PER,she
50,1448,1448,PRON,PER,her
50,1456,1456,PRON,PER,her
50,1461,1461,PRON,PER,she
50,1468,1468,PRON,PER,She
50,1480,1480,PROP,PER,Malinda
50,1485,1485,PROP,PER,Ash
50,1492,1492,PRON,PER,her
193,1498,1499,NOM,PER,both parents
0,1513,1513,PRON,PER,I
194,1543,1544,NOM,PER,one family
67,1552,1552,PROP,PER,Cinderella
176,1567,1568,NOM,PER,a girl
176,1577,1577,PRON,PER,her
196,1577,1579,NOM,PER,her own family
176,1583,1583,PRON,PER,her
176,1586,1586,PRON,PER,she
176,1595,1595,PRON,PER,her
50,1599,1599,PROP,PER,Ash
66,1601,1601,PROP,PER,Aisling
66,1617,1617,PRON,PER,her
197,1625,1625,PRON,PER,us
198,1627,1628,NOM,PER,the Huntress
68,1630,1630,PROP,PER,Kaisa
68,1632,1632,PRON,PER,She
199,1644,1646,NOM,PER,few other characters
68,1649,1649,PRON,PER,Her
68,1653,1653,PRON,PER,She
68,1656,1656,PRON,PER,She
200,1671,1672,NOM,PER,the faeries
68,1674,1674,PRON,PER,She
201,1689,1690,NOM,PER,a hunter
68,1695,1695,PROP,PER,Kaisa
68,1716,1716,PRON,PER,her
50,1723,1723,PROP,PER,Ash
202,1745,1746,NOM,PER,lesbian teenagers
203,1770,1772,NOM,PER,a lesbian protagonist
197,1774,1774,PRON,PER,We
204,1792,1797,NOM,PER,writers of color and LGBTQ+ content
50,1808,1808,PROP,PER,Ash
205,1816,1817,NOM,LOC,the world
