start_token,end_token,supersense_category,text
4,4,noun.person,Lo
5,5,verb.contact,peels
8,8,noun.communication,tropes
10,10,verb.perception,reveal
12,12,noun.person,heroine
14,14,noun.substance,steel
20,21,noun.communication,fairy tale
23,23,verb.emotion,resonates
25,25,noun.state,feeling
29,30,noun.person,Leigh Bardugo
33,33,noun.person,author
39,39,noun.communication,trilogy
44,44,noun.communication,duology
46,46,noun.communication,Reading
48,48,verb.stative,is
50,50,verb.motion,taking
52,52,noun.act,walk
56,56,noun.location,path
58,58,verb.possession,finding
65,65,noun.location,place
68,68,noun.relation,part
71,71,noun.state,forest
75,75,verb.perception,seen
79,79,verb.stative,’s
82,82,noun.person,Cinderella
84,84,noun.communication,story
87,87,noun.attribute,blood
90,90,noun.feeling,yearning
94,95,noun.person,Rainbow Rowell
99,100,noun.location,New York
101,101,noun.group,Times
103,103,noun.person,author
105,106,noun.group,Carry On
111,111,verb.cognition,reread
115,115,noun.time,years
118,118,verb.stative,’m
121,121,noun.feeling,admiration
123,123,noun.state,feeling
131,131,verb.communication,hits
140,140,noun.cognition,points
145,145,noun.communication,Cinderella
147,147,noun.communication,story
151,151,noun.person,Cinderella
152,152,verb.stative,is
153,153,noun.body,flesh
155,155,noun.body,blood
162,162,noun.attribute,way
165,165,verb.emotion,wanted
167,167,verb.emotion,comfort
170,170,verb.stative,be
172,172,noun.person,friend
176,176,verb.emotion,cheered
179,179,noun.attribute,way
181,181,verb.change,changed
183,183,noun.communication,story
187,187,noun.feeling,pleasure
189,189,verb.cognition,reread
191,191,noun.communication,book
195,196,noun.person,Kristin Cashore
198,199,noun.location,New York
200,200,noun.group,Times
202,202,noun.person,author
205,206,noun.location,Graceling Realm
207,207,noun.communication,books
218,218,verb.possession,gave
223,223,verb.consumption,needed
229,229,verb.cognition,know
231,231,verb.consumption,needed
237,237,verb.stative,hold
240,240,noun.communication,novel
244,244,noun.body,heart
248,249,noun.person,Nina LaCour
251,251,noun.person,author
269,269,noun.communication,classic
273,273,verb.cognition,read
276,276,verb.contact,seeking
278,278,noun.communication,read
281,281,noun.event,victory
283,283,noun.event,transformation
287,287,noun.feeling,grief
291,292,noun.person,Roshani Chokshi
294,295,noun.location,New York
296,296,noun.group,Times
298,298,noun.person,author
303,304,noun.person,Touched Queen
307,308,noun.group,Gilded Wolves
310,310,noun.person,Lo
311,311,verb.stative,is
316,316,noun.person,voices
319,319,noun.communication,fiction
325,325,noun.time,time
327,327,noun.person,Ash
331,331,verb.stative,is
336,336,noun.cognition,fantasy
337,338,noun.communication,fairy tale
341,341,noun.cognition,dreams
345,346,noun.person,Kiersten White
348,349,noun.location,New York
352,352,noun.person,author
358,358,noun.communication,trilogy
362,362,noun.attribute,beauty
364,364,noun.attribute,bravery
368,368,noun.attribute,way
370,370,verb.change,set
371,372,noun.cognition,fairy enchantments
375,375,noun.cognition,magic
377,377,noun.person,women
379,379,noun.feeling,love
382,382,verb.change,opened
384,384,noun.group,world
386,386,noun.person,girls
394,394,verb.creation,writing
395,396,noun.communication,fairy tales
399,399,noun.person,women
401,401,noun.attribute,color
402,402,noun.time,today
406,407,noun.person,Malinda Lo
411,414,noun.person,Anna - Marie McLemore
416,416,noun.person,author
428,430,noun.location,Blanca Si Roja
436,436,noun.communication,lore
439,439,noun.communication,prose
441,441,noun.communication,Ash
442,443,verb.emotion,feels like
444,444,verb.motion,taking
446,446,noun.act,walk
449,449,noun.group,woods
453,453,noun.time,morning
455,455,verb.motion,following
457,457,noun.act,path
459,459,verb.perception,feels
463,463,verb.change,takes
471,471,verb.stative,is
474,474,noun.time,life
477,477,noun.act,exploration
479,479,noun.feeling,grief
483,483,noun.time,coming
486,486,noun.time,age
487,487,noun.communication,romance
492,492,verb.stative,be
494,494,noun.artifact,classic
497,497,noun.time,moment
500,500,noun.event,release
504,505,noun.person,Melissa Bashardoust
507,507,noun.person,author
512,512,noun.substance,Snow
517,517,verb.change,crafts
522,522,noun.cognition,fantasy
523,523,noun.cognition,world
526,526,noun.communication,retelling
530,531,verb.social,opening doors
534,534,noun.group,generation
536,536,noun.person,writers
540,540,verb.cognition,know
542,542,verb.stative,is
543,543,noun.quantity,room
545,545,noun.artifact,shelves
547,548,noun.communication,fantasy books
551,551,noun.cognition,homophobia
554,554,verb.stative,exist
556,556,noun.person,Ash
558,558,noun.act,journey
560,560,noun.feeling,grief
562,562,noun.feeling,enchantment
564,564,noun.feeling,love
566,566,verb.creation,rendered
568,568,noun.cognition,truth
570,570,noun.attribute,tenderness
573,573,noun.communication,word
576,576,noun.communication,tale
584,584,verb.stative,was
587,587,noun.act,debut
591,592,noun.person,Audrey Coulthurst
594,594,noun.person,author
603,605,noun.person,MALINDA LO LITTLE
610,611,noun.location,New York
614,614,noun.communication,book
615,615,verb.stative,is
617,617,noun.artifact,work
619,619,noun.communication,fiction
621,621,noun.communication,Names
623,623,noun.communication,characters
625,625,noun.location,places
628,628,noun.communication,incidents
629,629,verb.stative,are
631,631,noun.artifact,product
634,634,noun.person,author
636,636,noun.cognition,imagination
639,639,verb.consumption,used
643,643,noun.communication,resemblance
646,646,noun.event,events
648,648,noun.communication,locales
651,651,noun.person,persons
653,653,verb.stative,living
657,657,verb.stative,is
660,660,noun.communication,Copyright
664,666,noun.person,Malinda Lo Introduction
667,667,noun.communication,copyright
671,673,noun.person,Holly Black Author
675,675,noun.communication,Note
678,678,noun.communication,copyright
687,687,noun.communication,copyright
694,694,noun.act,photography
698,699,noun.person,Amina Bech
702,702,noun.act,design
704,705,noun.person,Alison Impey
707,708,noun.person,Karina Granda
711,711,noun.communication,copyright
715,717,noun.group,Hachette Book Group
719,722,noun.group,Inc. Hachette Book Group
723,723,verb.social,supports
725,725,noun.attribute,right
728,728,noun.communication,expression
731,731,noun.attribute,value
733,733,noun.communication,copyright
736,736,noun.cognition,purpose
738,738,noun.communication,copyright
739,739,verb.stative,is
741,741,verb.social,encourage
742,742,noun.person,writers
744,744,noun.person,artists
746,746,verb.creation,produce
749,749,noun.artifact,works
751,751,verb.change,enrich
753,753,noun.group,culture
756,756,noun.act,scanning
758,758,verb.possession,uploading
761,761,noun.act,distribution
764,764,noun.communication,book
766,766,noun.communication,permission
767,767,verb.stative,is
769,769,noun.act,theft
772,772,noun.person,author
775,775,noun.possession,property
780,780,verb.emotion,like
781,781,noun.communication,permission
783,783,verb.consumption,use
784,784,noun.communication,material
787,787,noun.communication,book
792,792,noun.cognition,review
793,793,noun.cognition,purposes
797,797,verb.communication,contact
800,800,verb.communication,Thank
804,804,noun.act,support
807,807,noun.person,author
809,809,noun.attribute,rights
811,811,noun.quantity,Little
813,818,noun.group,Brown and Company Hachette Book Group
820,823,noun.location,Avenue of the Americas
825,826,noun.location,New York
828,828,noun.location,NY
833,834,noun.group,LBYR.com Originally
835,835,verb.creation,published
837,837,noun.communication,hardcover
839,839,noun.communication,ebook
841,841,noun.person,Little
843,845,noun.group,Brown and Company
847,847,noun.time,September
849,851,noun.group,Revised Trade Paperback
852,852,noun.communication,Edition
854,854,noun.time,May
856,856,noun.quantity,Little
858,860,noun.group,Brown and Company
861,861,verb.stative,is
863,863,noun.cognition,division
865,867,noun.group,Hachette Book Group
869,871,noun.group,Inc. The Little
873,873,noun.person,Brown
874,874,noun.communication,name
876,876,noun.communication,logo
878,878,noun.communication,trademarks
880,882,noun.group,Hachette Book Group
884,884,noun.group,Inc.
886,886,noun.group,publisher
887,887,verb.stative,is
891,891,noun.artifact,websites
895,895,noun.communication,content
900,900,verb.possession,owned
903,903,noun.group,publisher
906,908,noun.group,Library of Congress
910,910,verb.communication,cataloged
912,912,noun.communication,hardcover
913,913,noun.communication,edition
919,919,noun.location,Malinda
921,921,noun.person,Ash
924,924,noun.person,Malinda
926,926,noun.communication,ed
935,935,noun.communication,variation
939,939,noun.communication,story
941,941,noun.person,Ash
942,943,verb.social,grows up
944,945,verb.cognition,believing in
947,947,noun.plant,fairy
948,948,noun.state,realm
951,951,noun.person,king
954,954,noun.person,philosophers
956,956,verb.social,sought
958,958,verb.change,suppress
962,962,noun.time,day
965,965,verb.cognition,choose
969,969,noun.person,fairy
970,970,verb.communication,cursed
972,972,verb.emotion,love
976,976,noun.person,King
982,982,verb.emotion,loves
993,993,noun.quantity,9
1000,1001,noun.communication,Fairy tales
1007,1007,noun.communication,Fiction
1011,1011,noun.cognition,Self
1013,1013,noun.cognition,realization
1015,1015,noun.communication,Fiction
1019,1019,noun.person,Fairies
1021,1021,noun.communication,Fiction
1025,1025,noun.communication,Stepfamilies
1027,1027,noun.communication,Fiction
1033,1033,noun.communication,Fiction
1039,1039,noun.communication,Fiction
1045,1045,noun.communication,Fiction
1068,1068,noun.communication,edition
1081,1081,noun.communication,ebook
1083,1083,verb.creation,Printed
1086,1087,noun.location,United States
1089,1089,noun.location,America
1090,1092,noun.group,LSC - H
1093,1093,noun.communication,Printing
1101,1101,noun.person,grandmother
1103,1105,noun.person,Ruth Earnshaw Lo
1112,1112,noun.act,INTRODUCTION
1116,1116,noun.person,HOLLY
1119,1119,verb.cognition,knows
1121,1121,noun.cognition,plot
1124,1124,noun.person,Cinderella
1129,1129,noun.person,stepmother
1131,1131,noun.person,stepsisters
1134,1134,noun.communication,invitation
1137,1137,noun.artifact,ball
1139,1139,noun.substance,glass
1140,1140,noun.artifact,slippers
1143,1143,noun.person,fairy
1144,1144,noun.person,godmother
1147,1147,noun.animal,birds
1149,1149,noun.animal,mice
1151,1151,verb.communication,sung
1155,1156,noun.artifact,shoe fitting
1159,1159,noun.person,girl
1160,1160,verb.possession,discovered
1162,1162,verb.creation,made
1165,1165,noun.person,princess
1169,1169,verb.cognition,knows
1172,1172,noun.communication,version
1175,1175,noun.substance,fur
1176,1176,noun.artifact,slipper
1179,1179,noun.substance,glass
1182,1182,noun.communication,details
1184,1184,noun.person,stepsisters
1185,1186,verb.contact,cutting off
1189,1189,noun.body,toes
1192,1192,noun.person,mother
1194,1194,noun.state,order
1198,1198,noun.communication,tale
1199,1199,verb.stative,is
1204,1204,noun.person,girl
1206,1206,verb.social,saved
1209,1209,noun.state,life
1211,1211,noun.feeling,drudgery
1214,1214,noun.feeling,love
1218,1218,noun.person,boy
1220,1221,noun.person,Malinda Lo
1222,1222,verb.motion,turns
1224,1224,noun.communication,story
1228,1228,noun.body,head
1230,1230,noun.person,Ash
1231,1231,verb.stative,is
1233,1233,noun.communication,reimagining
1236,1236,noun.person,Cinderella
1241,1241,noun.location,landscape
1244,1244,noun.communication,story
1245,1245,verb.change,shifts
1251,1251,noun.cognition,elements
1252,1252,verb.change,become
1257,1257,noun.state,peril
1259,1259,verb.communication,Told
1264,1264,noun.communication,prose
1266,1266,noun.person,Aisling
1268,1268,noun.feeling,grief
1269,1269,verb.stative,is
1273,1273,verb.stative,is
1275,1275,noun.feeling,desire
1277,1277,verb.motion,escape
1279,1279,noun.communication,stories
1287,1287,verb.emotion,love
1288,1289,noun.communication,fairy tales
1291,1292,verb.motion,Running away
1294,1294,noun.person,Faerie
1295,1295,verb.stative,is
1297,1297,verb.cognition,linked
1301,1301,noun.person,mother
1304,1304,verb.communication,told
1307,1307,noun.communication,tales
1309,1309,noun.person,Ash
1310,1310,verb.communication,fantasizes
1313,1313,noun.person,mother
1315,1315,verb.stative,be
1318,1318,noun.object,Faerie
1321,1321,noun.artifact,part
1324,1324,verb.cognition,knows
1327,1327,noun.person,mother
1328,1328,verb.stative,is
1332,1333,verb.contact,chasing after
1335,1335,verb.stative,means
1336,1336,verb.change,dying
1345,1345,noun.person,Malinda
1346,1346,verb.creation,write
1350,1350,noun.communication,prose
1352,1352,verb.emotion,want
1354,1354,verb.consumption,eat
1358,1358,noun.artifact,spoon
1361,1361,verb.stative,were
1369,1369,noun.animal,horses
1371,1371,noun.body,heads
1376,1376,noun.body,eyes
1377,1377,verb.perception,burning
1380,1380,noun.person,blacksmith
1382,1382,noun.artifact,forge
1385,1385,noun.person,riders
1389,1389,verb.stative,were
1395,1395,verb.perception,seen
1399,1399,noun.person,men
1401,1401,noun.person,women
1404,1404,noun.artifact,visages
1407,1407,noun.body,cheekbones
1414,1414,verb.perception,see
1416,1416,noun.body,skulls
1419,1419,noun.body,skin
1422,1422,verb.contact,surrounded
1425,1425,verb.perception,looked
1431,1431,noun.body,eyes
1434,1434,noun.cognition,gaze
1436,1436,noun.artifact,arrow
1437,1437,verb.motion,staking
1441,1441,noun.location,spot
1447,1447,verb.contact,close
1449,1449,noun.body,eyes
1452,1452,noun.cognition,sight
1455,1455,verb.communication,made
1457,1457,noun.body,eyes
1458,1458,verb.change,burn
1463,1463,verb.perception,looking
1466,1466,noun.object,sun
1469,1469,verb.communication,writes
1471,1471,noun.feeling,grief
1473,1473,noun.state,despair
1480,1480,noun.person,Malinda
1481,1481,verb.cognition,illuminates
1483,1483,noun.attribute,helplessness
1485,1485,noun.person,Ash
1487,1487,noun.feeling,mourning
1490,1490,noun.attribute,depth
1493,1493,noun.feeling,sadness
1496,1496,noun.event,loss
1499,1499,noun.person,parents
1500,1500,verb.stative,is
1504,1504,verb.creation,creates
1506,1506,noun.feeling,sorrow
1510,1510,verb.stative,’s
1516,1517,verb.cognition,think of
1520,1520,noun.person,Cinderella
1522,1522,noun.communication,retelling
1524,1524,verb.stative,is
1530,1530,noun.state,pain
1532,1532,noun.feeling,loss
1537,1537,verb.stative,is
1540,1540,noun.communication,story
1542,1542,verb.possession,losing
1544,1544,noun.group,family
1546,1546,verb.possession,finding
1552,1552,noun.person,Cinderella
1554,1554,verb.stative,is
1557,1557,noun.communication,story
1558,1559,verb.stative,centered around
1560,1560,noun.event,transformation
1562,1563,verb.change,turning on
1565,1565,noun.cognition,idea
1568,1568,noun.person,girl
1571,1571,verb.change,altered
1573,1573,noun.artifact,clothes
1575,1575,noun.artifact,carriages
1579,1579,noun.group,family
1582,1582,verb.perception,recognize
1590,1590,verb.cognition,known
1593,1593,noun.attribute,size
1596,1596,noun.body,foot
1599,1599,noun.communication,Ash
1601,1601,noun.person,Aisling
1603,1603,verb.cognition,discovered
1606,1607,verb.body,putting on
1608,1608,noun.artifact,layers
1612,1612,verb.contact,stripping
1616,1616,verb.perception,reveal
1621,1621,noun.person,self
1624,1624,verb.motion,brings
1628,1628,noun.person,Huntress
1630,1630,noun.person,Kaisa
1633,1633,verb.stative,is
1635,1635,noun.body,figure
1637,1637,noun.cognition,life
1640,1640,verb.perception,seen
1641,1641,verb.body,laughing
1646,1646,noun.person,characters
1650,1650,noun.body,skin
1651,1651,verb.body,flushes
1654,1654,verb.communication,weeps
1657,1657,verb.stative,is
1669,1669,noun.state,perfection
1672,1672,noun.person,faeries
1675,1675,verb.perception,feels
1676,1676,noun.feeling,desire
1678,1678,verb.communication,invokes
1679,1679,noun.feeling,desire
1682,1682,noun.relation,antithesis
1684,1684,noun.phenomenon,death
1688,1688,verb.stative,being
1690,1690,noun.person,hunter
1691,1691,verb.stative,involves
1692,1692,noun.act,killing
1695,1695,noun.person,Kaisa
1696,1696,noun.state,death
1697,1697,verb.stative,is
1698,1698,noun.relation,part
1701,1701,noun.time,cycle
1703,1703,noun.cognition,life
1708,1708,noun.act,escape
1712,1712,noun.state,order
1715,1715,verb.cognition,choose
1717,1717,verb.stative,is
1719,1719,verb.cognition,choose
1720,1720,noun.person,life
1724,1725,verb.change,came out
1731,1731,verb.stative,were
1733,1733,noun.communication,books
1740,1740,verb.stative,were
1743,1743,noun.communication,books
1746,1746,noun.person,teenagers
1748,1748,verb.creation,published
1753,1753,noun.relation,percent
1760,1760,noun.cognition,elements
1764,1764,verb.creation,set
1767,1768,noun.cognition,fantasy worlds
1772,1772,noun.person,protagonist
1776,1776,verb.possession,have
1779,1779,noun.act,way
1781,1781,verb.stative,go
1784,1784,noun.group,industry
1788,1788,noun.state,inclusivity
1790,1790,verb.cognition,regarding
1792,1792,noun.person,writers
1797,1797,noun.communication,content
1806,1806,noun.act,shifts
1809,1809,verb.stative,is
1813,1813,noun.communication,books
1815,1815,verb.contact,pushed
1817,1817,noun.group,world
1822,1822,noun.person,Malinda
1830,1830,verb.stative,continuing
1832,1832,verb.creation,write
1834,1834,noun.communication,books
1836,1836,verb.social,founded
1837,1839,noun.group,Diversity in YA
1841,1842,noun.person,Cindy Pon
1846,1846,verb.social,celebrate
1847,1847,noun.communication,novels
1849,1849,verb.emotion,loved
1852,1852,verb.change,began
1853,1853,verb.perception,tracking
1855,1855,noun.communication,titles
1858,1858,noun.communication,content
1862,1862,noun.time,year
1864,1864,verb.communication,issuing
1867,1867,noun.communication,report
1871,1871,verb.social,Let
1873,1873,verb.communication,tell
1877,1877,noun.cognition,things
1879,1879,noun.person,Malinda
1882,1882,verb.emotion,likes
1884,1884,verb.consumption,drink
1885,1885,noun.food,whiskey
1888,1889,verb.motion,goes to
1890,1890,noun.artifact,bed
1894,1894,verb.stative,’s
1899,1899,verb.emotion,loves
1901,1901,noun.cognition,characters
1906,1906,verb.emotion,wish
1907,1907,noun.person,authors
1911,1911,verb.stative,am
1914,1914,verb.possession,have
1918,1918,noun.person,friend
1922,1922,verb.stative,was
1924,1924,noun.person,friend
1927,1927,verb.contact,devoured
1928,1928,noun.person,Ash
1932,1932,noun.act,sitting
1935,1936,verb.motion,went back
1938,1938,verb.cognition,read
1945,1945,verb.cognition,know
1952,1952,verb.cognition,read
1956,1956,verb.perception,see
1959,1959,noun.attribute,generosity
1961,1961,noun.attribute,kindness
1964,1964,noun.attribute,way
1966,1967,verb.creation,writes about
1968,1968,noun.feeling,love
1973,1973,noun.feeling,love
1974,1974,verb.stative,is
1982,1982,verb.stative,’s
1986,1986,noun.location,source
1988,1988,noun.attribute,strength
1990,1990,noun.attribute,bravery
1995,1995,verb.perception,had
1997,1997,noun.communication,signing
1999,2000,noun.person,Cassandra Clare
2003,2003,noun.location,town
2005,2005,noun.person,Malinda
2008,2008,noun.person,wife
2009,2009,verb.stative,live
