COREF,start_token,end_token,prop,cat,text
74,1,1,PRON,PER,Our
1,5,8,PROP,FAC,PHILOMEL BOOKS Patricia Polacco
74,10,10,PRON,PER,Our
75,10,11,NOM,PER,Our Mothers
76,10,13,NOM,FAC,Our Mothers ' House
0,18,18,PRON,PER,my
77,18,19,NOM,PER,my mothers
0,21,21,PRON,PER,me
77,24,24,PRON,PER,they
0,26,26,PRON,PER,me
78,27,27,NOM,FAC,home
77,31,31,PRON,PER,them
0,34,34,PRON,PER,I
77,38,38,PRON,PER,their
77,45,45,PRON,PER,they
77,53,53,PRON,PER,They
0,55,55,PRON,PER,me
77,57,57,PRON,PER,they
79,61,63,NOM,LOC,dry hot deserts
80,72,73,NOM,LOC,tall mountains
0,82,82,PRON,PER,me
78,83,83,NOM,FAC,home
77,86,86,PRON,PER,they
77,92,92,PRON,PER,their
77,95,95,PRON,PER,they
0,98,98,PRON,PER,me
0,105,105,PRON,PER,me
77,107,107,PRON,PER,their
0,118,118,PRON,PER,I
0,122,122,PRON,PER,my
82,122,123,NOM,PER,my brother
51,124,124,PROP,PER,Will
83,127,127,PRON,PER,us
51,129,129,PRON,PER,He
52,142,142,PROP,PER,Millie
83,144,144,PRON,PER,We
83,148,148,PRON,PER,our
75,148,149,NOM,PER,our mothers
52,151,151,PRON,PER,her
85,157,164,NOM,LOC,an enchanted pond deep in a hidden forest
52,166,166,PRON,PER,She
86,168,171,NOM,PER,part of our family
83,170,170,PRON,PER,our
87,170,171,NOM,PER,our family
52,173,173,PRON,PER,she
51,182,182,PROP,PER,Will
83,186,186,PRON,PER,Our
75,186,187,NOM,PER,Our mothers
89,192,193,NOM,PER,each other
90,195,197,NOM,PER,all of us
83,197,197,PRON,PER,us
75,201,201,PRON,PER,they
89,203,204,NOM,PER,each other
53,206,207,PROP,FAC,alt Meema
52,213,213,PRON,PER,Her
92,213,214,NOM,PER,Her family
52,219,219,PRON,PER,she
52,225,225,PRON,PER,she
93,229,229,NOM,FAC,upstairs
53,236,236,PROP,PER,Meema
94,238,239,NOM,PER,a pediatrician
83,245,245,PRON,PER,us
52,249,249,PRON,PER,she
83,258,258,PRON,PER,us
54,262,262,PROP,PER,Marmee
54,268,268,PRON,PER,She
95,289,289,PRON,PER,them
54,291,291,PROP,PER,Marmee
96,294,295,NOM,FAC,the bathroom
83,299,299,PRON,PER,our
83,302,302,PRON,PER,we
54,305,305,PRON,PER,She
97,316,317,NOM,FAC,the house
83,323,323,PRON,PER,We
54,327,327,PRON,PER,her
83,330,330,PRON,PER,we
98,334,334,NOM,PER,paramedic
99,338,339,NOM,VEH,an ambulance
54,348,348,PRON,PER,she
83,356,356,PRON,PER,Our
75,356,357,NOM,PER,Our mothers
55,362,362,PROP,PER,Meemas
55,367,367,PRON,PER,she
54,370,370,PROP,PER,Marmee
83,389,389,PRON,PER,Our
101,389,391,NOM,FAC,Our mothers house
83,402,402,PRON,PER,our
75,402,403,NOM,PER,our mothers
83,420,420,PRON,PER,us
103,424,424,PRON,PER,them
53,432,432,PROP,PER,Meema
55,438,438,PRON,PER,she
55,440,440,PRON,PER,her
54,456,456,PROP,PER,Marmee
55,459,459,PRON,PER,she
51,461,461,PROP,PER,Will
51,464,464,PRON,PER,him
