start_token,end_token,supersense_category,text
5,8,noun.group,PHILOMEL BOOKS Patricia Polacco
11,11,noun.person,Mothers
16,16,noun.communication,BOOK
19,19,noun.person,mothers
20,20,verb.communication,told
25,25,verb.motion,brought
29,29,verb.stative,live
39,39,noun.body,eyes
41,41,verb.perception,shine
43,43,verb.change,glisten
47,47,verb.body,grin
49,49,noun.body,ear
51,51,noun.body,ear
54,54,verb.communication,told
59,60,verb.motion,walked across
63,63,noun.object,deserts
65,66,verb.motion,sailed through
68,68,noun.object,seas
70,70,verb.motion,flew
73,73,noun.object,mountains
75,75,verb.motion,trekked
78,78,noun.phenomenon,storms
81,81,verb.motion,bring
89,89,verb.change,get
90,90,noun.body,tears
93,93,noun.body,eyes
97,97,verb.communication,tell
101,101,verb.stative,was
104,104,verb.contact,hold
108,108,noun.body,arms
116,116,noun.time,years
123,123,noun.person,brother
124,124,noun.person,Will
125,125,verb.motion,came
130,130,verb.stative,was
136,136,noun.time,days
141,141,verb.stative,was
142,142,noun.person,Millie
146,146,verb.communication,kidded
149,149,noun.person,mothers
150,150,verb.possession,found
154,155,noun.artifact,lily pad
159,159,noun.object,pond
164,164,noun.object,forest
167,167,verb.change,became
168,168,noun.relation,part
171,171,noun.group,family
174,174,verb.stative,was
176,176,noun.time,months
180,180,noun.time,years
182,182,noun.person,Will
184,184,verb.motion,come
187,187,noun.person,mothers
188,188,verb.stative,were
199,199,verb.communication,wondered
202,202,verb.possession,found
208,208,verb.stative,was
214,214,noun.group,family
215,215,verb.stative,was
220,220,verb.emotion,loved
222,222,verb.consumption,cook
228,228,verb.contact,sew
234,234,noun.artifact,machine
236,236,noun.person,Meema
237,237,verb.stative,was
239,239,noun.person,pediatrician
246,247,verb.change,got sick
251,251,verb.cognition,knew
255,255,verb.social,do
257,257,verb.change,make
259,259,verb.body,feel
262,262,noun.person,Marmee
263,263,verb.stative,was
270,270,verb.change,fix
276,276,verb.communication,organized
278,278,noun.time,middle
281,281,verb.motion,climb
283,283,noun.time,night
285,286,verb.motion,go to
291,291,noun.person,Marmee
292,292,verb.stative,was
295,295,noun.artifact,bathroom
297,297,noun.artifact,shed
298,298,verb.creation,make
300,300,noun.artifact,beds
306,306,verb.change,made
307,307,noun.communication,lists
309,309,verb.contact,posted
310,310,noun.act,chores
313,313,noun.artifact,refrigerator
315,315,verb.stative,kept
317,317,noun.artifact,house
326,326,verb.communication,kid
331,332,verb.body,got up
334,334,noun.person,paramedic
336,336,verb.motion,rode
339,339,noun.artifact,ambulance
345,345,noun.cognition,kind
347,347,noun.state,emergency
350,350,verb.change,remained
353,354,verb.social,took charge
357,357,noun.person,mothers
358,358,verb.emotion,loved
360,360,verb.body,laugh
362,362,noun.person,Meemas
364,364,noun.body,body
365,365,verb.body,shook
368,368,verb.body,laughed
370,370,noun.person,Marmee
371,371,verb.body,laughed
377,377,verb.body,laugh
381,381,noun.animal,shed
383,384,verb.motion,fall down
386,386,verb.change,go
390,390,noun.person,mothers
391,391,noun.artifact,house
392,392,verb.stative,was
396,396,noun.communication,music
399,399,noun.cognition,kinds
403,403,noun.person,mothers
405,405,verb.contact,put
406,406,verb.body,on
408,408,noun.artifact,rock
414,415,noun.artifact,swing records
417,417,verb.change,get
422,422,verb.motion,dance
428,428,verb.stative,is
432,432,noun.person,Meema
434,434,verb.communication,sing
439,439,verb.motion,flapped
441,441,noun.body,arms
443,443,noun.animal,wings
445,445,verb.perception,clucked
454,454,verb.stative,is
455,456,noun.person,bebop/ Marmee
457,457,verb.communication,said
460,460,verb.contact,grabbed
461,461,noun.person,Will
463,463,verb.motion,spun
468,468,verb.motion,dipped
473,473,verb.body,laughed
475,475,verb.body,laughed
478,478,verb.stative,lived
484,485,noun.artifact,shingle house
487,488,noun.location,Woolsey Street
490,490,noun.location,Berkeley
492,492,noun.location,California
496,496,verb.contact,set
500,500,noun.artifact,street
504,504,verb.motion,walked
507,507,noun.person,mothers
508,508,noun.artifact,house
512,512,noun.artifact,thing
514,514,verb.perception,saw
515,515,verb.stative,was
517,517,noun.artifact,staircase
522,522,verb.motion,slid
525,525,noun.artifact,banisters
529,529,noun.person,Will
531,531,verb.motion,sliding
538,538,verb.motion,stop
541,541,noun.location,bottom
544,545,verb.motion,flew off
547,547,verb.contact,took
549,549,noun.artifact,finial
555,556,noun.artifact,living room
562,563,noun.artifact,brick fireplace
564,564,verb.stative,was
566,566,noun.cognition,heart
569,569,noun.artifact,home
572,572,noun.person,Marmee
574,574,verb.contact,Meema’d
575,576,noun.food,pop corn
584,584,verb.contact,sit
586,586,verb.consumption,eat
587,587,noun.food,popcorn
589,589,noun.food,apples
591,591,verb.possession,share
592,592,noun.communication,stories
595,595,verb.stative,was
596,596,noun.person,Millie
599,599,noun.location,place
601,601,verb.stative,be
604,604,verb.cognition,remember
607,607,verb.stative,was
612,613,verb.body,got up
616,616,noun.time,middle
619,619,noun.time,night
622,622,verb.perception,found
626,626,noun.time,morning
630,630,noun.artifact,hearth
634,634,noun.plant,charcoah
637,637,verb.communication,taken
639,639,noun.communication,piece
641,641,noun.substance,charcoal
643,643,verb.creation,drawn
648,648,noun.artifact,walk
654,654,noun.body,eyes
657,657,noun.artifact,drawing
660,660,verb.stative,was
668,668,verb.cognition,known
673,673,verb.cognition,knew
678,678,noun.person,Millie
679,679,verb.stative,was
686,686,noun.animal,sparrow
689,689,noun.person,Meema
691,691,verb.communication,whispered
694,694,verb.perception,looks
697,697,verb.stative,are
700,700,noun.person,artist
706,706,noun.location,place
708,708,verb.stative,be
711,711,noun.person,kids
712,712,verb.stative,was
714,714,noun.artifact,sunroom
717,717,noun.artifact,carport
720,720,verb.stative,is
725,725,noun.artifact,toys
726,726,verb.stative,lived
729,729,verb.stative,was
732,732,verb.social,played
733,735,noun.act,dress - up
739,739,noun.time,Halloween
740,740,noun.artifact,costume
742,742,verb.body,wore
743,743,verb.change,began
746,746,noun.artifact,store
748,748,verb.possession,bought
749,749,noun.artifact,costumes
753,753,noun.person,Marmee
755,755,noun.person,Millie
756,756,verb.creation,designed
760,760,noun.person,Meema
762,762,verb.social,help
764,764,verb.contact,sew
768,768,noun.time,year
770,770,verb.motion,went
773,773,noun.animal,animals
779,779,noun.person,neighbors
780,780,verb.perception,recognized
788,788,noun.person,Mrs
790,790,noun.person,Lockner
793,793,verb.cognition,knew
799,799,verb.perception,glared
804,804,verb.contact,opened
806,806,noun.artifact,door
809,809,verb.perception,glared
812,812,noun.person,mothers
817,817,noun.person,kids
818,818,verb.motion,came
819,819,verb.motion,running
821,821,verb.stative,were
823,823,verb.emotion,excited
825,825,verb.perception,see
829,829,noun.person,Mrs
831,831,noun.person,Lockner
832,832,verb.motion,turned
834,834,noun.body,back
836,836,verb.contact,shut
838,838,noun.artifact,door
849,849,noun.person,Will
850,851,verb.communication,blurted out
855,855,noun.person,mothers
856,856,verb.communication,said
859,859,verb.motion,continued
862,862,noun.location,block
868,868,verb.stative,was
873,873,noun.act,Halloweens
876,876,verb.possession,had
880,880,verb.possession,won
882,883,noun.location,Claremont Avenue
884,884,noun.communication,costume
885,885,noun.event,contest
887,887,noun.time,year
891,891,noun.artifact,bathroom
892,892,verb.stative,was
897,897,verb.stative,hold
900,900,noun.group,family
903,903,noun.event,time
912,912,verb.cognition,remember
914,914,noun.time,night
919,919,noun.person,kids
920,921,verb.motion,came down
924,924,noun.state,flu
930,930,noun.person,Meema
932,932,noun.person,Marmee
934,934,verb.motion,darting
939,939,noun.artifact,rooms
941,941,noun.person,Will
943,943,noun.person,Millie
947,948,verb.body,throwing up
951,951,noun.person,mothers
952,952,verb.change,changed
953,953,noun.artifact,sheets
955,955,verb.contact,washed
956,956,noun.artifact,pajamas
958,958,verb.contact,bathed
960,960,noun.body,foreheads
964,964,noun.artifact,washcloth
967,967,verb.emotion,loved
971,971,noun.body,hands
972,972,verb.stative,were
975,975,verb.contact,touched
977,977,noun.body,face
979,979,verb.contact,wiped
982,982,noun.body,tears
986,986,noun.time,days
989,989,noun.state,misery
991,991,noun.person,mothers
992,992,verb.communication,announced
997,997,noun.event,surprise
1004,1004,verb.change,make
1006,1006,verb.emotion,feel
1008,1008,noun.person,Marmee
1009,1010,verb.communication,sang out
1013,1013,verb.contact,opened
1015,1015,noun.body,eyes
1019,1019,verb.contact,stood
1021,1021,verb.contact,holding
1024,1024,noun.animal,puppies
1028,1028,noun.animal,puppies
1029,1029,verb.change,started
1030,1030,verb.motion,jumping
1033,1033,verb.contact,licking
1035,1035,noun.body,faces
1039,1039,verb.body,squealed
1041,1041,noun.feeling,joy
1045,1045,verb.communication,named
1047,1047,noun.person,Miso
1055,1055,noun.state,things
1058,1058,noun.person,mothers
1060,1060,noun.artifact,house
1061,1061,verb.stative,was
1063,1064,noun.artifact,tree house
1067,1067,verb.creation,built
1070,1070,noun.location,backyard
1075,1075,noun.location,neighborhood
1076,1076,verb.social,helped
1081,1081,verb.change,started
1083,1083,noun.person,Will
1088,1088,noun.person,Marmee
1092,1092,verb.contact,building
1093,1093,noun.artifact,things
1096,1096,noun.time,Saturday
1098,1098,verb.possession,found
1100,1100,noun.communication,plans
1103,1104,noun.artifact,tree house
1107,1107,noun.communication,magazine
1109,1110,verb.motion,went to
1114,1114,verb.possession,took
1116,1116,noun.time,weekends
1118,1118,verb.change,finish
1122,1122,noun.time,Saturday
1126,1126,verb.change,finish
1130,1130,verb.contact,stood
1133,1133,noun.location,circle
1136,1137,noun.artifact,tree house
1139,1139,noun.person,Marmee
1141,1141,noun.person,Meema
1142,1142,verb.contact,broke
1144,1144,noun.artifact,bottle
1146,1146,noun.substance,soda
1149,1149,noun.artifact,doorjamb
1151,1151,verb.communication,named
1153,1154,noun.artifact,tree house
1155,1156,noun.location,Thistle House
1159,1159,noun.time,night
1164,1164,noun.person,kids
1167,1167,verb.body,sleep
1172,1172,noun.person,Lockner
1173,1173,noun.person,kids
1175,1175,verb.communication,invited
1179,1179,noun.person,parents
1180,1180,verb.motion,came
1182,1182,verb.possession,got
1187,1187,verb.communication,spoke
1192,1192,verb.contact,pulled
1196,1196,noun.artifact,driveway
1207,1207,verb.cognition,guessed
1213,1213,verb.cognition,understand
1218,1218,verb.social,tried
1220,1220,verb.stative,be
1226,1226,noun.attribute,way
1228,1228,noun.person,mothers
1229,1229,verb.communication,taught
1232,1232,verb.stative,be
1235,1235,noun.artifact,kitchen
1238,1239,noun.artifact,mothers house
1240,1240,verb.stative,was
1242,1242,noun.location,center
1247,1247,verb.change,happening
1250,1250,noun.group,household
1252,1253,noun.artifact,kitchen doorway
1254,1254,verb.stative,was
1257,1257,noun.person,kids
1259,1259,verb.cognition,measured
1261,1262,noun.person,yean Meema
1264,1264,noun.person,Marmees
1265,1265,noun.communication,handwriting
1266,1266,verb.stative,is
1275,1275,noun.group,family
1276,1276,noun.time,holidays
1277,1277,verb.change,began
1280,1280,noun.artifact,kitchen
1283,1283,noun.person,grandparents
1285,1285,noun.person,aunts
1287,1287,noun.person,uncles
1289,1289,noun.person,cousins
1291,1291,verb.motion,came
1294,1294,noun.time,weekend
1298,1298,noun.person,grampa
1301,1301,noun.person,nonno
1303,1303,verb.stative,was
1307,1307,noun.act,cooking
1311,1311,verb.emotion,loved
1312,1312,noun.food,gnocchi
1317,1317,verb.social,help
1319,1319,verb.contact,unload
1322,1322,noun.substance,Roma
1323,1323,noun.food,tomatoes
1326,1326,noun.substance,oxtails
1329,1329,noun.food,pork
1330,1330,noun.artifact,shanks
1333,1333,noun.substance,beef
1334,1334,noun.food,brisket
1337,1337,verb.contact,peeled
1338,1338,noun.food,onions
1340,1340,verb.contact,shaved
1342,1342,verb.change,diced
1343,1343,noun.food,carrots
1345,1345,verb.contact,chopped
1347,1347,noun.plant,herbs
1350,1350,noun.artifact,garden
1354,1354,noun.food,sauce
1357,1357,verb.contact,cooking
1362,1362,noun.time,day
1367,1367,verb.contact,stood
1370,1370,noun.artifact,kitchen
1371,1371,noun.artifact,island
1373,1373,noun.person,Nonno
1374,1374,verb.creation,made
1376,1376,noun.artifact,well
1379,1379,noun.location,middle
1382,1382,noun.object,hill
1384,1384,noun.substance,flour
1386,1386,verb.contact,broke
1388,1388,noun.food,eggs
1394,1394,verb.change,riced
1398,1398,noun.animal,potatoes
1402,1402,noun.substance,flour
1403,1403,noun.artifact,well
1407,1407,verb.body,shake
1409,1409,noun.body,hands
1412,1412,noun.attribute,heat
1417,1417,verb.contact,kneaded
1419,1419,noun.object,volcano
1421,1421,noun.substance,flour
1423,1423,noun.food,eggs
1425,1425,noun.animal,potatoes
1428,1428,noun.food,dough
1431,1431,noun.person,Marmee
1433,1433,noun.person,Meema
1434,1434,verb.contact,rolled
1436,1436,noun.food,dough
1439,1439,noun.artifact,tubes
1441,1441,noun.person,Millie
1443,1443,noun.person,Will
1446,1446,verb.contact,cut
1450,1450,noun.artifact,pillows
1454,1454,verb.contact,ran
1456,1456,noun.artifact,pillow
1459,1459,noun.artifact,back
1463,1463,noun.artifact,fork
1465,1465,noun.person,Nonno
1466,1466,verb.motion,dropped
1468,1468,noun.food,gnocchi
1470,1471,noun.substance,boiling water
