COREF,start_token,end_token,prop,cat,text
755,14,15,PROP,PER,MICHELLE ALEXANDER
1,17,17,PROP,GPE,YORK
2,18,18,PROP,GPE,LONDON
755,26,27,PROP,PER,Michelle Alexander
755,37,38,PROP,PER,Michelle Alexander
1441,60,61,NOM,PER,the publisher
1442,76,76,PRON,PER,our
3,86,88,PROP,GPE,the United States
4,90,92,PROP,ORG,The New Press
5,94,95,PROP,GPE,New York
1443,102,104,NOM,GPE,the United States
4,106,108,PROP,ORG,The New Press
5,110,111,PROP,GPE,New York
1444,143,143,PRON,PER,he
6,158,161,PROP,ORG,The Library of Congress
755,170,170,PROP,PER,Alexander
755,172,172,PROP,PER,Michelle
755,187,188,PROP,PER,Michelle Alexander
1444,210,210,PRON,PER,he
3,225,226,PROP,GPE,United States
1445,230,232,NOM,PER,African American prisoners
3,234,235,PROP,GPE,United States
3,242,243,PROP,GPE,United States
3,247,248,PROP,LOC,United States
1442,279,279,PRON,PER,our
1442,297,297,PRON,PER,our
1446,297,298,NOM,PER,our readers
1442,316,316,PRON,PER,our
1447,316,330,NOM,PER,our many partners in the independent media and the not - for - profit sector
1448,320,330,NOM,ORG,the independent media and the not - for - profit sector
1449,332,332,NOM,PER,booksellers
1450,343,343,NOM,PER,librarians
1442,349,349,PRON,PER,our
1451,349,350,NOM,PER,our authors
756,358,359,PROP,PER,Bookbright Media
9,365,365,PROP,GPE,Berkeley
10,368,368,PROP,GPE,Filosofia
3,371,374,PROP,GPE,the United States of
12,375,375,PROP,GPE,America
757,396,396,PROP,PER,Nicole
758,398,398,PROP,PER,Jonathan
1452,421,424,NOM,FAC,The Rebirth of Caste
13,446,449,PROP,ORG,The New Jim Crow
0,498,498,PRON,PER,I
759,506,507,PROP,PER,Barack Obama
1443,515,517,NOM,GPE,the United States
0,519,519,PRON,PER,I
1442,524,524,PRON,PER,our
1454,524,525,NOM,GPE,our country
1455,529,531,NOM,PER,a black man
1456,534,541,NOM,PER,leader of the so - called free world
0,548,548,PRON,PER,I
0,558,558,PRON,PER,I
1442,564,564,PRON,PER,we
0,571,571,PRON,PER,I
1442,577,577,PRON,PER,we
0,589,589,PRON,PER,I
1457,592,593,NOM,GPE,this country
0,599,599,PRON,PER,me
1442,601,601,PRON,PER,we
1458,604,605,NOM,GPE,a nation
1442,616,616,PRON,PER,we
1442,620,620,PRON,PER,We
1459,636,654,NOM,PER,millions of poor people and people of color and relegated millions more to a permanent second - class status
1460,638,639,NOM,PER,poor people
1461,641,643,NOM,PER,people of color
1462,646,654,NOM,PER,millions more to a permanent second - class status
1442,657,657,PRON,PER,we
1463,674,676,NOM,PER,most of us
1442,676,676,PRON,PER,us
1464,679,685,NOM,PER,those who cared deeply about racial justice
1442,706,706,PRON,PER,our
1442,711,711,PRON,PER,We
1442,715,715,PRON,PER,our
1442,725,725,PRON,PER,our
1465,733,733,NOM,PER,Americans
1466,737,747,NOM,PER,a black president and leap into a “ colorblind ” future
1442,771,771,PRON,PER,us
1467,773,775,NOM,GPE,some promised land
0,777,777,PRON,PER,I
1468,782,784,NOM,PER,hundreds of others
1469,784,784,NOM,PER,others
0,787,787,PRON,PER,my
0,793,793,PRON,PER,I
1470,801,802,NOM,PER,black people
1471,807,808,NOM,PER,each other
1472,810,810,NOM,PER,Parents
1472,812,812,PRON,PER,their
1473,812,813,NOM,PER,their children
1473,820,820,PRON,PER,them
1472,823,823,PRON,PER,they
0,831,831,PRON,PER,I
759,833,834,PROP,PER,Barack Obama
0,839,839,PRON,PER,I
0,843,843,PRON,PER,I
1455,848,850,NOM,PER,a black man
1475,853,857,NOM,PER,president of the United States
1443,855,857,NOM,GPE,the United States
1477,859,859,PRON,PER,our
1478,859,860,NOM,GPE,our nation
1479,868,869,NOM,PER,no one
0,876,876,PRON,PER,I
1477,882,882,PRON,PER,We
1477,887,887,PRON,PER,our
12,904,904,PROP,GPE,America
1480,913,914,NOM,LOC,the world
1477,919,919,PRON,PER,We
0,924,924,PRON,PER,I
1481,930,931,NOM,PER,Many people
760,934,937,PROP,PER,The New Jim Crow
0,972,972,PRON,PER,I
1482,983,983,NOM,PER,people
1483,992,993,NOM,FAC,church basements
1484,996,1001,NOM,PER,small groups of activists and students
1485,999,999,NOM,PER,activists
1486,1001,1001,NOM,PER,students
761,1015,1016,PROP,PER,President Obama
1477,1025,1025,PRON,PER,our
1454,1025,1026,NOM,GPE,our country
1477,1045,1045,PRON,PER,we
1488,1050,1056,NOM,PER,Many in the black community and beyond
1489,1052,1054,NOM,PER,the black community
761,1061,1061,PROP,PER,Obama
1477,1088,1088,PRON,PER,We
1477,1105,1105,PRON,PER,we
1490,1113,1114,NOM,PER,Few people
1477,1128,1128,PRON,PER,our
1478,1128,1129,NOM,GPE,our nation
0,1157,1157,PRON,PER,I
762,1161,1162,PROP,PER,Donald Trump
1475,1164,1168,NOM,PER,president of the United States
1443,1166,1168,NOM,GPE,the United States
1494,1192,1194,NOM,ORG,the White House
1495,1196,1212,NOM,PER,a man who embraced the rhetoric ( though not the politics ) of the Civil Rights Movement
1477,1214,1214,PRON,PER,we
1496,1217,1228,NOM,PER,a president who embraces the rhetoric and the politics of white nationalism
1496,1230,1230,PRON,PER,This
1497,1232,1300,NOM,PER,"a president who openly stokes racial animosity and even racial violence , who praises dictators ( and likely aspires to be one ) , who behaves like a petulant toddler on Twitter , and who has a passionate , devoted following of millions of people who proudly say they want to “ make America great again ” by taking us back to a time that we ’ve left behind"
1498,1246,1246,NOM,PER,dictators
1499,1259,1263,NOM,PER,a petulant toddler on Twitter
1500,1274,1300,NOM,PER,millions of people who proudly say they want to “ make America great again ” by taking us back to a time that we ’ve left behind
1501,1280,1280,PRON,PER,they
12,1285,1285,PROP,GPE,America
1477,1291,1291,PRON,PER,us
1477,1297,1297,PRON,PER,we
1477,1302,1302,PRON,PER,We
1502,1316,1318,NOM,PER,many white Americans
1502,1325,1325,PRON,PER,their
1502,1331,1331,PRON,PER,their
1503,1384,1385,NOM,PER,many Americans
1504,1402,1404,NOM,LOC,a different world
1505,1410,1420,NOM,PER,a seventeen - year - old black teenager named Trayvon Martin
763,1419,1420,PROP,PER,Trayvon Martin
1506,1424,1426,NOM,GPE,a gated community
1507,1428,1438,NOM,PER,a self - appointed “ neighborhood watchman ” named George Zimmerman
764,1437,1438,PROP,PER,George Zimmerman
764,1440,1440,PROP,PER,Zimmerman
763,1444,1444,PROP,PER,Martin
1508,1450,1450,NOM,GPE,cities
1509,1450,1453,NOM,LOC,cities across the country
1510,1452,1453,NOM,GPE,the country
1511,1456,1458,NOM,PER,three black women
1512,1472,1473,NOM,GPE,the nation
1513,1478,1479,NOM,LOC,the globe
1514,1492,1494,NOM,PER,unarmed black people
765,1507,1508,PROP,PER,Eric Garner
1515,1518,1532,NOM,PER,a police officer in New York who wanted to arrest him for selling loose cigarettes
5,1522,1523,PROP,GPE,New York
765,1528,1528,PRON,PER,him
766,1540,1541,PROP,PER,Tamir Rice
1516,1545,1546,NOM,FAC,a park
14,1548,1548,PROP,GPE,Cleveland
1517,1548,1560,NOM,PER,Cleveland police officers within moments of their arrival where the child was playing
1518,1549,1550,NOM,PER,police officers
1518,1554,1554,PRON,PER,their
1519,1557,1558,NOM,PER,the child
767,1563,1564,PROP,PER,John Crawford
1520,1570,1570,NOM,PER,police
767,1572,1572,PRON,PER,he
1521,1576,1579,NOM,FAC,a Walmart in Ohio
15,1579,1579,PROP,GPE,Ohio
768,1582,1583,PROP,PER,Kajieme Powell
1520,1595,1595,NOM,PER,police
1523,1602,1605,NOM,PER,a Chicago police officer
16,1603,1603,PROP,GPE,Chicago
1524,1604,1605,NOM,PER,police officer
17,1610,1612,PROP,FAC,Laquan McDonald ’s
1525,1616,1618,NOM,PER,another Chicago cop
769,1620,1621,PROP,PER,Rekia Boyd
770,1624,1625,PROP,PER,Freddie Gray
770,1629,1629,PRON,PER,his
1526,1637,1640,NOM,VEH,a Baltimore police van
771,1643,1644,PROP,PER,Atatiana Jefferson
1527,1650,1656,NOM,PER,a police officer from outside her bedroom
771,1655,1655,PRON,PER,her
18,1659,1660,PROP,GPE,Fort Worth
19,1662,1662,PROP,GPE,Texas
772,1667,1668,PROP,PER,Sandra Bland
1528,1671,1673,NOM,FAC,a Texas jail
772,1680,1680,PRON,PER,her
773,1686,1687,PROP,PER,Kalief Browder
20,1696,1697,PROP,GPE,Rikers Island
774,1738,1739,PROP,PER,Michael Brown
1529,1744,1745,NOM,PER,the police
1530,1748,1751,NOM,GPE,the town of Ferguson
1033,1751,1751,PROP,GPE,Ferguson
22,1753,1753,PROP,GPE,Missouri
1531,1784,1787,NOM,PER,the people of Ferguson
1033,1787,1787,PROP,GPE,Ferguson
1531,1799,1799,PRON,PER,their
1532,1799,1800,NOM,PER,their community
1533,1828,1829,NOM,GPE,this nation
1510,1832,1833,NOM,GPE,the country
1535,1835,1838,NOM,LOC,much of the world
1480,1837,1838,NOM,LOC,the world
1537,1858,1858,PRON,PER,our
1478,1858,1859,NOM,GPE,our nation
1537,1868,1868,PRON,PER,our
1537,1872,1872,PRON,PER,our
1537,1877,1877,PRON,PER,our
0,1901,1901,PRON,PER,I
1537,1915,1915,PRON,PER,our
1478,1915,1916,NOM,GPE,our nation
0,1932,1932,PRON,PER,I
1537,1939,1939,PRON,PER,our
0,1943,1943,PRON,PER,I
775,1967,1968,PROP,PER,James Baldwin
0,1976,1976,PRON,PER,I
1537,1981,1981,PRON,PER,We
