COREF,start_token,end_token,prop,cat,text
725,1,1,PRON,PER,THEY
725,3,3,PRON,PER,THEMSELVES
1,4,22,PROP,FAC,THE K.K.K. THE BIRTH OF AN AMERICAN TERRORIST GROUP BY SUSAN CAMPBELL BARTOLETTI Houghton Mifflin Harcourt Boston New York
391,14,18,PROP,PER,SUSAN CAMPBELL BARTOLETTI Houghton Mifflin
2,20,22,PROP,GPE,Boston New York
391,27,29,PROP,PER,Susan Campbell Bartoletti
3518,53,53,NOM,PER,men
3518,66,66,PRON,PER,they
3519,127,128,NOM,PER,the mob
3520,145,151,NOM,PER,people who otherwise could no be reached
3521,153,153,PRON,PER,It
3519,155,156,NOM,PER,the mob
3,183,187,PROP,FAC,Houghton Mifflin Harcourt Publishing Company
3,207,211,PROP,FAC,Houghton Mifflin Harcourt Publishing Company
4,214,215,PROP,FAC,Park Avenue
5,217,218,PROP,FAC,19th Floor
6,220,221,PROP,GPE,New York
6,223,224,PROP,GPE,New York
7,242,244,PROP,FAC,Adobe Garamond Pro
3523,246,249,NOM,FAC,The Library of Congress
391,258,258,PROP,PER,Bartoletti
391,260,261,PROP,PER,Susan Campbell
3524,263,263,PRON,PER,They
3524,265,265,PRON,PER,themselves
403,266,267,PROP,FAC,the K.K.K.
3525,272,275,NOM,PER,an American terrorist group
391,276,276,PRON,PER,I
391,278,280,PROP,PER,Susan Campbell Bartoletti
9,287,289,PROP,ORG,Ku Klux Klan
9,297,299,PROP,ORG,Ku Klux Klan
3526,308,309,NOM,GPE,United States
3527,318,319,NOM,PER,Hate groups
3526,321,322,NOM,GPE,United States
48,331,332,PROP,ORG,United States
11,372,372,PROP,GPE,China
12,398,400,PROP,ORG,Library of Congress
3529,415,418,NOM,PER,One of the Fools
6,427,428,PROP,GPE,New York
13,430,430,PROP,GPE,Fords
14,432,432,PROP,GPE,Howard
392,435,435,PROP,PER,Hulbert
3530,476,477,NOM,PER,the Reader
726,487,487,NOM,PER,Boys
727,490,490,PRON,PER,Us
0,498,498,PRON,PER,I
15,502,502,PROP,GPE,Chickamauga”
0,511,511,PRON,PER,Me
728,518,518,PRON,PER,They
729,520,521,NOM,PER,a Man
0,529,529,PRON,PER,I
728,551,551,PRON,PER,They
730,554,554,NOM,PER,Somebody
728,557,557,PRON,PER,Them
3531,574,577,NOM,PER,the Human Person” ......
3530,612,613,NOM,PER,THE READER
3530,621,621,PRON,PER,you
